StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Max Healthcare Institute Limited,MAXHEALTH,2024-03-28,824.95,827.0,797.3,819.9,802.3,2915768
Max Healthcare Institute Limited,MAXHEALTH,2024-03-27,773.9,812.25,756.05,802.3,775.35,4521190
Max Healthcare Institute Limited,MAXHEALTH,2024-03-26,745.0,783.0,737.5,775.35,739.05,4356667
Max Healthcare Institute Limited,MAXHEALTH,2024-03-22,749.95,749.95,730.2,739.05,748.8,3277615
Max Healthcare Institute Limited,MAXHEALTH,2024-03-21,773.0,773.0,741.0,748.8,757.85,3171469
Max Healthcare Institute Limited,MAXHEALTH,2024-03-20,734.85,763.9,732.6,757.85,734.85,3098570
Max Healthcare Institute Limited,MAXHEALTH,2024-03-19,730.0,738.8,720.9,734.85,730.45,1457609
Max Healthcare Institute Limited,MAXHEALTH,2024-03-18,726.8,736.15,719.45,730.45,726.95,3704848
Max Healthcare Institute Limited,MAXHEALTH,2024-03-15,732.0,738.95,721.3,726.95,732.35,2386791
Max Healthcare Institute Limited,MAXHEALTH,2024-03-14,742.45,746.9,725.4,732.35,744.45,2699327
Max Healthcare Institute Limited,MAXHEALTH,2024-03-13,770.0,773.0,735.0,744.45,768.0,2367867
Max Healthcare Institute Limited,MAXHEALTH,2024-03-12,771.0,771.8,750.8,768.0,765.6,1566168
Max Healthcare Institute Limited,MAXHEALTH,2024-03-11,781.0,787.65,752.25,765.6,750.15,4521321
Max Healthcare Institute Limited,MAXHEALTH,2024-03-07,758.6,768.25,742.1,750.15,759.5,2207414
Max Healthcare Institute Limited,MAXHEALTH,2024-03-06,734.5,764.75,727.5,759.5,729.9,4664547
Max Healthcare Institute Limited,MAXHEALTH,2024-03-05,742.05,773.8,725.0,729.9,747.4,9897323
Max Healthcare Institute Limited,MAXHEALTH,2024-03-04,769.0,769.0,727.15,747.4,770.35,10277103
Max Healthcare Institute Limited,MAXHEALTH,2024-03-02,737.0,773.55,737.0,770.35,736.75,389814
Max Healthcare Institute Limited,MAXHEALTH,2024-03-01,786.6,786.6,706.45,736.75,793.35,20868068
Max Healthcare Institute Limited,MAXHEALTH,2024-02-29,851.9,856.35,773.3,793.35,851.55,12329497
Max Healthcare Institute Limited,MAXHEALTH,2024-02-28,857.0,868.55,842.0,851.55,849.9,2578836
Max Healthcare Institute Limited,MAXHEALTH,2024-02-27,840.0,861.9,824.0,849.9,835.1,3834883
Max Healthcare Institute Limited,MAXHEALTH,2024-02-26,850.05,862.0,829.3,835.1,851.9,2707416
Max Healthcare Institute Limited,MAXHEALTH,2024-02-23,856.0,859.0,843.95,851.9,857.9,2527769
Max Healthcare Institute Limited,MAXHEALTH,2024-02-22,863.4,867.2,842.55,857.9,854.05,1174562
Max Healthcare Institute Limited,MAXHEALTH,2024-02-21,865.95,869.95,840.45,854.05,866.15,1213900
Max Healthcare Institute Limited,MAXHEALTH,2024-02-20,842.8,869.55,840.0,866.15,842.75,1054960
Max Healthcare Institute Limited,MAXHEALTH,2024-02-19,875.0,875.0,839.0,842.75,865.45,1320301
Max Healthcare Institute Limited,MAXHEALTH,2024-02-16,864.1,872.0,852.8,865.45,864.1,1395652
Max Healthcare Institute Limited,MAXHEALTH,2024-02-15,880.95,880.95,858.65,864.1,879.7,1124585
Max Healthcare Institute Limited,MAXHEALTH,2024-02-14,896.55,896.55,860.5,879.7,899.1,2925047
Max Healthcare Institute Limited,MAXHEALTH,2024-02-13,880.0,910.0,872.1,899.1,875.9,2698960
Max Healthcare Institute Limited,MAXHEALTH,2024-02-12,880.0,897.65,865.95,875.9,874.4,2532944
Max Healthcare Institute Limited,MAXHEALTH,2024-02-09,871.2,883.9,860.0,874.4,862.3,7995614
Max Healthcare Institute Limited,MAXHEALTH,2024-02-08,839.0,878.0,832.35,862.3,832.35,2225158
Max Healthcare Institute Limited,MAXHEALTH,2024-02-07,830.0,844.95,799.6,832.35,821.4,1666580
Max Healthcare Institute Limited,MAXHEALTH,2024-02-06,794.0,828.1,790.25,821.4,789.55,1817434
Max Healthcare Institute Limited,MAXHEALTH,2024-02-05,779.0,794.3,776.0,789.55,766.4,1428938
Max Healthcare Institute Limited,MAXHEALTH,2024-02-02,795.5,795.5,762.15,766.4,803.1,5599059
Max Healthcare Institute Limited,MAXHEALTH,2024-02-01,780.0,812.5,772.25,803.1,780.8,3758898
Max Healthcare Institute Limited,MAXHEALTH,2024-01-31,734.05,797.8,722.2,780.8,736.4,4981773
Max Healthcare Institute Limited,MAXHEALTH,2024-01-30,730.0,755.6,723.95,736.4,725.15,2330223
Max Healthcare Institute Limited,MAXHEALTH,2024-01-29,696.7,731.35,694.8,725.15,732.5,2966004
Max Healthcare Institute Limited,MAXHEALTH,2024-01-25,738.0,752.25,715.1,732.5,737.05,2656478
Max Healthcare Institute Limited,MAXHEALTH,2024-01-24,767.05,779.65,728.3,737.05,776.05,8408539
Max Healthcare Institute Limited,MAXHEALTH,2024-01-23,757.0,804.65,750.45,776.05,748.9,4986823
Max Healthcare Institute Limited,MAXHEALTH,2024-01-20,739.0,758.0,733.7,748.9,731.8,396997
Max Healthcare Institute Limited,MAXHEALTH,2024-01-19,715.0,738.4,711.3,731.8,704.9,4643725
Max Healthcare Institute Limited,MAXHEALTH,2024-01-18,719.1,724.85,699.5,704.9,731.85,6894521
Max Healthcare Institute Limited,MAXHEALTH,2024-01-17,711.0,742.5,705.0,731.85,718.2,2519522
Max Healthcare Institute Limited,MAXHEALTH,2024-01-16,732.0,738.0,709.85,718.2,727.8,1671115
Max Healthcare Institute Limited,MAXHEALTH,2024-01-15,725.0,739.75,720.3,727.8,737.45,1528224
