StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Multi Commodity Exchange of India Limited,MCX,2024-03-28,3365.25,3394.65,3315.6,3349.6,3356.8,331733
Multi Commodity Exchange of India Limited,MCX,2024-03-27,3393.95,3410.0,3330.05,3356.8,3361.9,266292
Multi Commodity Exchange of India Limited,MCX,2024-03-26,3316.25,3382.0,3308.9,3361.9,3336.85,367194
Multi Commodity Exchange of India Limited,MCX,2024-03-22,3277.0,3360.85,3260.05,3336.85,3279.55,419006
Multi Commodity Exchange of India Limited,MCX,2024-03-21,3233.3,3300.7,3225.05,3279.55,3205.15,421781
Multi Commodity Exchange of India Limited,MCX,2024-03-20,3200.0,3231.0,3174.0,3205.15,3178.55,364861
Multi Commodity Exchange of India Limited,MCX,2024-03-19,3208.0,3233.7,3170.25,3178.55,3195.1,323315
Multi Commodity Exchange of India Limited,MCX,2024-03-18,3220.0,3273.95,3150.0,3195.1,3258.55,583559
Multi Commodity Exchange of India Limited,MCX,2024-03-15,3183.3,3277.45,3075.25,3258.55,3216.15,787839
Multi Commodity Exchange of India Limited,MCX,2024-03-14,3210.1,3265.85,3155.1,3216.15,3210.6,595219
Multi Commodity Exchange of India Limited,MCX,2024-03-13,3446.35,3493.7,3175.0,3210.6,3446.35,762374
Multi Commodity Exchange of India Limited,MCX,2024-03-12,3555.5,3576.95,3430.8,3446.35,3532.75,348176
Multi Commodity Exchange of India Limited,MCX,2024-03-11,3616.95,3628.35,3511.1,3532.75,3616.95,213718
Multi Commodity Exchange of India Limited,MCX,2024-03-07,3540.0,3625.0,3495.0,3616.95,3515.4,542988
Multi Commodity Exchange of India Limited,MCX,2024-03-06,3598.35,3598.35,3458.0,3515.4,3575.95,534523
Multi Commodity Exchange of India Limited,MCX,2024-03-05,3708.0,3736.75,3565.0,3575.95,3707.7,336655
Multi Commodity Exchange of India Limited,MCX,2024-03-04,3840.0,3844.0,3691.05,3707.7,3826.35,269358
Multi Commodity Exchange of India Limited,MCX,2024-03-02,3839.95,3857.9,3819.9,3826.35,3819.75,19747
Multi Commodity Exchange of India Limited,MCX,2024-03-01,3835.0,3877.85,3800.05,3819.75,3763.8,722853
Multi Commodity Exchange of India Limited,MCX,2024-02-29,3677.9,3788.9,3640.0,3763.8,3660.05,546431
Multi Commodity Exchange of India Limited,MCX,2024-02-28,3731.7,3758.0,3650.0,3660.05,3720.25,342279
Multi Commodity Exchange of India Limited,MCX,2024-02-27,3664.9,3749.9,3652.5,3720.25,3663.6,655889
Multi Commodity Exchange of India Limited,MCX,2024-02-26,3679.95,3705.0,3623.75,3663.6,3676.95,239475
Multi Commodity Exchange of India Limited,MCX,2024-02-23,3687.4,3715.0,3636.0,3676.95,3668.0,211545
Multi Commodity Exchange of India Limited,MCX,2024-02-22,3687.0,3687.0,3606.55,3668.0,3653.95,343942
Multi Commodity Exchange of India Limited,MCX,2024-02-21,3733.55,3756.0,3635.65,3653.95,3708.05,515145
Multi Commodity Exchange of India Limited,MCX,2024-02-20,3715.0,3766.0,3691.05,3708.05,3708.9,450944
Multi Commodity Exchange of India Limited,MCX,2024-02-19,3614.0,3724.95,3593.05,3708.9,3584.75,592782
Multi Commodity Exchange of India Limited,MCX,2024-02-16,3488.0,3626.05,3435.7,3584.75,3454.05,796661
Multi Commodity Exchange of India Limited,MCX,2024-02-15,3398.0,3498.0,3351.45,3454.05,3357.9,557746
Multi Commodity Exchange of India Limited,MCX,2024-02-14,3393.3,3416.65,3292.0,3357.9,3418.35,1007306
Multi Commodity Exchange of India Limited,MCX,2024-02-13,3488.85,3569.85,3370.0,3418.35,3488.95,1203322
Multi Commodity Exchange of India Limited,MCX,2024-02-12,3785.0,3785.0,3455.55,3488.95,3829.9,1372099
Multi Commodity Exchange of India Limited,MCX,2024-02-09,3900.2,3990.0,3752.1,3829.9,3880.2,700501
Multi Commodity Exchange of India Limited,MCX,2024-02-08,3824.1,3898.1,3785.0,3880.2,3803.75,686140
Multi Commodity Exchange of India Limited,MCX,2024-02-07,3833.0,3938.8,3785.0,3803.75,3809.3,763646
Multi Commodity Exchange of India Limited,MCX,2024-02-06,3878.0,3878.0,3721.0,3809.3,3850.05,766442
Multi Commodity Exchange of India Limited,MCX,2024-02-05,3684.8,3892.0,3610.0,3850.05,3655.1,1416753
Multi Commodity Exchange of India Limited,MCX,2024-02-02,3480.0,3681.8,3455.0,3655.1,3449.95,1285834
Multi Commodity Exchange of India Limited,MCX,2024-02-01,3402.05,3474.45,3359.05,3449.95,3414.05,523206
Multi Commodity Exchange of India Limited,MCX,2024-01-31,3350.0,3421.0,3342.05,3414.05,3345.4,302050
Multi Commodity Exchange of India Limited,MCX,2024-01-30,3438.0,3452.0,3337.95,3345.4,3415.4,378188
Multi Commodity Exchange of India Limited,MCX,2024-01-29,3250.0,3433.3,3226.45,3415.4,3221.1,1332758
Multi Commodity Exchange of India Limited,MCX,2024-01-25,3184.15,3234.0,3110.05,3221.1,3164.65,581218
Multi Commodity Exchange of India Limited,MCX,2024-01-24,3032.25,3184.0,2958.0,3164.65,3032.25,1058232
Multi Commodity Exchange of India Limited,MCX,2024-01-23,3230.0,3232.4,2992.05,3032.25,3207.4,889244
Multi Commodity Exchange of India Limited,MCX,2024-01-20,3216.0,3243.0,3168.9,3207.4,3200.9,296045
Multi Commodity Exchange of India Limited,MCX,2024-01-19,3218.8,3220.05,3168.0,3200.9,3193.35,269418
Multi Commodity Exchange of India Limited,MCX,2024-01-18,3148.0,3233.9,3050.0,3193.35,3148.0,633898
Multi Commodity Exchange of India Limited,MCX,2024-01-17,3130.0,3225.0,3120.0,3148.0,3163.0,466334
Multi Commodity Exchange of India Limited,MCX,2024-01-16,3157.95,3185.0,3110.5,3163.0,3158.95,279567
Multi Commodity Exchange of India Limited,MCX,2024-01-15,3084.0,3193.25,3055.15,3158.95,3059.8,711128
Multi Commodity Exchange of India Limited,MCX,2024-01-12,3188.0,3188.0,2992.85,3059.8,3162.4,767817
Multi Commodity Exchange of India Limited,MCX,2024-01-11,3080.0,3169.8,3075.0,3162.4,3061.55,409263
Multi Commodity Exchange of India Limited,MCX,2024-01-10,3090.0,3113.4,3038.0,3061.55,3077.7,415242
Multi Commodity Exchange of India Limited,MCX,2024-01-09,3190.0,3190.0,3062.4,3077.7,3160.7,435472
Multi Commodity Exchange of India Limited,MCX,2024-01-08,3154.0,3193.5,3145.0,3160.7,3144.45,216428
Multi Commodity Exchange of India Limited,MCX,2024-01-05,3207.0,3220.0,3102.05,3144.45,3181.55,461142
Multi Commodity Exchange of India Limited,MCX,2024-01-04,3185.0,3239.75,3160.0,3181.55,3177.55,394809
Multi Commodity Exchange of India Limited,MCX,2024-01-03,3184.9,3189.5,3140.05,3177.55,3178.05,331804
Multi Commodity Exchange of India Limited,MCX,2024-01-02,3170.05,3231.9,3110.0,3178.05,3169.45,638190
Multi Commodity Exchange of India Limited,MCX,2024-01-01,3195.0,3209.0,3144.0,3169.45,3199.85,326803
Multi Commodity Exchange of India Limited,MCX,2023-12-29,3200.0,3228.0,3167.2,3199.85,3183.8,372822
Multi Commodity Exchange of India Limited,MCX,2023-12-28,3204.9,3220.0,3165.45,3183.8,3188.3,448177
Multi Commodity Exchange of India Limited,MCX,2023-12-27,3165.0,3233.95,3144.0,3188.3,3144.15,755796
Multi Commodity Exchange of India Limited,MCX,2023-12-26,3163.85,3189.0,3123.5,3144.15,3163.85,329585
Multi Commodity Exchange of India Limited,MCX,2023-12-22,3250.05,3256.3,3140.0,3163.85,3217.85,579036
Multi Commodity Exchange of India Limited,MCX,2023-12-21,3090.0,3239.4,3059.25,3217.85,3111.4,790111
Multi Commodity Exchange of India Limited,MCX,2023-12-20,3220.0,3339.95,3090.0,3111.4,3193.25,1122898
Multi Commodity Exchange of India Limited,MCX,2023-12-19,3250.0,3276.6,3185.2,3193.25,3226.1,334975
Multi Commodity Exchange of India Limited,MCX,2023-12-18,3280.0,3281.4,3212.0,3226.1,3273.2,409585
Multi Commodity Exchange of India Limited,MCX,2023-12-15,3284.95,3290.0,3246.25,3273.2,3254.05,478954
Multi Commodity Exchange of India Limited,MCX,2023-12-14,3290.0,3311.0,3232.0,3254.05,3266.4,827543
Multi Commodity Exchange of India Limited,MCX,2023-12-13,3248.0,3277.9,3193.6,3266.4,3227.85,618088
Multi Commodity Exchange of India Limited,MCX,2023-12-12,3269.0,3308.0,3211.0,3227.85,3251.95,775764
Multi Commodity Exchange of India Limited,MCX,2023-12-11,3203.5,3280.0,3192.8,3251.95,3181.55,705874
Multi Commodity Exchange of India Limited,MCX,2023-12-08,3321.0,3344.0,3168.75,3181.55,3310.7,967336
Multi Commodity Exchange of India Limited,MCX,2023-12-07,3185.0,3325.0,3165.0,3310.7,3173.5,1678152
Multi Commodity Exchange of India Limited,MCX,2023-12-06,3200.0,3219.9,3161.0,3173.5,3187.75,618950
Multi Commodity Exchange of India Limited,MCX,2023-12-05,3105.75,3215.0,3090.0,3187.75,3090.15,1134686
Multi Commodity Exchange of India Limited,MCX,2023-12-04,3185.0,3189.5,3063.75,3090.15,3125.15,1030593
Multi Commodity Exchange of India Limited,MCX,2023-12-01,3210.0,3252.95,3110.0,3125.15,3195.35,1348248
Multi Commodity Exchange of India Limited,MCX,2023-11-30,3111.0,3214.0,3045.05,3195.35,3095.45,2300838
Multi Commodity Exchange of India Limited,MCX,2023-11-29,3137.15,3219.0,3065.05,3095.45,3129.65,1630180
Multi Commodity Exchange of India Limited,MCX,2023-11-28,2930.0,3169.55,2930.0,3129.65,2927.35,3876385
Multi Commodity Exchange of India Limited,MCX,2023-11-24,2928.0,2979.95,2913.3,2927.35,2926.3,1071660
Multi Commodity Exchange of India Limited,MCX,2023-11-23,2864.0,2948.9,2848.0,2926.3,2856.9,944732
Multi Commodity Exchange of India Limited,MCX,2023-11-22,2914.95,2915.0,2843.75,2856.9,2905.9,631012
Multi Commodity Exchange of India Limited,MCX,2023-11-21,2893.6,2939.6,2888.15,2905.9,2878.65,660175
Multi Commodity Exchange of India Limited,MCX,2023-11-20,2871.35,2927.6,2841.05,2878.65,2871.35,982159
Multi Commodity Exchange of India Limited,MCX,2023-11-17,2934.0,2970.0,2852.3,2871.35,2966.6,1749746
Multi Commodity Exchange of India Limited,MCX,2023-11-16,2915.0,3030.0,2885.0,2966.6,2907.0,2053927
Multi Commodity Exchange of India Limited,MCX,2023-11-15,2800.0,2952.55,2725.2,2907.0,2774.7,3994944
Multi Commodity Exchange of India Limited,MCX,2023-11-13,2664.05,2785.0,2618.1,2774.7,2671.45,2059017
Multi Commodity Exchange of India Limited,MCX,2023-11-12,2629.9,2704.8,2626.0,2671.45,2603.9,465425
Multi Commodity Exchange of India Limited,MCX,2023-11-10,2452.0,2654.0,2430.05,2603.9,2475.3,3662702
Multi Commodity Exchange of India Limited,MCX,2023-11-09,2561.65,2645.15,2457.0,2475.3,2623.45,2191712
Multi Commodity Exchange of India Limited,MCX,2023-11-08,2628.0,2666.0,2590.45,2623.45,2623.65,967411
Multi Commodity Exchange of India Limited,MCX,2023-11-07,2560.0,2636.0,2530.0,2623.65,2566.15,914200
Multi Commodity Exchange of India Limited,MCX,2023-11-06,2555.0,2584.7,2522.4,2566.15,2545.55,1019770
Multi Commodity Exchange of India Limited,MCX,2023-11-03,2449.0,2600.0,2422.0,2545.55,2425.6,1547098
Multi Commodity Exchange of India Limited,MCX,2023-11-02,2403.0,2447.1,2392.0,2425.6,2387.85,1157666
Multi Commodity Exchange of India Limited,MCX,2023-11-01,2355.0,2406.9,2337.85,2387.85,2330.9,1353736
Multi Commodity Exchange of India Limited,MCX,2023-10-31,2290.0,2363.4,2276.4,2330.9,2278.35,1669188
