StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Medplus Health Services Limited,MEDPLUS,2024-03-28,687.0,700.0,678.45,687.85,685.05,401862
Medplus Health Services Limited,MEDPLUS,2024-03-27,680.35,687.9,672.05,685.05,685.0,126709
Medplus Health Services Limited,MEDPLUS,2024-03-26,685.25,699.0,661.0,685.0,687.2,78818
Medplus Health Services Limited,MEDPLUS,2024-03-22,679.45,693.0,679.45,687.2,682.95,75314
Medplus Health Services Limited,MEDPLUS,2024-03-21,679.6,689.4,677.1,682.95,680.5,34555
Medplus Health Services Limited,MEDPLUS,2024-03-20,693.4,696.85,671.55,680.5,683.15,90324
Medplus Health Services Limited,MEDPLUS,2024-03-19,669.6,690.0,666.05,683.15,674.85,95216
Medplus Health Services Limited,MEDPLUS,2024-03-18,650.1,679.45,650.1,674.85,665.55,112093
Medplus Health Services Limited,MEDPLUS,2024-03-15,663.1,684.0,653.9,665.55,666.5,119642
Medplus Health Services Limited,MEDPLUS,2024-03-14,666.55,680.5,656.55,666.5,665.25,92711
Medplus Health Services Limited,MEDPLUS,2024-03-13,670.0,680.55,660.15,665.25,675.35,162766
Medplus Health Services Limited,MEDPLUS,2024-03-12,685.55,694.9,664.35,675.35,682.75,208250
Medplus Health Services Limited,MEDPLUS,2024-03-11,696.0,696.95,681.05,682.75,696.25,98397
Medplus Health Services Limited,MEDPLUS,2024-03-07,703.7,710.0,689.55,696.25,699.85,133569
Medplus Health Services Limited,MEDPLUS,2024-03-06,692.1,704.0,676.85,699.85,692.3,180184
Medplus Health Services Limited,MEDPLUS,2024-03-05,696.75,700.0,677.3,692.3,696.8,96149
Medplus Health Services Limited,MEDPLUS,2024-03-04,699.65,703.95,690.0,696.8,692.3,53307
Medplus Health Services Limited,MEDPLUS,2024-03-02,699.9,706.35,682.4,692.3,696.25,7651
Medplus Health Services Limited,MEDPLUS,2024-03-01,699.35,700.05,692.6,696.25,696.15,78149
Medplus Health Services Limited,MEDPLUS,2024-02-29,697.95,712.95,689.0,696.15,695.75,200016
Medplus Health Services Limited,MEDPLUS,2024-02-28,692.0,707.55,690.75,695.75,701.8,63706
Medplus Health Services Limited,MEDPLUS,2024-02-27,700.0,705.5,691.05,701.8,700.5,83287
Medplus Health Services Limited,MEDPLUS,2024-02-26,694.9,716.45,690.0,700.5,688.9,147523
Medplus Health Services Limited,MEDPLUS,2024-02-23,693.65,712.5,683.5,688.9,690.4,241125
Medplus Health Services Limited,MEDPLUS,2024-02-22,705.6,705.65,682.2,690.4,699.95,122615
Medplus Health Services Limited,MEDPLUS,2024-02-21,706.05,722.25,692.5,699.95,711.85,242613
Medplus Health Services Limited,MEDPLUS,2024-02-20,713.0,727.0,704.55,711.85,713.0,743015
Medplus Health Services Limited,MEDPLUS,2024-02-19,688.0,719.0,680.8,713.0,680.8,484640
Medplus Health Services Limited,MEDPLUS,2024-02-16,632.35,689.0,630.0,680.8,636.75,883696
Medplus Health Services Limited,MEDPLUS,2024-02-15,603.0,639.8,603.0,636.75,602.95,1064243
Medplus Health Services Limited,MEDPLUS,2024-02-14,612.4,613.85,598.6,602.95,612.4,192440
