StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Metro Brands Limited,METROBRAND,2024-03-28,1157.0,1160.45,1136.0,1153.95,1142.35,136046
Metro Brands Limited,METROBRAND,2024-03-27,1152.95,1162.0,1127.45,1142.35,1135.2,165517
Metro Brands Limited,METROBRAND,2024-03-26,1130.35,1144.0,1119.1,1135.2,1122.05,149595
Metro Brands Limited,METROBRAND,2024-03-22,1163.0,1199.9,1108.05,1122.05,1130.15,1670161
Metro Brands Limited,METROBRAND,2024-03-21,1200.0,1213.8,1120.0,1130.15,1175.15,1575457
Metro Brands Limited,METROBRAND,2024-03-20,1034.4,1238.5,1034.4,1175.15,1032.25,3891925
Metro Brands Limited,METROBRAND,2024-03-19,1045.2,1057.95,1027.95,1032.25,1045.1,84848
Metro Brands Limited,METROBRAND,2024-03-18,1088.0,1090.7,1040.0,1045.1,1078.75,109952
Metro Brands Limited,METROBRAND,2024-03-15,1038.0,1112.0,1030.2,1078.75,1038.95,1489592
Metro Brands Limited,METROBRAND,2024-03-14,1038.0,1069.7,1016.05,1038.95,1041.3,397573
Metro Brands Limited,METROBRAND,2024-03-13,1085.25,1096.75,1034.0,1041.3,1080.55,245907
Metro Brands Limited,METROBRAND,2024-03-12,1115.7,1122.75,1076.9,1080.55,1113.9,144588
Metro Brands Limited,METROBRAND,2024-03-11,1132.0,1141.0,1109.25,1113.9,1134.3,139183
Metro Brands Limited,METROBRAND,2024-03-07,1127.9,1141.6,1127.9,1134.3,1127.9,55182
Metro Brands Limited,METROBRAND,2024-03-06,1134.0,1140.3,1105.0,1127.9,1133.85,124167
Metro Brands Limited,METROBRAND,2024-03-05,1135.4,1143.45,1123.55,1133.85,1126.2,293845
Metro Brands Limited,METROBRAND,2024-03-04,1135.05,1156.65,1117.95,1126.2,1130.55,156078
Metro Brands Limited,METROBRAND,2024-03-02,1145.95,1149.95,1126.0,1130.55,1145.95,3372
Metro Brands Limited,METROBRAND,2024-03-01,1133.4,1159.0,1124.95,1145.95,1139.1,81989
Metro Brands Limited,METROBRAND,2024-02-29,1120.9,1144.6,1120.0,1139.1,1125.75,81833
Metro Brands Limited,METROBRAND,2024-02-28,1129.0,1135.0,1106.8,1125.75,1125.0,377791
Metro Brands Limited,METROBRAND,2024-02-27,1154.9,1162.05,1118.0,1125.0,1147.1,150693
Metro Brands Limited,METROBRAND,2024-02-26,1148.8,1163.75,1132.15,1147.1,1138.85,164117
Metro Brands Limited,METROBRAND,2024-02-23,1131.55,1147.0,1122.55,1138.85,1131.55,119566
Metro Brands Limited,METROBRAND,2024-02-22,1125.0,1141.6,1101.05,1131.55,1120.55,117785
Metro Brands Limited,METROBRAND,2024-02-21,1153.5,1164.95,1108.45,1120.55,1150.85,213517
Metro Brands Limited,METROBRAND,2024-02-20,1182.0,1182.0,1125.9,1150.85,1177.95,259814
Metro Brands Limited,METROBRAND,2024-02-19,1126.35,1183.2,1113.85,1177.95,1123.35,282457
Metro Brands Limited,METROBRAND,2024-02-16,1095.9,1127.6,1090.3,1123.35,1095.15,104984
Metro Brands Limited,METROBRAND,2024-02-15,1113.0,1138.0,1087.0,1095.15,1111.3,216991
Metro Brands Limited,METROBRAND,2024-02-14,1090.9,1118.7,1081.65,1111.3,1104.3,149591
Metro Brands Limited,METROBRAND,2024-02-13,1100.3,1118.0,1069.0,1104.3,1100.2,216011
Metro Brands Limited,METROBRAND,2024-02-12,1105.0,1110.7,1086.0,1100.2,1100.15,135247
Metro Brands Limited,METROBRAND,2024-02-09,1100.0,1106.95,1079.0,1100.15,1103.6,113837
