StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Mahindra Holidays & Resorts India Limited,MHRIL,2024-03-28,389.0,408.9,380.55,392.25,389.7,269656
Mahindra Holidays & Resorts India Limited,MHRIL,2024-03-27,396.8,402.75,387.5,389.7,395.4,246309
Mahindra Holidays & Resorts India Limited,MHRIL,2024-03-26,395.0,401.9,391.05,395.4,393.75,96282
Mahindra Holidays & Resorts India Limited,MHRIL,2024-03-22,393.05,399.8,390.05,393.75,393.95,58125
Mahindra Holidays & Resorts India Limited,MHRIL,2024-03-21,387.5,397.3,385.2,393.95,382.6,190555
Mahindra Holidays & Resorts India Limited,MHRIL,2024-03-20,375.95,390.0,369.95,382.6,373.85,97212
Mahindra Holidays & Resorts India Limited,MHRIL,2024-03-19,380.3,382.4,370.65,373.85,378.4,69729
Mahindra Holidays & Resorts India Limited,MHRIL,2024-03-18,379.4,386.5,375.1,378.4,383.0,136025
Mahindra Holidays & Resorts India Limited,MHRIL,2024-03-15,385.9,388.45,379.1,383.0,383.45,40737
Mahindra Holidays & Resorts India Limited,MHRIL,2024-03-14,378.75,389.9,374.55,383.45,379.0,130033
Mahindra Holidays & Resorts India Limited,MHRIL,2024-03-13,389.5,391.9,368.0,379.0,388.85,277727
Mahindra Holidays & Resorts India Limited,MHRIL,2024-03-12,397.65,400.2,383.05,388.85,395.65,191176
Mahindra Holidays & Resorts India Limited,MHRIL,2024-03-11,406.3,408.05,393.45,395.65,404.05,79441
Mahindra Holidays & Resorts India Limited,MHRIL,2024-03-07,409.6,412.25,402.35,404.05,407.55,68302
Mahindra Holidays & Resorts India Limited,MHRIL,2024-03-06,410.7,419.25,398.0,407.55,408.7,240767
Mahindra Holidays & Resorts India Limited,MHRIL,2024-03-05,409.8,415.0,403.5,408.7,409.8,132668
Mahindra Holidays & Resorts India Limited,MHRIL,2024-03-04,417.5,418.0,408.4,409.8,418.25,105964
Mahindra Holidays & Resorts India Limited,MHRIL,2024-03-02,410.85,422.8,409.2,418.25,410.85,28014
