StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Minda Corporation Limited,MINDACORP,2024-03-28,417.95,424.95,415.0,417.7,414.7,257939
Minda Corporation Limited,MINDACORP,2024-03-27,405.45,418.0,405.45,414.7,404.85,260563
Minda Corporation Limited,MINDACORP,2024-03-26,403.9,407.0,400.6,404.85,404.9,276468
Minda Corporation Limited,MINDACORP,2024-03-22,400.35,408.0,398.4,404.9,401.5,185090
Minda Corporation Limited,MINDACORP,2024-03-21,397.0,403.15,393.1,401.5,393.85,211915
Minda Corporation Limited,MINDACORP,2024-03-20,384.0,396.3,380.4,393.85,383.55,363974
Minda Corporation Limited,MINDACORP,2024-03-19,381.0,387.05,379.0,383.55,380.4,260953
Minda Corporation Limited,MINDACORP,2024-03-18,371.5,385.95,365.85,380.4,378.75,419471
Minda Corporation Limited,MINDACORP,2024-03-15,380.05,385.35,372.65,378.75,378.15,253003
Minda Corporation Limited,MINDACORP,2024-03-14,380.0,388.6,366.85,378.15,382.5,827399
Minda Corporation Limited,MINDACORP,2024-03-13,403.95,407.4,380.05,382.5,405.6,465422
Minda Corporation Limited,MINDACORP,2024-03-12,406.05,409.9,399.4,405.6,409.75,207095
Minda Corporation Limited,MINDACORP,2024-03-11,411.0,416.65,406.0,409.75,415.65,181694
Minda Corporation Limited,MINDACORP,2024-03-07,408.7,423.4,408.7,415.65,416.85,230342
Minda Corporation Limited,MINDACORP,2024-03-06,426.9,428.4,409.25,416.85,425.8,459693
Minda Corporation Limited,MINDACORP,2024-03-05,425.6,432.5,422.0,425.8,428.6,248386
Minda Corporation Limited,MINDACORP,2024-03-04,430.95,431.6,423.0,428.6,431.25,142612
Minda Corporation Limited,MINDACORP,2024-03-02,427.4,435.0,424.25,431.25,424.45,56840
Minda Corporation Limited,MINDACORP,2024-03-01,420.75,434.0,420.05,424.45,420.7,314597
Minda Corporation Limited,MINDACORP,2024-02-29,421.95,426.8,416.1,420.7,423.1,316744
Minda Corporation Limited,MINDACORP,2024-02-28,431.3,431.5,416.55,423.1,429.4,595100
Minda Corporation Limited,MINDACORP,2024-02-27,432.5,433.95,426.0,429.4,432.75,170281
Minda Corporation Limited,MINDACORP,2024-02-26,434.5,438.7,430.65,432.75,433.35,247115
Minda Corporation Limited,MINDACORP,2024-02-23,430.0,434.55,426.4,433.35,433.85,341209
Minda Corporation Limited,MINDACORP,2024-02-22,434.8,436.0,425.4,433.85,430.4,484448
Minda Corporation Limited,MINDACORP,2024-02-21,430.9,435.0,419.9,430.4,427.5,688009
Minda Corporation Limited,MINDACORP,2024-02-20,444.9,449.95,424.4,427.5,425.75,2071532
Minda Corporation Limited,MINDACORP,2024-02-19,425.55,442.15,422.2,425.75,406.25,2102733
Minda Corporation Limited,MINDACORP,2024-02-16,400.0,429.9,400.0,406.25,404.0,1422358
Minda Corporation Limited,MINDACORP,2024-02-15,412.4,413.05,402.0,404.0,409.75,445571
Minda Corporation Limited,MINDACORP,2024-02-14,392.05,417.75,392.05,409.75,405.2,498475
Minda Corporation Limited,MINDACORP,2024-02-13,396.9,408.3,386.1,405.2,399.15,654080
Minda Corporation Limited,MINDACORP,2024-02-12,404.0,418.0,393.05,399.15,399.8,722702
Minda Corporation Limited,MINDACORP,2024-02-09,407.95,409.25,395.55,399.8,406.7,244640
Minda Corporation Limited,MINDACORP,2024-02-08,409.75,412.55,405.3,406.7,408.55,285343
Minda Corporation Limited,MINDACORP,2024-02-07,416.35,419.95,407.1,408.55,414.4,248713
Minda Corporation Limited,MINDACORP,2024-02-06,411.15,415.75,404.3,414.4,409.1,449014
Minda Corporation Limited,MINDACORP,2024-02-05,407.25,415.85,402.0,409.1,404.95,533405
