StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Samvardhana Motherson International Limited,MOTHERSON,2024-03-28,118.0,118.2,116.75,117.1,117.3,12210496
Samvardhana Motherson International Limited,MOTHERSON,2024-03-28,118.55,118.55,117.0,117.1,117.3,2
Samvardhana Motherson International Limited,MOTHERSON,2024-03-27,117.7,118.35,116.65,117.3,117.25,8752288
Samvardhana Motherson International Limited,MOTHERSON,2024-03-26,114.3,117.8,114.3,117.25,116.3,10057156
Samvardhana Motherson International Limited,MOTHERSON,2024-03-22,116.5,116.8,114.7,116.3,115.25,15070589
Samvardhana Motherson International Limited,MOTHERSON,2024-03-21,113.55,116.05,113.1,115.25,112.1,25270564
Samvardhana Motherson International Limited,MOTHERSON,2024-03-20,111.9,112.95,110.15,112.1,111.15,12588314
Samvardhana Motherson International Limited,MOTHERSON,2024-03-19,112.8,113.9,110.8,111.15,112.85,12813038
Samvardhana Motherson International Limited,MOTHERSON,2024-03-18,112.8,113.35,111.4,112.85,111.35,11823565
Samvardhana Motherson International Limited,MOTHERSON,2024-03-15,112.5,113.6,109.35,111.35,112.5,23884376
Samvardhana Motherson International Limited,MOTHERSON,2024-03-14,108.5,112.95,108.3,112.5,110.2,16665581
Samvardhana Motherson International Limited,MOTHERSON,2024-03-13,116.0,116.45,107.5,110.2,116.0,31316694
Samvardhana Motherson International Limited,MOTHERSON,2024-03-12,117.05,117.65,115.05,116.0,116.3,17008353
Samvardhana Motherson International Limited,MOTHERSON,2024-03-11,118.9,118.9,114.9,116.3,118.95,22796650
Samvardhana Motherson International Limited,MOTHERSON,2024-03-07,119.95,121.4,118.5,118.95,120.85,16916136
Samvardhana Motherson International Limited,MOTHERSON,2024-03-06,123.8,123.8,117.85,120.85,125.45,463323045
Samvardhana Motherson International Limited,MOTHERSON,2024-03-05,121.55,126.5,119.5,125.45,119.6,44320876
Samvardhana Motherson International Limited,MOTHERSON,2024-03-04,121.0,122.65,119.25,119.6,120.05,18468917
Samvardhana Motherson International Limited,MOTHERSON,2024-03-02,119.85,121.0,119.45,120.05,119.4,2608460
Samvardhana Motherson International Limited,MOTHERSON,2024-03-01,119.35,120.5,117.95,119.4,119.2,17515282
Samvardhana Motherson International Limited,MOTHERSON,2024-02-29,117.35,119.7,116.6,119.2,118.55,25492241
Samvardhana Motherson International Limited,MOTHERSON,2024-02-28,115.9,119.45,114.85,118.55,115.35,30725751
Samvardhana Motherson International Limited,MOTHERSON,2024-02-27,115.95,115.95,114.3,115.35,115.4,8982017
Samvardhana Motherson International Limited,MOTHERSON,2024-02-26,115.85,116.45,114.6,115.4,115.65,5220045
Samvardhana Motherson International Limited,MOTHERSON,2024-02-23,115.7,116.6,113.8,115.65,114.1,10560760
Samvardhana Motherson International Limited,MOTHERSON,2024-02-22,113.6,114.5,110.95,114.1,113.1,8878652
Samvardhana Motherson International Limited,MOTHERSON,2024-02-21,113.5,114.85,112.65,113.1,113.5,11688496
Samvardhana Motherson International Limited,MOTHERSON,2024-02-20,113.7,113.95,111.5,113.5,113.15,7064985
Samvardhana Motherson International Limited,MOTHERSON,2024-02-19,115.0,116.9,113.0,113.15,114.05,7478592
Samvardhana Motherson International Limited,MOTHERSON,2024-02-16,114.4,116.05,113.65,114.05,113.25,10467958
Samvardhana Motherson International Limited,MOTHERSON,2024-02-15,115.7,115.8,112.75,113.25,114.05,11307945
Samvardhana Motherson International Limited,MOTHERSON,2024-02-14,114.65,114.75,112.2,114.05,115.45,15949086
Samvardhana Motherson International Limited,MOTHERSON,2024-02-13,118.4,118.4,109.9,115.45,114.4,27350662
Samvardhana Motherson International Limited,MOTHERSON,2024-02-12,123.05,123.4,109.45,114.4,121.25,20068676
Samvardhana Motherson International Limited,MOTHERSON,2024-02-09,120.5,122.4,117.2,121.25,119.8,13859592
Samvardhana Motherson International Limited,MOTHERSON,2024-02-08,122.9,123.0,119.35,119.8,122.3,9369556
Samvardhana Motherson International Limited,MOTHERSON,2024-02-07,119.65,122.75,116.9,122.3,118.75,17031435
Samvardhana Motherson International Limited,MOTHERSON,2024-02-06,117.4,119.2,116.3,118.75,117.05,10048027
Samvardhana Motherson International Limited,MOTHERSON,2024-02-05,116.8,119.2,115.9,117.05,115.85,10091989
Samvardhana Motherson International Limited,MOTHERSON,2024-02-02,116.05,117.35,115.25,115.85,115.2,9365425
Samvardhana Motherson International Limited,MOTHERSON,2024-02-01,114.2,116.3,113.65,115.2,113.25,17882319
Samvardhana Motherson International Limited,MOTHERSON,2024-01-31,114.5,114.75,112.8,113.25,114.25,11293426
Samvardhana Motherson International Limited,MOTHERSON,2024-01-30,117.3,117.3,113.75,114.25,116.4,10530946
Samvardhana Motherson International Limited,MOTHERSON,2024-01-29,116.25,118.0,114.6,116.4,115.4,22486732
Samvardhana Motherson International Limited,MOTHERSON,2024-01-25,110.4,116.15,109.65,115.4,110.0,44496421
Samvardhana Motherson International Limited,MOTHERSON,2024-01-24,106.05,110.55,104.2,110.0,106.35,20934161
Samvardhana Motherson International Limited,MOTHERSON,2024-01-23,108.75,109.3,105.35,106.35,107.4,29696347
Samvardhana Motherson International Limited,MOTHERSON,2024-01-20,110.35,110.35,107.0,107.4,109.55,7105249
Samvardhana Motherson International Limited,MOTHERSON,2024-01-19,108.65,110.95,108.35,109.55,107.85,11999992
Samvardhana Motherson International Limited,MOTHERSON,2024-01-18,108.0,109.65,104.35,107.85,108.1,16228778
Samvardhana Motherson International Limited,MOTHERSON,2024-01-17,107.0,109.7,106.55,108.1,109.35,17383298
Samvardhana Motherson International Limited,MOTHERSON,2024-01-16,109.65,110.6,107.7,109.35,109.65,19019888
Samvardhana Motherson International Limited,MOTHERSON,2024-01-15,108.0,110.5,107.2,109.65,107.4,24152334
Samvardhana Motherson International Limited,MOTHERSON,2024-01-12,110.85,110.85,107.0,107.4,109.9,24240598
Samvardhana Motherson International Limited,MOTHERSON,2024-01-11,109.7,111.3,109.2,109.9,109.15,36114155
Samvardhana Motherson International Limited,MOTHERSON,2024-01-10,107.0,110.1,105.4,109.15,107.05,25515943
Samvardhana Motherson International Limited,MOTHERSON,2024-01-09,106.75,109.2,106.1,107.05,105.7,34488808
Samvardhana Motherson International Limited,MOTHERSON,2024-01-08,105.55,107.2,103.9,105.7,104.05,32024265
Samvardhana Motherson International Limited,MOTHERSON,2024-01-05,104.3,106.65,103.05,104.05,103.45,24161892
Samvardhana Motherson International Limited,MOTHERSON,2024-01-04,102.2,104.5,102.1,103.45,101.9,21403253
Samvardhana Motherson International Limited,MOTHERSON,2024-01-03,105.5,105.7,101.35,101.9,105.0,22167688
Samvardhana Motherson International Limited,MOTHERSON,2024-01-02,107.9,108.9,103.45,105.0,105.85,22614823
Samvardhana Motherson International Limited,MOTHERSON,2024-01-01,102.8,108.4,102.5,105.85,101.95,52712410
Samvardhana Motherson International Limited,MOTHERSON,2023-12-29,98.25,102.85,97.5,101.95,97.65,68869267
Samvardhana Motherson International Limited,MOTHERSON,2023-12-28,96.85,98.0,95.75,97.65,96.4,11895633
Samvardhana Motherson International Limited,MOTHERSON,2023-12-27,96.5,96.7,95.3,96.4,96.1,10287341
Samvardhana Motherson International Limited,MOTHERSON,2023-12-26,95.0,96.55,94.35,96.1,94.8,12993934
Samvardhana Motherson International Limited,MOTHERSON,2023-12-22,93.05,93.05,93.05,93.05,71.05,1075000
Samvardhana Motherson International Limited,MOTHERSON,2023-12-22,95.1,95.2,93.8,94.8,93.95,7582197
Samvardhana Motherson International Limited,MOTHERSON,2023-12-21,91.0,94.6,90.2,93.95,92.2,10720987
Samvardhana Motherson International Limited,MOTHERSON,2023-12-20,97.0,97.45,91.3,92.2,96.35,13305442
Samvardhana Motherson International Limited,MOTHERSON,2023-12-19,98.55,98.55,96.15,96.35,97.95,10958097
Samvardhana Motherson International Limited,MOTHERSON,2023-12-18,98.6,99.35,97.5,97.95,98.25,8921494
