StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Motilal Oswal Financial Services Limited,MOTILALOFS,2024-03-28,1686.0,1701.15,1656.0,1666.75,1681.55,141812
Motilal Oswal Financial Services Limited,MOTILALOFS,2024-03-27,1685.35,1694.0,1652.45,1681.55,1666.75,119287
Motilal Oswal Financial Services Limited,MOTILALOFS,2024-03-26,1659.2,1694.45,1656.0,1666.75,1672.2,110488
Motilal Oswal Financial Services Limited,MOTILALOFS,2024-03-22,1613.6,1682.9,1613.5,1672.2,1605.8,123537
Motilal Oswal Financial Services Limited,MOTILALOFS,2024-03-21,1598.0,1654.9,1572.0,1605.8,1581.0,187269
Motilal Oswal Financial Services Limited,MOTILALOFS,2024-03-20,1497.05,1615.2,1456.5,1581.0,1497.8,283678
Motilal Oswal Financial Services Limited,MOTILALOFS,2024-03-19,1463.0,1510.0,1459.3,1497.8,1459.75,123990
Motilal Oswal Financial Services Limited,MOTILALOFS,2024-03-18,1480.5,1499.0,1425.0,1459.75,1480.5,124795
Motilal Oswal Financial Services Limited,MOTILALOFS,2024-03-15,1477.85,1495.0,1421.0,1480.5,1484.7,188330
Motilal Oswal Financial Services Limited,MOTILALOFS,2024-03-14,1392.5,1509.0,1381.45,1484.7,1400.9,169615
Motilal Oswal Financial Services Limited,MOTILALOFS,2024-03-13,1521.55,1543.95,1387.1,1400.9,1521.0,232318
Motilal Oswal Financial Services Limited,MOTILALOFS,2024-03-12,1531.0,1552.75,1500.05,1521.0,1521.15,164594
Motilal Oswal Financial Services Limited,MOTILALOFS,2024-03-11,1596.1,1603.5,1514.95,1521.15,1580.0,159007
Motilal Oswal Financial Services Limited,MOTILALOFS,2024-03-07,1631.25,1645.95,1560.0,1580.0,1629.25,247685
Motilal Oswal Financial Services Limited,MOTILALOFS,2024-03-06,1699.0,1699.0,1606.0,1629.25,1703.95,226732
Motilal Oswal Financial Services Limited,MOTILALOFS,2024-03-05,1735.0,1741.95,1690.3,1703.95,1718.75,73921
Motilal Oswal Financial Services Limited,MOTILALOFS,2024-03-04,1673.65,1735.0,1641.55,1718.75,1672.55,114791
Motilal Oswal Financial Services Limited,MOTILALOFS,2024-03-02,1664.0,1690.0,1664.0,1672.55,1655.3,13121
Motilal Oswal Financial Services Limited,MOTILALOFS,2024-03-01,1629.85,1667.0,1629.85,1655.3,1615.05,89977
Motilal Oswal Financial Services Limited,MOTILALOFS,2024-02-29,1628.05,1648.85,1581.75,1615.05,1624.65,247259
Motilal Oswal Financial Services Limited,MOTILALOFS,2024-02-28,1758.35,1765.85,1612.0,1624.65,1737.35,224423
Motilal Oswal Financial Services Limited,MOTILALOFS,2024-02-27,1655.15,1759.0,1652.5,1737.35,1655.15,196420
Motilal Oswal Financial Services Limited,MOTILALOFS,2024-02-26,1671.5,1707.0,1647.0,1655.15,1671.5,108708
Motilal Oswal Financial Services Limited,MOTILALOFS,2024-02-23,1673.35,1689.95,1651.1,1671.5,1658.35,75983
Motilal Oswal Financial Services Limited,MOTILALOFS,2024-02-22,1685.45,1689.5,1640.4,1658.35,1680.45,112969
Motilal Oswal Financial Services Limited,MOTILALOFS,2024-02-21,1764.9,1772.95,1666.3,1680.45,1757.3,168925
Motilal Oswal Financial Services Limited,MOTILALOFS,2024-02-20,1762.0,1774.5,1731.05,1757.3,1755.45,79877
Motilal Oswal Financial Services Limited,MOTILALOFS,2024-02-19,1830.05,1830.05,1750.1,1755.45,1838.55,208287
Motilal Oswal Financial Services Limited,MOTILALOFS,2024-02-16,1825.6,1875.05,1823.0,1838.55,1809.2,89813
Motilal Oswal Financial Services Limited,MOTILALOFS,2024-02-15,1815.0,1859.95,1802.0,1809.2,1801.25,92132
Motilal Oswal Financial Services Limited,MOTILALOFS,2024-02-14,1770.0,1827.75,1751.05,1801.25,1770.45,131080
Motilal Oswal Financial Services Limited,MOTILALOFS,2024-02-13,1832.0,1832.0,1705.25,1770.45,1815.75,155960
Motilal Oswal Financial Services Limited,MOTILALOFS,2024-02-12,1865.0,1907.95,1783.35,1815.75,1866.05,132164
Motilal Oswal Financial Services Limited,MOTILALOFS,2024-02-09,1916.0,1928.8,1800.0,1866.05,1904.4,207369
Motilal Oswal Financial Services Limited,MOTILALOFS,2024-02-08,1797.7,1938.25,1796.25,1904.4,1788.0,419927
Motilal Oswal Financial Services Limited,MOTILALOFS,2024-02-07,1770.6,1831.5,1762.45,1788.0,1770.65,192185
Motilal Oswal Financial Services Limited,MOTILALOFS,2024-02-06,1749.95,1800.0,1734.0,1770.65,1753.4,159599
Motilal Oswal Financial Services Limited,MOTILALOFS,2024-02-05,1778.0,1800.0,1740.0,1753.4,1769.85,128719
Motilal Oswal Financial Services Limited,MOTILALOFS,2024-02-02,1814.7,1834.0,1761.0,1769.85,1808.5,146282
Motilal Oswal Financial Services Limited,MOTILALOFS,2024-02-01,1827.95,1839.7,1774.3,1808.5,1788.4,255458
Motilal Oswal Financial Services Limited,MOTILALOFS,2024-01-31,1760.0,1794.0,1734.65,1788.4,1744.75,278018
Motilal Oswal Financial Services Limited,MOTILALOFS,2024-01-30,1760.05,1785.95,1736.1,1744.75,1756.7,271676
Motilal Oswal Financial Services Limited,MOTILALOFS,2024-01-29,1745.0,1778.0,1693.0,1756.7,1732.05,351016
Motilal Oswal Financial Services Limited,MOTILALOFS,2024-01-25,1750.0,1784.7,1713.25,1732.05,1712.35,1081048
Motilal Oswal Financial Services Limited,MOTILALOFS,2024-01-24,1544.0,1860.6,1522.2,1712.35,1550.5,1901553
Motilal Oswal Financial Services Limited,MOTILALOFS,2024-01-23,1602.55,1622.9,1523.65,1550.5,1572.5,293175
Motilal Oswal Financial Services Limited,MOTILALOFS,2024-01-20,1603.0,1625.0,1561.0,1572.5,1590.25,145934
Motilal Oswal Financial Services Limited,MOTILALOFS,2024-01-19,1530.55,1625.0,1527.5,1590.25,1523.55,642749
Motilal Oswal Financial Services Limited,MOTILALOFS,2024-01-18,1495.0,1547.9,1381.35,1523.55,1505.4,445173
Motilal Oswal Financial Services Limited,MOTILALOFS,2024-01-17,1472.35,1527.0,1455.2,1505.4,1485.15,278356
Motilal Oswal Financial Services Limited,MOTILALOFS,2024-01-16,1540.0,1547.0,1450.0,1485.15,1541.65,502044
Motilal Oswal Financial Services Limited,MOTILALOFS,2024-01-15,1557.0,1602.0,1526.45,1541.65,1557.2,332681
Motilal Oswal Financial Services Limited,MOTILALOFS,2024-01-12,1527.0,1589.0,1509.0,1557.2,1524.6,937770
Motilal Oswal Financial Services Limited,MOTILALOFS,2024-01-11,1406.4,1547.0,1406.4,1524.6,1406.35,1412059
Motilal Oswal Financial Services Limited,MOTILALOFS,2024-01-10,1390.0,1419.0,1356.3,1406.35,1378.95,371669
Motilal Oswal Financial Services Limited,MOTILALOFS,2024-01-09,1342.6,1400.0,1342.6,1378.95,1328.85,617642
Motilal Oswal Financial Services Limited,MOTILALOFS,2024-01-08,1301.95,1350.0,1300.4,1328.85,1301.95,366031
Motilal Oswal Financial Services Limited,MOTILALOFS,2024-01-05,1305.0,1325.0,1282.6,1301.95,1287.65,242986
Motilal Oswal Financial Services Limited,MOTILALOFS,2024-01-04,1252.0,1327.85,1251.0,1287.65,1242.35,866683
Motilal Oswal Financial Services Limited,MOTILALOFS,2024-01-03,1240.0,1253.0,1233.4,1242.35,1239.8,114018
Motilal Oswal Financial Services Limited,MOTILALOFS,2024-01-02,1260.1,1266.35,1226.0,1239.8,1260.05,160712
Motilal Oswal Financial Services Limited,MOTILALOFS,2024-01-01,1240.85,1262.5,1226.0,1260.05,1240.85,169397
Motilal Oswal Financial Services Limited,MOTILALOFS,2023-12-29,1217.3,1243.2,1217.3,1240.85,1216.3,263399
Motilal Oswal Financial Services Limited,MOTILALOFS,2023-12-28,1225.0,1229.0,1212.0,1216.3,1210.85,210827
Motilal Oswal Financial Services Limited,MOTILALOFS,2023-12-27,1260.25,1269.55,1190.55,1210.85,1254.85,315322
Motilal Oswal Financial Services Limited,MOTILALOFS,2023-12-26,1277.0,1278.8,1235.0,1254.85,1266.45,295493
Motilal Oswal Financial Services Limited,MOTILALOFS,2023-12-22,1280.0,1284.2,1261.0,1266.45,1268.65,124633
Motilal Oswal Financial Services Limited,MOTILALOFS,2023-12-21,1215.0,1273.95,1207.55,1268.65,1232.05,218544
Motilal Oswal Financial Services Limited,MOTILALOFS,2023-12-20,1290.0,1298.5,1222.25,1232.05,1282.5,409233
Motilal Oswal Financial Services Limited,MOTILALOFS,2023-12-19,1235.05,1291.05,1230.7,1282.5,1240.6,514567
Motilal Oswal Financial Services Limited,MOTILALOFS,2023-12-18,1212.9,1250.8,1199.1,1240.6,1212.85,273225
Motilal Oswal Financial Services Limited,MOTILALOFS,2023-12-15,1270.0,1272.2,1205.05,1212.85,1271.45,326145
Motilal Oswal Financial Services Limited,MOTILALOFS,2023-12-14,1232.0,1281.0,1225.05,1271.45,1224.75,467146
Motilal Oswal Financial Services Limited,MOTILALOFS,2023-12-13,1230.0,1286.15,1204.05,1224.75,1217.15,664658
Motilal Oswal Financial Services Limited,MOTILALOFS,2023-12-12,1203.0,1234.5,1196.05,1217.15,1196.05,270903
Motilal Oswal Financial Services Limited,MOTILALOFS,2023-12-11,1200.0,1211.95,1179.05,1196.05,1196.5,168907
Motilal Oswal Financial Services Limited,MOTILALOFS,2023-12-08,1216.7,1227.85,1170.0,1196.5,1216.3,174297
Motilal Oswal Financial Services Limited,MOTILALOFS,2023-12-07,1220.0,1239.8,1198.0,1216.3,1214.8,259931
Motilal Oswal Financial Services Limited,MOTILALOFS,2023-12-06,1210.0,1230.0,1196.0,1214.8,1208.3,276723
Motilal Oswal Financial Services Limited,MOTILALOFS,2023-12-05,1196.0,1223.5,1191.05,1208.3,1188.25,192497
Motilal Oswal Financial Services Limited,MOTILALOFS,2023-12-04,1220.0,1220.0,1174.65,1188.25,1189.95,167935
Motilal Oswal Financial Services Limited,MOTILALOFS,2023-12-01,1213.2,1223.85,1181.95,1189.95,1201.1,184355
Motilal Oswal Financial Services Limited,MOTILALOFS,2023-11-30,1161.05,1210.25,1160.0,1201.1,1155.25,412705
Motilal Oswal Financial Services Limited,MOTILALOFS,2023-11-29,1155.0,1164.0,1141.1,1155.25,1149.1,225305
Motilal Oswal Financial Services Limited,MOTILALOFS,2023-11-28,1135.0,1163.0,1128.6,1149.1,1129.5,296222
Motilal Oswal Financial Services Limited,MOTILALOFS,2023-11-24,1131.2,1138.6,1121.0,1129.5,1127.25,106490
Motilal Oswal Financial Services Limited,MOTILALOFS,2023-11-23,1133.15,1158.0,1120.05,1127.25,1124.8,289539
Motilal Oswal Financial Services Limited,MOTILALOFS,2023-11-22,1200.0,1200.0,1109.15,1124.8,1199.75,505147
Motilal Oswal Financial Services Limited,MOTILALOFS,2023-11-21,1204.7,1208.55,1172.1,1199.75,1194.85,181668
Motilal Oswal Financial Services Limited,MOTILALOFS,2023-11-20,1227.8,1229.7,1190.25,1194.85,1217.0,253697
Motilal Oswal Financial Services Limited,MOTILALOFS,2023-11-17,1220.0,1243.9,1202.5,1217.0,1235.95,389418
Motilal Oswal Financial Services Limited,MOTILALOFS,2023-11-16,1229.65,1265.0,1176.25,1235.95,1223.85,1168830
Motilal Oswal Financial Services Limited,MOTILALOFS,2023-11-15,1157.95,1238.0,1142.2,1223.85,1130.6,1729568
Motilal Oswal Financial Services Limited,MOTILALOFS,2023-11-13,1050.6,1147.9,1033.0,1130.6,1046.5,1561314
Motilal Oswal Financial Services Limited,MOTILALOFS,2023-11-12,1039.9,1051.05,1028.0,1046.5,1026.7,78880
Motilal Oswal Financial Services Limited,MOTILALOFS,2023-11-10,1030.0,1048.5,1018.8,1026.7,1031.95,147327
Motilal Oswal Financial Services Limited,MOTILALOFS,2023-11-09,1019.9,1049.35,1015.05,1031.95,1011.75,221558
Motilal Oswal Financial Services Limited,MOTILALOFS,2023-11-08,1033.0,1059.4,1005.05,1011.75,1032.1,236771
Motilal Oswal Financial Services Limited,MOTILALOFS,2023-11-07,998.1,1045.45,998.1,1032.1,999.2,356902
Motilal Oswal Financial Services Limited,MOTILALOFS,2023-11-06,1010.05,1022.4,990.55,999.2,1010.05,243538
Motilal Oswal Financial Services Limited,MOTILALOFS,2023-11-03,995.0,1024.2,982.05,1010.05,981.8,288554
Motilal Oswal Financial Services Limited,MOTILALOFS,2023-11-02,1018.0,1037.1,964.0,981.8,1013.8,677429
Motilal Oswal Financial Services Limited,MOTILALOFS,2023-11-01,1049.0,1094.0,990.2,1013.8,1038.05,1875293
Motilal Oswal Financial Services Limited,MOTILALOFS,2023-10-31,1010.0,1066.9,1003.05,1038.05,1014.95,820832
Motilal Oswal Financial Services Limited,MOTILALOFS,2023-10-30,971.5,1026.95,967.0,1014.95,969.85,350637
Motilal Oswal Financial Services Limited,MOTILALOFS,2023-10-27,927.55,975.0,927.55,969.85,926.8,184249
Motilal Oswal Financial Services Limited,MOTILALOFS,2023-10-26,949.85,949.85,905.0,926.8,949.85,197391
Motilal Oswal Financial Services Limited,MOTILALOFS,2023-10-25,967.7,967.7,902.05,949.85,921.65,562894
Motilal Oswal Financial Services Limited,MOTILALOFS,2023-10-23,977.15,990.95,917.05,921.65,980.95,271080
Motilal Oswal Financial Services Limited,MOTILALOFS,2023-10-20,999.0,1013.3,977.3,980.95,1000.2,122646
Motilal Oswal Financial Services Limited,MOTILALOFS,2023-10-19,995.0,1010.0,988.35,1000.2,1001.0,130080
Motilal Oswal Financial Services Limited,MOTILALOFS,2023-10-18,1017.8,1025.0,992.05,1001.0,1019.35,202643
Motilal Oswal Financial Services Limited,MOTILALOFS,2023-10-17,991.2,1039.65,991.15,1019.35,986.05,385399
Motilal Oswal Financial Services Limited,MOTILALOFS,2023-10-16,983.0,999.2,973.2,986.05,983.95,183386
Motilal Oswal Financial Services Limited,MOTILALOFS,2023-10-13,1000.0,1012.0,978.55,983.95,1003.75,288097
Motilal Oswal Financial Services Limited,MOTILALOFS,2023-10-12,939.9,1025.6,934.0,1003.75,929.95,1256558
Motilal Oswal Financial Services Limited,MOTILALOFS,2023-10-11,905.2,934.0,905.2,929.95,909.15,153097
Motilal Oswal Financial Services Limited,MOTILALOFS,2023-10-10,909.0,923.7,901.3,909.15,898.45,77569
Motilal Oswal Financial Services Limited,MOTILALOFS,2023-10-09,919.05,919.95,890.0,898.45,924.65,142780
Motilal Oswal Financial Services Limited,MOTILALOFS,2023-10-06,935.3,948.5,917.65,924.65,935.3,257954
Motilal Oswal Financial Services Limited,MOTILALOFS,2023-10-05,892.2,941.9,890.75,935.3,895.65,325314
Motilal Oswal Financial Services Limited,MOTILALOFS,2023-10-04,917.0,918.5,885.05,895.65,917.25,98441
Motilal Oswal Financial Services Limited,MOTILALOFS,2023-10-03,876.0,923.05,865.2,917.25,878.85,283032
Motilal Oswal Financial Services Limited,MOTILALOFS,2023-09-29,878.8,887.3,873.0,878.85,875.95,44606
Motilal Oswal Financial Services Limited,MOTILALOFS,2023-09-28,887.7,891.5,866.4,875.95,881.5,132106
Motilal Oswal Financial Services Limited,MOTILALOFS,2023-09-27,859.0,893.0,855.55,881.5,858.75,180270
Motilal Oswal Financial Services Limited,MOTILALOFS,2023-09-26,853.3,868.0,845.75,858.75,852.85,108727
Motilal Oswal Financial Services Limited,MOTILALOFS,2023-09-25,855.05,860.8,846.8,852.85,854.6,49115
Motilal Oswal Financial Services Limited,MOTILALOFS,2023-09-22,853.2,860.4,841.3,854.6,852.65,63707
Motilal Oswal Financial Services Limited,MOTILALOFS,2023-09-21,869.2,870.1,851.0,852.65,869.75,77968
Motilal Oswal Financial Services Limited,MOTILALOFS,2023-09-20,879.45,883.4,860.0,869.75,879.45,92623
Motilal Oswal Financial Services Limited,MOTILALOFS,2023-09-18,861.95,885.85,854.75,879.45,852.75,166135
Motilal Oswal Financial Services Limited,MOTILALOFS,2023-09-15,877.8,885.65,848.0,852.75,876.45,615733
Motilal Oswal Financial Services Limited,MOTILALOFS,2023-09-14,877.6,897.0,874.0,876.45,873.9,103040
Motilal Oswal Financial Services Limited,MOTILALOFS,2023-09-13,888.9,894.75,860.6,873.9,882.0,155665
Motilal Oswal Financial Services Limited,MOTILALOFS,2023-09-12,916.0,931.75,873.45,882.0,909.7,218455
Motilal Oswal Financial Services Limited,MOTILALOFS,2023-09-11,894.5,913.0,881.4,909.7,881.4,198545
Motilal Oswal Financial Services Limited,MOTILALOFS,2023-09-08,903.3,908.6,878.3,881.4,899.4,173442
Motilal Oswal Financial Services Limited,MOTILALOFS,2023-09-07,907.8,912.0,894.0,899.4,903.0,65764
Motilal Oswal Financial Services Limited,MOTILALOFS,2023-09-05,906.1,913.0,883.1,894.3,906.1,110041
Motilal Oswal Financial Services Limited,MOTILALOFS,2023-09-01,922.0,922.0,902.6,908.7,919.95,108656
Motilal Oswal Financial Services Limited,MOTILALOFS,2023-08-31,901.7,924.9,891.6,919.95,900.0,159670
Motilal Oswal Financial Services Limited,MOTILALOFS,2023-08-30,884.2,905.05,884.2,900.0,879.55,105019
Motilal Oswal Financial Services Limited,MOTILALOFS,2023-08-29,867.3,884.0,865.2,879.55,865.4,97603
Motilal Oswal Financial Services Limited,MOTILALOFS,2023-08-28,882.8,886.95,860.0,865.4,882.8,104151
Motilal Oswal Financial Services Limited,MOTILALOFS,2023-08-25,888.0,910.0,868.9,882.8,892.45,127453
Motilal Oswal Financial Services Limited,MOTILALOFS,2023-08-24,898.85,909.0,890.4,892.45,898.0,57028
