StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
MphasiS Limited,MPHASIS,2024-03-28,2421.0,2421.0,2376.95,2388.05,2407.0,380516
MphasiS Limited,MPHASIS,2024-03-27,2392.95,2448.0,2382.0,2407.0,2377.4,526025
MphasiS Limited,MPHASIS,2024-03-26,2377.8,2405.75,2364.0,2377.4,2389.4,548700
MphasiS Limited,MPHASIS,2024-03-22,2367.0,2408.0,2306.0,2389.4,2436.85,885281
MphasiS Limited,MPHASIS,2024-03-21,2424.0,2454.35,2400.25,2436.85,2384.65,332097
MphasiS Limited,MPHASIS,2024-03-20,2380.5,2425.0,2366.55,2384.65,2387.8,444932
MphasiS Limited,MPHASIS,2024-03-19,2460.0,2469.6,2371.0,2387.8,2461.85,320135
MphasiS Limited,MPHASIS,2024-03-18,2490.0,2518.0,2449.0,2461.85,2487.85,550690
MphasiS Limited,MPHASIS,2024-03-15,2469.05,2502.0,2455.85,2487.85,2482.55,404952
MphasiS Limited,MPHASIS,2024-03-14,2365.0,2498.9,2335.05,2482.55,2375.3,961391
MphasiS Limited,MPHASIS,2024-03-13,2439.05,2460.8,2348.05,2375.3,2426.35,531757
MphasiS Limited,MPHASIS,2024-03-12,2461.0,2503.5,2419.55,2426.35,2469.7,524536
MphasiS Limited,MPHASIS,2024-03-11,2519.0,2519.0,2442.05,2469.7,2492.85,552199
MphasiS Limited,MPHASIS,2024-03-07,2555.0,2556.6,2485.9,2492.85,2523.2,283798
MphasiS Limited,MPHASIS,2024-03-06,2534.7,2534.7,2461.0,2523.2,2544.2,447965
MphasiS Limited,MPHASIS,2024-03-05,2602.5,2608.65,2530.0,2544.2,2600.6,285581
MphasiS Limited,MPHASIS,2024-03-04,2657.0,2657.0,2590.9,2600.6,2657.3,501243
MphasiS Limited,MPHASIS,2024-03-02,2648.0,2670.0,2612.55,2657.3,2617.25,44888
MphasiS Limited,MPHASIS,2024-03-01,2621.0,2660.75,2600.0,2617.25,2617.35,316488
MphasiS Limited,MPHASIS,2024-02-29,2653.9,2654.9,2581.4,2617.35,2653.9,603665
MphasiS Limited,MPHASIS,2024-02-28,2705.0,2736.5,2622.0,2653.9,2688.9,371605
MphasiS Limited,MPHASIS,2024-02-27,2676.95,2699.9,2647.8,2688.9,2676.95,373642
MphasiS Limited,MPHASIS,2024-02-26,2725.0,2725.0,2628.0,2676.95,2727.6,1081304
MphasiS Limited,MPHASIS,2024-02-23,2739.0,2785.0,2720.0,2727.6,2698.45,373872
MphasiS Limited,MPHASIS,2024-02-22,2680.9,2723.95,2655.35,2698.45,2654.35,765173
MphasiS Limited,MPHASIS,2024-02-21,2766.95,2782.15,2640.0,2654.35,2764.85,400996
MphasiS Limited,MPHASIS,2024-02-20,2779.35,2822.0,2729.7,2764.85,2779.35,332331
MphasiS Limited,MPHASIS,2024-02-19,2820.0,2837.6,2752.0,2779.35,2801.95,743014
MphasiS Limited,MPHASIS,2024-02-16,2708.6,2818.7,2696.1,2801.95,2708.6,1103339
MphasiS Limited,MPHASIS,2024-02-15,2574.0,2725.0,2574.0,2708.6,2559.85,1010278
MphasiS Limited,MPHASIS,2024-02-14,2604.7,2604.7,2521.55,2559.85,2628.55,460554
MphasiS Limited,MPHASIS,2024-02-13,2614.7,2632.95,2552.1,2628.55,2601.0,188101
MphasiS Limited,MPHASIS,2024-02-12,2580.0,2652.5,2580.0,2601.0,2589.3,1173812
MphasiS Limited,MPHASIS,2024-02-09,2580.0,2648.0,2550.55,2589.3,2597.5,413772
MphasiS Limited,MPHASIS,2024-02-08,2608.0,2659.85,2587.1,2597.5,2590.95,429043
MphasiS Limited,MPHASIS,2024-02-07,2592.2,2610.0,2545.0,2590.95,2578.65,390384
MphasiS Limited,MPHASIS,2024-02-06,2498.0,2592.4,2472.0,2578.65,2500.65,885293
MphasiS Limited,MPHASIS,2024-02-05,2560.0,2560.0,2492.05,2500.65,2560.2,814978
MphasiS Limited,MPHASIS,2024-02-02,2525.0,2637.3,2520.05,2560.2,2600.15,2414696
MphasiS Limited,MPHASIS,2024-02-01,2594.0,2630.0,2558.0,2600.15,2598.5,558575
MphasiS Limited,MPHASIS,2024-01-31,2587.0,2602.05,2551.85,2598.5,2603.5,300418
MphasiS Limited,MPHASIS,2024-01-30,2598.9,2638.65,2575.0,2603.5,2582.7,1047150
MphasiS Limited,MPHASIS,2024-01-29,2522.4,2597.4,2515.1,2582.7,2522.4,557540
MphasiS Limited,MPHASIS,2024-01-25,2574.95,2584.9,2492.3,2522.4,2565.75,534988
MphasiS Limited,MPHASIS,2024-01-24,2533.2,2600.0,2502.0,2565.75,2533.2,234273
MphasiS Limited,MPHASIS,2024-01-23,2600.0,2600.0,2511.4,2533.2,2586.55,293638
MphasiS Limited,MPHASIS,2024-01-20,2560.0,2616.4,2560.0,2586.55,2549.05,330534
MphasiS Limited,MPHASIS,2024-01-19,2542.9,2572.35,2515.0,2549.05,2514.1,435734
MphasiS Limited,MPHASIS,2024-01-18,2615.0,2615.0,2480.6,2514.1,2627.0,692100
MphasiS Limited,MPHASIS,2024-01-17,2555.0,2643.3,2549.95,2627.0,2603.5,379998
MphasiS Limited,MPHASIS,2024-01-16,2613.0,2638.95,2586.2,2603.5,2625.85,691337
MphasiS Limited,MPHASIS,2024-01-15,2725.0,2762.85,2596.85,2625.85,2679.6,1442698
MphasiS Limited,MPHASIS,2024-01-12,2620.0,2738.0,2611.3,2679.6,2578.8,1571702
MphasiS Limited,MPHASIS,2024-01-11,2579.95,2597.7,2561.8,2578.8,2559.4,274861
MphasiS Limited,MPHASIS,2024-01-10,2564.0,2579.0,2518.0,2559.4,2555.55,474287
MphasiS Limited,MPHASIS,2024-01-09,2623.6,2644.7,2547.4,2555.55,2579.8,268767
MphasiS Limited,MPHASIS,2024-01-08,2620.0,2634.9,2558.65,2579.8,2637.55,380035
MphasiS Limited,MPHASIS,2024-01-05,2601.95,2682.0,2601.95,2637.55,2598.65,395701
MphasiS Limited,MPHASIS,2024-01-04,2591.95,2641.0,2581.5,2598.65,2578.7,535052
MphasiS Limited,MPHASIS,2024-01-03,2653.0,2658.95,2571.0,2578.7,2673.35,646613
MphasiS Limited,MPHASIS,2024-01-02,2736.0,2750.7,2653.85,2673.35,2736.85,355638
MphasiS Limited,MPHASIS,2024-01-01,2740.0,2775.0,2721.0,2736.85,2739.75,252020
MphasiS Limited,MPHASIS,2023-12-29,2731.0,2788.5,2706.05,2739.75,2728.55,428126
MphasiS Limited,MPHASIS,2023-12-28,2715.0,2739.6,2705.65,2728.55,2739.7,567882
MphasiS Limited,MPHASIS,2023-12-27,2734.75,2758.25,2699.4,2739.7,2714.05,617837
MphasiS Limited,MPHASIS,2023-12-26,2745.0,2752.8,2694.35,2714.05,2738.4,555288
MphasiS Limited,MPHASIS,2023-12-22,2660.0,2764.2,2636.0,2738.4,2644.35,581801
MphasiS Limited,MPHASIS,2023-12-21,2575.0,2651.9,2567.95,2644.35,2623.8,214168
MphasiS Limited,MPHASIS,2023-12-20,2680.0,2723.65,2599.0,2623.8,2674.55,700630
MphasiS Limited,MPHASIS,2023-12-19,2680.05,2689.75,2626.45,2674.55,2680.05,583786
MphasiS Limited,MPHASIS,2023-12-18,2658.9,2719.95,2605.75,2680.05,2658.9,1133495
MphasiS Limited,MPHASIS,2023-12-15,2600.0,2677.8,2577.0,2658.9,2601.0,1714328
MphasiS Limited,MPHASIS,2023-12-14,2461.1,2620.0,2460.25,2601.0,2425.65,2057224
MphasiS Limited,MPHASIS,2023-12-13,2445.0,2445.9,2384.0,2425.65,2433.1,290960
MphasiS Limited,MPHASIS,2023-12-12,2446.0,2464.65,2422.45,2433.1,2433.2,270763
MphasiS Limited,MPHASIS,2023-12-11,2439.0,2470.95,2422.0,2433.2,2427.05,484192
MphasiS Limited,MPHASIS,2023-12-08,2410.0,2455.0,2402.0,2427.05,2396.25,529468
MphasiS Limited,MPHASIS,2023-12-07,2388.0,2417.6,2340.0,2396.25,2384.35,584528
MphasiS Limited,MPHASIS,2023-12-06,2351.0,2404.9,2350.65,2384.35,2343.9,698387
MphasiS Limited,MPHASIS,2023-12-05,2365.05,2383.7,2325.55,2343.9,2371.3,327395
MphasiS Limited,MPHASIS,2023-12-04,2380.0,2402.2,2361.95,2371.3,2375.2,344086
MphasiS Limited,MPHASIS,2023-12-01,2366.95,2385.0,2340.0,2375.2,2354.65,249951
MphasiS Limited,MPHASIS,2023-11-30,2349.9,2368.5,2328.2,2354.65,2344.85,572518
MphasiS Limited,MPHASIS,2023-11-29,2311.95,2376.35,2305.75,2344.85,2299.8,399458
MphasiS Limited,MPHASIS,2023-11-28,2334.95,2334.95,2273.4,2299.8,2319.4,561736
MphasiS Limited,MPHASIS,2023-11-24,2350.2,2364.7,2287.0,2319.4,2352.35,118966
MphasiS Limited,MPHASIS,2023-11-23,2354.95,2376.25,2335.0,2352.35,2351.95,445931
MphasiS Limited,MPHASIS,2023-11-22,2335.0,2381.95,2330.0,2351.95,2336.1,336105
MphasiS Limited,MPHASIS,2023-11-21,2367.45,2371.75,2319.4,2336.1,2349.45,261045
MphasiS Limited,MPHASIS,2023-11-20,2329.75,2368.9,2314.5,2349.45,2325.4,369610
MphasiS Limited,MPHASIS,2023-11-17,2365.55,2370.7,2312.65,2325.4,2365.55,232706
MphasiS Limited,MPHASIS,2023-11-16,2269.05,2394.0,2252.0,2365.55,2269.05,996633
MphasiS Limited,MPHASIS,2023-11-15,2216.95,2272.55,2210.05,2269.05,2151.4,1140405
MphasiS Limited,MPHASIS,2023-11-13,2209.0,2214.55,2144.1,2151.4,2208.85,616964
MphasiS Limited,MPHASIS,2023-11-12,2209.0,2219.0,2202.2,2208.85,2202.2,15168
MphasiS Limited,MPHASIS,2023-11-10,2187.4,2206.0,2173.4,2202.2,2193.65,279561
MphasiS Limited,MPHASIS,2023-11-09,2187.95,2199.4,2181.05,2193.65,2182.2,80818
MphasiS Limited,MPHASIS,2023-11-08,2210.0,2218.4,2176.1,2182.2,2202.3,651524
MphasiS Limited,MPHASIS,2023-11-07,2192.0,2208.0,2183.3,2202.3,2191.7,116702
MphasiS Limited,MPHASIS,2023-11-06,2220.0,2222.9,2182.05,2191.7,2210.2,584057
MphasiS Limited,MPHASIS,2023-11-03,2200.0,2215.0,2192.0,2210.2,2187.7,190656
MphasiS Limited,MPHASIS,2023-11-02,2169.0,2195.0,2160.0,2187.7,2142.15,258257
MphasiS Limited,MPHASIS,2023-11-01,2134.6,2163.5,2122.15,2142.15,2123.4,136042
MphasiS Limited,MPHASIS,2023-10-31,2159.0,2166.05,2117.55,2123.4,2144.95,101591
MphasiS Limited,MPHASIS,2023-10-30,2127.0,2153.2,2104.0,2144.95,2114.3,526663
MphasiS Limited,MPHASIS,2023-10-27,2110.95,2145.0,2106.35,2114.3,2105.35,348807
MphasiS Limited,MPHASIS,2023-10-26,2110.05,2119.95,2069.1,2105.35,2127.6,751490
MphasiS Limited,MPHASIS,2023-10-25,2130.0,2162.95,2122.0,2127.6,2121.15,460043
MphasiS Limited,MPHASIS,2023-10-23,2172.0,2211.95,2111.05,2121.15,2169.75,1011372
MphasiS Limited,MPHASIS,2023-10-20,2205.0,2317.5,2133.7,2169.75,2260.7,1454070
MphasiS Limited,MPHASIS,2023-10-19,2250.55,2310.0,2228.3,2260.7,2255.2,676044
MphasiS Limited,MPHASIS,2023-10-18,2292.0,2303.0,2241.35,2255.2,2290.75,428758
MphasiS Limited,MPHASIS,2023-10-17,2369.95,2371.9,2287.4,2290.75,2359.5,756678
MphasiS Limited,MPHASIS,2023-10-16,2360.0,2386.3,2348.0,2359.5,2376.2,332215
MphasiS Limited,MPHASIS,2023-10-13,2424.65,2461.45,2350.0,2376.2,2455.85,721304
MphasiS Limited,MPHASIS,2023-10-12,2465.05,2504.9,2445.0,2455.85,2464.1,353126
MphasiS Limited,MPHASIS,2023-10-11,2483.0,2545.9,2459.0,2464.1,2480.2,571092
MphasiS Limited,MPHASIS,2023-10-10,2477.05,2492.0,2453.75,2480.2,2475.0,232512
MphasiS Limited,MPHASIS,2023-10-09,2461.6,2499.0,2454.0,2475.0,2491.0,365316
MphasiS Limited,MPHASIS,2023-10-06,2478.95,2496.5,2456.5,2491.0,2471.2,551243
MphasiS Limited,MPHASIS,2023-10-05,2440.1,2480.05,2420.05,2471.2,2427.3,495274
MphasiS Limited,MPHASIS,2023-10-04,2367.0,2460.0,2344.75,2427.3,2379.75,591301
MphasiS Limited,MPHASIS,2023-10-03,2376.6,2385.0,2326.0,2379.75,2376.6,275795
MphasiS Limited,MPHASIS,2023-09-29,2398.4,2415.75,2342.3,2376.6,2385.8,317769
MphasiS Limited,MPHASIS,2023-09-28,2466.75,2479.25,2366.0,2385.8,2470.0,301535
MphasiS Limited,MPHASIS,2023-09-27,2441.05,2475.45,2435.0,2470.0,2441.45,217869
MphasiS Limited,MPHASIS,2023-09-26,2492.5,2492.5,2414.0,2441.45,2493.4,435785
MphasiS Limited,MPHASIS,2023-09-25,2480.0,2520.0,2473.3,2493.4,2486.0,565639
MphasiS Limited,MPHASIS,2023-09-22,2467.1,2495.6,2447.1,2486.0,2488.1,172477
MphasiS Limited,MPHASIS,2023-09-21,2468.8,2495.0,2456.4,2488.1,2482.7,187645
MphasiS Limited,MPHASIS,2023-09-20,2470.95,2497.75,2451.85,2482.7,2484.0,234752
MphasiS Limited,MPHASIS,2023-09-18,2481.05,2500.0,2455.0,2484.0,2493.15,211576
MphasiS Limited,MPHASIS,2023-09-15,2470.0,2528.55,2470.0,2493.15,2461.95,618418
MphasiS Limited,MPHASIS,2023-09-14,2447.95,2517.55,2447.95,2461.95,2445.1,256894
MphasiS Limited,MPHASIS,2023-09-13,2464.95,2466.7,2417.7,2445.1,2468.2,192012
MphasiS Limited,MPHASIS,2023-09-12,2468.5,2487.25,2406.65,2468.2,2476.45,314442
MphasiS Limited,MPHASIS,2023-09-11,2466.95,2489.9,2456.85,2476.45,2466.15,147558
MphasiS Limited,MPHASIS,2023-09-08,2469.95,2485.0,2442.8,2466.15,2468.45,198731
MphasiS Limited,MPHASIS,2023-09-07,2470.0,2499.15,2452.55,2468.45,2475.75,207780
MphasiS Limited,MPHASIS,2023-09-05,2509.0,2552.0,2483.35,2521.9,2492.4,787166
MphasiS Limited,MPHASIS,2023-09-01,2441.55,2447.45,2415.5,2433.2,2428.8,319368
MphasiS Limited,MPHASIS,2023-08-31,2365.85,2454.0,2352.5,2428.8,2365.85,1054296
MphasiS Limited,MPHASIS,2023-08-30,2328.0,2383.75,2323.1,2365.85,2311.0,534401
MphasiS Limited,MPHASIS,2023-08-29,2326.0,2342.2,2301.25,2311.0,2330.55,569342
MphasiS Limited,MPHASIS,2023-08-28,2404.85,2410.0,2322.25,2330.55,2392.1,647164
MphasiS Limited,MPHASIS,2023-08-25,2453.0,2491.0,2385.05,2392.1,2463.9,510770
MphasiS Limited,MPHASIS,2023-08-24,2374.0,2472.95,2358.15,2463.9,2354.2,1525452
MphasiS Limited,MPHASIS,2023-08-23,2369.0,2384.0,2340.55,2354.2,2368.5,207669
MphasiS Limited,MPHASIS,2023-08-22,2339.9,2373.25,2325.5,2368.5,2316.9,505599
MphasiS Limited,MPHASIS,2023-08-21,2292.0,2365.5,2221.0,2316.9,2291.05,701721
MphasiS Limited,MPHASIS,2023-08-18,2332.8,2332.8,2255.0,2291.05,2339.9,641460
MphasiS Limited,MPHASIS,2023-08-17,2310.0,2351.2,2305.6,2339.9,2314.35,255090
MphasiS Limited,MPHASIS,2023-08-16,2367.55,2387.45,2302.3,2314.35,2367.55,742798
MphasiS Limited,MPHASIS,2023-08-14,2296.0,2375.7,2285.0,2367.55,2329.65,358483
MphasiS Limited,MPHASIS,2023-08-11,2350.0,2369.0,2306.0,2329.65,2348.9,226666
MphasiS Limited,MPHASIS,2023-08-10,2357.95,2378.9,2323.55,2348.9,2363.3,314682
MphasiS Limited,MPHASIS,2023-08-09,2333.0,2368.7,2300.85,2363.3,2340.15,551091
MphasiS Limited,MPHASIS,2023-08-08,2345.5,2380.0,2320.85,2340.15,2330.15,692715
MphasiS Limited,MPHASIS,2023-08-07,2265.5,2342.45,2260.0,2330.15,2263.65,462263
MphasiS Limited,MPHASIS,2023-08-04,2255.0,2279.0,2244.0,2263.65,2236.65,233173
MphasiS Limited,MPHASIS,2023-08-03,2210.0,2242.2,2195.25,2236.65,2208.0,390088
MphasiS Limited,MPHASIS,2023-08-02,2289.05,2289.05,2183.0,2208.0,2294.6,862983
MphasiS Limited,MPHASIS,2023-08-01,2295.0,2321.0,2275.5,2294.6,2294.95,777930
MphasiS Limited,MPHASIS,2023-07-31,2254.95,2300.0,2249.55,2294.95,2250.35,264781
MphasiS Limited,MPHASIS,2023-07-28,2299.15,2299.15,2216.75,2250.35,2280.95,303060
MphasiS Limited,MPHASIS,2023-07-27,2254.45,2322.0,2254.45,2280.95,2254.45,317414
MphasiS Limited,MPHASIS,2023-07-26,2275.0,2316.55,2245.4,2254.45,2268.1,460927
MphasiS Limited,MPHASIS,2023-07-25,2272.6,2300.0,2252.65,2268.1,2272.6,465020
MphasiS Limited,MPHASIS,2023-07-24,2330.85,2330.85,2218.95,2272.6,2330.85,1341158
MphasiS Limited,MPHASIS,2023-07-21,2115.05,2350.0,2112.1,2330.85,2213.9,3363261
MphasiS Limited,MPHASIS,2023-07-20,2171.0,2220.95,2160.0,2213.9,2169.8,936054
MphasiS Limited,MPHASIS,2023-07-19,2125.0,2175.0,2105.05,2169.8,2123.4,690457
MphasiS Limited,MPHASIS,2023-07-18,2136.95,2143.9,2089.95,2123.4,2123.75,720149
MphasiS Limited,MPHASIS,2023-07-17,2095.9,2198.0,2080.05,2123.75,2069.55,2680349
MphasiS Limited,MPHASIS,2023-07-14,1940.0,2079.0,1935.0,2069.55,1922.2,2663627
MphasiS Limited,MPHASIS,2023-07-13,1905.0,1954.8,1901.75,1922.2,1904.0,795780
MphasiS Limited,MPHASIS,2023-07-12,1904.2,1919.1,1889.5,1904.0,1908.85,319792
MphasiS Limited,MPHASIS,2023-07-11,1885.0,1913.3,1880.0,1908.85,1884.6,449393
MphasiS Limited,MPHASIS,2023-07-10,1880.0,1892.45,1850.0,1884.6,1877.5,434173
MphasiS Limited,MPHASIS,2023-07-07,1872.8,1898.7,1861.45,1877.5,1882.75,437357
MphasiS Limited,MPHASIS,2023-07-06,1877.6,1891.2,1872.2,1882.75,1882.05,375110
MphasiS Limited,MPHASIS,2023-07-05,1874.9,1884.45,1853.0,1882.05,1915.55,617494
MphasiS Limited,MPHASIS,2023-07-04,1912.0,1921.9,1900.0,1915.55,1903.35,442884
MphasiS Limited,MPHASIS,2023-07-03,1917.0,1926.85,1891.2,1903.35,1895.05,543978
MphasiS Limited,MPHASIS,2023-06-30,1875.0,1922.0,1850.3,1895.05,1848.8,937648
MphasiS Limited,MPHASIS,2023-06-28,1854.0,1854.0,1834.0,1848.8,1839.25,487241
MphasiS Limited,MPHASIS,2023-06-27,1818.0,1842.0,1813.4,1839.25,1814.0,443340
MphasiS Limited,MPHASIS,2023-06-26,1828.0,1839.05,1807.6,1814.0,1831.05,1020207
MphasiS Limited,MPHASIS,2023-06-23,1854.8,1857.0,1826.3,1831.05,1855.05,347429
MphasiS Limited,MPHASIS,2023-06-22,1865.65,1869.95,1850.1,1855.05,1876.75,517032
MphasiS Limited,MPHASIS,2023-06-21,1880.0,1888.9,1870.0,1876.75,1884.5,249164
MphasiS Limited,MPHASIS,2023-06-20,1873.05,1889.0,1854.3,1884.5,1873.05,589667
MphasiS Limited,MPHASIS,2023-06-19,1867.0,1879.0,1854.15,1873.05,1860.05,263493
MphasiS Limited,MPHASIS,2023-06-16,1855.0,1892.0,1852.1,1860.05,1875.1,666741
MphasiS Limited,MPHASIS,2023-06-15,1880.0,1893.55,1869.15,1875.1,1877.25,259571
MphasiS Limited,MPHASIS,2023-06-14,1890.0,1898.15,1872.75,1877.25,1898.25,219687
MphasiS Limited,MPHASIS,2023-06-13,1899.9,1914.0,1891.0,1898.25,1889.95,215275
MphasiS Limited,MPHASIS,2023-06-12,1856.95,1893.0,1850.0,1889.95,1853.25,325236
MphasiS Limited,MPHASIS,2023-06-09,1870.0,1874.85,1843.0,1853.25,1863.85,374786
MphasiS Limited,MPHASIS,2023-06-08,1906.0,1908.75,1860.0,1863.85,1908.75,589171
MphasiS Limited,MPHASIS,2023-06-07,1923.95,1934.0,1903.25,1908.75,1914.4,489623
MphasiS Limited,MPHASIS,2023-06-06,1947.55,1947.55,1895.0,1914.4,1987.35,906257
MphasiS Limited,MPHASIS,2023-06-05,2025.0,2040.0,1977.3,1987.35,2017.65,575415
MphasiS Limited,MPHASIS,2023-06-02,1997.0,2032.8,1978.65,2017.65,1977.35,650822
MphasiS Limited,MPHASIS,2023-06-01,1955.0,2023.0,1955.0,1977.35,1946.85,778642
MphasiS Limited,MPHASIS,2023-05-31,1965.2,1975.0,1931.35,1946.85,1974.9,1212827
MphasiS Limited,MPHASIS,2023-05-30,1975.5,1985.2,1960.8,1974.9,1967.85,277684
MphasiS Limited,MPHASIS,2023-05-29,1982.2,2000.0,1960.55,1967.85,1974.7,379011
MphasiS Limited,MPHASIS,2023-05-26,1947.55,1992.45,1944.0,1974.7,1933.9,576992
MphasiS Limited,MPHASIS,2023-05-25,1957.0,1957.0,1916.95,1933.9,1947.8,199824
MphasiS Limited,MPHASIS,2023-05-24,1938.0,1954.85,1911.25,1947.8,1944.25,314938
MphasiS Limited,MPHASIS,2023-05-23,1980.0,1995.0,1935.0,1944.25,1968.8,436514
