StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
MRF Limited,MRF,2024-03-28,132889.0,134000.0,132000.5,133387.35,131809.4,10442
MRF Limited,MRF,2024-03-27,132000.0,133843.9,131264.0,131809.4,131645.4,7985
MRF Limited,MRF,2024-03-26,131995.0,132317.35,130700.05,131645.4,131302.95,7707
MRF Limited,MRF,2024-03-22,131700.0,132749.9,130500.0,131302.95,131583.6,11040
MRF Limited,MRF,2024-03-21,132022.0,132969.9,131045.55,131583.6,131512.65,10316
MRF Limited,MRF,2024-03-20,132680.05,134039.05,129614.6,131512.65,132679.75,14354
MRF Limited,MRF,2024-03-19,136990.0,136990.0,132150.15,132679.75,137012.75,13171
MRF Limited,MRF,2024-03-18,141300.0,141300.0,136300.0,137012.75,141312.05,16839
MRF Limited,MRF,2024-03-15,140500.0,142632.8,137545.85,141312.05,140301.7,23415
MRF Limited,MRF,2024-03-14,139100.0,142923.4,138900.0,140301.7,139057.7,7838
MRF Limited,MRF,2024-03-13,142276.65,143500.0,137746.9,139057.7,142276.65,9846
MRF Limited,MRF,2024-03-12,144644.5,144644.5,141600.0,142276.65,144950.7,6303
MRF Limited,MRF,2024-03-11,144500.0,145337.3,143885.7,144950.7,143956.65,10522
MRF Limited,MRF,2024-03-07,145735.9,145735.9,143528.2,143956.65,145740.1,7336
MRF Limited,MRF,2024-03-06,145580.0,146149.95,144000.0,145740.1,145396.25,5515
MRF Limited,MRF,2024-03-05,146499.95,147144.95,145000.0,145396.25,146145.8,4157
MRF Limited,MRF,2024-03-04,145625.0,146800.0,144615.75,146145.8,145393.3,9680
MRF Limited,MRF,2024-03-02,145150.0,146500.0,145001.0,145393.3,145186.0,668
MRF Limited,MRF,2024-03-01,146081.55,147500.0,144100.0,145186.0,146081.55,8313
MRF Limited,MRF,2024-02-29,146300.0,147087.4,144746.7,146081.55,146028.4,58201
MRF Limited,MRF,2024-02-28,147500.0,148500.0,145700.0,146028.4,147149.15,9984
