StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Nippon Life India Asset Management Limited,NAM-INDIA,2024-03-28,468.7,476.0,459.5,471.15,464.85,804648
Nippon Life India Asset Management Limited,NAM-INDIA,2024-03-27,460.0,484.8,460.0,464.85,455.0,1934914
Nippon Life India Asset Management Limited,NAM-INDIA,2024-03-26,451.4,463.35,445.3,455.0,448.65,830275
Nippon Life India Asset Management Limited,NAM-INDIA,2024-03-22,449.05,455.1,444.25,448.65,446.05,504860
Nippon Life India Asset Management Limited,NAM-INDIA,2024-03-21,446.95,461.0,444.9,446.05,441.2,739187
Nippon Life India Asset Management Limited,NAM-INDIA,2024-03-20,437.6,450.35,430.0,441.2,434.75,628266
Nippon Life India Asset Management Limited,NAM-INDIA,2024-03-19,448.75,450.55,431.0,434.75,445.8,630062
Nippon Life India Asset Management Limited,NAM-INDIA,2024-03-18,464.4,466.55,443.05,445.8,464.4,631992
Nippon Life India Asset Management Limited,NAM-INDIA,2024-03-15,475.0,488.7,450.5,464.4,472.5,1648188
Nippon Life India Asset Management Limited,NAM-INDIA,2024-03-14,441.0,479.15,437.8,472.5,445.2,1300869
Nippon Life India Asset Management Limited,NAM-INDIA,2024-03-13,496.3,499.1,432.25,445.2,493.9,1558137
Nippon Life India Asset Management Limited,NAM-INDIA,2024-03-12,504.65,513.4,481.05,493.9,503.65,1142047
Nippon Life India Asset Management Limited,NAM-INDIA,2024-03-11,497.0,509.95,492.5,503.65,492.2,1224603
Nippon Life India Asset Management Limited,NAM-INDIA,2024-03-07,508.9,510.2,490.2,492.2,507.75,912627
Nippon Life India Asset Management Limited,NAM-INDIA,2024-03-06,518.0,520.55,503.2,507.75,515.3,382369
Nippon Life India Asset Management Limited,NAM-INDIA,2024-03-05,513.65,526.55,512.1,515.3,513.65,1100245
Nippon Life India Asset Management Limited,NAM-INDIA,2024-03-04,517.1,521.2,511.6,513.65,516.45,393106
Nippon Life India Asset Management Limited,NAM-INDIA,2024-03-02,516.15,524.7,514.15,516.45,516.1,38250
Nippon Life India Asset Management Limited,NAM-INDIA,2024-03-01,518.4,522.3,508.5,516.1,515.65,821112
Nippon Life India Asset Management Limited,NAM-INDIA,2024-02-29,528.4,532.3,513.0,515.65,527.95,1569275
Nippon Life India Asset Management Limited,NAM-INDIA,2024-02-28,531.45,531.75,521.4,527.95,528.95,877297
Nippon Life India Asset Management Limited,NAM-INDIA,2024-02-27,524.1,542.85,524.05,528.95,521.6,1844340
Nippon Life India Asset Management Limited,NAM-INDIA,2024-02-26,502.0,528.0,502.0,521.6,504.15,1201167
Nippon Life India Asset Management Limited,NAM-INDIA,2024-02-23,503.0,507.5,495.2,504.15,499.95,416643
