StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Natco Pharma Limited,NATCOPHARM,2024-03-28,975.4,979.0,945.0,952.05,973.5,495457
Natco Pharma Limited,NATCOPHARM,2024-03-27,964.15,995.4,962.0,973.5,958.5,950812
Natco Pharma Limited,NATCOPHARM,2024-03-26,955.0,973.0,952.2,958.5,952.05,542290
Natco Pharma Limited,NATCOPHARM,2024-03-22,957.0,966.5,949.0,952.05,952.75,376364
Natco Pharma Limited,NATCOPHARM,2024-03-21,963.0,978.05,949.5,952.75,950.05,696569
Natco Pharma Limited,NATCOPHARM,2024-03-20,964.0,964.0,943.0,950.05,951.2,259370
Natco Pharma Limited,NATCOPHARM,2024-03-19,954.7,983.35,947.5,951.2,948.95,776822
Natco Pharma Limited,NATCOPHARM,2024-03-18,960.0,964.75,939.9,948.95,955.7,454486
Natco Pharma Limited,NATCOPHARM,2024-03-15,984.95,984.95,950.0,955.7,977.4,531923
Natco Pharma Limited,NATCOPHARM,2024-03-14,938.0,988.95,931.05,977.4,933.45,736140
Natco Pharma Limited,NATCOPHARM,2024-03-13,969.0,1005.3,928.0,933.45,967.9,1154973
Natco Pharma Limited,NATCOPHARM,2024-03-12,1013.0,1016.5,957.65,967.9,1012.7,750597
Natco Pharma Limited,NATCOPHARM,2024-03-11,1020.1,1028.9,1006.0,1012.7,1015.4,405616
Natco Pharma Limited,NATCOPHARM,2024-03-07,1029.5,1039.2,1007.55,1015.4,1020.2,685591
Natco Pharma Limited,NATCOPHARM,2024-03-06,980.85,1030.0,975.0,1020.2,982.85,2764993
Natco Pharma Limited,NATCOPHARM,2024-03-05,994.0,995.6,979.1,982.85,994.8,293094
Natco Pharma Limited,NATCOPHARM,2024-03-04,999.65,1042.95,991.25,994.8,993.65,908830
Natco Pharma Limited,NATCOPHARM,2024-03-02,988.2,1000.0,985.0,993.65,982.75,54796
Natco Pharma Limited,NATCOPHARM,2024-03-01,999.55,1007.7,978.1,982.75,995.05,443289
Natco Pharma Limited,NATCOPHARM,2024-02-29,983.5,1004.0,972.05,995.05,983.5,574573
Natco Pharma Limited,NATCOPHARM,2024-02-28,1010.0,1014.8,970.0,983.5,1006.1,490926
Natco Pharma Limited,NATCOPHARM,2024-02-27,1026.0,1027.95,990.1,1006.1,1026.05,339995
Natco Pharma Limited,NATCOPHARM,2024-02-26,1006.0,1030.0,1006.0,1026.05,1027.7,288636
Natco Pharma Limited,NATCOPHARM,2024-02-23,1012.05,1033.9,1007.0,1027.7,1008.9,521596
Natco Pharma Limited,NATCOPHARM,2024-02-22,1026.0,1035.0,998.55,1008.9,1024.0,942229
Natco Pharma Limited,NATCOPHARM,2024-02-21,1039.0,1049.0,1020.0,1024.0,1041.15,799597
Natco Pharma Limited,NATCOPHARM,2024-02-20,1064.45,1080.0,1032.2,1041.15,1064.45,3102666
Natco Pharma Limited,NATCOPHARM,2024-02-19,1040.0,1108.35,1036.5,1064.45,1026.5,4741771
Natco Pharma Limited,NATCOPHARM,2024-02-16,891.0,1051.0,889.85,1026.5,887.1,14634622
Natco Pharma Limited,NATCOPHARM,2024-02-15,899.0,914.8,883.0,887.1,884.8,1456064
Natco Pharma Limited,NATCOPHARM,2024-02-14,855.0,909.0,848.05,884.8,856.9,2675111
Natco Pharma Limited,NATCOPHARM,2024-02-13,837.0,864.9,829.6,856.9,833.5,411955
Natco Pharma Limited,NATCOPHARM,2024-02-12,847.0,847.0,828.0,833.5,839.8,237235
Natco Pharma Limited,NATCOPHARM,2024-02-09,860.0,865.0,833.0,839.8,856.65,296222
Natco Pharma Limited,NATCOPHARM,2024-02-08,864.8,869.35,850.0,856.65,859.25,326172
Natco Pharma Limited,NATCOPHARM,2024-02-07,869.4,871.7,855.95,859.25,864.8,261786
Natco Pharma Limited,NATCOPHARM,2024-02-06,872.0,879.0,863.8,864.8,869.3,408118
Natco Pharma Limited,NATCOPHARM,2024-02-05,867.0,872.1,862.1,869.3,858.85,368323
Natco Pharma Limited,NATCOPHARM,2024-02-02,875.95,877.9,855.05,858.85,869.3,320211
Natco Pharma Limited,NATCOPHARM,2024-02-01,872.0,883.9,863.7,869.3,865.8,591977
Natco Pharma Limited,NATCOPHARM,2024-01-31,874.95,885.5,862.4,865.8,870.4,543968
Natco Pharma Limited,NATCOPHARM,2024-01-30,882.0,885.0,867.0,870.4,880.0,497000
Natco Pharma Limited,NATCOPHARM,2024-01-29,876.0,883.0,873.1,880.0,869.8,512610
Natco Pharma Limited,NATCOPHARM,2024-01-25,864.85,874.9,860.3,869.8,859.2,599073
Natco Pharma Limited,NATCOPHARM,2024-01-24,843.9,872.0,842.25,859.2,840.2,1257350
Natco Pharma Limited,NATCOPHARM,2024-01-23,833.0,847.9,833.0,840.2,828.85,627481
Natco Pharma Limited,NATCOPHARM,2024-01-20,837.0,838.0,825.0,828.85,835.15,194845
Natco Pharma Limited,NATCOPHARM,2024-01-19,834.5,839.4,831.05,835.15,827.6,249530
Natco Pharma Limited,NATCOPHARM,2024-01-18,818.0,829.9,805.0,827.6,818.3,525545
Natco Pharma Limited,NATCOPHARM,2024-01-17,831.0,837.0,816.85,818.3,831.85,401541
Natco Pharma Limited,NATCOPHARM,2024-01-16,848.5,851.9,826.3,831.85,848.5,423160
Natco Pharma Limited,NATCOPHARM,2024-01-15,852.5,858.0,845.5,848.5,852.1,368072
Natco Pharma Limited,NATCOPHARM,2024-01-12,853.8,861.9,846.5,852.1,847.8,492946
Natco Pharma Limited,NATCOPHARM,2024-01-11,845.25,850.5,841.0,847.8,840.7,255300
Natco Pharma Limited,NATCOPHARM,2024-01-10,846.0,852.0,838.0,840.7,849.1,509790
Natco Pharma Limited,NATCOPHARM,2024-01-09,848.75,859.8,845.2,849.1,843.55,870672
Natco Pharma Limited,NATCOPHARM,2024-01-08,852.95,855.0,828.55,843.55,849.35,633715
Natco Pharma Limited,NATCOPHARM,2024-01-05,840.15,851.0,831.0,849.35,838.6,777719
Natco Pharma Limited,NATCOPHARM,2024-01-04,842.0,844.95,834.95,838.6,835.45,607756
Natco Pharma Limited,NATCOPHARM,2024-01-03,828.0,842.0,823.55,835.45,820.85,1024810
Natco Pharma Limited,NATCOPHARM,2024-01-02,824.0,834.8,809.35,820.85,818.35,975916
Natco Pharma Limited,NATCOPHARM,2024-01-01,811.95,824.0,811.0,818.35,811.35,535166
Natco Pharma Limited,NATCOPHARM,2023-12-29,814.0,814.0,800.55,811.35,803.15,449932
Natco Pharma Limited,NATCOPHARM,2023-12-28,809.95,814.25,792.05,803.15,801.75,474190
Natco Pharma Limited,NATCOPHARM,2023-12-27,813.0,819.8,798.55,801.75,804.35,630277
Natco Pharma Limited,NATCOPHARM,2023-12-26,796.4,816.0,788.05,804.35,792.2,1002451
Natco Pharma Limited,NATCOPHARM,2023-12-22,786.9,813.0,783.05,792.2,778.15,1285219
Natco Pharma Limited,NATCOPHARM,2023-12-21,764.8,782.0,755.0,778.15,764.8,830228
Natco Pharma Limited,NATCOPHARM,2023-12-20,782.8,788.95,760.0,764.8,778.75,687527
Natco Pharma Limited,NATCOPHARM,2023-12-19,781.1,784.95,774.0,778.75,777.25,359989
Natco Pharma Limited,NATCOPHARM,2023-12-18,782.95,784.0,773.2,777.25,775.35,336645
Natco Pharma Limited,NATCOPHARM,2023-12-15,769.2,777.95,768.0,775.35,765.15,389438
Natco Pharma Limited,NATCOPHARM,2023-12-14,768.0,769.9,761.25,765.15,758.8,436386
Natco Pharma Limited,NATCOPHARM,2023-12-13,764.55,767.3,754.25,758.8,756.3,454187
Natco Pharma Limited,NATCOPHARM,2023-12-12,775.2,776.2,752.45,756.3,772.55,771100
Natco Pharma Limited,NATCOPHARM,2023-12-11,782.6,784.75,771.0,772.55,780.25,289577
Natco Pharma Limited,NATCOPHARM,2023-12-08,782.35,789.7,776.95,780.25,782.5,310653
Natco Pharma Limited,NATCOPHARM,2023-12-07,783.05,792.0,777.65,782.5,786.3,325808
Natco Pharma Limited,NATCOPHARM,2023-12-06,784.15,790.0,777.45,786.3,780.2,348929
Natco Pharma Limited,NATCOPHARM,2023-12-05,794.5,794.7,778.5,780.2,792.15,484920
Natco Pharma Limited,NATCOPHARM,2023-12-04,800.05,807.7,788.1,792.15,785.4,429289
Natco Pharma Limited,NATCOPHARM,2023-12-01,794.95,802.9,784.0,785.4,792.5,441547
Natco Pharma Limited,NATCOPHARM,2023-11-30,784.9,794.95,780.9,792.5,780.25,612194
Natco Pharma Limited,NATCOPHARM,2023-11-29,777.9,786.95,772.1,780.25,774.05,801640
Natco Pharma Limited,NATCOPHARM,2023-11-28,784.8,787.2,771.7,774.05,780.45,479334
Natco Pharma Limited,NATCOPHARM,2023-11-24,789.25,798.2,777.45,780.45,789.25,349819
Natco Pharma Limited,NATCOPHARM,2023-11-23,806.9,813.35,785.25,789.25,799.6,530035
Natco Pharma Limited,NATCOPHARM,2023-11-22,784.7,812.2,780.1,799.6,779.55,1926532
Natco Pharma Limited,NATCOPHARM,2023-11-21,784.8,791.95,777.7,779.55,780.9,469768
Natco Pharma Limited,NATCOPHARM,2023-11-20,784.0,792.0,779.5,780.9,780.35,814087
Natco Pharma Limited,NATCOPHARM,2023-11-17,775.0,786.0,769.05,780.35,773.35,721072
Natco Pharma Limited,NATCOPHARM,2023-11-16,768.15,780.0,756.0,773.35,758.65,1237085
Natco Pharma Limited,NATCOPHARM,2023-11-15,829.9,829.9,754.55,758.65,794.25,3211304
Natco Pharma Limited,NATCOPHARM,2023-11-13,794.9,798.65,779.0,794.25,791.85,424651
Natco Pharma Limited,NATCOPHARM,2023-11-12,775.95,799.6,775.35,791.85,766.55,261591
Natco Pharma Limited,NATCOPHARM,2023-11-10,737.65,779.8,735.55,766.55,733.95,2437432
Natco Pharma Limited,NATCOPHARM,2023-11-09,752.0,766.25,729.1,733.95,747.7,1611408
Natco Pharma Limited,NATCOPHARM,2023-11-08,750.0,767.0,745.1,747.7,748.65,872148
Natco Pharma Limited,NATCOPHARM,2023-11-07,749.3,758.6,744.2,748.65,748.2,636323
Natco Pharma Limited,NATCOPHARM,2023-11-06,751.75,767.0,743.6,748.2,743.6,502693
Natco Pharma Limited,NATCOPHARM,2023-11-03,740.0,752.4,737.0,743.6,733.6,554509
Natco Pharma Limited,NATCOPHARM,2023-11-02,748.0,773.75,724.2,733.6,741.55,1582803
Natco Pharma Limited,NATCOPHARM,2023-11-01,809.9,809.9,731.5,741.55,800.35,1624981
Natco Pharma Limited,NATCOPHARM,2023-10-31,797.0,820.0,795.0,800.35,795.1,651930
Natco Pharma Limited,NATCOPHARM,2023-10-30,809.9,815.45,791.1,795.1,805.65,246832
Natco Pharma Limited,NATCOPHARM,2023-10-27,800.4,827.95,797.75,805.65,793.6,344406
Natco Pharma Limited,NATCOPHARM,2023-10-26,799.9,806.95,789.55,793.6,798.15,427209
