StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
NCC Limited,NCC,2024-03-28,240.75,243.5,231.0,232.35,240.6,5024689
NCC Limited,NCC,2024-03-27,244.4,246.6,237.0,240.6,243.8,5522282
NCC Limited,NCC,2024-03-26,237.0,245.65,231.1,243.8,236.8,8168915
NCC Limited,NCC,2024-03-22,236.0,238.75,231.5,236.8,237.35,5473274
NCC Limited,NCC,2024-03-21,221.9,241.4,221.65,237.35,218.05,15894109
NCC Limited,NCC,2024-03-20,215.55,224.75,215.4,218.05,213.9,9773515
NCC Limited,NCC,2024-03-19,223.4,227.5,211.4,213.9,223.4,7186823
NCC Limited,NCC,2024-03-18,229.05,237.7,221.1,223.4,233.25,7085446
NCC Limited,NCC,2024-03-15,234.0,239.2,224.1,233.25,239.75,7507917
NCC Limited,NCC,2024-03-14,206.0,249.45,200.55,239.75,210.9,18385354
NCC Limited,NCC,2024-03-13,239.0,239.4,208.0,210.9,236.1,12597397
NCC Limited,NCC,2024-03-12,244.7,248.5,233.65,236.1,243.9,6226229
NCC Limited,NCC,2024-03-11,259.45,259.55,241.25,243.9,258.35,4645379
NCC Limited,NCC,2024-03-07,255.9,261.5,252.6,258.35,254.5,3866893
NCC Limited,NCC,2024-03-06,261.9,263.95,252.25,254.5,261.85,4998255
NCC Limited,NCC,2024-03-05,251.25,263.4,247.75,261.85,250.25,8973532
NCC Limited,NCC,2024-03-04,257.9,259.85,249.0,250.25,255.3,3539811
NCC Limited,NCC,2024-03-02,253.55,256.95,253.55,255.3,253.05,526448
NCC Limited,NCC,2024-03-01,248.3,257.6,245.2,253.05,247.1,7892877
NCC Limited,NCC,2024-02-29,249.3,250.7,240.1,247.1,248.3,8271280
NCC Limited,NCC,2024-02-28,260.0,263.45,246.5,248.3,260.0,7054746
NCC Limited,NCC,2024-02-27,255.3,267.4,250.3,260.0,253.45,13554384
NCC Limited,NCC,2024-02-26,255.0,264.9,251.25,253.45,254.7,9126385
NCC Limited,NCC,2024-02-23,242.0,260.0,237.5,254.7,243.05,22253031
NCC Limited,NCC,2024-02-22,227.5,246.7,225.3,243.05,226.55,23579808
NCC Limited,NCC,2024-02-21,227.2,232.95,225.45,226.55,226.2,5077824
NCC Limited,NCC,2024-02-20,231.8,231.8,225.5,226.2,230.9,2913980
NCC Limited,NCC,2024-02-19,226.4,233.75,222.5,230.9,225.55,7354479
NCC Limited,NCC,2024-02-16,225.1,229.6,223.05,225.55,223.3,4182139
NCC Limited,NCC,2024-02-15,223.8,231.2,221.5,223.3,222.2,6809876
NCC Limited,NCC,2024-02-14,215.85,223.35,213.05,222.2,218.3,4648599
NCC Limited,NCC,2024-02-13,215.5,219.75,205.55,218.3,212.7,6773508
NCC Limited,NCC,2024-02-12,226.0,226.9,207.25,212.7,225.1,8286067
NCC Limited,NCC,2024-02-09,223.3,229.5,210.85,225.1,219.2,26378423
NCC Limited,NCC,2024-02-08,222.7,222.8,215.1,219.2,220.3,6432346
NCC Limited,NCC,2024-02-07,220.35,224.75,218.1,220.3,219.3,4932847
NCC Limited,NCC,2024-02-06,218.0,220.8,216.0,219.3,216.8,4557369
NCC Limited,NCC,2024-02-05,217.8,221.0,212.9,216.8,215.15,6150171
NCC Limited,NCC,2024-02-02,210.2,222.6,210.2,215.15,208.1,14982619
NCC Limited,NCC,2024-02-01,217.35,217.4,207.1,208.1,215.45,6132071
NCC Limited,NCC,2024-01-31,211.95,216.8,211.3,215.45,210.9,5349258
NCC Limited,NCC,2024-01-30,214.7,219.8,209.55,210.9,212.2,8608300
NCC Limited,NCC,2024-01-29,196.0,213.65,194.1,212.2,194.5,18409016
NCC Limited,NCC,2024-01-25,197.6,197.9,193.5,194.5,196.6,3254230
NCC Limited,NCC,2024-01-24,193.2,197.7,188.5,196.6,192.75,4366598
