StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Nestle India Limited,NESTLEIND,2024-03-28,2567.05,2638.7,2567.05,2622.35,2566.45,2182916
Nestle India Limited,NESTLEIND,2024-03-28,2580.0,2580.0,2580.0,2622.35,2566.45,2
Nestle India Limited,NESTLEIND,2024-03-27,2586.1,2590.55,2551.75,2566.45,2586.1,900596
Nestle India Limited,NESTLEIND,2024-03-26,2568.0,2596.5,2532.15,2586.1,2573.4,970852
Nestle India Limited,NESTLEIND,2024-03-22,2540.2,2592.0,2537.0,2573.4,2553.65,1013563
Nestle India Limited,NESTLEIND,2024-03-21,2551.0,2562.05,2525.15,2553.65,2550.25,903877
Nestle India Limited,NESTLEIND,2024-03-20,2514.0,2555.0,2498.05,2550.25,2496.05,699645
Nestle India Limited,NESTLEIND,2024-03-19,2580.0,2584.75,2468.15,2496.05,2580.35,1748864
Nestle India Limited,NESTLEIND,2024-03-18,2603.65,2610.8,2558.75,2580.35,2603.65,642596
Nestle India Limited,NESTLEIND,2024-03-15,2616.95,2629.9,2585.2,2603.65,2612.75,1266992
Nestle India Limited,NESTLEIND,2024-03-14,2590.0,2619.95,2573.9,2612.75,2582.95,1122997
Nestle India Limited,NESTLEIND,2024-03-13,2594.95,2653.65,2552.85,2582.95,2590.15,1813802
Nestle India Limited,NESTLEIND,2024-03-12,2606.05,2615.05,2566.3,2590.15,2611.5,863235
Nestle India Limited,NESTLEIND,2024-03-11,2560.95,2631.0,2548.55,2611.5,2560.95,1495299
Nestle India Limited,NESTLEIND,2024-03-07,2530.0,2566.0,2519.0,2560.95,2533.05,648652
Nestle India Limited,NESTLEIND,2024-03-06,2540.0,2566.75,2508.25,2533.05,2538.65,991640
Nestle India Limited,NESTLEIND,2024-03-05,2590.0,2595.2,2532.0,2538.65,2589.1,339302
Nestle India Limited,NESTLEIND,2024-03-04,2594.9,2601.1,2577.4,2589.1,2594.9,634310
Nestle India Limited,NESTLEIND,2024-03-02,2601.45,2609.4,2585.4,2594.9,2601.45,25525
Nestle India Limited,NESTLEIND,2024-03-01,2596.2,2616.55,2582.5,2601.45,2596.2,755728
