StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
NHPC Limited,NHPC,2024-03-28,1125.0,1158.71,1125.0,1158.71,1110.17,120
NHPC Limited,NHPC,2024-03-28,1280.0,1280.0,1270.0,1271.2,1277.99,1200
NHPC Limited,NHPC,2024-03-28,90.4,90.95,88.7,89.7,88.85,79330957
NHPC Limited,NHPC,2024-03-27,86.25,90.6,86.25,88.85,85.7,120301969
NHPC Limited,NHPC,2024-03-27,1274.0,1278.0,1274.0,1277.99,1274.0,309
NHPC Limited,NHPC,2024-03-26,1131.3,1131.3,1105.0,1110.17,1131.1,361
NHPC Limited,NHPC,2024-03-26,85.5,86.45,84.65,85.7,85.05,50935015
NHPC Limited,NHPC,2024-03-26,1260.0,1274.0,1260.0,1274.0,1252.25,1091
NHPC Limited,NHPC,2024-03-22,83.55,86.55,83.55,85.05,84.1,76449026
NHPC Limited,NHPC,2024-03-22,1128.0,1128.0,1128.0,1128.0,1128.0,3
NHPC Limited,NHPC,2024-03-21,84.1,85.35,83.4,84.1,82.85,70691447
NHPC Limited,NHPC,2024-03-21,1207.0,1207.0,1128.0,1128.0,1207.0,24
NHPC Limited,NHPC,2024-03-21,1135.0,1135.0,1131.01,1131.1,1102.76,414
NHPC Limited,NHPC,2024-03-20,83.0,83.75,80.7,82.85,82.45,71356984
NHPC Limited,NHPC,2024-03-19,82.5,83.5,81.5,82.45,82.5,74817247
NHPC Limited,NHPC,2024-03-19,1250.0,1258.99,1250.0,1252.25,1350.0,3250
NHPC Limited,NHPC,2024-03-18,84.1,85.9,82.0,82.5,82.95,111196804
NHPC Limited,NHPC,2024-03-18,1207.0,1207.0,1207.0,1207.0,1207.0,1
NHPC Limited,NHPC,2024-03-18,1297.0,1297.0,1090.53,1102.76,1297.0,888
NHPC Limited,NHPC,2024-03-18,1350.0,1350.0,1350.0,1350.0,1350.0,120
NHPC Limited,NHPC,2024-03-15,85.05,87.8,80.6,82.95,85.05,160183221
NHPC Limited,NHPC,2024-03-14,78.55,86.7,73.6,85.05,78.15,218653139
NHPC Limited,NHPC,2024-03-13,1375.0,1375.0,1350.0,1350.0,1378.9,155
NHPC Limited,NHPC,2024-03-13,86.15,86.5,77.35,78.15,86.65,191612158
NHPC Limited,NHPC,2024-03-12,1297.0,1297.0,1297.0,1297.0,1205.0,2
NHPC Limited,NHPC,2024-03-12,89.95,90.45,86.3,86.65,90.15,65379094
NHPC Limited,NHPC,2024-03-11,1324.1,1325.0,1324.1,1325.0,1324.1,38
NHPC Limited,NHPC,2024-03-11,90.6,91.95,89.35,90.15,90.05,63463093
NHPC Limited,NHPC,2024-03-11,1205.0,1205.0,1205.0,1205.0,1205.0,1
NHPC Limited,NHPC,2024-03-07,91.5,91.55,89.75,90.05,91.5,59575340
NHPC Limited,NHPC,2024-03-06,1340.0,1385.0,1340.0,1378.9,1375.0,183
NHPC Limited,NHPC,2024-03-06,1207.0,1207.0,1207.0,1207.0,1207.0,3
NHPC Limited,NHPC,2024-03-06,93.6,95.5,90.8,91.5,92.45,120174834
NHPC Limited,NHPC,2024-03-05,89.0,93.2,88.2,92.45,89.1,115253956
NHPC Limited,NHPC,2024-03-04,1205.0,1205.0,1205.0,1205.0,1200.27,200
NHPC Limited,NHPC,2024-03-04,1288.8,1288.8,1207.0,1207.0,1206.7,2
NHPC Limited,NHPC,2024-03-04,91.0,91.45,88.8,89.1,90.45,52574324
NHPC Limited,NHPC,2024-03-02,90.25,90.6,89.75,90.45,89.85,6287852
NHPC Limited,NHPC,2024-03-01,89.0,91.65,88.9,89.85,88.15,74783203
NHPC Limited,NHPC,2024-02-29,88.1,89.3,86.05,88.15,88.05,105860700
NHPC Limited,NHPC,2024-02-28,90.7,91.4,87.05,88.05,90.2,77320909
NHPC Limited,NHPC,2024-02-28,1739.8,1739.8,1324.1,1324.1,1450.0,19
NHPC Limited,NHPC,2024-02-28,1375.0,1375.0,1375.0,1375.0,1379.9,5
NHPC Limited,NHPC,2024-02-27,92.5,93.0,89.85,90.2,92.2,60296472
NHPC Limited,NHPC,2024-02-27,1382.99,1382.99,1375.0,1379.9,1352.25,315
NHPC Limited,NHPC,2024-02-27,1450.0,1450.0,1450.0,1450.0,1450.0,1
NHPC Limited,NHPC,2024-02-26,90.75,94.1,90.55,92.2,91.65,91726112
NHPC Limited,NHPC,2024-02-23,94.5,94.8,91.15,91.65,94.1,85253172
NHPC Limited,NHPC,2024-02-22,1346.05,1352.25,1346.05,1352.25,1379.96,84
NHPC Limited,NHPC,2024-02-22,1206.25,1214.0,1206.25,1206.7,1201.1,120
NHPC Limited,NHPC,2024-02-22,92.4,94.9,88.6,94.1,92.65,172188774
NHPC Limited,NHPC,2024-02-21,95.75,96.5,91.55,92.65,94.8,114645187
