StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
The New India Assurance Company Limited,NIACL,2024-03-28,233.35,238.6,226.0,227.1,231.0,2462539
The New India Assurance Company Limited,NIACL,2024-03-27,226.0,239.6,225.2,231.0,225.8,3998021
The New India Assurance Company Limited,NIACL,2024-03-26,233.05,238.5,224.1,225.8,232.35,1776139
The New India Assurance Company Limited,NIACL,2024-03-22,227.5,235.95,227.5,232.35,229.8,1279967
The New India Assurance Company Limited,NIACL,2024-03-21,228.0,233.75,227.8,229.8,224.05,1341063
The New India Assurance Company Limited,NIACL,2024-03-20,224.05,229.2,218.0,224.05,223.75,1463676
The New India Assurance Company Limited,NIACL,2024-03-19,230.0,231.7,221.05,223.75,231.0,1299146
The New India Assurance Company Limited,NIACL,2024-03-18,232.0,240.2,228.2,231.0,233.9,2160748
The New India Assurance Company Limited,NIACL,2024-03-15,235.4,239.8,224.25,233.9,234.95,5851789
The New India Assurance Company Limited,NIACL,2024-03-14,218.5,237.95,214.05,234.95,217.7,3239609
The New India Assurance Company Limited,NIACL,2024-03-13,243.9,251.3,211.05,217.7,240.7,5116595
The New India Assurance Company Limited,NIACL,2024-03-12,253.8,253.8,239.0,240.7,251.3,2000622
The New India Assurance Company Limited,NIACL,2024-03-11,260.4,266.0,249.0,251.3,257.8,1822480
The New India Assurance Company Limited,NIACL,2024-03-07,245.0,263.6,244.9,257.8,260.2,1701600
The New India Assurance Company Limited,NIACL,2024-03-06,271.9,273.2,257.8,260.2,272.5,1826715
The New India Assurance Company Limited,NIACL,2024-03-05,275.75,275.75,266.35,272.5,275.8,1527580
The New India Assurance Company Limited,NIACL,2024-03-04,272.25,283.95,263.45,275.8,272.3,4162026
The New India Assurance Company Limited,NIACL,2024-03-02,270.5,273.5,266.6,272.3,268.8,313448
The New India Assurance Company Limited,NIACL,2024-03-01,261.45,271.7,260.45,268.8,258.1,2509449
The New India Assurance Company Limited,NIACL,2024-02-29,257.35,261.8,251.15,258.1,257.05,2348511
The New India Assurance Company Limited,NIACL,2024-02-28,273.25,273.95,255.45,257.05,272.2,2880395
The New India Assurance Company Limited,NIACL,2024-02-27,268.45,285.0,267.9,272.2,265.65,8048682
The New India Assurance Company Limited,NIACL,2024-02-26,279.3,283.1,264.2,265.65,279.75,2825736
The New India Assurance Company Limited,NIACL,2024-02-23,285.0,288.65,277.6,279.75,282.4,1962650
The New India Assurance Company Limited,NIACL,2024-02-22,284.75,289.0,270.6,282.4,279.7,6037498
The New India Assurance Company Limited,NIACL,2024-02-21,284.9,314.9,275.4,279.7,279.3,31554772
The New India Assurance Company Limited,NIACL,2024-02-20,294.5,296.7,278.0,279.3,296.45,4301281
The New India Assurance Company Limited,NIACL,2024-02-19,289.0,306.7,278.35,296.45,285.85,7528740
The New India Assurance Company Limited,NIACL,2024-02-16,249.5,295.0,246.85,285.85,247.3,16282604
The New India Assurance Company Limited,NIACL,2024-02-15,252.95,256.3,244.1,247.3,250.95,2189183
The New India Assurance Company Limited,NIACL,2024-02-14,238.95,257.9,236.0,250.95,240.0,5076141
The New India Assurance Company Limited,NIACL,2024-02-13,249.85,255.7,232.65,240.0,246.75,4491914
The New India Assurance Company Limited,NIACL,2024-02-12,290.95,290.95,241.0,246.75,290.95,5656098
The New India Assurance Company Limited,NIACL,2024-02-09,311.0,324.7,282.4,290.95,304.4,9670302
The New India Assurance Company Limited,NIACL,2024-02-08,277.0,314.45,277.0,304.4,272.85,20964304
The New India Assurance Company Limited,NIACL,2024-02-07,279.15,289.0,270.35,272.85,276.15,3553419
The New India Assurance Company Limited,NIACL,2024-02-06,270.0,289.3,267.2,276.15,265.65,7621909
The New India Assurance Company Limited,NIACL,2024-02-05,243.95,266.3,243.1,265.65,242.1,7739988
The New India Assurance Company Limited,NIACL,2024-02-02,241.15,248.65,238.6,242.1,239.85,1613433
The New India Assurance Company Limited,NIACL,2024-02-01,243.25,246.2,235.5,239.85,243.25,1332461
The New India Assurance Company Limited,NIACL,2024-01-31,248.3,255.35,241.1,243.25,246.3,3027687
The New India Assurance Company Limited,NIACL,2024-01-30,240.0,249.4,235.2,246.3,237.6,2830449
The New India Assurance Company Limited,NIACL,2024-01-29,233.4,243.55,231.0,237.6,231.4,2102914
The New India Assurance Company Limited,NIACL,2024-01-25,236.7,241.95,229.8,231.4,235.55,1050944
The New India Assurance Company Limited,NIACL,2024-01-24,224.95,239.45,221.5,235.55,227.0,2912763
The New India Assurance Company Limited,NIACL,2024-01-23,240.0,243.8,224.2,227.0,240.05,2683583
The New India Assurance Company Limited,NIACL,2024-01-20,244.9,257.0,237.35,240.05,242.9,5042954
The New India Assurance Company Limited,NIACL,2024-01-19,223.0,243.3,222.5,242.9,221.2,7328949
The New India Assurance Company Limited,NIACL,2024-01-18,223.4,225.7,214.0,221.2,222.8,1037623
The New India Assurance Company Limited,NIACL,2024-01-17,221.4,235.0,218.05,222.8,223.6,3883931
The New India Assurance Company Limited,NIACL,2024-01-16,219.2,229.0,217.35,223.6,216.95,3123417
The New India Assurance Company Limited,NIACL,2024-01-15,216.5,221.4,212.6,216.95,215.1,1019951
The New India Assurance Company Limited,NIACL,2024-01-12,215.5,217.45,214.3,215.1,213.6,364103
The New India Assurance Company Limited,NIACL,2024-01-11,213.9,216.8,212.3,213.6,215.6,1031575
The New India Assurance Company Limited,NIACL,2024-01-10,222.4,222.4,213.8,215.6,221.35,650247
The New India Assurance Company Limited,NIACL,2024-01-09,224.1,225.45,219.2,221.35,222.1,409218
The New India Assurance Company Limited,NIACL,2024-01-08,229.95,230.0,220.35,222.1,229.2,817294
The New India Assurance Company Limited,NIACL,2024-01-05,229.8,234.15,226.5,229.2,227.95,1591835
The New India Assurance Company Limited,NIACL,2024-01-04,219.5,231.5,218.0,227.95,218.5,3121729
The New India Assurance Company Limited,NIACL,2024-01-03,215.35,222.0,214.05,218.5,213.65,1310544
The New India Assurance Company Limited,NIACL,2024-01-02,217.5,221.45,211.95,213.65,216.6,1222196
The New India Assurance Company Limited,NIACL,2024-01-01,212.5,218.8,210.7,216.6,210.35,1222181
The New India Assurance Company Limited,NIACL,2023-12-29,213.1,215.85,209.05,210.35,213.45,924302
The New India Assurance Company Limited,NIACL,2023-12-28,215.6,216.95,212.2,213.45,213.25,931536
The New India Assurance Company Limited,NIACL,2023-12-27,216.85,219.65,212.25,213.25,212.75,1012111
The New India Assurance Company Limited,NIACL,2023-12-26,216.2,216.95,210.75,212.75,217.55,1391536
The New India Assurance Company Limited,NIACL,2023-12-22,219.7,223.0,214.2,217.55,216.4,1018764
The New India Assurance Company Limited,NIACL,2023-12-21,213.85,217.15,209.05,216.4,213.85,1193573
The New India Assurance Company Limited,NIACL,2023-12-20,227.2,234.75,212.0,213.85,225.45,2703005
The New India Assurance Company Limited,NIACL,2023-12-19,228.05,231.2,222.8,225.45,226.45,891298
The New India Assurance Company Limited,NIACL,2023-12-18,226.0,228.85,223.15,226.45,224.25,1049860
The New India Assurance Company Limited,NIACL,2023-12-15,232.4,235.8,221.45,224.25,230.55,1559222
The New India Assurance Company Limited,NIACL,2023-12-14,238.0,238.0,229.05,230.55,235.0,1080086
The New India Assurance Company Limited,NIACL,2023-12-13,238.5,238.6,231.9,235.0,236.8,1006148
The New India Assurance Company Limited,NIACL,2023-12-12,229.95,244.4,229.9,236.8,228.15,6108711
The New India Assurance Company Limited,NIACL,2023-12-11,228.5,232.3,227.5,228.15,228.15,847753
The New India Assurance Company Limited,NIACL,2023-12-08,235.45,236.45,226.45,228.15,236.7,1686202
The New India Assurance Company Limited,NIACL,2023-12-07,228.05,241.2,226.3,236.7,228.2,4048849
The New India Assurance Company Limited,NIACL,2023-12-06,233.95,236.6,224.4,228.2,232.1,2873141
The New India Assurance Company Limited,NIACL,2023-12-05,241.9,247.45,230.5,232.1,241.9,4998735
The New India Assurance Company Limited,NIACL,2023-12-04,236.8,245.0,229.7,241.9,231.25,5614362
The New India Assurance Company Limited,NIACL,2023-12-01,261.9,261.9,229.7,231.25,255.2,9486945
The New India Assurance Company Limited,NIACL,2023-11-30,227.95,255.2,227.0,255.2,232.0,11577826
The New India Assurance Company Limited,NIACL,2023-11-29,228.0,234.0,223.0,232.0,226.1,11176875
The New India Assurance Company Limited,NIACL,2023-11-28,213.1,237.3,203.7,226.1,209.0,50665997
The New India Assurance Company Limited,NIACL,2023-11-24,176.0,209.0,175.0,209.0,174.2,34862627
The New India Assurance Company Limited,NIACL,2023-11-23,176.8,176.8,169.25,174.2,176.45,3013181
The New India Assurance Company Limited,NIACL,2023-11-22,165.0,177.85,164.05,176.45,164.9,14490879
The New India Assurance Company Limited,NIACL,2023-11-21,156.25,166.5,156.2,164.9,155.0,6705888
The New India Assurance Company Limited,NIACL,2023-11-20,151.1,156.0,149.0,155.0,151.95,2264225
The New India Assurance Company Limited,NIACL,2023-11-17,148.95,155.2,147.5,151.95,148.5,3555936
The New India Assurance Company Limited,NIACL,2023-11-16,143.35,151.85,143.05,148.5,143.35,4047602
The New India Assurance Company Limited,NIACL,2023-11-15,142.6,145.75,140.7,143.35,141.1,816044
The New India Assurance Company Limited,NIACL,2023-11-13,141.5,142.5,140.4,141.1,142.25,400315
The New India Assurance Company Limited,NIACL,2023-11-12,139.9,144.25,139.35,142.25,138.05,629338
The New India Assurance Company Limited,NIACL,2023-11-10,138.6,138.95,136.3,138.05,137.45,472788
The New India Assurance Company Limited,NIACL,2023-11-09,136.2,138.95,133.0,137.45,144.75,1990390
The New India Assurance Company Limited,NIACL,2023-11-08,144.3,147.05,143.5,144.75,143.2,893492
The New India Assurance Company Limited,NIACL,2023-11-07,141.9,144.5,141.4,143.2,141.15,683207
The New India Assurance Company Limited,NIACL,2023-11-06,139.05,142.2,138.8,141.15,138.3,559632
The New India Assurance Company Limited,NIACL,2023-11-03,138.9,142.2,136.75,138.3,138.1,718605
The New India Assurance Company Limited,NIACL,2023-11-02,137.95,141.65,136.75,138.1,137.05,484719
The New India Assurance Company Limited,NIACL,2023-11-01,139.15,140.0,136.6,137.05,138.85,382615
The New India Assurance Company Limited,NIACL,2023-10-31,137.5,142.95,136.85,138.85,136.15,1216305
The New India Assurance Company Limited,NIACL,2023-10-30,136.8,138.2,135.0,136.15,136.75,371587
The New India Assurance Company Limited,NIACL,2023-10-27,134.9,139.15,134.7,136.75,135.55,627073
The New India Assurance Company Limited,NIACL,2023-10-26,136.4,138.7,130.1,135.55,136.5,1355864
The New India Assurance Company Limited,NIACL,2023-10-25,139.65,144.7,134.55,136.5,138.55,1026184
The New India Assurance Company Limited,NIACL,2023-10-23,150.2,152.7,137.1,138.55,149.15,2430220
The New India Assurance Company Limited,NIACL,2023-10-20,144.5,154.65,143.6,149.15,143.6,8417902
The New India Assurance Company Limited,NIACL,2023-10-19,143.35,149.65,141.0,143.6,143.55,3917534
The New India Assurance Company Limited,NIACL,2023-10-18,142.65,144.4,138.75,143.55,142.55,942691
The New India Assurance Company Limited,NIACL,2023-10-17,144.1,147.0,141.6,142.55,142.3,2179146
The New India Assurance Company Limited,NIACL,2023-10-16,136.6,142.95,136.6,142.3,136.65,1247657
The New India Assurance Company Limited,NIACL,2023-10-13,136.8,138.95,136.05,136.65,137.8,235831
The New India Assurance Company Limited,NIACL,2023-10-12,138.25,139.15,135.65,137.8,137.15,464426
The New India Assurance Company Limited,NIACL,2023-10-11,138.6,140.7,136.25,137.15,137.95,537705
The New India Assurance Company Limited,NIACL,2023-10-10,136.7,138.7,136.1,137.95,135.6,373698
The New India Assurance Company Limited,NIACL,2023-10-09,137.0,138.95,134.25,135.6,139.45,538607
The New India Assurance Company Limited,NIACL,2023-10-06,138.0,141.25,136.85,139.45,137.05,1152064
The New India Assurance Company Limited,NIACL,2023-10-05,134.35,138.0,133.1,137.05,135.65,755373
The New India Assurance Company Limited,NIACL,2023-10-04,138.95,138.95,134.3,135.65,139.4,655775
The New India Assurance Company Limited,NIACL,2023-10-03,139.35,141.55,138.25,139.4,140.5,539738
The New India Assurance Company Limited,NIACL,2023-09-29,141.4,141.55,138.7,140.5,140.6,607300
