StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
NMDC Steel Limited,NSLNISP,2024-03-28,55.2,56.2,54.4,54.7,54.8,7070304
NMDC Steel Limited,NSLNISP,2024-03-27,56.4,57.3,54.5,54.8,56.4,9085598
NMDC Steel Limited,NSLNISP,2024-03-26,56.4,57.15,55.4,56.4,56.4,8984640
NMDC Steel Limited,NSLNISP,2024-03-22,55.0,56.7,54.6,56.4,55.2,8282261
NMDC Steel Limited,NSLNISP,2024-03-21,55.5,56.2,54.8,55.2,54.4,10411959
NMDC Steel Limited,NSLNISP,2024-03-20,54.6,55.0,52.85,54.4,54.25,15951344
NMDC Steel Limited,NSLNISP,2024-03-19,54.5,56.95,53.85,54.25,54.4,19162357
NMDC Steel Limited,NSLNISP,2024-03-18,54.5,55.0,53.05,54.4,54.4,10798165
NMDC Steel Limited,NSLNISP,2024-03-15,54.8,55.95,52.6,54.4,54.35,13458281
NMDC Steel Limited,NSLNISP,2024-03-14,52.0,56.4,50.55,54.35,51.9,30115015
NMDC Steel Limited,NSLNISP,2024-03-13,57.95,58.9,51.1,51.9,58.95,26487854
NMDC Steel Limited,NSLNISP,2024-03-12,59.85,60.55,58.05,58.95,60.0,9944288
NMDC Steel Limited,NSLNISP,2024-03-11,61.35,61.35,59.5,60.0,61.05,7375667
NMDC Steel Limited,NSLNISP,2024-03-07,61.05,61.9,60.3,61.05,60.5,15100013
NMDC Steel Limited,NSLNISP,2024-03-06,60.15,60.9,58.4,60.5,60.1,10707033
NMDC Steel Limited,NSLNISP,2024-03-05,61.4,61.85,59.75,60.1,61.45,11220708
NMDC Steel Limited,NSLNISP,2024-03-04,64.0,64.6,61.0,61.45,63.45,20035547
NMDC Steel Limited,NSLNISP,2024-03-02,61.8,64.0,61.7,63.45,61.55,3305077
NMDC Steel Limited,NSLNISP,2024-03-01,61.7,63.55,60.8,61.55,61.4,17691265
NMDC Steel Limited,NSLNISP,2024-02-29,59.0,61.85,57.9,61.4,59.1,20420420
NMDC Steel Limited,NSLNISP,2024-02-28,62.0,62.0,58.6,59.1,61.75,9566928
NMDC Steel Limited,NSLNISP,2024-02-27,62.5,62.95,61.2,61.75,62.65,5495891
NMDC Steel Limited,NSLNISP,2024-02-26,62.6,63.85,61.8,62.65,62.7,8417510
NMDC Steel Limited,NSLNISP,2024-02-23,63.3,63.8,62.5,62.7,63.1,8824592
NMDC Steel Limited,NSLNISP,2024-02-22,61.6,64.05,59.9,63.1,61.2,23276560
NMDC Steel Limited,NSLNISP,2024-02-21,63.6,64.0,60.9,61.2,63.25,10061543
NMDC Steel Limited,NSLNISP,2024-02-20,64.6,64.65,62.75,63.25,64.75,8742143
NMDC Steel Limited,NSLNISP,2024-02-19,64.1,66.45,63.8,64.75,63.65,18654323
NMDC Steel Limited,NSLNISP,2024-02-16,65.8,67.6,63.05,63.65,65.7,39432028
NMDC Steel Limited,NSLNISP,2024-02-15,59.0,69.5,57.6,65.7,59.0,85393818
NMDC Steel Limited,NSLNISP,2024-02-14,58.45,60.65,57.55,59.0,59.35,13748669
NMDC Steel Limited,NSLNISP,2024-02-13,58.5,60.35,57.3,59.35,58.05,19426941
NMDC Steel Limited,NSLNISP,2024-02-12,66.75,66.95,57.0,58.05,66.6,25714133
NMDC Steel Limited,NSLNISP,2024-02-09,69.4,69.45,63.2,66.6,69.2,18415702
NMDC Steel Limited,NSLNISP,2024-02-08,70.0,70.55,68.3,69.2,69.35,8851157
NMDC Steel Limited,NSLNISP,2024-02-07,70.0,72.25,69.0,69.35,69.35,17782976
NMDC Steel Limited,NSLNISP,2024-02-06,71.15,71.15,66.9,69.35,70.65,19913120
NMDC Steel Limited,NSLNISP,2024-02-05,71.5,73.7,69.4,70.65,70.9,29873151
NMDC Steel Limited,NSLNISP,2024-02-02,70.0,73.25,69.4,70.9,69.3,40108296
NMDC Steel Limited,NSLNISP,2024-02-01,70.0,70.3,67.5,69.3,69.65,20680409
NMDC Steel Limited,NSLNISP,2024-01-31,66.2,70.9,65.3,69.65,65.8,39003907
NMDC Steel Limited,NSLNISP,2024-01-30,68.85,69.55,65.05,65.8,67.2,33225931
NMDC Steel Limited,NSLNISP,2024-01-29,62.0,67.9,59.85,67.2,58.7,87622769
NMDC Steel Limited,NSLNISP,2024-01-25,55.65,59.35,55.3,58.7,54.6,54334434
NMDC Steel Limited,NSLNISP,2024-01-24,51.85,55.0,51.1,54.6,51.35,19919078
NMDC Steel Limited,NSLNISP,2024-01-23,53.95,55.0,51.05,51.35,52.15,26017020
NMDC Steel Limited,NSLNISP,2024-01-20,49.5,52.5,49.25,52.15,49.15,20655754
NMDC Steel Limited,NSLNISP,2024-01-19,48.45,49.5,48.25,49.15,48.0,5477157
NMDC Steel Limited,NSLNISP,2024-01-18,48.65,49.1,46.9,48.0,48.55,6949551
NMDC Steel Limited,NSLNISP,2024-01-17,49.4,49.75,48.35,48.55,49.95,6359571
NMDC Steel Limited,NSLNISP,2024-01-16,50.35,50.75,48.8,49.95,50.15,6481093
NMDC Steel Limited,NSLNISP,2024-01-15,50.4,51.1,50.0,50.15,50.05,5233180
NMDC Steel Limited,NSLNISP,2024-01-12,49.15,51.1,49.05,50.05,49.15,8200831
NMDC Steel Limited,NSLNISP,2024-01-11,48.85,49.55,48.8,49.15,48.65,3202818
NMDC Steel Limited,NSLNISP,2024-01-10,49.95,50.1,48.1,48.65,49.75,7892900
NMDC Steel Limited,NSLNISP,2024-01-09,50.15,50.8,49.5,49.75,49.9,5123645
NMDC Steel Limited,NSLNISP,2024-01-08,51.3,51.65,49.75,49.9,50.9,5077234
NMDC Steel Limited,NSLNISP,2024-01-05,51.3,52.15,50.5,50.9,51.05,8876183
NMDC Steel Limited,NSLNISP,2024-01-04,50.4,52.05,50.4,51.05,50.4,7162426
NMDC Steel Limited,NSLNISP,2024-01-03,51.0,51.1,50.15,50.4,50.75,4620674
NMDC Steel Limited,NSLNISP,2024-01-02,51.5,51.75,50.0,50.75,51.3,8135898
NMDC Steel Limited,NSLNISP,2024-01-01,51.5,52.35,51.0,51.3,51.4,8438622
NMDC Steel Limited,NSLNISP,2023-12-29,50.9,52.0,50.15,51.4,50.6,7633292
NMDC Steel Limited,NSLNISP,2023-12-28,49.95,52.15,49.5,50.6,49.65,13059635
NMDC Steel Limited,NSLNISP,2023-12-27,50.2,50.95,49.45,49.65,49.9,3934934
NMDC Steel Limited,NSLNISP,2023-12-26,51.05,51.3,49.75,49.9,50.9,5489141
NMDC Steel Limited,NSLNISP,2023-12-22,50.5,51.5,49.75,50.9,50.1,6135960
NMDC Steel Limited,NSLNISP,2023-12-21,47.1,50.35,46.5,50.1,48.05,9734182
NMDC Steel Limited,NSLNISP,2023-12-20,52.1,52.4,47.15,48.05,51.85,11267700
NMDC Steel Limited,NSLNISP,2023-12-19,52.0,52.7,51.0,51.85,51.85,7305028
NMDC Steel Limited,NSLNISP,2023-12-18,52.7,52.85,51.15,51.85,52.4,13743483
NMDC Steel Limited,NSLNISP,2023-12-15,49.85,52.7,49.7,52.4,49.3,21253422
NMDC Steel Limited,NSLNISP,2023-12-14,47.5,50.8,47.5,49.3,47.05,22676672
NMDC Steel Limited,NSLNISP,2023-12-13,46.95,47.85,46.75,47.05,46.65,5244809
NMDC Steel Limited,NSLNISP,2023-12-12,47.8,48.05,46.4,46.65,47.3,6432225
NMDC Steel Limited,NSLNISP,2023-12-11,47.5,47.8,46.8,47.3,46.8,6124295
NMDC Steel Limited,NSLNISP,2023-12-08,46.1,48.3,46.1,46.8,45.8,13935999
NMDC Steel Limited,NSLNISP,2023-12-07,45.5,46.45,44.65,45.8,45.3,8625699
NMDC Steel Limited,NSLNISP,2023-12-06,44.5,46.4,44.05,45.3,44.5,9341086
NMDC Steel Limited,NSLNISP,2023-12-05,44.7,45.1,44.05,44.5,44.55,4735602
NMDC Steel Limited,NSLNISP,2023-12-04,45.2,45.65,44.3,44.55,43.75,8167590
NMDC Steel Limited,NSLNISP,2023-12-01,44.9,45.15,43.6,43.75,44.35,5424256
NMDC Steel Limited,NSLNISP,2023-11-30,43.4,44.85,42.8,44.35,43.25,9656834
NMDC Steel Limited,NSLNISP,2023-11-29,44.3,44.4,43.0,43.25,43.7,7126128
NMDC Steel Limited,NSLNISP,2023-11-28,42.1,44.25,41.45,43.7,41.75,9681031
NMDC Steel Limited,NSLNISP,2023-11-24,42.0,42.5,41.5,41.75,41.9,2490591
NMDC Steel Limited,NSLNISP,2023-11-23,41.55,42.3,41.55,41.9,41.95,1839508
