StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Nuvama Wealth Management Limited,NUVAMA,2024-03-28,4740.0,4799.0,4626.0,4671.7,4713.55,72893
Nuvama Wealth Management Limited,NUVAMA,2024-03-27,4290.0,4849.0,4150.0,4713.55,4106.05,328320
Nuvama Wealth Management Limited,NUVAMA,2024-03-26,4250.0,4269.45,4090.8,4106.05,4229.45,28763
Nuvama Wealth Management Limited,NUVAMA,2024-03-22,4287.9,4289.2,4182.2,4229.45,4259.55,27703
Nuvama Wealth Management Limited,NUVAMA,2024-03-21,4159.0,4297.0,4150.0,4259.55,4137.75,59467
Nuvama Wealth Management Limited,NUVAMA,2024-03-20,4005.0,4190.0,3974.95,4137.75,4001.0,53638
Nuvama Wealth Management Limited,NUVAMA,2024-03-19,4130.05,4188.05,3949.35,4001.0,4136.7,31973
Nuvama Wealth Management Limited,NUVAMA,2024-03-18,4184.5,4237.8,4042.5,4136.7,4205.25,47726
Nuvama Wealth Management Limited,NUVAMA,2024-03-15,4030.0,4374.7,3970.0,4205.25,4001.3,449361
Nuvama Wealth Management Limited,NUVAMA,2024-03-14,3814.85,4009.95,3784.65,4001.3,3809.4,51957
Nuvama Wealth Management Limited,NUVAMA,2024-03-13,3900.0,3929.95,3760.8,3809.4,3851.25,108921
Nuvama Wealth Management Limited,NUVAMA,2024-03-12,4007.5,4085.1,3822.05,3851.25,3975.1,100071
Nuvama Wealth Management Limited,NUVAMA,2024-03-11,4146.45,4146.8,3900.0,3975.1,4085.15,71372
Nuvama Wealth Management Limited,NUVAMA,2024-03-07,4074.4,4201.55,4049.7,4085.15,4084.35,40902
Nuvama Wealth Management Limited,NUVAMA,2024-03-06,4180.0,4199.0,4021.8,4084.35,4255.55,67486
Nuvama Wealth Management Limited,NUVAMA,2024-03-05,4460.0,4460.0,4214.35,4255.55,4405.0,57854
Nuvama Wealth Management Limited,NUVAMA,2024-03-04,4116.5,4429.9,4116.5,4405.0,4097.5,66706
Nuvama Wealth Management Limited,NUVAMA,2024-03-02,4201.0,4225.0,4080.05,4097.5,4146.2,3103
Nuvama Wealth Management Limited,NUVAMA,2024-03-01,4150.0,4276.15,4135.85,4146.2,4135.85,22983
Nuvama Wealth Management Limited,NUVAMA,2024-02-29,4083.95,4190.0,4014.05,4135.85,4084.0,44970
Nuvama Wealth Management Limited,NUVAMA,2024-02-28,4225.05,4297.95,4060.05,4084.0,4250.6,38305
Nuvama Wealth Management Limited,NUVAMA,2024-02-27,4348.0,4389.6,4230.0,4250.6,4288.1,20944
Nuvama Wealth Management Limited,NUVAMA,2024-02-26,4440.0,4440.0,4268.2,4288.1,4435.6,19828
Nuvama Wealth Management Limited,NUVAMA,2024-02-23,4545.0,4545.0,4306.0,4435.6,4484.95,41195
Nuvama Wealth Management Limited,NUVAMA,2024-02-22,4341.0,4541.4,4219.35,4484.95,4290.0,56244
Nuvama Wealth Management Limited,NUVAMA,2024-02-21,4288.0,4329.45,4200.0,4290.0,4215.7,42583
Nuvama Wealth Management Limited,NUVAMA,2024-02-20,4390.0,4548.95,4181.35,4215.7,4317.05,100268
