StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Nuvoco Vistas Corporation Limited,NUVOCO,2024-03-28,303.0,309.0,296.6,306.2,303.6,740597
Nuvoco Vistas Corporation Limited,NUVOCO,2024-03-27,307.0,309.9,301.6,303.6,307.55,571338
Nuvoco Vistas Corporation Limited,NUVOCO,2024-03-26,306.45,311.0,304.95,307.55,306.45,376020
Nuvoco Vistas Corporation Limited,NUVOCO,2024-03-22,310.65,311.6,303.95,306.45,310.65,733776
Nuvoco Vistas Corporation Limited,NUVOCO,2024-03-21,306.9,319.8,303.0,310.65,300.9,854503
Nuvoco Vistas Corporation Limited,NUVOCO,2024-03-20,295.1,303.25,293.05,300.9,294.35,484549
Nuvoco Vistas Corporation Limited,NUVOCO,2024-03-19,299.05,304.4,292.25,294.35,299.05,557499
Nuvoco Vistas Corporation Limited,NUVOCO,2024-03-18,301.55,306.4,296.1,299.05,299.75,458199
Nuvoco Vistas Corporation Limited,NUVOCO,2024-03-15,303.35,306.0,296.35,299.75,301.35,507042
Nuvoco Vistas Corporation Limited,NUVOCO,2024-03-14,300.0,306.8,298.0,301.35,298.0,506163
Nuvoco Vistas Corporation Limited,NUVOCO,2024-03-13,307.0,310.9,291.3,298.0,307.95,996998
Nuvoco Vistas Corporation Limited,NUVOCO,2024-03-12,314.0,315.5,306.1,307.95,312.85,205115
Nuvoco Vistas Corporation Limited,NUVOCO,2024-03-11,320.25,323.85,311.25,312.85,319.85,184801
Nuvoco Vistas Corporation Limited,NUVOCO,2024-03-07,324.0,327.9,317.7,319.85,320.35,239831
Nuvoco Vistas Corporation Limited,NUVOCO,2024-03-06,327.85,329.95,317.0,320.35,327.85,270392
Nuvoco Vistas Corporation Limited,NUVOCO,2024-03-05,335.0,335.8,325.95,327.85,335.6,147526
Nuvoco Vistas Corporation Limited,NUVOCO,2024-03-04,338.05,339.7,335.0,335.6,337.3,61247
Nuvoco Vistas Corporation Limited,NUVOCO,2024-03-02,339.85,341.0,335.0,337.3,337.15,21579
Nuvoco Vistas Corporation Limited,NUVOCO,2024-03-01,332.45,341.1,332.45,337.15,331.45,138838
Nuvoco Vistas Corporation Limited,NUVOCO,2024-02-29,330.35,335.25,330.3,331.45,332.0,136252
Nuvoco Vistas Corporation Limited,NUVOCO,2024-02-28,336.95,337.0,331.1,332.0,334.4,184657
Nuvoco Vistas Corporation Limited,NUVOCO,2024-02-27,338.75,340.7,332.9,334.4,338.75,172071
Nuvoco Vistas Corporation Limited,NUVOCO,2024-02-26,340.0,341.85,336.0,338.75,340.05,151671
Nuvoco Vistas Corporation Limited,NUVOCO,2024-02-23,342.55,344.0,338.55,340.05,341.5,396896
Nuvoco Vistas Corporation Limited,NUVOCO,2024-02-22,348.85,348.85,340.65,341.5,345.55,132079
Nuvoco Vistas Corporation Limited,NUVOCO,2024-02-21,345.2,350.0,342.5,345.55,345.0,396568
Nuvoco Vistas Corporation Limited,NUVOCO,2024-02-20,348.0,353.0,343.1,345.0,347.15,422082
Nuvoco Vistas Corporation Limited,NUVOCO,2024-02-19,339.95,349.35,339.95,347.15,339.75,773957
Nuvoco Vistas Corporation Limited,NUVOCO,2024-02-16,338.7,342.5,338.45,339.75,337.0,179815
Nuvoco Vistas Corporation Limited,NUVOCO,2024-02-15,339.8,343.9,336.5,337.0,338.1,178416
Nuvoco Vistas Corporation Limited,NUVOCO,2024-02-14,337.0,342.2,335.1,338.1,337.05,136037
Nuvoco Vistas Corporation Limited,NUVOCO,2024-02-13,343.25,343.85,336.1,337.05,341.55,131715
Nuvoco Vistas Corporation Limited,NUVOCO,2024-02-12,347.8,354.4,340.0,341.55,348.95,178375
Nuvoco Vistas Corporation Limited,NUVOCO,2024-02-09,356.9,358.0,346.5,348.95,355.15,169844
Nuvoco Vistas Corporation Limited,NUVOCO,2024-02-08,359.0,361.15,354.4,355.15,357.2,128091
Nuvoco Vistas Corporation Limited,NUVOCO,2024-02-07,361.4,363.4,356.5,357.2,357.15,210553
Nuvoco Vistas Corporation Limited,NUVOCO,2024-02-06,356.55,362.8,355.3,357.15,355.75,210123
Nuvoco Vistas Corporation Limited,NUVOCO,2024-02-05,362.0,365.75,354.5,355.75,360.0,360283
Nuvoco Vistas Corporation Limited,NUVOCO,2024-02-02,360.0,362.85,354.7,360.0,356.0,799092
Nuvoco Vistas Corporation Limited,NUVOCO,2024-02-01,363.95,365.8,355.0,356.0,361.4,920112
Nuvoco Vistas Corporation Limited,NUVOCO,2024-01-31,355.0,364.9,355.0,361.4,355.25,854460
Nuvoco Vistas Corporation Limited,NUVOCO,2024-01-30,364.0,364.0,354.0,355.25,353.25,1233603
Nuvoco Vistas Corporation Limited,NUVOCO,2024-01-29,352.0,357.1,350.5,353.25,347.4,803936
Nuvoco Vistas Corporation Limited,NUVOCO,2024-01-25,334.75,350.35,334.75,347.4,333.1,1183752
Nuvoco Vistas Corporation Limited,NUVOCO,2024-01-24,333.25,337.95,330.8,333.1,331.75,663282
Nuvoco Vistas Corporation Limited,NUVOCO,2024-01-23,345.1,349.95,330.8,331.75,343.4,544141
Nuvoco Vistas Corporation Limited,NUVOCO,2024-01-20,343.9,347.45,342.3,343.4,341.2,338480
Nuvoco Vistas Corporation Limited,NUVOCO,2024-01-19,341.7,346.9,340.0,341.2,340.0,297705
Nuvoco Vistas Corporation Limited,NUVOCO,2024-01-18,340.3,348.5,337.25,340.0,342.45,399018
Nuvoco Vistas Corporation Limited,NUVOCO,2024-01-17,343.0,346.2,340.35,342.45,344.4,222451
