StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
FSN E-Commerce Ventures Limited,NYKAA,2024-03-28,162.25,164.2,160.1,161.95,162.1,2210416
FSN E-Commerce Ventures Limited,NYKAA,2024-03-27,162.1,165.2,161.0,162.1,161.95,2737175
FSN E-Commerce Ventures Limited,NYKAA,2024-03-26,163.55,164.85,160.2,161.95,163.55,4877163
FSN E-Commerce Ventures Limited,NYKAA,2024-03-22,158.55,164.0,157.95,163.55,159.2,6416978
FSN E-Commerce Ventures Limited,NYKAA,2024-03-21,155.0,160.8,153.95,159.2,152.65,5201131
FSN E-Commerce Ventures Limited,NYKAA,2024-03-20,154.0,154.0,149.95,152.65,153.45,1467965
FSN E-Commerce Ventures Limited,NYKAA,2024-03-19,149.0,154.6,149.0,153.45,152.35,2500718
FSN E-Commerce Ventures Limited,NYKAA,2024-03-18,150.0,153.4,148.6,152.35,149.95,2266981
FSN E-Commerce Ventures Limited,NYKAA,2024-03-15,150.95,151.85,148.35,149.95,151.2,5052152
FSN E-Commerce Ventures Limited,NYKAA,2024-03-14,147.7,154.6,145.65,151.2,149.4,4626781
FSN E-Commerce Ventures Limited,NYKAA,2024-03-13,157.05,160.15,145.3,149.4,156.25,10074350
FSN E-Commerce Ventures Limited,NYKAA,2024-03-12,160.4,161.7,154.45,156.25,160.15,7685021
FSN E-Commerce Ventures Limited,NYKAA,2024-03-11,158.8,161.3,157.7,160.15,156.6,5994524
FSN E-Commerce Ventures Limited,NYKAA,2024-03-07,156.5,158.8,154.3,156.6,156.35,2636640
FSN E-Commerce Ventures Limited,NYKAA,2024-03-06,159.95,159.95,154.15,156.35,159.9,6402119
FSN E-Commerce Ventures Limited,NYKAA,2024-03-05,158.75,161.2,157.65,159.9,158.75,3185972
FSN E-Commerce Ventures Limited,NYKAA,2024-03-04,159.85,163.0,158.05,158.75,159.45,3955972
FSN E-Commerce Ventures Limited,NYKAA,2024-03-02,159.0,159.8,158.25,159.45,157.25,632370
FSN E-Commerce Ventures Limited,NYKAA,2024-03-01,156.8,160.45,156.25,157.25,156.9,3117799
FSN E-Commerce Ventures Limited,NYKAA,2024-02-29,153.0,157.8,153.0,156.9,153.6,5440373
