StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Olectra Greentech Limited,OLECTRA,2024-03-28,1940.0,1964.65,1860.0,1888.55,1925.25,1949123
Olectra Greentech Limited,OLECTRA,2024-03-27,1772.0,1945.0,1770.0,1925.25,1764.05,4194617
Olectra Greentech Limited,OLECTRA,2024-03-26,1784.05,1808.0,1758.15,1764.05,1785.65,662679
Olectra Greentech Limited,OLECTRA,2024-03-22,1769.0,1803.75,1755.15,1785.65,1772.0,1127037
Olectra Greentech Limited,OLECTRA,2024-03-21,1720.0,1793.9,1718.65,1772.0,1689.1,1939813
Olectra Greentech Limited,OLECTRA,2024-03-20,1716.8,1749.0,1680.0,1689.1,1709.65,1079583
Olectra Greentech Limited,OLECTRA,2024-03-19,1719.0,1749.0,1685.0,1709.65,1714.4,1461623
Olectra Greentech Limited,OLECTRA,2024-03-18,1730.0,1784.65,1705.0,1714.4,1748.75,1163382
Olectra Greentech Limited,OLECTRA,2024-03-15,1725.0,1790.65,1687.0,1748.75,1790.8,3188227
Olectra Greentech Limited,OLECTRA,2024-03-14,1582.95,1828.5,1560.1,1790.8,1590.05,5235862
Olectra Greentech Limited,OLECTRA,2024-03-13,1745.4,1800.0,1561.0,1590.05,1744.7,2391739
Olectra Greentech Limited,OLECTRA,2024-03-12,1837.1,1842.2,1730.15,1744.7,1837.25,1414392
Olectra Greentech Limited,OLECTRA,2024-03-11,1903.5,1903.5,1826.0,1837.25,1897.4,541006
Olectra Greentech Limited,OLECTRA,2024-03-07,1873.95,1929.0,1868.3,1897.4,1863.45,711890
Olectra Greentech Limited,OLECTRA,2024-03-06,1939.0,1941.5,1852.0,1863.45,1937.5,1058599
Olectra Greentech Limited,OLECTRA,2024-03-05,1951.0,1969.55,1931.0,1937.5,1948.9,582835
Olectra Greentech Limited,OLECTRA,2024-03-04,1976.75,1994.7,1932.6,1948.9,1976.75,777483
Olectra Greentech Limited,OLECTRA,2024-03-02,1965.1,1980.0,1950.0,1976.75,1962.4,137175
Olectra Greentech Limited,OLECTRA,2024-03-01,1978.0,2011.5,1954.0,1962.4,1966.75,742242
Olectra Greentech Limited,OLECTRA,2024-02-29,1958.0,1978.0,1908.25,1966.75,1957.8,1207114
Olectra Greentech Limited,OLECTRA,2024-02-28,2032.0,2034.0,1950.0,1957.8,2024.0,1277862
Olectra Greentech Limited,OLECTRA,2024-02-27,2022.0,2063.6,2009.0,2024.0,2015.45,1214885
Olectra Greentech Limited,OLECTRA,2024-02-26,2046.0,2065.5,2002.2,2015.45,2034.2,1759257
Olectra Greentech Limited,OLECTRA,2024-02-23,2125.0,2183.75,2020.0,2034.2,2101.5,3749888
Olectra Greentech Limited,OLECTRA,2024-02-22,2090.0,2221.95,2011.0,2101.5,2062.65,6770262
Olectra Greentech Limited,OLECTRA,2024-02-21,2099.0,2138.0,2046.0,2062.65,2089.75,1172123
Olectra Greentech Limited,OLECTRA,2024-02-20,2145.8,2146.8,2065.7,2089.75,2135.1,1534240
Olectra Greentech Limited,OLECTRA,2024-02-19,2014.8,2159.95,1983.7,2135.1,2006.4,3534151
Olectra Greentech Limited,OLECTRA,2024-02-16,2021.05,2063.25,1991.5,2006.4,2010.95,850508
Olectra Greentech Limited,OLECTRA,2024-02-15,2013.95,2079.95,2000.0,2010.95,2003.9,1626923
Olectra Greentech Limited,OLECTRA,2024-02-14,1977.7,2036.85,1942.05,2003.9,1995.7,1821850
Olectra Greentech Limited,OLECTRA,2024-02-13,1960.0,2034.75,1847.05,1995.7,1946.4,2725970
Olectra Greentech Limited,OLECTRA,2024-02-12,2018.0,2134.0,1917.15,1946.4,1999.75,4737518
Olectra Greentech Limited,OLECTRA,2024-02-09,1889.0,2048.0,1885.65,1999.75,1879.8,6188894
Olectra Greentech Limited,OLECTRA,2024-02-08,1907.0,1915.0,1870.0,1879.8,1905.75,795827
Olectra Greentech Limited,OLECTRA,2024-02-07,1902.95,1948.95,1870.0,1905.75,1896.1,1657342
Olectra Greentech Limited,OLECTRA,2024-02-06,1851.0,1904.95,1793.8,1896.1,1839.65,1682676
Olectra Greentech Limited,OLECTRA,2024-02-05,1794.0,1923.7,1787.0,1839.65,1786.65,3240712
Olectra Greentech Limited,OLECTRA,2024-02-02,1745.0,1810.0,1742.25,1786.65,1727.55,1951651
Olectra Greentech Limited,OLECTRA,2024-02-01,1751.2,1849.0,1713.05,1727.55,1742.05,4510715
Olectra Greentech Limited,OLECTRA,2024-01-31,1684.4,1768.45,1682.55,1742.05,1682.15,2022249
Olectra Greentech Limited,OLECTRA,2024-01-30,1703.1,1708.6,1667.2,1682.15,1693.75,729006
Olectra Greentech Limited,OLECTRA,2024-01-29,1775.0,1798.55,1685.0,1693.75,1697.8,1763522
Olectra Greentech Limited,OLECTRA,2024-01-25,1700.75,1718.95,1675.0,1697.8,1694.55,829055
Olectra Greentech Limited,OLECTRA,2024-01-24,1605.0,1719.95,1576.0,1694.55,1608.85,1870980
Olectra Greentech Limited,OLECTRA,2024-01-23,1663.95,1685.8,1588.2,1608.85,1655.65,629984
Olectra Greentech Limited,OLECTRA,2024-01-20,1675.0,1678.85,1650.0,1655.65,1667.5,301185
Olectra Greentech Limited,OLECTRA,2024-01-19,1665.35,1698.0,1655.0,1667.5,1658.65,507130
Olectra Greentech Limited,OLECTRA,2024-01-18,1666.0,1679.45,1550.0,1658.65,1676.0,734341
Olectra Greentech Limited,OLECTRA,2024-01-17,1658.05,1696.65,1611.0,1676.0,1671.3,765323
Olectra Greentech Limited,OLECTRA,2024-01-16,1663.4,1714.95,1643.15,1671.3,1659.35,839074
Olectra Greentech Limited,OLECTRA,2024-01-15,1696.65,1699.3,1607.1,1659.35,1685.6,1041429
Olectra Greentech Limited,OLECTRA,2024-01-12,1705.0,1725.45,1656.1,1685.6,1705.25,1391959
Olectra Greentech Limited,OLECTRA,2024-01-11,1747.0,1808.0,1640.0,1705.25,1709.05,9240667
Olectra Greentech Limited,OLECTRA,2024-01-10,1540.0,1750.0,1526.0,1709.05,1538.35,11789189
Olectra Greentech Limited,OLECTRA,2024-01-09,1526.6,1557.95,1515.0,1538.35,1509.5,2661835
Olectra Greentech Limited,OLECTRA,2024-01-08,1472.0,1580.0,1470.1,1509.5,1452.8,10074305
Olectra Greentech Limited,OLECTRA,2024-01-05,1354.35,1493.3,1344.0,1452.8,1349.05,9772667
Olectra Greentech Limited,OLECTRA,2024-01-04,1344.2,1379.8,1340.4,1349.05,1338.3,722156
Olectra Greentech Limited,OLECTRA,2024-01-03,1357.0,1368.45,1332.6,1338.3,1356.45,793802
Olectra Greentech Limited,OLECTRA,2024-01-02,1377.95,1398.8,1327.4,1356.45,1373.45,2143274
Olectra Greentech Limited,OLECTRA,2024-01-01,1349.0,1429.0,1345.05,1373.45,1346.8,4636805
Olectra Greentech Limited,OLECTRA,2023-12-29,1257.05,1378.8,1255.0,1346.8,1246.6,9214234
Olectra Greentech Limited,OLECTRA,2023-12-28,1257.8,1269.7,1242.55,1246.6,1253.0,384454
Olectra Greentech Limited,OLECTRA,2023-12-27,1259.7,1268.9,1240.2,1253.0,1254.05,400934
Olectra Greentech Limited,OLECTRA,2023-12-26,1234.7,1264.0,1226.05,1254.05,1229.1,814606
Olectra Greentech Limited,OLECTRA,2023-12-22,1240.1,1247.35,1222.0,1229.1,1234.0,347220
Olectra Greentech Limited,OLECTRA,2023-12-21,1191.05,1241.0,1181.25,1234.0,1212.25,711397
Olectra Greentech Limited,OLECTRA,2023-12-20,1280.0,1302.0,1192.65,1212.25,1274.05,1281464
Olectra Greentech Limited,OLECTRA,2023-12-19,1290.0,1304.7,1265.0,1274.05,1294.75,954002
Olectra Greentech Limited,OLECTRA,2023-12-18,1290.0,1324.3,1281.4,1294.75,1280.95,1488952
Olectra Greentech Limited,OLECTRA,2023-12-15,1253.65,1345.7,1232.6,1280.95,1252.1,4154824
Olectra Greentech Limited,OLECTRA,2023-12-14,1272.45,1287.2,1250.0,1252.1,1259.55,584824
Olectra Greentech Limited,OLECTRA,2023-12-13,1222.95,1281.8,1213.15,1259.55,1219.4,1247179
Olectra Greentech Limited,OLECTRA,2023-12-12,1244.0,1246.95,1215.0,1219.4,1238.4,388585
Olectra Greentech Limited,OLECTRA,2023-12-11,1245.0,1257.0,1227.15,1238.4,1232.25,577844
