StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Oil & Natural Gas Corporation Limited,ONGC,2024-03-28,262.45,271.0,261.95,268.05,261.75,18888942
Oil & Natural Gas Corporation Limited,ONGC,2024-03-28,263.0,263.0,263.0,268.05,261.75,1
Oil & Natural Gas Corporation Limited,ONGC,2024-03-27,265.0,268.2,259.65,261.75,265.5,28563001
Oil & Natural Gas Corporation Limited,ONGC,2024-03-26,261.65,267.9,259.3,265.5,263.25,10830926
Oil & Natural Gas Corporation Limited,ONGC,2024-03-22,262.95,265.25,258.45,263.25,262.95,13025089
Oil & Natural Gas Corporation Limited,ONGC,2024-03-21,264.7,266.95,262.35,262.95,263.85,12163200
Oil & Natural Gas Corporation Limited,ONGC,2024-03-20,259.45,264.6,257.2,263.85,259.25,10484778
Oil & Natural Gas Corporation Limited,ONGC,2024-03-19,262.0,263.95,256.65,259.25,261.6,8758348
Oil & Natural Gas Corporation Limited,ONGC,2024-03-18,258.95,263.05,257.55,261.6,258.75,9246173
Oil & Natural Gas Corporation Limited,ONGC,2024-03-15,263.95,266.4,248.9,258.75,263.25,34961065
Oil & Natural Gas Corporation Limited,ONGC,2024-03-14,252.5,264.35,251.2,263.25,255.35,21404057
Oil & Natural Gas Corporation Limited,ONGC,2024-03-13,270.8,271.0,252.75,255.35,270.4,20079496
Oil & Natural Gas Corporation Limited,ONGC,2024-03-12,274.0,275.6,269.05,270.4,274.0,13780189
Oil & Natural Gas Corporation Limited,ONGC,2024-03-11,278.1,280.5,273.2,274.0,278.1,10684598
Oil & Natural Gas Corporation Limited,ONGC,2024-03-07,280.25,284.35,277.25,278.1,280.25,11386963
Oil & Natural Gas Corporation Limited,ONGC,2024-03-06,284.3,284.3,273.55,280.25,283.75,16807149
Oil & Natural Gas Corporation Limited,ONGC,2024-03-05,280.0,284.95,276.65,283.75,279.2,18544484
Oil & Natural Gas Corporation Limited,ONGC,2024-03-04,272.75,280.55,272.5,279.2,271.9,22280353
Oil & Natural Gas Corporation Limited,ONGC,2024-03-02,272.0,272.9,271.35,271.9,270.55,864693
Oil & Natural Gas Corporation Limited,ONGC,2024-03-01,266.5,272.95,266.5,270.55,264.6,12930057
