StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
One 97 Communications Limited,PAYTM,2024-03-28,402.4,404.95,399.0,402.65,396.8,2536846
One 97 Communications Limited,PAYTM,2024-03-27,397.0,415.3,394.0,396.8,398.45,4405505
One 97 Communications Limited,PAYTM,2024-03-26,402.35,404.5,394.05,398.45,402.35,2363658
One 97 Communications Limited,PAYTM,2024-03-22,412.85,417.45,398.15,402.35,410.85,2574779
One 97 Communications Limited,PAYTM,2024-03-21,432.0,437.4,405.0,410.85,420.25,5120160
One 97 Communications Limited,PAYTM,2024-03-20,416.0,425.7,405.0,420.25,406.35,6512954
One 97 Communications Limited,PAYTM,2024-03-19,397.05,408.65,391.6,406.35,389.2,8749001
One 97 Communications Limited,PAYTM,2024-03-18,379.0,389.2,373.05,389.2,370.7,7280856
One 97 Communications Limited,PAYTM,2024-03-15,370.7,370.7,367.25,370.7,353.05,5064403
One 97 Communications Limited,PAYTM,2024-03-14,336.25,362.15,334.25,353.05,350.95,5453642
One 97 Communications Limited,PAYTM,2024-03-13,370.5,372.45,350.95,350.95,369.4,2583164
One 97 Communications Limited,PAYTM,2024-03-12,388.75,391.15,369.4,369.4,388.8,3361826
One 97 Communications Limited,PAYTM,2024-03-11,409.95,409.95,386.25,388.8,400.75,1902348
One 97 Communications Limited,PAYTM,2024-03-07,405.0,405.25,396.0,400.75,393.05,1612307
One 97 Communications Limited,PAYTM,2024-03-06,404.15,404.15,384.1,393.05,404.15,2957807
One 97 Communications Limited,PAYTM,2024-03-05,418.0,418.0,399.35,404.15,418.2,5331595
One 97 Communications Limited,PAYTM,2024-03-04,410.8,424.2,400.0,418.2,414.4,3333960
One 97 Communications Limited,PAYTM,2024-03-02,423.9,429.85,410.0,414.4,423.45,1751337
One 97 Communications Limited,PAYTM,2024-03-01,416.1,423.45,413.2,423.45,403.3,4664243
One 97 Communications Limited,PAYTM,2024-02-29,395.0,419.4,385.9,403.3,406.2,13630735
One 97 Communications Limited,PAYTM,2024-02-28,432.0,432.0,406.2,406.2,427.55,4426529
One 97 Communications Limited,PAYTM,2024-02-27,418.0,449.5,413.2,427.55,428.1,20736054
One 97 Communications Limited,PAYTM,2024-02-26,420.0,428.1,420.0,428.1,407.75,8475917
One 97 Communications Limited,PAYTM,2024-02-23,392.0,407.75,385.0,407.75,388.35,7919872
One 97 Communications Limited,PAYTM,2024-02-22,400.0,402.95,380.6,388.35,395.05,21147933
One 97 Communications Limited,PAYTM,2024-02-21,395.05,395.05,395.05,395.05,376.25,1021399
One 97 Communications Limited,PAYTM,2024-02-20,376.25,376.25,376.25,376.25,358.35,1009337
One 97 Communications Limited,PAYTM,2024-02-19,358.35,358.35,358.35,358.35,341.3,1205875
One 97 Communications Limited,PAYTM,2024-02-16,325.0,341.3,318.05,341.3,325.05,19113793
One 97 Communications Limited,PAYTM,2024-02-15,326.7,338.45,325.05,325.05,342.15,10324976
One 97 Communications Limited,PAYTM,2024-02-14,355.0,360.15,342.15,342.15,380.15,15657904
One 97 Communications Limited,PAYTM,2024-02-13,403.0,408.0,380.0,380.15,422.2,11455765
One 97 Communications Limited,PAYTM,2024-02-12,430.05,435.5,411.2,422.2,419.85,10958969
One 97 Communications Limited,PAYTM,2024-02-09,420.0,438.0,410.0,419.85,446.65,14918098
One 97 Communications Limited,PAYTM,2024-02-08,525.0,528.0,446.65,446.65,496.25,21240680
One 97 Communications Limited,PAYTM,2024-02-07,463.0,496.25,462.0,496.25,451.15,20273368
One 97 Communications Limited,PAYTM,2024-02-06,395.0,473.55,395.0,451.15,438.5,63835202
One 97 Communications Limited,PAYTM,2024-02-05,438.5,438.5,438.5,438.5,487.2,7385809
One 97 Communications Limited,PAYTM,2024-02-02,487.2,487.2,487.2,487.2,609.0,8816560
One 97 Communications Limited,PAYTM,2024-02-01,609.0,609.0,609.0,609.0,761.2,1319654
One 97 Communications Limited,PAYTM,2024-01-31,758.15,774.3,753.1,761.2,761.1,2932281
One 97 Communications Limited,PAYTM,2024-01-30,753.0,767.0,753.0,761.1,752.05,3415910
One 97 Communications Limited,PAYTM,2024-01-29,763.95,768.9,747.05,752.05,763.05,3108252
One 97 Communications Limited,PAYTM,2024-01-25,753.75,753.75,753.75,753.75,2150.0,1063528
One 97 Communications Limited,PAYTM,2024-01-25,756.0,767.7,755.15,763.05,753.75,2297563
One 97 Communications Limited,PAYTM,2024-01-24,754.0,759.8,744.4,753.75,755.9,4201784
One 97 Communications Limited,PAYTM,2024-01-23,793.0,793.0,736.6,755.9,785.3,8164301
