StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
PCBL LIMITED,PCBL,2024-03-28,275.5,280.0,265.2,267.7,264.85,8298643
PCBL LIMITED,PCBL,2024-03-27,263.0,269.3,261.8,264.85,261.6,2230834
PCBL LIMITED,PCBL,2024-03-26,263.3,265.65,256.55,261.6,262.55,2315978
PCBL LIMITED,PCBL,2024-03-22,251.9,264.6,251.7,262.55,249.95,4380747
PCBL LIMITED,PCBL,2024-03-21,249.0,254.9,248.3,249.95,245.25,1889687
PCBL LIMITED,PCBL,2024-03-20,247.65,252.2,241.55,245.25,246.9,1204914
PCBL LIMITED,PCBL,2024-03-19,247.75,253.35,244.6,246.9,247.7,2105836
PCBL LIMITED,PCBL,2024-03-18,248.0,258.75,246.0,247.7,245.0,4610189
PCBL LIMITED,PCBL,2024-03-15,250.0,255.2,240.2,245.0,254.1,3481021
PCBL LIMITED,PCBL,2024-03-14,232.9,257.3,230.5,254.1,231.0,6520122
PCBL LIMITED,PCBL,2024-03-13,245.0,253.25,225.2,231.0,244.95,4814925
PCBL LIMITED,PCBL,2024-03-12,252.7,255.0,238.55,244.95,250.25,6542920
PCBL LIMITED,PCBL,2024-03-11,268.6,269.1,245.45,250.25,268.6,7451003
PCBL LIMITED,PCBL,2024-03-07,277.75,279.7,268.05,268.6,275.55,2507997
PCBL LIMITED,PCBL,2024-03-06,280.05,281.8,271.7,275.55,282.75,2073543
PCBL LIMITED,PCBL,2024-03-05,289.0,290.25,282.1,282.75,289.65,1701491
PCBL LIMITED,PCBL,2024-03-04,299.7,300.7,287.9,289.65,298.6,1469577
PCBL LIMITED,PCBL,2024-03-02,296.2,299.7,292.1,298.6,294.9,302381
PCBL LIMITED,PCBL,2024-03-01,288.1,297.45,288.1,294.9,286.05,1428179
PCBL LIMITED,PCBL,2024-02-29,288.05,289.7,278.0,286.05,286.5,3472282
PCBL LIMITED,PCBL,2024-02-28,302.55,303.8,285.2,286.5,302.55,3147322
PCBL LIMITED,PCBL,2024-02-27,305.9,307.0,301.0,302.55,304.6,1014418
PCBL LIMITED,PCBL,2024-02-26,301.0,310.0,300.5,304.6,300.95,1369078
PCBL LIMITED,PCBL,2024-02-23,308.0,308.1,300.05,300.95,305.95,1802078
PCBL LIMITED,PCBL,2024-02-22,303.0,314.6,303.0,305.95,302.65,2736537
PCBL LIMITED,PCBL,2024-02-21,315.7,316.9,301.25,302.65,313.15,2088215
PCBL LIMITED,PCBL,2024-02-20,317.65,318.5,312.25,313.15,318.15,1778233
PCBL LIMITED,PCBL,2024-02-19,328.0,328.35,315.05,318.15,326.5,2662389
PCBL LIMITED,PCBL,2024-02-16,309.9,332.7,309.5,326.5,306.6,7393381
PCBL LIMITED,PCBL,2024-02-15,304.25,314.3,304.1,306.6,301.9,2019685
PCBL LIMITED,PCBL,2024-02-14,294.85,305.0,291.3,301.9,297.85,1853659
PCBL LIMITED,PCBL,2024-02-13,295.65,302.0,283.3,297.85,295.65,3291591
PCBL LIMITED,PCBL,2024-02-12,320.9,321.4,291.6,295.65,319.65,3696575
PCBL LIMITED,PCBL,2024-02-09,336.6,338.45,313.6,319.65,334.25,3280483
PCBL LIMITED,PCBL,2024-02-08,327.85,343.5,326.3,334.25,324.85,7899121
PCBL LIMITED,PCBL,2024-02-07,326.9,328.8,317.75,324.85,324.1,2197309
PCBL LIMITED,PCBL,2024-02-06,322.5,335.0,319.95,324.1,321.55,3318939
PCBL LIMITED,PCBL,2024-02-05,315.05,335.0,315.05,321.55,320.0,5830378
