StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Petronet LNG Limited,PETRONET,2024-03-28,264.5,268.4,261.05,263.2,263.75,4263056
Petronet LNG Limited,PETRONET,2024-03-27,266.7,269.9,263.05,263.75,265.55,2943546
Petronet LNG Limited,PETRONET,2024-03-26,259.35,268.8,257.75,265.55,259.35,8771943
Petronet LNG Limited,PETRONET,2024-03-22,258.65,261.25,256.3,259.35,258.65,4162593
Petronet LNG Limited,PETRONET,2024-03-21,261.05,263.65,257.35,258.65,261.75,5192498
Petronet LNG Limited,PETRONET,2024-03-20,263.8,264.3,257.7,261.75,261.65,2359042
Petronet LNG Limited,PETRONET,2024-03-19,261.55,265.15,259.4,261.65,264.6,4001113
Petronet LNG Limited,PETRONET,2024-03-18,264.8,266.3,261.4,264.6,264.35,2227478
Petronet LNG Limited,PETRONET,2024-03-15,266.1,269.6,258.05,264.35,266.65,6470305
Petronet LNG Limited,PETRONET,2024-03-14,263.65,269.0,261.0,266.65,263.75,5600085
Petronet LNG Limited,PETRONET,2024-03-13,275.65,278.25,262.4,263.75,275.65,5197790
Petronet LNG Limited,PETRONET,2024-03-12,279.7,281.2,274.65,275.65,279.7,2721780
Petronet LNG Limited,PETRONET,2024-03-11,281.3,283.3,275.3,279.7,281.65,4479337
Petronet LNG Limited,PETRONET,2024-03-07,284.2,288.3,281.0,281.65,285.7,2703291
Petronet LNG Limited,PETRONET,2024-03-06,290.9,292.8,280.3,285.7,291.1,5010918
Petronet LNG Limited,PETRONET,2024-03-05,294.0,294.0,286.95,291.1,291.2,6054621
Petronet LNG Limited,PETRONET,2024-03-04,282.0,292.4,282.0,291.2,281.85,7600375
Petronet LNG Limited,PETRONET,2024-03-02,282.75,284.25,278.9,281.85,282.7,194818
Petronet LNG Limited,PETRONET,2024-03-01,273.45,284.05,273.45,282.7,273.45,4960901
Petronet LNG Limited,PETRONET,2024-02-29,273.6,275.35,270.65,273.45,273.7,12004742
Petronet LNG Limited,PETRONET,2024-02-28,280.5,286.05,272.5,273.7,281.35,5283852
Petronet LNG Limited,PETRONET,2024-02-27,286.7,287.45,278.1,281.35,286.35,2780837
Petronet LNG Limited,PETRONET,2024-02-26,284.65,289.0,283.3,286.35,284.7,4441238
Petronet LNG Limited,PETRONET,2024-02-23,283.95,287.7,281.2,284.7,284.0,4293379
Petronet LNG Limited,PETRONET,2024-02-22,280.0,285.95,277.15,284.0,280.7,3793051
Petronet LNG Limited,PETRONET,2024-02-21,283.25,284.95,279.5,280.7,281.25,5473156
Petronet LNG Limited,PETRONET,2024-02-20,283.7,284.6,278.6,281.25,282.75,4877148
Petronet LNG Limited,PETRONET,2024-02-19,279.05,285.95,276.1,282.75,277.95,6286579
Petronet LNG Limited,PETRONET,2024-02-16,279.9,282.5,277.0,277.95,277.15,6096080
Petronet LNG Limited,PETRONET,2024-02-15,273.8,284.0,271.1,277.15,272.15,8991058
Petronet LNG Limited,PETRONET,2024-02-14,264.55,272.95,261.9,272.15,266.0,5272796
Petronet LNG Limited,PETRONET,2024-02-13,257.9,268.05,255.75,266.0,257.0,7246483
Petronet LNG Limited,PETRONET,2024-02-12,272.4,272.4,255.6,257.0,270.15,7857731
Petronet LNG Limited,PETRONET,2024-02-09,280.45,281.0,264.75,270.15,278.25,9701673
Petronet LNG Limited,PETRONET,2024-02-08,285.6,285.7,277.2,278.25,282.9,5354700
Petronet LNG Limited,PETRONET,2024-02-07,291.95,291.95,281.05,282.9,290.4,10396689
Petronet LNG Limited,PETRONET,2024-02-06,276.95,296.45,274.55,290.4,273.35,31744882
Petronet LNG Limited,PETRONET,2024-02-05,271.8,279.4,268.35,273.35,269.45,12231784
Petronet LNG Limited,PETRONET,2024-02-02,268.4,272.4,266.55,269.45,265.7,6962922
Petronet LNG Limited,PETRONET,2024-02-01,270.0,270.0,260.9,265.7,269.1,10182665
Petronet LNG Limited,PETRONET,2024-01-31,268.5,270.65,263.55,269.1,267.55,7429307
Petronet LNG Limited,PETRONET,2024-01-30,266.9,284.55,264.35,267.55,262.95,36116964
Petronet LNG Limited,PETRONET,2024-01-29,259.0,266.3,257.6,262.95,256.6,15532941
Petronet LNG Limited,PETRONET,2024-01-25,260.3,262.75,255.5,256.6,260.3,6781388
Petronet LNG Limited,PETRONET,2024-01-24,261.75,263.75,254.1,260.3,259.9,10188898
Petronet LNG Limited,PETRONET,2024-01-23,260.0,266.3,253.75,259.9,246.8,31980576
Petronet LNG Limited,PETRONET,2024-01-20,249.1,250.5,245.05,246.8,243.65,4233895
Petronet LNG Limited,PETRONET,2024-01-19,242.1,245.0,240.1,243.65,240.2,6580647
Petronet LNG Limited,PETRONET,2024-01-18,232.0,240.8,228.05,240.2,232.75,6552050
Petronet LNG Limited,PETRONET,2024-01-17,235.0,237.5,231.8,232.75,236.6,3358501
Petronet LNG Limited,PETRONET,2024-01-16,232.0,239.65,230.7,236.6,232.25,7339467
Petronet LNG Limited,PETRONET,2024-01-15,230.0,234.8,229.6,232.25,229.55,4334489
Petronet LNG Limited,PETRONET,2024-01-12,232.5,232.5,228.1,229.55,230.4,3546930
Petronet LNG Limited,PETRONET,2024-01-11,234.85,236.0,229.75,230.4,234.0,3514445
Petronet LNG Limited,PETRONET,2024-01-10,230.4,235.55,227.5,234.0,230.45,5631994
Petronet LNG Limited,PETRONET,2024-01-09,226.9,233.6,225.85,230.45,226.1,6323800
Petronet LNG Limited,PETRONET,2024-01-08,228.7,229.8,225.05,226.1,228.65,4305444
Petronet LNG Limited,PETRONET,2024-01-05,232.85,233.95,227.7,228.65,232.05,3747630
Petronet LNG Limited,PETRONET,2024-01-04,229.8,232.7,229.1,232.05,228.3,4018835
Petronet LNG Limited,PETRONET,2024-01-03,227.95,229.8,225.6,228.3,226.65,3907477
Petronet LNG Limited,PETRONET,2024-01-02,226.85,230.0,223.65,226.65,225.6,4779931
Petronet LNG Limited,PETRONET,2024-01-01,223.0,228.7,222.5,225.6,222.65,4150472
Petronet LNG Limited,PETRONET,2023-12-29,224.0,225.4,221.4,222.65,222.4,3941535
Petronet LNG Limited,PETRONET,2023-12-28,218.9,223.85,217.7,222.4,216.3,9235328
