StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
The Phoenix Mills Limited,PHOENIXLTD,2024-03-28,2765.15,2826.75,2703.0,2782.8,2727.95,523005
The Phoenix Mills Limited,PHOENIXLTD,2024-03-27,2748.0,2772.0,2703.1,2727.95,2702.6,516619
The Phoenix Mills Limited,PHOENIXLTD,2024-03-26,2560.2,2744.3,2549.7,2702.6,2547.8,511026
The Phoenix Mills Limited,PHOENIXLTD,2024-03-22,2575.8,2603.1,2533.7,2547.8,2558.1,388213
The Phoenix Mills Limited,PHOENIXLTD,2024-03-21,2582.1,2595.2,2530.2,2558.1,2563.45,406984
The Phoenix Mills Limited,PHOENIXLTD,2024-03-20,2659.1,2660.15,2546.0,2563.45,2633.8,490312
The Phoenix Mills Limited,PHOENIXLTD,2024-03-19,2634.0,2695.9,2523.3,2633.8,2634.35,687587
The Phoenix Mills Limited,PHOENIXLTD,2024-03-18,2717.05,2745.0,2605.0,2634.35,2725.05,476899
The Phoenix Mills Limited,PHOENIXLTD,2024-03-15,2667.2,2837.75,2632.25,2725.05,2646.85,2343440
The Phoenix Mills Limited,PHOENIXLTD,2024-03-14,2551.0,2727.95,2430.8,2646.85,2589.45,1518565
The Phoenix Mills Limited,PHOENIXLTD,2024-03-13,2832.75,2971.6,2516.8,2589.45,2805.55,1107708
The Phoenix Mills Limited,PHOENIXLTD,2024-03-12,2830.0,2939.0,2681.25,2805.55,2766.9,407964
The Phoenix Mills Limited,PHOENIXLTD,2024-03-11,2801.4,2835.8,2736.55,2766.9,2781.95,284476
The Phoenix Mills Limited,PHOENIXLTD,2024-03-07,2727.5,2807.25,2727.5,2781.95,2707.3,278264
The Phoenix Mills Limited,PHOENIXLTD,2024-03-06,2751.7,2811.95,2681.5,2707.3,2753.9,952200
The Phoenix Mills Limited,PHOENIXLTD,2024-03-05,2675.05,2804.2,2660.85,2753.9,2701.8,698363
The Phoenix Mills Limited,PHOENIXLTD,2024-03-04,2735.0,2775.1,2675.4,2701.8,2772.55,434190
The Phoenix Mills Limited,PHOENIXLTD,2024-03-02,2789.9,2789.9,2750.05,2772.55,2741.6,3275
The Phoenix Mills Limited,PHOENIXLTD,2024-03-01,2819.65,2834.35,2665.0,2741.6,2760.7,692163
The Phoenix Mills Limited,PHOENIXLTD,2024-02-29,2789.7,2816.55,2682.4,2760.7,2784.15,701967
The Phoenix Mills Limited,PHOENIXLTD,2024-02-28,2837.15,2847.1,2725.0,2784.15,2828.3,350993
The Phoenix Mills Limited,PHOENIXLTD,2024-02-27,2874.8,2884.0,2804.95,2828.3,2864.5,390497
The Phoenix Mills Limited,PHOENIXLTD,2024-02-26,2905.05,2907.95,2726.1,2864.5,2910.4,1546546
The Phoenix Mills Limited,PHOENIXLTD,2024-02-23,2833.9,2930.0,2833.9,2910.4,2806.2,806509
The Phoenix Mills Limited,PHOENIXLTD,2024-02-22,2892.55,2892.65,2773.25,2806.2,2896.15,472297
The Phoenix Mills Limited,PHOENIXLTD,2024-02-21,2826.65,2942.0,2810.05,2896.15,2826.65,639690
The Phoenix Mills Limited,PHOENIXLTD,2024-02-20,2790.0,2890.0,2781.8,2826.65,2785.7,542061
The Phoenix Mills Limited,PHOENIXLTD,2024-02-19,2714.2,2814.95,2667.05,2785.7,2733.05,367028
The Phoenix Mills Limited,PHOENIXLTD,2024-02-16,2729.95,2750.0,2681.35,2733.05,2744.15,555059
The Phoenix Mills Limited,PHOENIXLTD,2024-02-15,2622.0,2767.0,2622.0,2744.15,2579.05,915327
The Phoenix Mills Limited,PHOENIXLTD,2024-02-14,2544.95,2641.25,2500.0,2579.05,2564.7,301596
The Phoenix Mills Limited,PHOENIXLTD,2024-02-13,2709.8,2740.0,2443.0,2564.7,2654.85,1057692
The Phoenix Mills Limited,PHOENIXLTD,2024-02-12,2779.1,2790.0,2625.05,2654.85,2812.15,188078
The Phoenix Mills Limited,PHOENIXLTD,2024-02-09,2814.45,2834.75,2766.1,2812.15,2806.7,308981
The Phoenix Mills Limited,PHOENIXLTD,2024-02-08,2760.3,2836.25,2728.2,2806.7,2761.5,590181
The Phoenix Mills Limited,PHOENIXLTD,2024-02-07,2700.45,2798.0,2665.3,2761.5,2652.3,733452
The Phoenix Mills Limited,PHOENIXLTD,2024-02-06,2660.0,2730.0,2545.0,2652.3,2655.25,963934
The Phoenix Mills Limited,PHOENIXLTD,2024-02-05,2478.9,2679.65,2478.9,2655.25,2478.9,1055383
The Phoenix Mills Limited,PHOENIXLTD,2024-02-02,2369.9,2510.0,2355.65,2478.9,2350.5,968014
The Phoenix Mills Limited,PHOENIXLTD,2024-02-01,2423.1,2449.4,2316.0,2350.5,2423.8,326357
The Phoenix Mills Limited,PHOENIXLTD,2024-01-31,2370.0,2442.0,2310.7,2423.8,2365.25,382796
The Phoenix Mills Limited,PHOENIXLTD,2024-01-30,2364.7,2442.0,2332.0,2365.25,2354.55,370882
The Phoenix Mills Limited,PHOENIXLTD,2024-01-29,2304.0,2379.45,2270.1,2354.55,2296.2,383425
The Phoenix Mills Limited,PHOENIXLTD,2024-01-25,2367.05,2367.05,2367.05,2367.05,1518.55,219728
The Phoenix Mills Limited,PHOENIXLTD,2024-01-25,2367.05,2444.9,2275.0,2296.2,2367.05,390913
The Phoenix Mills Limited,PHOENIXLTD,2024-01-24,2387.95,2418.8,2289.4,2367.05,2396.25,704680
The Phoenix Mills Limited,PHOENIXLTD,2024-01-23,2520.3,2546.65,2341.0,2396.25,2493.3,731083
The Phoenix Mills Limited,PHOENIXLTD,2024-01-20,2562.8,2582.1,2480.0,2493.3,2563.45,61274
The Phoenix Mills Limited,PHOENIXLTD,2024-01-19,2500.0,2573.35,2490.0,2563.45,2488.25,530411
The Phoenix Mills Limited,PHOENIXLTD,2024-01-18,2386.5,2510.0,2350.0,2488.25,2418.35,821460
The Phoenix Mills Limited,PHOENIXLTD,2024-01-17,2340.0,2436.3,2328.7,2418.35,2446.8,589790
The Phoenix Mills Limited,PHOENIXLTD,2024-01-16,2502.75,2509.5,2415.5,2446.8,2480.9,342499
The Phoenix Mills Limited,PHOENIXLTD,2024-01-15,2518.05,2558.2,2433.45,2480.9,2501.65,480904
The Phoenix Mills Limited,PHOENIXLTD,2024-01-12,2479.0,2524.85,2445.15,2501.65,2445.45,677612
The Phoenix Mills Limited,PHOENIXLTD,2024-01-11,2571.0,2597.95,2395.05,2445.45,2572.15,1338510
The Phoenix Mills Limited,PHOENIXLTD,2024-01-10,2596.6,2609.45,2555.9,2572.15,2640.5,408065
The Phoenix Mills Limited,PHOENIXLTD,2024-01-09,2520.0,2674.45,2510.0,2640.5,2533.6,710181
The Phoenix Mills Limited,PHOENIXLTD,2024-01-08,2495.0,2598.0,2468.55,2533.6,2488.85,1004833
The Phoenix Mills Limited,PHOENIXLTD,2024-01-05,2370.0,2598.0,2369.0,2488.85,2364.5,1193179
The Phoenix Mills Limited,PHOENIXLTD,2024-01-04,2320.0,2386.0,2298.05,2364.5,2290.45,287814
The Phoenix Mills Limited,PHOENIXLTD,2024-01-03,2235.35,2299.0,2232.1,2290.45,2235.35,196999
The Phoenix Mills Limited,PHOENIXLTD,2024-01-02,2265.4,2279.9,2228.0,2235.35,2254.1,124152
The Phoenix Mills Limited,PHOENIXLTD,2024-01-01,2240.0,2264.9,2218.0,2254.1,2244.65,102062
The Phoenix Mills Limited,PHOENIXLTD,2023-12-29,2252.5,2270.0,2221.25,2244.65,2245.35,120275
The Phoenix Mills Limited,PHOENIXLTD,2023-12-28,2257.75,2257.75,2217.05,2245.35,2234.95,198840
The Phoenix Mills Limited,PHOENIXLTD,2023-12-27,2304.9,2316.35,2216.05,2234.95,2304.85,348408
The Phoenix Mills Limited,PHOENIXLTD,2023-12-26,2324.85,2325.0,2248.05,2304.85,2298.5,340980
The Phoenix Mills Limited,PHOENIXLTD,2023-12-22,2204.05,2334.9,2203.8,2298.5,2194.2,623593
The Phoenix Mills Limited,PHOENIXLTD,2023-12-21,2200.0,2241.0,2142.0,2194.2,2207.75,239945
The Phoenix Mills Limited,PHOENIXLTD,2023-12-20,2262.0,2310.4,2182.45,2207.75,2252.45,262741
The Phoenix Mills Limited,PHOENIXLTD,2023-12-19,2280.0,2322.0,2241.45,2252.45,2280.8,188722
The Phoenix Mills Limited,PHOENIXLTD,2023-12-18,2304.8,2304.8,2226.85,2280.8,2296.85,262168
The Phoenix Mills Limited,PHOENIXLTD,2023-12-15,2370.0,2412.65,2262.0,2296.85,2361.35,501230
The Phoenix Mills Limited,PHOENIXLTD,2023-12-14,2317.5,2387.95,2304.8,2361.35,2281.95,414145
The Phoenix Mills Limited,PHOENIXLTD,2023-12-13,2270.2,2311.95,2244.1,2281.95,2245.7,316126
The Phoenix Mills Limited,PHOENIXLTD,2023-12-12,2240.0,2329.0,2212.25,2245.7,2213.15,547654
The Phoenix Mills Limited,PHOENIXLTD,2023-12-11,2221.85,2247.7,2183.45,2213.15,2209.05,96002
The Phoenix Mills Limited,PHOENIXLTD,2023-12-08,2260.0,2263.9,2156.4,2209.05,2258.45,480555
The Phoenix Mills Limited,PHOENIXLTD,2023-12-07,2264.9,2290.0,2247.6,2258.45,2247.6,262422
The Phoenix Mills Limited,PHOENIXLTD,2023-12-06,2300.0,2312.9,2238.05,2247.6,2283.65,262582
The Phoenix Mills Limited,PHOENIXLTD,2023-12-05,2384.75,2384.75,2280.0,2283.65,2371.55,369935
The Phoenix Mills Limited,PHOENIXLTD,2023-12-04,2369.95,2414.5,2351.45,2371.55,2358.35,329595
The Phoenix Mills Limited,PHOENIXLTD,2023-12-01,2371.0,2393.95,2332.1,2358.35,2371.05,151159
The Phoenix Mills Limited,PHOENIXLTD,2023-11-30,2325.0,2395.0,2249.4,2371.05,2319.95,541206
The Phoenix Mills Limited,PHOENIXLTD,2023-11-29,2418.0,2419.1,2302.05,2319.95,2389.9,201457
The Phoenix Mills Limited,PHOENIXLTD,2023-11-28,2364.3,2402.25,2338.35,2389.9,2363.75,235749
The Phoenix Mills Limited,PHOENIXLTD,2023-11-24,2264.15,2438.0,2264.15,2363.75,2270.35,523810
The Phoenix Mills Limited,PHOENIXLTD,2023-11-23,2224.7,2299.95,2201.6,2270.35,2222.3,329185
The Phoenix Mills Limited,PHOENIXLTD,2023-11-22,2263.0,2263.0,2176.9,2222.3,2249.95,355438
The Phoenix Mills Limited,PHOENIXLTD,2023-11-21,2299.0,2311.7,2215.85,2249.95,2294.8,150038
The Phoenix Mills Limited,PHOENIXLTD,2023-11-20,2298.0,2335.45,2260.0,2294.8,2285.7,292576
The Phoenix Mills Limited,PHOENIXLTD,2023-11-17,2220.0,2298.0,2212.7,2285.7,2216.4,684833
The Phoenix Mills Limited,PHOENIXLTD,2023-11-16,2242.65,2265.0,2202.2,2216.4,2228.05,538964
The Phoenix Mills Limited,PHOENIXLTD,2023-11-15,2125.25,2368.1,2114.35,2228.05,2110.25,1652445
The Phoenix Mills Limited,PHOENIXLTD,2023-11-13,2010.0,2132.3,2001.45,2110.25,2010.2,289023
The Phoenix Mills Limited,PHOENIXLTD,2023-11-12,2064.7,2067.9,1990.0,2010.2,2030.25,16204
The Phoenix Mills Limited,PHOENIXLTD,2023-11-10,2060.05,2060.05,2012.2,2030.25,2064.15,172634
The Phoenix Mills Limited,PHOENIXLTD,2023-11-09,2118.9,2123.9,2047.7,2064.15,2092.8,280735
The Phoenix Mills Limited,PHOENIXLTD,2023-11-08,2058.0,2120.0,2025.0,2092.8,2057.85,262964
The Phoenix Mills Limited,PHOENIXLTD,2023-11-07,2060.0,2080.0,2011.55,2057.85,2048.05,158665
The Phoenix Mills Limited,PHOENIXLTD,2023-11-06,2024.6,2087.85,2016.35,2048.05,2004.6,192866
The Phoenix Mills Limited,PHOENIXLTD,2023-11-03,1975.0,2013.4,1963.15,2004.6,1977.6,232155
The Phoenix Mills Limited,PHOENIXLTD,2023-11-02,1870.6,1990.0,1870.6,1977.6,1894.8,415582
The Phoenix Mills Limited,PHOENIXLTD,2023-11-01,1820.2,1905.0,1820.2,1894.8,1815.35,369893
The Phoenix Mills Limited,PHOENIXLTD,2023-10-31,1831.0,1869.95,1810.0,1815.35,1831.0,240808
The Phoenix Mills Limited,PHOENIXLTD,2023-10-30,1800.0,1855.15,1767.35,1831.0,1806.5,161814
The Phoenix Mills Limited,PHOENIXLTD,2023-10-27,1755.8,1842.35,1755.8,1806.5,1746.65,173864
The Phoenix Mills Limited,PHOENIXLTD,2023-10-26,1774.9,1775.0,1728.05,1746.65,1793.75,331827
The Phoenix Mills Limited,PHOENIXLTD,2023-10-25,1775.05,1807.25,1750.25,1793.75,1801.8,239368
The Phoenix Mills Limited,PHOENIXLTD,2023-10-23,1862.45,1867.35,1745.25,1801.8,1856.55,166016
The Phoenix Mills Limited,PHOENIXLTD,2023-10-20,1871.3,1898.6,1841.2,1856.55,1871.8,202822
The Phoenix Mills Limited,PHOENIXLTD,2023-10-19,1876.2,1909.0,1836.0,1871.8,1876.4,472306
The Phoenix Mills Limited,PHOENIXLTD,2023-10-18,1901.1,1913.8,1854.1,1876.4,1904.85,444738
The Phoenix Mills Limited,PHOENIXLTD,2023-10-17,1935.05,1940.0,1894.95,1904.85,1924.95,325407
The Phoenix Mills Limited,PHOENIXLTD,2023-10-16,2020.0,2024.15,1913.35,1924.95,2014.6,436757
The Phoenix Mills Limited,PHOENIXLTD,2023-10-13,1930.0,2060.0,1861.95,2014.6,1939.65,978935
The Phoenix Mills Limited,PHOENIXLTD,2023-10-12,1939.95,1968.3,1900.0,1939.65,1924.3,168599
The Phoenix Mills Limited,PHOENIXLTD,2023-10-11,1890.0,1941.0,1885.6,1924.3,1865.1,564491
The Phoenix Mills Limited,PHOENIXLTD,2023-10-10,1835.0,1885.0,1820.45,1865.1,1800.45,302363
The Phoenix Mills Limited,PHOENIXLTD,2023-10-09,1799.9,1814.0,1782.05,1800.45,1801.05,75635
The Phoenix Mills Limited,PHOENIXLTD,2023-10-06,1779.85,1814.9,1764.6,1801.05,1769.3,112793
The Phoenix Mills Limited,PHOENIXLTD,2023-10-05,1818.55,1820.85,1730.0,1769.3,1812.35,272024
The Phoenix Mills Limited,PHOENIXLTD,2023-10-04,1802.4,1829.95,1787.0,1812.35,1818.9,83458
The Phoenix Mills Limited,PHOENIXLTD,2023-10-03,1828.9,1844.0,1803.0,1818.9,1814.35,202349
The Phoenix Mills Limited,PHOENIXLTD,2023-09-29,1840.05,1846.05,1796.45,1814.35,1849.75,190135
The Phoenix Mills Limited,PHOENIXLTD,2023-09-28,1852.0,1876.85,1823.15,1849.75,1844.75,107710
The Phoenix Mills Limited,PHOENIXLTD,2023-09-27,1831.4,1885.0,1822.85,1844.75,1831.4,240769
The Phoenix Mills Limited,PHOENIXLTD,2023-09-26,1795.0,1841.95,1765.0,1831.4,1786.3,235742
The Phoenix Mills Limited,PHOENIXLTD,2023-09-25,1826.95,1827.0,1763.55,1786.3,1831.55,203009
The Phoenix Mills Limited,PHOENIXLTD,2023-09-22,1829.3,1851.15,1811.3,1831.55,1811.65,150631
The Phoenix Mills Limited,PHOENIXLTD,2023-09-21,1823.9,1910.0,1783.85,1811.65,1829.5,558742
The Phoenix Mills Limited,PHOENIXLTD,2023-09-20,1839.85,1847.65,1806.8,1829.5,1838.45,245173
The Phoenix Mills Limited,PHOENIXLTD,2023-09-18,1864.1,1886.9,1810.1,1838.45,1851.15,142420
The Phoenix Mills Limited,PHOENIXLTD,2023-09-15,1829.0,1890.0,1805.05,1851.15,1819.25,1160691
The Phoenix Mills Limited,PHOENIXLTD,2023-09-14,1818.8,1846.35,1795.0,1819.25,1804.8,156958
The Phoenix Mills Limited,PHOENIXLTD,2023-09-13,1865.0,1868.45,1795.6,1804.8,1868.45,345819
The Phoenix Mills Limited,PHOENIXLTD,2023-09-12,1884.0,1889.95,1831.95,1868.45,1866.05,448051
The Phoenix Mills Limited,PHOENIXLTD,2023-09-11,1848.1,1901.0,1845.05,1866.05,1841.75,283502
The Phoenix Mills Limited,PHOENIXLTD,2023-09-08,1820.0,1858.9,1820.0,1841.75,1811.5,206785
The Phoenix Mills Limited,PHOENIXLTD,2023-09-07,1808.6,1819.95,1796.1,1811.5,1799.6,207256
The Phoenix Mills Limited,PHOENIXLTD,2023-09-05,1854.55,1902.35,1845.1,1851.65,1849.25,524570
The Phoenix Mills Limited,PHOENIXLTD,2023-09-01,1804.4,1860.0,1795.05,1849.65,1799.85,189542
The Phoenix Mills Limited,PHOENIXLTD,2023-08-31,1779.45,1800.25,1758.3,1799.85,1774.0,192794
The Phoenix Mills Limited,PHOENIXLTD,2023-08-30,1758.95,1794.95,1746.55,1774.0,1756.15,187433
The Phoenix Mills Limited,PHOENIXLTD,2023-08-29,1781.9,1789.05,1745.05,1756.15,1778.9,69584
The Phoenix Mills Limited,PHOENIXLTD,2023-08-28,1746.45,1790.0,1746.45,1778.9,1746.45,153490
The Phoenix Mills Limited,PHOENIXLTD,2023-08-25,1759.1,1764.4,1733.75,1746.45,1760.05,34940
The Phoenix Mills Limited,PHOENIXLTD,2023-08-24,1763.0,1780.0,1743.35,1760.05,1763.5,44580
The Phoenix Mills Limited,PHOENIXLTD,2023-08-23,1758.95,1783.45,1753.0,1763.5,1758.6,227948
The Phoenix Mills Limited,PHOENIXLTD,2023-08-22,1759.85,1766.95,1739.35,1758.6,1757.35,204966
The Phoenix Mills Limited,PHOENIXLTD,2023-08-21,1748.55,1763.05,1740.0,1757.35,1754.9,89258
The Phoenix Mills Limited,PHOENIXLTD,2023-08-18,1749.7,1765.0,1726.95,1754.9,1749.2,131606
The Phoenix Mills Limited,PHOENIXLTD,2023-08-17,1744.95,1774.8,1733.15,1749.2,1751.15,59494
The Phoenix Mills Limited,PHOENIXLTD,2023-08-16,1726.3,1760.0,1718.65,1751.15,1717.15,177853
The Phoenix Mills Limited,PHOENIXLTD,2023-08-14,1711.0,1734.15,1704.75,1717.15,1710.05,143145
The Phoenix Mills Limited,PHOENIXLTD,2023-08-11,1670.0,1725.0,1662.15,1710.05,1662.05,223177
The Phoenix Mills Limited,PHOENIXLTD,2023-08-10,1720.0,1736.9,1652.1,1662.05,1685.1,133902
The Phoenix Mills Limited,PHOENIXLTD,2023-08-09,1740.0,1768.85,1674.3,1685.1,1690.35,338099
The Phoenix Mills Limited,PHOENIXLTD,2023-08-08,1698.0,1797.75,1673.1,1690.35,1699.75,384918
The Phoenix Mills Limited,PHOENIXLTD,2023-08-07,1703.9,1716.9,1695.0,1699.75,1700.4,43589
The Phoenix Mills Limited,PHOENIXLTD,2023-08-04,1685.0,1714.55,1681.05,1700.4,1684.4,304531
The Phoenix Mills Limited,PHOENIXLTD,2023-08-03,1719.0,1735.65,1670.0,1684.4,1722.9,540845
The Phoenix Mills Limited,PHOENIXLTD,2023-08-02,1729.3,1768.95,1699.8,1722.9,1731.1,187683
The Phoenix Mills Limited,PHOENIXLTD,2023-08-01,1739.95,1757.05,1701.65,1731.1,1730.75,129211
The Phoenix Mills Limited,PHOENIXLTD,2023-07-31,1699.95,1754.25,1687.15,1730.75,1697.55,129501
The Phoenix Mills Limited,PHOENIXLTD,2023-07-28,1686.0,1730.45,1684.2,1697.55,1699.15,280250
The Phoenix Mills Limited,PHOENIXLTD,2023-07-27,1659.0,1712.75,1659.0,1699.15,1653.7,296955
The Phoenix Mills Limited,PHOENIXLTD,2023-07-26,1650.0,1688.05,1632.1,1653.7,1652.55,242583
The Phoenix Mills Limited,PHOENIXLTD,2023-07-25,1630.0,1669.9,1614.55,1652.55,1630.45,126360
The Phoenix Mills Limited,PHOENIXLTD,2023-07-24,1648.8,1648.8,1616.05,1630.45,1641.75,40642
The Phoenix Mills Limited,PHOENIXLTD,2023-07-21,1641.85,1680.0,1622.5,1641.75,1637.35,226837
The Phoenix Mills Limited,PHOENIXLTD,2023-07-20,1644.4,1659.95,1605.1,1637.35,1636.25,80287
The Phoenix Mills Limited,PHOENIXLTD,2023-07-19,1658.75,1661.05,1632.05,1636.25,1652.9,32259
The Phoenix Mills Limited,PHOENIXLTD,2023-07-18,1682.0,1699.4,1645.0,1652.9,1673.15,67068
The Phoenix Mills Limited,PHOENIXLTD,2023-07-17,1705.4,1734.1,1657.2,1673.15,1705.4,109595
The Phoenix Mills Limited,PHOENIXLTD,2023-07-14,1690.0,1722.45,1681.45,1705.4,1677.9,320999
The Phoenix Mills Limited,PHOENIXLTD,2023-07-13,1574.6,1703.0,1574.6,1677.9,1574.55,602575
The Phoenix Mills Limited,PHOENIXLTD,2023-07-12,1581.5,1588.15,1555.05,1574.55,1573.6,72633
The Phoenix Mills Limited,PHOENIXLTD,2023-07-11,1580.0,1593.8,1561.55,1573.6,1577.6,54330
The Phoenix Mills Limited,PHOENIXLTD,2023-07-10,1630.5,1634.95,1570.05,1577.6,1614.55,85624
The Phoenix Mills Limited,PHOENIXLTD,2023-07-07,1584.0,1647.7,1579.95,1614.55,1569.05,428174
The Phoenix Mills Limited,PHOENIXLTD,2023-07-06,1568.45,1587.7,1553.0,1569.05,1567.15,113702
The Phoenix Mills Limited,PHOENIXLTD,2023-07-05,1589.95,1595.0,1557.7,1567.15,1585.25,63949
The Phoenix Mills Limited,PHOENIXLTD,2023-07-04,1587.95,1601.65,1577.6,1585.25,1586.75,65712
The Phoenix Mills Limited,PHOENIXLTD,2023-07-03,1571.6,1591.65,1560.3,1586.75,1563.35,65362
The Phoenix Mills Limited,PHOENIXLTD,2023-06-30,1545.1,1584.8,1532.4,1563.35,1539.65,124194
The Phoenix Mills Limited,PHOENIXLTD,2023-06-28,1529.05,1558.55,1522.05,1539.65,1523.7,83757
