StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
PI Industries Limited,PIIND,2024-03-28,3865.0,3905.9,3801.0,3867.55,3834.9,405269
PI Industries Limited,PIIND,2024-03-27,3819.9,3878.0,3774.05,3834.9,3795.7,1442884
PI Industries Limited,PIIND,2024-03-26,3800.35,3845.0,3749.95,3795.7,3791.15,357673
PI Industries Limited,PIIND,2024-03-22,3731.0,3802.45,3731.0,3791.15,3751.1,166913
PI Industries Limited,PIIND,2024-03-21,3650.0,3767.8,3640.4,3751.1,3635.3,311473
PI Industries Limited,PIIND,2024-03-20,3726.55,3726.55,3618.3,3635.3,3702.5,410676
PI Industries Limited,PIIND,2024-03-19,3740.0,3764.9,3681.75,3702.5,3730.6,461938
PI Industries Limited,PIIND,2024-03-18,3649.15,3744.6,3621.1,3730.6,3649.15,264945
PI Industries Limited,PIIND,2024-03-15,3636.5,3659.8,3612.85,3649.15,3650.4,336173
PI Industries Limited,PIIND,2024-03-14,3575.05,3663.95,3533.0,3650.4,3580.8,169209
PI Industries Limited,PIIND,2024-03-13,3650.0,3655.35,3545.15,3580.8,3639.95,440223
PI Industries Limited,PIIND,2024-03-12,3652.1,3666.75,3577.5,3639.95,3652.1,334401
PI Industries Limited,PIIND,2024-03-11,3629.95,3769.7,3620.6,3652.1,3626.0,502597
PI Industries Limited,PIIND,2024-03-07,3655.15,3714.35,3617.05,3626.0,3653.0,298793
PI Industries Limited,PIIND,2024-03-06,3622.75,3659.9,3580.45,3653.0,3632.3,263511
PI Industries Limited,PIIND,2024-03-05,3635.0,3651.25,3609.3,3632.3,3617.25,194009
PI Industries Limited,PIIND,2024-03-04,3688.05,3715.0,3610.0,3617.25,3688.0,203432
PI Industries Limited,PIIND,2024-03-02,3670.0,3715.0,3657.0,3688.0,3678.45,11175
PI Industries Limited,PIIND,2024-03-01,3673.25,3699.15,3646.5,3678.45,3672.7,95030
PI Industries Limited,PIIND,2024-02-29,3600.0,3697.0,3576.8,3672.7,3634.15,419847
PI Industries Limited,PIIND,2024-02-28,3652.3,3685.95,3610.15,3634.15,3672.25,253832
PI Industries Limited,PIIND,2024-02-27,3693.0,3701.85,3647.0,3672.25,3694.9,181113
PI Industries Limited,PIIND,2024-02-26,3650.05,3712.0,3647.45,3694.9,3674.7,183126
PI Industries Limited,PIIND,2024-02-23,3695.0,3702.5,3660.0,3674.7,3680.85,169837
PI Industries Limited,PIIND,2024-02-22,3681.0,3697.95,3632.55,3680.85,3683.0,141410
PI Industries Limited,PIIND,2024-02-21,3698.0,3704.95,3656.55,3683.0,3683.4,305505
PI Industries Limited,PIIND,2024-02-20,3655.0,3695.0,3650.25,3683.4,3667.95,304952
PI Industries Limited,PIIND,2024-02-19,3668.85,3680.0,3620.0,3667.95,3645.3,298793
PI Industries Limited,PIIND,2024-02-16,3575.0,3662.55,3575.0,3645.3,3567.6,904620
PI Industries Limited,PIIND,2024-02-15,3440.55,3610.0,3440.55,3567.6,3418.15,1141777
PI Industries Limited,PIIND,2024-02-14,3418.05,3456.95,3378.65,3418.15,3423.35,504758
PI Industries Limited,PIIND,2024-02-13,3439.95,3470.95,3364.05,3423.35,3403.45,861084
PI Industries Limited,PIIND,2024-02-12,3499.0,3499.0,3369.4,3403.45,3484.35,769165
PI Industries Limited,PIIND,2024-02-09,3469.45,3510.0,3426.0,3484.35,3455.75,737224
PI Industries Limited,PIIND,2024-02-08,3343.0,3474.95,3342.8,3455.75,3329.65,871825
PI Industries Limited,PIIND,2024-02-07,3335.0,3357.25,3291.0,3329.65,3314.45,267012
PI Industries Limited,PIIND,2024-02-06,3283.05,3337.9,3264.0,3314.45,3281.95,264320
PI Industries Limited,PIIND,2024-02-05,3366.0,3389.85,3264.0,3281.95,3376.25,408128
PI Industries Limited,PIIND,2024-02-02,3446.0,3446.0,3368.25,3376.25,3411.15,174194
PI Industries Limited,PIIND,2024-02-01,3372.65,3417.2,3353.05,3411.15,3372.65,287023
PI Industries Limited,PIIND,2024-01-31,3265.8,3390.0,3254.55,3372.65,3265.8,291997
PI Industries Limited,PIIND,2024-01-30,3291.05,3318.6,3260.8,3265.8,3293.15,205904
PI Industries Limited,PIIND,2024-01-29,3252.0,3308.8,3248.0,3293.15,3241.95,218314
PI Industries Limited,PIIND,2024-01-25,3278.0,3300.0,3220.0,3241.95,3282.7,241567
PI Industries Limited,PIIND,2024-01-24,3297.0,3316.95,3258.85,3282.7,3278.9,192710
PI Industries Limited,PIIND,2024-01-23,3382.4,3395.7,3251.8,3278.9,3382.4,469762
PI Industries Limited,PIIND,2024-01-20,3426.0,3428.55,3380.0,3382.4,3405.4,117042
PI Industries Limited,PIIND,2024-01-19,3377.9,3432.0,3366.0,3405.4,3356.3,212327
PI Industries Limited,PIIND,2024-01-18,3413.0,3420.0,3330.3,3356.3,3420.9,458137
PI Industries Limited,PIIND,2024-01-17,3469.0,3469.0,3401.35,3420.9,3481.15,274487
PI Industries Limited,PIIND,2024-01-16,3463.0,3486.3,3448.1,3481.15,3461.7,330164
PI Industries Limited,PIIND,2024-01-15,3490.0,3490.0,3427.8,3461.7,3451.3,286426
PI Industries Limited,PIIND,2024-01-12,3508.4,3508.5,3432.0,3451.3,3485.55,308832
PI Industries Limited,PIIND,2024-01-11,3459.4,3507.0,3446.0,3485.55,3459.4,310541
PI Industries Limited,PIIND,2024-01-10,3440.0,3470.4,3417.0,3459.4,3440.95,177985
PI Industries Limited,PIIND,2024-01-09,3459.75,3459.75,3418.6,3440.95,3405.2,519003
PI Industries Limited,PIIND,2024-01-08,3473.0,3473.0,3400.0,3405.2,3460.5,242934
PI Industries Limited,PIIND,2024-01-05,3458.0,3472.1,3437.0,3460.5,3438.05,295652
PI Industries Limited,PIIND,2024-01-04,3470.0,3479.75,3418.85,3438.05,3463.85,368739
PI Industries Limited,PIIND,2024-01-03,3487.0,3493.7,3455.25,3463.85,3486.05,212693
PI Industries Limited,PIIND,2024-01-02,3500.0,3505.0,3439.8,3486.05,3478.65,229908
