StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Punjab National Bank,PNB,2024-03-28,122.9,125.1,122.9,124.4,122.75,29453142
Punjab National Bank,PNB,2024-03-27,124.0,125.15,122.2,122.75,123.95,42673023
Punjab National Bank,PNB,2024-03-26,122.8,124.6,122.15,123.95,122.75,30860596
Punjab National Bank,PNB,2024-03-22,121.0,123.3,120.1,122.75,121.05,35001868
Punjab National Bank,PNB,2024-03-21,118.55,121.55,118.4,121.05,116.65,38099730
Punjab National Bank,PNB,2024-03-20,117.25,118.3,114.15,116.65,116.55,43979002
Punjab National Bank,PNB,2024-03-19,120.5,120.7,115.95,116.55,120.0,33325451
Punjab National Bank,PNB,2024-03-18,117.95,120.5,117.25,120.0,117.75,31528977
Punjab National Bank,PNB,2024-03-15,120.6,121.25,114.9,117.75,120.65,61465003
Punjab National Bank,PNB,2024-03-14,117.0,122.3,116.3,120.65,118.8,54520717
Punjab National Bank,PNB,2024-03-13,126.3,126.85,116.9,118.8,125.95,69647674
Punjab National Bank,PNB,2024-03-12,128.8,130.1,124.85,125.95,128.9,43724417
Punjab National Bank,PNB,2024-03-11,130.4,132.95,128.1,128.9,129.85,55291160
Punjab National Bank,PNB,2024-03-07,130.55,131.65,129.5,129.85,130.35,38719979
Punjab National Bank,PNB,2024-03-06,129.6,130.7,125.6,130.35,129.7,82989654
Punjab National Bank,PNB,2024-03-05,125.85,130.0,125.5,129.7,126.05,60554186
Punjab National Bank,PNB,2024-03-04,126.45,126.7,124.75,126.05,125.8,43386707
Punjab National Bank,PNB,2024-03-02,125.15,126.4,124.6,125.8,124.85,3731867
Punjab National Bank,PNB,2024-03-01,123.05,125.0,121.0,124.85,121.85,52161604
Punjab National Bank,PNB,2024-02-29,120.75,125.55,118.7,121.85,120.75,356428226
Punjab National Bank,PNB,2024-02-28,124.0,125.45,120.15,120.75,123.4,52883269
Punjab National Bank,PNB,2024-02-27,124.85,125.75,122.6,123.4,124.85,37510230
Punjab National Bank,PNB,2024-02-26,127.9,128.25,124.3,124.85,127.95,41091685
Punjab National Bank,PNB,2024-02-23,129.5,130.8,127.0,127.95,129.0,48191136
Punjab National Bank,PNB,2024-02-22,128.95,129.3,125.65,129.0,128.35,41873541
Punjab National Bank,PNB,2024-02-21,129.95,131.15,127.2,128.35,129.5,54001521
Punjab National Bank,PNB,2024-02-20,129.0,130.5,128.2,129.5,128.45,32539004
Punjab National Bank,PNB,2024-02-19,130.9,131.3,128.2,128.45,130.15,44582022
Punjab National Bank,PNB,2024-02-16,129.65,132.6,129.3,130.15,128.85,111266944
Punjab National Bank,PNB,2024-02-15,124.9,129.3,123.6,128.85,122.95,102510609
Punjab National Bank,PNB,2024-02-14,120.9,124.5,119.5,122.95,122.1,57158902
Punjab National Bank,PNB,2024-02-13,118.3,123.5,115.7,122.1,118.25,76885208
Punjab National Bank,PNB,2024-02-12,124.85,125.55,117.1,118.25,123.9,65062679
Punjab National Bank,PNB,2024-02-09,124.5,124.6,117.8,123.9,124.3,69128606
Punjab National Bank,PNB,2024-02-08,125.65,127.25,123.05,124.3,123.9,83500656
Punjab National Bank,PNB,2024-02-07,123.7,125.75,122.85,123.9,121.9,65831369
Punjab National Bank,PNB,2024-02-06,122.4,122.85,119.1,121.9,121.65,53028325
Punjab National Bank,PNB,2024-02-05,125.9,126.8,120.8,121.65,125.4,92993076
