StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
PNB Housing Finance Limited,PNBHOUSING,2024-03-28,633.55,639.3,625.45,629.85,630.35,271310
PNB Housing Finance Limited,PNBHOUSING,2024-03-27,631.0,645.9,624.45,630.35,628.6,619023
PNB Housing Finance Limited,PNBHOUSING,2024-03-26,640.0,647.7,625.0,628.6,640.15,322057
PNB Housing Finance Limited,PNBHOUSING,2024-03-22,639.5,653.5,635.3,640.15,642.5,318661
PNB Housing Finance Limited,PNBHOUSING,2024-03-21,623.0,645.4,623.0,642.5,613.25,355268
PNB Housing Finance Limited,PNBHOUSING,2024-03-20,626.8,634.0,610.0,613.25,626.8,513138
PNB Housing Finance Limited,PNBHOUSING,2024-03-19,624.85,640.85,621.3,626.8,624.7,386363
PNB Housing Finance Limited,PNBHOUSING,2024-03-18,627.8,644.7,620.0,624.7,627.2,431101
PNB Housing Finance Limited,PNBHOUSING,2024-03-15,646.7,648.45,621.3,627.2,646.7,381903
PNB Housing Finance Limited,PNBHOUSING,2024-03-14,610.0,651.95,607.65,646.7,611.85,439848
PNB Housing Finance Limited,PNBHOUSING,2024-03-13,663.0,664.5,604.0,611.85,661.1,431935
PNB Housing Finance Limited,PNBHOUSING,2024-03-12,681.85,681.85,658.0,661.1,678.05,372296
PNB Housing Finance Limited,PNBHOUSING,2024-03-11,702.05,704.7,674.0,678.05,702.8,260725
PNB Housing Finance Limited,PNBHOUSING,2024-03-07,679.0,708.0,679.0,702.8,676.15,905055
PNB Housing Finance Limited,PNBHOUSING,2024-03-06,694.9,696.95,665.15,676.15,693.15,473863
PNB Housing Finance Limited,PNBHOUSING,2024-03-05,715.0,719.9,690.9,693.15,719.85,855259
PNB Housing Finance Limited,PNBHOUSING,2024-03-04,735.8,735.8,716.5,719.85,732.55,279683
PNB Housing Finance Limited,PNBHOUSING,2024-03-02,729.45,738.0,720.0,732.55,725.45,60499
PNB Housing Finance Limited,PNBHOUSING,2024-03-01,700.0,729.8,693.35,725.45,694.25,645012
PNB Housing Finance Limited,PNBHOUSING,2024-02-29,700.85,704.95,683.2,694.25,701.75,469003
PNB Housing Finance Limited,PNBHOUSING,2024-02-28,718.9,721.5,698.0,701.75,715.1,306449
PNB Housing Finance Limited,PNBHOUSING,2024-02-27,723.95,728.7,709.0,715.1,723.95,332979
PNB Housing Finance Limited,PNBHOUSING,2024-02-26,712.4,748.1,710.0,723.95,702.75,1511972
PNB Housing Finance Limited,PNBHOUSING,2024-02-23,722.8,729.85,697.4,702.75,716.75,762342
PNB Housing Finance Limited,PNBHOUSING,2024-02-22,730.1,738.85,712.0,716.75,726.75,399739
PNB Housing Finance Limited,PNBHOUSING,2024-02-21,745.2,755.0,722.0,726.75,742.7,405819
PNB Housing Finance Limited,PNBHOUSING,2024-02-20,749.85,761.4,741.0,742.7,747.2,383116
PNB Housing Finance Limited,PNBHOUSING,2024-02-19,760.6,781.75,743.35,747.2,768.8,621984
PNB Housing Finance Limited,PNBHOUSING,2024-02-16,788.0,791.0,763.8,768.8,781.85,546443
PNB Housing Finance Limited,PNBHOUSING,2024-02-15,787.8,793.8,778.7,781.85,783.95,221032
PNB Housing Finance Limited,PNBHOUSING,2024-02-14,773.0,787.35,766.0,783.95,777.7,235047
PNB Housing Finance Limited,PNBHOUSING,2024-02-13,800.0,801.4,774.0,777.7,787.35,460021
PNB Housing Finance Limited,PNBHOUSING,2024-02-12,829.8,844.4,782.1,787.35,825.85,606281
PNB Housing Finance Limited,PNBHOUSING,2024-02-09,814.5,835.0,804.65,825.85,808.55,548583
PNB Housing Finance Limited,PNBHOUSING,2024-02-08,828.0,832.95,805.05,808.55,821.3,388707
PNB Housing Finance Limited,PNBHOUSING,2024-02-07,817.9,845.6,811.05,821.3,806.55,915164
PNB Housing Finance Limited,PNBHOUSING,2024-02-06,799.65,814.0,796.0,806.55,791.7,287970
PNB Housing Finance Limited,PNBHOUSING,2024-02-05,806.5,821.7,785.0,791.7,800.9,418736
PNB Housing Finance Limited,PNBHOUSING,2024-02-02,829.0,839.9,792.0,800.9,820.1,987425
PNB Housing Finance Limited,PNBHOUSING,2024-02-01,785.95,825.8,783.75,820.1,784.6,1437043
PNB Housing Finance Limited,PNBHOUSING,2024-01-31,770.0,797.8,766.85,784.6,763.15,1114473
PNB Housing Finance Limited,PNBHOUSING,2024-01-30,795.25,802.9,758.0,763.15,791.25,752715
PNB Housing Finance Limited,PNBHOUSING,2024-01-29,826.8,834.4,783.35,791.25,820.9,1085733
PNB Housing Finance Limited,PNBHOUSING,2024-01-25,830.0,913.7,806.0,820.9,859.8,5908270
PNB Housing Finance Limited,PNBHOUSING,2024-01-24,863.0,863.0,842.55,859.8,863.6,336373
PNB Housing Finance Limited,PNBHOUSING,2024-01-23,894.05,906.45,851.0,863.6,872.25,838140
PNB Housing Finance Limited,PNBHOUSING,2024-01-20,875.05,888.4,868.0,872.25,876.9,255128
PNB Housing Finance Limited,PNBHOUSING,2024-01-19,864.7,888.0,848.5,876.9,856.2,852386
PNB Housing Finance Limited,PNBHOUSING,2024-01-18,828.0,905.5,810.55,856.2,827.55,4190153
PNB Housing Finance Limited,PNBHOUSING,2024-01-17,839.0,858.95,824.1,827.55,848.0,890526
PNB Housing Finance Limited,PNBHOUSING,2024-01-16,792.95,894.7,789.45,848.0,797.2,5808372
PNB Housing Finance Limited,PNBHOUSING,2024-01-15,804.8,808.0,787.05,797.2,799.45,205530
PNB Housing Finance Limited,PNBHOUSING,2024-01-12,778.7,807.0,778.3,799.45,779.45,310049
PNB Housing Finance Limited,PNBHOUSING,2024-01-11,783.0,803.45,772.6,779.45,782.95,281577
PNB Housing Finance Limited,PNBHOUSING,2024-01-10,789.0,793.85,775.1,782.95,788.0,145993
PNB Housing Finance Limited,PNBHOUSING,2024-01-09,793.0,796.3,787.0,788.0,788.65,95539
PNB Housing Finance Limited,PNBHOUSING,2024-01-08,800.0,804.35,786.0,788.65,800.65,116591
PNB Housing Finance Limited,PNBHOUSING,2024-01-05,802.0,807.0,788.3,800.65,796.45,184904
PNB Housing Finance Limited,PNBHOUSING,2024-01-04,793.0,798.85,787.95,796.45,788.15,135541
PNB Housing Finance Limited,PNBHOUSING,2024-01-03,785.1,803.95,785.1,788.15,778.5,347062
PNB Housing Finance Limited,PNBHOUSING,2024-01-02,785.9,792.9,776.0,778.5,785.3,223333
PNB Housing Finance Limited,PNBHOUSING,2024-01-01,781.9,794.9,780.9,785.3,780.75,144151
PNB Housing Finance Limited,PNBHOUSING,2023-12-29,778.0,785.4,774.0,780.75,777.8,216364
PNB Housing Finance Limited,PNBHOUSING,2023-12-28,788.0,791.95,773.1,777.8,785.85,251047
PNB Housing Finance Limited,PNBHOUSING,2023-12-27,787.45,794.6,781.0,785.85,786.1,137240
PNB Housing Finance Limited,PNBHOUSING,2023-12-26,776.8,789.5,769.35,786.1,775.35,179313
PNB Housing Finance Limited,PNBHOUSING,2023-12-22,775.2,786.85,770.0,775.35,771.1,178348
PNB Housing Finance Limited,PNBHOUSING,2023-12-21,775.0,789.7,766.35,771.1,782.0,334328
PNB Housing Finance Limited,PNBHOUSING,2023-12-20,816.8,823.0,775.0,782.0,807.55,310524
PNB Housing Finance Limited,PNBHOUSING,2023-12-19,814.0,833.0,802.35,807.55,812.95,401817
PNB Housing Finance Limited,PNBHOUSING,2023-12-18,802.5,818.7,794.1,812.95,803.4,335501
PNB Housing Finance Limited,PNBHOUSING,2023-12-15,787.0,815.0,786.0,803.4,784.3,342524
PNB Housing Finance Limited,PNBHOUSING,2023-12-14,794.65,798.8,779.65,784.3,788.65,199098
PNB Housing Finance Limited,PNBHOUSING,2023-12-13,780.05,793.95,774.35,788.65,777.75,326559
