StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
PNC Infratech Limited,PNCINFRA,2024-03-28,439.0,440.95,434.05,436.35,436.75,311524
PNC Infratech Limited,PNCINFRA,2024-03-27,442.3,443.45,434.8,436.75,439.8,282028
PNC Infratech Limited,PNCINFRA,2024-03-26,442.75,453.0,436.0,439.8,429.9,1091794
PNC Infratech Limited,PNCINFRA,2024-03-22,424.5,434.9,423.5,429.9,424.2,390293
PNC Infratech Limited,PNCINFRA,2024-03-21,415.35,429.8,412.0,424.2,412.35,431805
PNC Infratech Limited,PNCINFRA,2024-03-20,404.9,418.0,393.5,412.35,401.55,301455
PNC Infratech Limited,PNCINFRA,2024-03-19,410.0,410.6,400.0,401.55,411.05,197016
PNC Infratech Limited,PNCINFRA,2024-03-18,418.9,423.85,407.75,411.05,414.0,679332
PNC Infratech Limited,PNCINFRA,2024-03-15,401.75,417.85,397.45,414.0,401.75,602347
PNC Infratech Limited,PNCINFRA,2024-03-14,385.95,408.8,382.0,401.75,390.45,755019
PNC Infratech Limited,PNCINFRA,2024-03-13,410.25,415.7,382.05,390.45,413.2,1017170
PNC Infratech Limited,PNCINFRA,2024-03-12,432.8,433.05,407.35,413.2,432.8,628684
PNC Infratech Limited,PNCINFRA,2024-03-11,447.0,455.35,430.0,432.8,437.6,746069
PNC Infratech Limited,PNCINFRA,2024-03-07,446.0,447.55,435.1,437.6,446.05,304719
PNC Infratech Limited,PNCINFRA,2024-03-06,464.0,464.0,437.6,446.05,465.6,1289977
PNC Infratech Limited,PNCINFRA,2024-03-05,465.0,474.95,460.05,465.6,463.2,1296957
PNC Infratech Limited,PNCINFRA,2024-03-04,436.8,467.0,430.5,463.2,436.25,2399332
PNC Infratech Limited,PNCINFRA,2024-03-02,429.75,439.0,427.5,436.25,427.35,66607
PNC Infratech Limited,PNCINFRA,2024-03-01,429.1,435.95,423.35,427.35,427.35,275105
PNC Infratech Limited,PNCINFRA,2024-02-29,430.9,433.35,422.8,427.35,430.65,486031
PNC Infratech Limited,PNCINFRA,2024-02-28,458.0,458.0,427.5,430.65,460.35,1139750
PNC Infratech Limited,PNCINFRA,2024-02-27,454.0,469.0,452.1,460.35,447.0,2519096
PNC Infratech Limited,PNCINFRA,2024-02-26,425.35,452.9,425.35,447.0,424.4,1950747
PNC Infratech Limited,PNCINFRA,2024-02-23,412.0,427.0,408.5,424.4,409.55,820037
PNC Infratech Limited,PNCINFRA,2024-02-22,416.0,419.5,405.5,409.55,413.35,300043
PNC Infratech Limited,PNCINFRA,2024-02-21,410.15,428.55,409.45,413.35,410.55,481250
PNC Infratech Limited,PNCINFRA,2024-02-20,413.7,420.5,407.05,410.55,412.15,219658
PNC Infratech Limited,PNCINFRA,2024-02-19,415.0,416.65,410.05,412.15,413.55,185859
PNC Infratech Limited,PNCINFRA,2024-02-16,413.45,420.8,412.2,413.55,413.35,160666
PNC Infratech Limited,PNCINFRA,2024-02-15,414.0,417.2,408.55,413.35,413.6,247355
PNC Infratech Limited,PNCINFRA,2024-02-14,397.0,424.0,391.2,413.6,400.5,636568
PNC Infratech Limited,PNCINFRA,2024-02-13,396.75,403.4,381.0,400.5,394.8,846799
PNC Infratech Limited,PNCINFRA,2024-02-12,428.8,431.4,391.0,394.8,427.5,624287
PNC Infratech Limited,PNCINFRA,2024-02-09,443.9,444.6,424.4,427.5,443.9,805871
PNC Infratech Limited,PNCINFRA,2024-02-08,442.95,454.05,435.1,443.9,438.65,873001
PNC Infratech Limited,PNCINFRA,2024-02-07,445.0,454.9,433.8,438.65,444.3,541098
PNC Infratech Limited,PNCINFRA,2024-02-06,443.8,462.0,441.05,444.3,440.0,1624688
PNC Infratech Limited,PNCINFRA,2024-02-05,447.8,448.8,430.6,440.0,445.3,547464
PNC Infratech Limited,PNCINFRA,2024-02-02,441.95,453.95,441.35,445.3,439.65,761382
PNC Infratech Limited,PNCINFRA,2024-02-01,462.05,462.8,435.05,439.65,457.6,826019
PNC Infratech Limited,PNCINFRA,2024-01-31,448.85,460.95,437.7,457.6,449.5,925503
PNC Infratech Limited,PNCINFRA,2024-01-30,438.0,458.5,431.05,449.5,434.15,1952607
PNC Infratech Limited,PNCINFRA,2024-01-29,419.95,449.8,416.4,434.15,414.8,3136466
PNC Infratech Limited,PNCINFRA,2024-01-25,398.0,418.25,394.5,414.8,400.35,1764680
PNC Infratech Limited,PNCINFRA,2024-01-24,386.7,402.0,377.95,400.35,385.7,614759
PNC Infratech Limited,PNCINFRA,2024-01-23,403.9,406.0,381.15,385.7,402.35,515421
PNC Infratech Limited,PNCINFRA,2024-01-20,408.3,409.95,398.85,402.35,407.15,467926
