StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Polycab India Limited,POLYCAB,2024-03-28,5042.0,5116.0,5004.0,5065.0,5038.2,359484
Polycab India Limited,POLYCAB,2024-03-27,5058.0,5136.3,5026.85,5038.2,5018.15,407426
Polycab India Limited,POLYCAB,2024-03-26,4929.9,5094.0,4886.5,5018.15,4909.9,497218
Polycab India Limited,POLYCAB,2024-03-22,4996.95,5037.65,4850.0,4909.9,4986.55,594108
Polycab India Limited,POLYCAB,2024-03-21,4799.0,5025.5,4770.0,4986.55,4744.35,712776
Polycab India Limited,POLYCAB,2024-03-20,4700.0,4838.95,4635.05,4744.35,4680.25,445608
Polycab India Limited,POLYCAB,2024-03-19,4810.0,4819.4,4670.55,4680.25,4795.4,272824
Polycab India Limited,POLYCAB,2024-03-18,4885.0,4915.0,4778.0,4795.4,4894.5,433656
Polycab India Limited,POLYCAB,2024-03-15,4860.05,4918.05,4775.0,4894.5,4890.15,345532
Polycab India Limited,POLYCAB,2024-03-14,4760.0,4927.95,4752.4,4890.15,4778.9,379033
Polycab India Limited,POLYCAB,2024-03-13,4835.15,4929.15,4730.25,4778.9,4854.85,633146
Polycab India Limited,POLYCAB,2024-03-12,4933.9,4965.0,4835.0,4854.85,4933.9,264101
Polycab India Limited,POLYCAB,2024-03-11,4910.0,4992.0,4885.2,4933.9,4891.0,542531
Polycab India Limited,POLYCAB,2024-03-07,4880.0,4938.3,4863.05,4891.0,4880.3,270473
Polycab India Limited,POLYCAB,2024-03-06,4930.95,4938.8,4805.0,4880.3,4913.3,483453
Polycab India Limited,POLYCAB,2024-03-05,4791.95,4954.0,4752.0,4913.3,4792.2,735203
Polycab India Limited,POLYCAB,2024-03-04,4777.0,4811.3,4730.95,4792.2,4794.35,417409
Polycab India Limited,POLYCAB,2024-03-02,4805.0,4830.0,4771.2,4794.35,4807.45,43057
Polycab India Limited,POLYCAB,2024-03-01,4780.0,4829.0,4751.1,4807.45,4749.85,366189
Polycab India Limited,POLYCAB,2024-02-29,4709.1,4797.95,4663.3,4749.85,4709.9,629330
Polycab India Limited,POLYCAB,2024-02-28,4785.0,4788.0,4666.0,4709.9,4766.9,309601
Polycab India Limited,POLYCAB,2024-02-27,4800.0,4800.0,4726.0,4766.9,4788.4,525966
Polycab India Limited,POLYCAB,2024-02-26,4805.0,4867.6,4709.0,4788.4,4801.8,1005726
Polycab India Limited,POLYCAB,2024-02-23,4739.0,4830.0,4721.1,4801.8,4716.6,506542
Polycab India Limited,POLYCAB,2024-02-22,4731.85,4741.4,4652.35,4716.6,4716.6,425946
Polycab India Limited,POLYCAB,2024-02-21,4759.9,4765.9,4685.1,4716.6,4732.15,658619
Polycab India Limited,POLYCAB,2024-02-20,4776.95,4819.8,4696.35,4732.15,4768.6,735136
Polycab India Limited,POLYCAB,2024-02-19,4709.95,4824.9,4643.9,4768.6,4670.0,1125013
Polycab India Limited,POLYCAB,2024-02-16,4650.0,4734.0,4515.1,4670.0,4564.95,1956433
Polycab India Limited,POLYCAB,2024-02-15,4361.35,4630.0,4340.65,4564.95,4355.45,1011374
Polycab India Limited,POLYCAB,2024-02-14,4300.0,4386.2,4278.0,4355.45,4330.2,261333
Polycab India Limited,POLYCAB,2024-02-13,4340.0,4358.95,4290.0,4330.2,4345.2,387834
Polycab India Limited,POLYCAB,2024-02-12,4309.0,4365.7,4286.15,4345.2,4307.35,761494
Polycab India Limited,POLYCAB,2024-02-09,4319.6,4329.65,4250.0,4307.35,4319.6,272191
Polycab India Limited,POLYCAB,2024-02-08,4400.0,4420.35,4297.85,4319.6,4388.15,448325
Polycab India Limited,POLYCAB,2024-02-07,4415.0,4425.2,4362.0,4388.15,4396.15,362267
Polycab India Limited,POLYCAB,2024-02-06,4399.0,4411.95,4345.0,4396.15,4385.25,400247
Polycab India Limited,POLYCAB,2024-02-05,4370.0,4430.0,4346.1,4385.25,4383.7,542583
Polycab India Limited,POLYCAB,2024-02-02,4298.75,4437.9,4269.1,4383.7,4263.95,843638
Polycab India Limited,POLYCAB,2024-02-01,4350.0,4366.85,4236.0,4263.95,4343.15,651423
Polycab India Limited,POLYCAB,2024-01-31,4338.6,4374.25,4291.0,4343.15,4314.0,522874
Polycab India Limited,POLYCAB,2024-01-30,4375.0,4384.95,4300.0,4314.0,4346.2,432662
Polycab India Limited,POLYCAB,2024-01-29,4384.95,4408.5,4293.1,4346.2,4343.85,878902
Polycab India Limited,POLYCAB,2024-01-25,4350.0,4455.0,4283.15,4343.85,4361.7,1295034
Polycab India Limited,POLYCAB,2024-01-24,4200.0,4400.0,4125.4,4361.7,4169.95,1879874
Polycab India Limited,POLYCAB,2024-01-23,4350.0,4399.0,4050.0,4169.95,4335.35,1286472
Polycab India Limited,POLYCAB,2024-01-20,4450.0,4450.0,4321.0,4335.35,4422.7,512155
Polycab India Limited,POLYCAB,2024-01-19,4500.0,4537.0,4250.0,4422.7,4436.05,2042284
Polycab India Limited,POLYCAB,2024-01-18,4460.0,4549.0,3995.4,4436.05,4439.3,3940479
