StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Poly Medicure Limited,POLYMED,2024-03-28,1584.65,1595.0,1573.1,1589.2,1584.65,24819
Poly Medicure Limited,POLYMED,2024-03-27,1557.0,1590.0,1557.0,1584.65,1557.2,22406
Poly Medicure Limited,POLYMED,2024-03-26,1544.75,1566.75,1538.1,1557.2,1555.55,27417
Poly Medicure Limited,POLYMED,2024-03-22,1518.45,1563.95,1516.9,1555.55,1529.7,21239
Poly Medicure Limited,POLYMED,2024-03-21,1482.85,1540.0,1482.85,1529.7,1496.7,23990
Poly Medicure Limited,POLYMED,2024-03-20,1479.2,1503.6,1474.65,1496.7,1477.95,34576
Poly Medicure Limited,POLYMED,2024-03-19,1495.0,1495.8,1470.6,1477.95,1495.6,17631
Poly Medicure Limited,POLYMED,2024-03-18,1415.1,1509.7,1415.0,1495.6,1432.85,83764
Poly Medicure Limited,POLYMED,2024-03-15,1410.95,1444.2,1393.0,1432.85,1418.15,70112
Poly Medicure Limited,POLYMED,2024-03-14,1395.0,1429.0,1373.0,1418.15,1396.1,57619
Poly Medicure Limited,POLYMED,2024-03-13,1425.0,1459.7,1392.2,1396.1,1450.95,186534
Poly Medicure Limited,POLYMED,2024-03-12,1526.4,1531.0,1420.2,1450.95,1518.85,134417
Poly Medicure Limited,POLYMED,2024-03-11,1577.75,1577.75,1510.05,1518.85,1570.4,41623
Poly Medicure Limited,POLYMED,2024-03-07,1584.95,1599.75,1560.0,1570.4,1581.85,39249
Poly Medicure Limited,POLYMED,2024-03-06,1590.05,1595.05,1553.1,1581.85,1600.05,73950
Poly Medicure Limited,POLYMED,2024-03-05,1600.0,1610.0,1568.6,1600.05,1600.9,185901
Poly Medicure Limited,POLYMED,2024-03-04,1621.55,1652.0,1589.85,1600.9,1610.5,69511
Poly Medicure Limited,POLYMED,2024-03-02,1612.0,1623.9,1578.9,1610.5,1624.5,6216
Poly Medicure Limited,POLYMED,2024-03-01,1571.0,1633.0,1567.05,1624.5,1563.15,47935
Poly Medicure Limited,POLYMED,2024-02-29,1591.95,1594.65,1548.0,1563.15,1587.3,73767
Poly Medicure Limited,POLYMED,2024-02-28,1640.0,1666.95,1576.5,1587.3,1625.3,108294
Poly Medicure Limited,POLYMED,2024-02-27,1560.0,1638.0,1537.5,1625.3,1565.35,554628
Poly Medicure Limited,POLYMED,2024-02-26,1599.85,1599.95,1560.0,1565.35,1604.8,86550
Poly Medicure Limited,POLYMED,2024-02-23,1596.45,1615.0,1561.0,1604.8,1596.45,63256
Poly Medicure Limited,POLYMED,2024-02-22,1634.0,1638.7,1581.0,1596.45,1613.4,63680
Poly Medicure Limited,POLYMED,2024-02-21,1595.9,1729.0,1547.8,1613.4,1591.3,673559
Poly Medicure Limited,POLYMED,2024-02-20,1580.0,1636.0,1551.8,1591.3,1575.5,75827
Poly Medicure Limited,POLYMED,2024-02-19,1602.75,1619.0,1561.25,1575.5,1583.1,33102
Poly Medicure Limited,POLYMED,2024-02-16,1530.55,1594.0,1516.3,1583.1,1533.95,51123
Poly Medicure Limited,POLYMED,2024-02-15,1536.0,1561.75,1521.5,1533.95,1533.0,16497
Poly Medicure Limited,POLYMED,2024-02-14,1532.5,1555.25,1521.0,1533.0,1549.75,19015
Poly Medicure Limited,POLYMED,2024-02-13,1512.65,1558.5,1480.0,1549.75,1515.8,29200
Poly Medicure Limited,POLYMED,2024-02-12,1535.05,1570.25,1504.75,1515.8,1532.4,34777
Poly Medicure Limited,POLYMED,2024-02-09,1567.0,1571.85,1517.05,1532.4,1564.05,31633
Poly Medicure Limited,POLYMED,2024-02-08,1624.8,1624.8,1541.05,1564.05,1611.75,37606
Poly Medicure Limited,POLYMED,2024-02-07,1600.0,1622.0,1586.5,1611.75,1584.9,100236
Poly Medicure Limited,POLYMED,2024-02-06,1526.15,1595.25,1526.15,1584.9,1522.5,150875
Poly Medicure Limited,POLYMED,2024-02-05,1520.0,1530.9,1497.9,1522.5,1520.1,75194
Poly Medicure Limited,POLYMED,2024-02-02,1487.0,1532.0,1474.5,1520.1,1480.2,115914
Poly Medicure Limited,POLYMED,2024-02-01,1456.0,1510.0,1455.95,1480.2,1456.65,112971
Poly Medicure Limited,POLYMED,2024-01-31,1390.55,1474.7,1361.0,1456.65,1390.55,343906
Poly Medicure Limited,POLYMED,2024-01-30,1396.4,1418.9,1380.0,1390.55,1396.4,96509
Poly Medicure Limited,POLYMED,2024-01-29,1420.0,1424.9,1388.0,1396.4,1424.9,72078
Poly Medicure Limited,POLYMED,2024-01-25,1448.9,1449.55,1420.0,1424.9,1450.7,16716
Poly Medicure Limited,POLYMED,2024-01-24,1419.0,1461.0,1388.0,1450.7,1421.4,53399
Poly Medicure Limited,POLYMED,2024-01-23,1448.65,1457.55,1403.0,1421.4,1445.7,30337
Poly Medicure Limited,POLYMED,2024-01-20,1466.65,1466.65,1445.0,1445.7,1453.85,6264
Poly Medicure Limited,POLYMED,2024-01-19,1457.0,1464.05,1445.0,1453.85,1451.25,11594
