StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Hitachi Energy India Limited,POWERINDIA,2024-03-28,7032.9,7148.0,6938.95,6971.7,7004.3,24215
Hitachi Energy India Limited,POWERINDIA,2024-03-27,6985.0,7077.1,6885.35,7004.3,6985.35,36568
Hitachi Energy India Limited,POWERINDIA,2024-03-26,6952.0,7183.6,6951.0,6985.35,7178.75,44066
Hitachi Energy India Limited,POWERINDIA,2024-03-22,7240.0,7376.5,7094.9,7178.75,7242.0,71744
Hitachi Energy India Limited,POWERINDIA,2024-03-21,6680.0,7450.0,6680.0,7242.0,6661.95,159934
Hitachi Energy India Limited,POWERINDIA,2024-03-20,6546.9,6749.95,6328.0,6661.95,6501.05,31354
Hitachi Energy India Limited,POWERINDIA,2024-03-19,6516.3,6635.35,6480.05,6501.05,6503.45,17218
Hitachi Energy India Limited,POWERINDIA,2024-03-18,6698.0,6698.0,6440.0,6503.45,6634.35,27799
Hitachi Energy India Limited,POWERINDIA,2024-03-15,6750.0,6875.0,6500.0,6634.35,6718.1,40094
Hitachi Energy India Limited,POWERINDIA,2024-03-14,6335.85,6790.0,6300.0,6718.1,6370.95,58349
Hitachi Energy India Limited,POWERINDIA,2024-03-13,6500.0,6549.7,6271.1,6370.95,6469.1,41320
Hitachi Energy India Limited,POWERINDIA,2024-03-12,6582.25,6637.8,6363.75,6469.1,6521.6,30449
Hitachi Energy India Limited,POWERINDIA,2024-03-11,6620.0,6800.0,6481.5,6521.6,6548.8,65104
Hitachi Energy India Limited,POWERINDIA,2024-03-07,6299.05,6596.0,6299.05,6548.8,6290.5,34922
Hitachi Energy India Limited,POWERINDIA,2024-03-06,6365.0,6457.3,6113.45,6290.5,6327.3,38608
Hitachi Energy India Limited,POWERINDIA,2024-03-05,6132.4,6412.85,6116.1,6327.3,6101.9,242731
Hitachi Energy India Limited,POWERINDIA,2024-03-04,6134.3,6243.75,6048.05,6101.9,6128.2,71924
Hitachi Energy India Limited,POWERINDIA,2024-03-02,6099.05,6173.0,6012.9,6128.2,6080.55,1070
Hitachi Energy India Limited,POWERINDIA,2024-03-01,6046.55,6116.0,6005.05,6080.55,6004.2,26232
Hitachi Energy India Limited,POWERINDIA,2024-02-29,5949.9,6050.0,5853.5,6004.2,5913.9,17650
Hitachi Energy India Limited,POWERINDIA,2024-02-28,5871.6,5951.7,5810.1,5913.9,5856.2,22126
Hitachi Energy India Limited,POWERINDIA,2024-02-27,5904.45,6040.0,5815.6,5856.2,5881.2,21526
Hitachi Energy India Limited,POWERINDIA,2024-02-26,5925.0,5950.0,5841.5,5881.2,5896.65,11821
Hitachi Energy India Limited,POWERINDIA,2024-02-23,5844.95,5990.0,5805.0,5896.65,5819.4,47481
Hitachi Energy India Limited,POWERINDIA,2024-02-22,5888.0,5897.95,5737.95,5819.4,5857.15,43015
Hitachi Energy India Limited,POWERINDIA,2024-02-21,6135.5,6270.0,5812.0,5857.15,6103.35,33344
Hitachi Energy India Limited,POWERINDIA,2024-02-20,6230.2,6298.0,6061.5,6103.35,6213.6,11821
Hitachi Energy India Limited,POWERINDIA,2024-02-19,5979.45,6250.0,5976.45,6213.6,5980.85,41745
Hitachi Energy India Limited,POWERINDIA,2024-02-16,5872.15,6070.0,5872.15,5980.85,5861.8,28877
Hitachi Energy India Limited,POWERINDIA,2024-02-15,5904.5,6019.95,5825.35,5861.8,5875.15,31355
Hitachi Energy India Limited,POWERINDIA,2024-02-14,5952.65,5995.95,5850.0,5875.15,5952.0,34315
Hitachi Energy India Limited,POWERINDIA,2024-02-13,6027.0,6027.0,5850.8,5952.0,6008.4,53170
Hitachi Energy India Limited,POWERINDIA,2024-02-12,6198.0,6298.0,5970.05,6008.4,6190.6,45076
Hitachi Energy India Limited,POWERINDIA,2024-02-09,6287.9,6298.0,6034.5,6190.6,6249.9,54047
Hitachi Energy India Limited,POWERINDIA,2024-02-08,6288.0,6418.0,6211.35,6249.9,6252.8,21718
Hitachi Energy India Limited,POWERINDIA,2024-02-07,6200.5,6379.95,6192.1,6252.8,6147.5,26840
Hitachi Energy India Limited,POWERINDIA,2024-02-06,6225.0,6520.0,6080.0,6147.5,6190.65,83838
Hitachi Energy India Limited,POWERINDIA,2024-02-05,5772.0,6275.0,5715.4,6190.65,5745.95,71916
Hitachi Energy India Limited,POWERINDIA,2024-02-02,5788.0,5840.7,5665.0,5745.95,5704.45,14882
Hitachi Energy India Limited,POWERINDIA,2024-02-01,5970.0,5970.05,5679.95,5704.45,5929.85,25155
Hitachi Energy India Limited,POWERINDIA,2024-01-31,5614.5,5946.0,5614.5,5929.85,5614.45,33885
Hitachi Energy India Limited,POWERINDIA,2024-01-30,5832.95,5850.0,5590.0,5614.45,5781.15,21545
Hitachi Energy India Limited,POWERINDIA,2024-01-29,6000.1,6035.0,5760.0,5781.15,5889.5,13022
Hitachi Energy India Limited,POWERINDIA,2024-01-25,5673.05,6042.7,5673.05,5889.5,5673.3,45826
Hitachi Energy India Limited,POWERINDIA,2024-01-24,5686.5,5699.0,5465.55,5673.3,5802.55,143108
Hitachi Energy India Limited,POWERINDIA,2024-01-23,6094.15,6138.35,5780.0,5802.55,6050.75,32347
Hitachi Energy India Limited,POWERINDIA,2024-01-20,6169.0,6193.0,6015.5,6050.75,6131.55,8083
Hitachi Energy India Limited,POWERINDIA,2024-01-19,5961.0,6280.0,5961.0,6131.55,5939.35,37459
Hitachi Energy India Limited,POWERINDIA,2024-01-18,5863.0,6015.5,5790.05,5939.35,5870.2,23546
Hitachi Energy India Limited,POWERINDIA,2024-01-17,5887.6,6025.0,5815.0,5870.2,5917.6,58227
Hitachi Energy India Limited,POWERINDIA,2024-01-16,5900.0,6024.3,5881.0,5917.6,5900.65,63158
Hitachi Energy India Limited,POWERINDIA,2024-01-15,5937.9,5994.75,5850.0,5900.65,5915.75,47591
Hitachi Energy India Limited,POWERINDIA,2024-01-12,5998.0,6048.95,5852.0,5915.75,5976.75,74276
Hitachi Energy India Limited,POWERINDIA,2024-01-11,5920.0,6205.05,5907.05,5976.75,5942.3,63110
Hitachi Energy India Limited,POWERINDIA,2024-01-10,5700.0,5989.0,5637.3,5942.3,5683.15,70643
Hitachi Energy India Limited,POWERINDIA,2024-01-09,5656.85,5796.95,5656.0,5683.15,5624.9,46470
Hitachi Energy India Limited,POWERINDIA,2024-01-08,5624.8,5690.0,5508.85,5624.9,5597.25,23974
Hitachi Energy India Limited,POWERINDIA,2024-01-05,5611.0,5747.2,5557.95,5597.25,5630.8,29513
Hitachi Energy India Limited,POWERINDIA,2024-01-04,5463.85,5680.0,5388.6,5630.8,5438.0,35565
Hitachi Energy India Limited,POWERINDIA,2024-01-03,5453.1,5537.15,5404.0,5438.0,5427.3,40560
Hitachi Energy India Limited,POWERINDIA,2024-01-02,5440.05,5545.05,5348.65,5427.3,5457.3,23372
Hitachi Energy India Limited,POWERINDIA,2024-01-01,5294.6,5489.0,5274.45,5457.3,5264.35,29028
Hitachi Energy India Limited,POWERINDIA,2023-12-29,5300.0,5379.95,5241.5,5264.35,5252.65,44428
Hitachi Energy India Limited,POWERINDIA,2023-12-28,5249.0,5341.15,5201.5,5252.65,5254.8,30140
Hitachi Energy India Limited,POWERINDIA,2023-12-27,5177.95,5322.0,5166.0,5254.8,5158.9,29110
Hitachi Energy India Limited,POWERINDIA,2023-12-26,5131.1,5279.95,5125.15,5158.9,5131.1,31800
Hitachi Energy India Limited,POWERINDIA,2023-12-22,5059.9,5155.0,5020.0,5131.1,5050.25,22422
Hitachi Energy India Limited,POWERINDIA,2023-12-21,4994.0,5116.8,4950.05,5050.25,5034.1,18207
Hitachi Energy India Limited,POWERINDIA,2023-12-20,5190.0,5196.95,4980.0,5034.1,5064.15,34556
Hitachi Energy India Limited,POWERINDIA,2023-12-19,5212.5,5263.4,5056.15,5064.15,5212.5,32879
Hitachi Energy India Limited,POWERINDIA,2023-12-18,5088.0,5250.0,5073.45,5212.5,5077.45,41370
Hitachi Energy India Limited,POWERINDIA,2023-12-15,5100.0,5159.95,5001.0,5077.45,5093.65,31109
Hitachi Energy India Limited,POWERINDIA,2023-12-14,5064.0,5129.95,5020.05,5093.65,5063.85,29582
Hitachi Energy India Limited,POWERINDIA,2023-12-13,4899.9,5132.85,4865.1,5063.85,4862.1,112339
Hitachi Energy India Limited,POWERINDIA,2023-12-12,4879.1,4908.9,4830.2,4862.1,4862.95,36944
Hitachi Energy India Limited,POWERINDIA,2023-12-11,4850.0,4889.25,4787.55,4862.95,4839.7,27787
Hitachi Energy India Limited,POWERINDIA,2023-12-08,4881.7,4909.95,4816.5,4839.7,4856.15,24765
Hitachi Energy India Limited,POWERINDIA,2023-12-07,4815.0,4890.0,4780.95,4856.15,4815.2,73317
Hitachi Energy India Limited,POWERINDIA,2023-12-06,4817.0,4860.0,4745.0,4815.2,4770.7,75017
Hitachi Energy India Limited,POWERINDIA,2023-12-05,4836.0,4958.85,4713.2,4770.7,4811.55,59193
Hitachi Energy India Limited,POWERINDIA,2023-12-04,4765.0,4895.0,4751.0,4811.55,4732.8,54407
Hitachi Energy India Limited,POWERINDIA,2023-12-01,4700.0,4827.25,4700.0,4732.8,4672.35,112075
Hitachi Energy India Limited,POWERINDIA,2023-11-30,4764.7,4764.7,4651.0,4672.35,4724.7,34978
Hitachi Energy India Limited,POWERINDIA,2023-11-29,4750.0,4792.2,4701.05,4724.7,4742.85,22897
Hitachi Energy India Limited,POWERINDIA,2023-11-28,4831.15,4948.0,4689.95,4742.85,4831.15,58299
Hitachi Energy India Limited,POWERINDIA,2023-11-24,4832.15,4920.5,4773.0,4831.15,4832.15,45392
Hitachi Energy India Limited,POWERINDIA,2023-11-23,4725.0,4944.0,4703.65,4832.15,4698.55,103332
Hitachi Energy India Limited,POWERINDIA,2023-11-22,4670.0,4835.65,4569.9,4698.55,4624.2,98107
