StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Piramal Pharma Limited,PPLPHARMA,2024-03-28,123.35,129.4,123.2,128.9,122.35,5924097
Piramal Pharma Limited,PPLPHARMA,2024-03-27,119.85,125.4,119.35,122.35,118.7,9815339
Piramal Pharma Limited,PPLPHARMA,2024-03-26,121.25,121.95,118.25,118.7,121.25,3620043
Piramal Pharma Limited,PPLPHARMA,2024-03-22,123.55,123.65,121.0,121.25,123.5,3422379
Piramal Pharma Limited,PPLPHARMA,2024-03-21,121.5,126.0,120.7,123.5,120.95,6545532
Piramal Pharma Limited,PPLPHARMA,2024-03-20,120.9,122.0,118.45,120.95,120.35,5757544
Piramal Pharma Limited,PPLPHARMA,2024-03-19,119.25,125.65,119.0,120.35,116.85,14148068
Piramal Pharma Limited,PPLPHARMA,2024-03-18,116.95,117.4,115.0,116.85,115.5,2815527
Piramal Pharma Limited,PPLPHARMA,2024-03-15,119.45,119.95,114.35,115.5,119.45,3190860
Piramal Pharma Limited,PPLPHARMA,2024-03-14,117.75,120.5,116.1,119.45,118.7,3910078
Piramal Pharma Limited,PPLPHARMA,2024-03-13,123.6,124.25,116.65,118.7,123.45,7352552
Piramal Pharma Limited,PPLPHARMA,2024-03-12,124.6,124.95,122.1,123.45,124.6,2806515
Piramal Pharma Limited,PPLPHARMA,2024-03-11,127.0,127.45,124.0,124.6,126.9,2575262
Piramal Pharma Limited,PPLPHARMA,2024-03-07,128.15,128.15,126.05,126.9,127.2,1239139
Piramal Pharma Limited,PPLPHARMA,2024-03-06,127.95,128.4,125.0,127.2,127.95,2535734
Piramal Pharma Limited,PPLPHARMA,2024-03-05,130.0,132.75,127.6,127.95,130.05,9696522
Piramal Pharma Limited,PPLPHARMA,2024-03-04,132.45,133.6,129.55,130.05,132.5,2097373
Piramal Pharma Limited,PPLPHARMA,2024-03-02,132.1,133.9,131.4,132.5,131.15,269615
Piramal Pharma Limited,PPLPHARMA,2024-03-01,132.45,135.2,130.5,131.15,131.9,3663445
Piramal Pharma Limited,PPLPHARMA,2024-02-29,130.2,132.95,129.15,131.9,130.2,2428677
Piramal Pharma Limited,PPLPHARMA,2024-02-28,137.0,137.7,129.3,130.2,136.2,3145788
Piramal Pharma Limited,PPLPHARMA,2024-02-27,136.0,137.9,135.15,136.2,136.0,4616286
