StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Praj Industries Limited,PRAJIND,2024-03-28,542.0,544.0,524.0,532.95,538.85,655531
Praj Industries Limited,PRAJIND,2024-03-27,531.15,545.6,531.15,538.85,531.15,827558
Praj Industries Limited,PRAJIND,2024-03-26,529.0,544.0,520.05,531.15,531.95,1597207
Praj Industries Limited,PRAJIND,2024-03-22,526.0,537.75,521.6,531.95,527.0,1155526
Praj Industries Limited,PRAJIND,2024-03-21,515.0,534.8,508.95,527.0,518.1,3791423
Praj Industries Limited,PRAJIND,2024-03-20,473.95,525.75,473.7,518.1,473.7,6461983
Praj Industries Limited,PRAJIND,2024-03-19,475.05,479.0,470.1,473.7,474.1,398629
Praj Industries Limited,PRAJIND,2024-03-18,465.75,485.5,463.0,474.1,459.75,1052527
Praj Industries Limited,PRAJIND,2024-03-15,452.7,470.0,448.0,459.75,451.2,1039404
Praj Industries Limited,PRAJIND,2024-03-14,450.0,462.8,448.55,451.2,455.05,799588
Praj Industries Limited,PRAJIND,2024-03-13,486.0,487.05,450.5,455.05,485.05,1064083
Praj Industries Limited,PRAJIND,2024-03-12,488.0,489.05,479.85,485.05,485.05,586977
Praj Industries Limited,PRAJIND,2024-03-11,498.5,501.0,484.0,485.05,498.5,930915
Praj Industries Limited,PRAJIND,2024-03-07,504.05,506.8,496.0,498.5,503.75,504945
Praj Industries Limited,PRAJIND,2024-03-06,516.0,516.0,496.25,503.75,512.9,428010
Praj Industries Limited,PRAJIND,2024-03-05,507.95,515.0,505.0,512.9,507.1,457176
Praj Industries Limited,PRAJIND,2024-03-04,502.6,512.65,501.75,507.1,502.6,461982
Praj Industries Limited,PRAJIND,2024-03-02,505.0,509.75,501.85,502.6,504.2,78737
Praj Industries Limited,PRAJIND,2024-03-01,502.0,512.9,501.0,504.2,499.95,783211
Praj Industries Limited,PRAJIND,2024-02-29,502.0,503.25,486.25,499.95,503.7,1094986
Praj Industries Limited,PRAJIND,2024-02-28,518.7,519.5,500.0,503.7,516.05,467164
Praj Industries Limited,PRAJIND,2024-02-27,513.5,532.9,512.0,516.05,513.6,1321179
Praj Industries Limited,PRAJIND,2024-02-26,513.7,520.0,509.9,513.6,513.65,584313
Praj Industries Limited,PRAJIND,2024-02-23,508.95,518.6,504.3,513.65,508.95,635886
Praj Industries Limited,PRAJIND,2024-02-22,502.1,513.7,497.1,508.95,501.25,610907
Praj Industries Limited,PRAJIND,2024-02-21,512.75,514.6,500.0,501.25,511.25,472478
Praj Industries Limited,PRAJIND,2024-02-20,512.5,519.9,506.0,511.25,512.3,737839
Praj Industries Limited,PRAJIND,2024-02-19,506.45,518.0,503.25,512.3,499.7,829661
Praj Industries Limited,PRAJIND,2024-02-16,507.9,509.35,497.55,499.7,503.9,435611
Praj Industries Limited,PRAJIND,2024-02-15,499.9,510.0,499.0,503.9,497.7,557178
Praj Industries Limited,PRAJIND,2024-02-14,476.95,498.75,475.75,497.7,479.05,973493
Praj Industries Limited,PRAJIND,2024-02-13,485.0,488.85,472.0,479.05,483.1,749477
Praj Industries Limited,PRAJIND,2024-02-12,503.5,503.5,480.5,483.1,499.55,935411
Praj Industries Limited,PRAJIND,2024-02-09,511.0,512.8,491.25,499.55,508.25,900226
Praj Industries Limited,PRAJIND,2024-02-08,503.25,510.9,500.05,508.25,500.2,971071
Praj Industries Limited,PRAJIND,2024-02-07,516.85,516.85,498.25,500.2,508.05,1129060
Praj Industries Limited,PRAJIND,2024-02-06,473.15,509.6,473.05,508.05,472.95,2598404
Praj Industries Limited,PRAJIND,2024-02-05,481.95,489.95,470.95,472.95,477.25,1613404
Praj Industries Limited,PRAJIND,2024-02-02,496.65,503.15,475.05,477.25,496.8,2919250
Praj Industries Limited,PRAJIND,2024-02-01,504.0,509.0,493.8,496.8,498.1,1164136
Praj Industries Limited,PRAJIND,2024-01-31,510.6,511.6,496.65,498.1,506.75,1224932
Praj Industries Limited,PRAJIND,2024-01-30,510.0,513.25,504.1,506.75,512.55,729467
Praj Industries Limited,PRAJIND,2024-01-29,519.35,519.35,509.85,512.55,511.5,922791
Praj Industries Limited,PRAJIND,2024-01-25,517.95,526.0,508.0,511.5,517.0,803267
Praj Industries Limited,PRAJIND,2024-01-24,512.0,521.05,503.35,517.0,511.05,654337
Praj Industries Limited,PRAJIND,2024-01-23,520.0,522.95,504.3,511.05,516.4,935210
Praj Industries Limited,PRAJIND,2024-01-20,526.0,526.0,515.5,516.4,519.75,299371
Praj Industries Limited,PRAJIND,2024-01-19,520.05,527.0,518.0,519.75,518.1,341823
Praj Industries Limited,PRAJIND,2024-01-18,520.0,526.0,508.8,518.1,522.35,515627
Praj Industries Limited,PRAJIND,2024-01-17,525.0,532.65,518.0,522.35,529.7,620753
Praj Industries Limited,PRAJIND,2024-01-16,525.0,540.0,523.55,529.7,525.7,867609
Praj Industries Limited,PRAJIND,2024-01-15,540.75,540.75,522.8,525.7,534.1,923423
Praj Industries Limited,PRAJIND,2024-01-12,538.05,543.65,533.0,534.1,538.3,439439
Praj Industries Limited,PRAJIND,2024-01-11,540.0,544.85,537.0,538.3,538.65,329493
Praj Industries Limited,PRAJIND,2024-01-10,535.7,541.0,531.5,538.65,535.7,450415
Praj Industries Limited,PRAJIND,2024-01-09,541.95,546.0,534.0,535.7,540.35,589366
Praj Industries Limited,PRAJIND,2024-01-08,555.0,555.4,538.5,540.35,548.2,681653
Praj Industries Limited,PRAJIND,2024-01-05,557.5,561.2,545.95,548.2,552.65,842720
Praj Industries Limited,PRAJIND,2024-01-04,553.4,555.1,550.25,552.65,551.25,399653
Praj Industries Limited,PRAJIND,2024-01-03,547.9,558.0,546.1,551.25,547.9,555369
Praj Industries Limited,PRAJIND,2024-01-02,556.55,559.6,544.85,547.9,556.55,797897
Praj Industries Limited,PRAJIND,2024-01-01,560.0,562.9,555.35,556.55,556.0,385363
Praj Industries Limited,PRAJIND,2023-12-29,553.2,563.8,550.2,556.0,553.2,977339
Praj Industries Limited,PRAJIND,2023-12-28,538.7,559.95,538.7,553.2,546.6,972324
Praj Industries Limited,PRAJIND,2023-12-27,559.75,561.9,545.0,546.6,557.05,630828
Praj Industries Limited,PRAJIND,2023-12-26,565.0,566.4,555.8,557.05,562.05,427372
Praj Industries Limited,PRAJIND,2023-12-22,548.05,568.65,548.0,562.05,545.95,1240592
Praj Industries Limited,PRAJIND,2023-12-21,534.0,549.0,526.2,545.95,536.7,653983
Praj Industries Limited,PRAJIND,2023-12-20,562.0,565.0,533.0,536.7,561.6,1525304
Praj Industries Limited,PRAJIND,2023-12-19,575.0,575.4,560.05,561.6,569.85,871947
