StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Prestige Estates Projects Limited,PRESTIGE,2024-03-28,1181.0,1193.55,1136.05,1170.0,1190.75,962594
Prestige Estates Projects Limited,PRESTIGE,2024-03-27,1154.9,1197.9,1154.9,1190.75,1150.2,737202
Prestige Estates Projects Limited,PRESTIGE,2024-03-26,1119.0,1157.2,1112.05,1150.2,1100.5,1069965
Prestige Estates Projects Limited,PRESTIGE,2024-03-22,1065.5,1119.4,1065.0,1100.5,1048.65,1096113
Prestige Estates Projects Limited,PRESTIGE,2024-03-21,1047.05,1069.0,1007.2,1048.65,1036.55,1322879
Prestige Estates Projects Limited,PRESTIGE,2024-03-20,998.0,1045.95,995.0,1036.55,992.6,531753
Prestige Estates Projects Limited,PRESTIGE,2024-03-19,1005.0,1014.0,967.3,992.6,1005.15,830869
Prestige Estates Projects Limited,PRESTIGE,2024-03-18,1020.0,1038.85,995.0,1005.15,1043.5,1256250
Prestige Estates Projects Limited,PRESTIGE,2024-03-15,1066.85,1097.9,1025.0,1043.5,1071.7,2567838
Prestige Estates Projects Limited,PRESTIGE,2024-03-14,1093.0,1119.45,1061.55,1071.7,1123.0,1363698
Prestige Estates Projects Limited,PRESTIGE,2024-03-13,1135.2,1159.0,1048.25,1123.0,1158.4,2104976
Prestige Estates Projects Limited,PRESTIGE,2024-03-12,1182.85,1202.75,1113.05,1158.4,1179.65,961616
Prestige Estates Projects Limited,PRESTIGE,2024-03-11,1181.15,1189.8,1160.35,1179.65,1181.15,569650
Prestige Estates Projects Limited,PRESTIGE,2024-03-07,1210.0,1246.75,1159.05,1181.15,1195.35,512742
Prestige Estates Projects Limited,PRESTIGE,2024-03-06,1191.9,1211.45,1180.0,1195.35,1194.6,579147
Prestige Estates Projects Limited,PRESTIGE,2024-03-05,1187.0,1202.0,1168.9,1194.6,1180.0,613674
Prestige Estates Projects Limited,PRESTIGE,2024-03-04,1213.0,1213.0,1173.15,1180.0,1213.35,931156
Prestige Estates Projects Limited,PRESTIGE,2024-03-02,1165.05,1225.8,1165.05,1213.35,1167.45,110254
Prestige Estates Projects Limited,PRESTIGE,2024-03-01,1154.3,1185.95,1143.15,1167.45,1166.75,805788
Prestige Estates Projects Limited,PRESTIGE,2024-02-29,1201.1,1218.4,1132.7,1166.75,1229.05,5787071
Prestige Estates Projects Limited,PRESTIGE,2024-02-28,1209.95,1246.7,1162.0,1229.05,1209.95,879240
Prestige Estates Projects Limited,PRESTIGE,2024-02-27,1216.25,1232.6,1190.0,1209.95,1222.9,983837
Prestige Estates Projects Limited,PRESTIGE,2024-02-26,1223.0,1254.8,1214.0,1222.9,1230.4,285015
Prestige Estates Projects Limited,PRESTIGE,2024-02-23,1221.5,1267.0,1210.85,1230.4,1212.1,1389711
Prestige Estates Projects Limited,PRESTIGE,2024-02-22,1190.1,1228.85,1189.0,1212.1,1190.25,645625
Prestige Estates Projects Limited,PRESTIGE,2024-02-21,1168.8,1204.1,1166.0,1190.25,1164.5,837602
Prestige Estates Projects Limited,PRESTIGE,2024-02-20,1169.8,1183.9,1133.8,1164.5,1162.65,642882
Prestige Estates Projects Limited,PRESTIGE,2024-02-19,1215.0,1228.45,1151.5,1162.65,1197.85,650188
Prestige Estates Projects Limited,PRESTIGE,2024-02-16,1142.9,1214.0,1125.25,1197.85,1132.5,650945
Prestige Estates Projects Limited,PRESTIGE,2024-02-15,1126.95,1140.45,1104.1,1132.5,1100.75,1092414
Prestige Estates Projects Limited,PRESTIGE,2024-02-14,1050.0,1149.8,1043.3,1100.75,1143.3,1021950
Prestige Estates Projects Limited,PRESTIGE,2024-02-13,1140.0,1164.95,1101.0,1143.3,1175.05,643137
Prestige Estates Projects Limited,PRESTIGE,2024-02-12,1203.1,1224.3,1151.15,1175.05,1202.5,357708
Prestige Estates Projects Limited,PRESTIGE,2024-02-09,1212.45,1219.85,1157.5,1202.5,1212.45,558738
Prestige Estates Projects Limited,PRESTIGE,2024-02-08,1224.0,1240.95,1201.05,1212.45,1226.45,611497
Prestige Estates Projects Limited,PRESTIGE,2024-02-07,1237.0,1254.85,1206.95,1226.45,1222.9,281927
Prestige Estates Projects Limited,PRESTIGE,2024-02-06,1200.95,1249.9,1195.8,1222.9,1200.25,267190
Prestige Estates Projects Limited,PRESTIGE,2024-02-05,1180.0,1229.7,1163.0,1200.25,1211.8,785469
Prestige Estates Projects Limited,PRESTIGE,2024-02-02,1248.0,1269.6,1190.35,1211.8,1241.7,406348
Prestige Estates Projects Limited,PRESTIGE,2024-02-01,1265.4,1272.95,1226.3,1241.7,1265.4,418078
Prestige Estates Projects Limited,PRESTIGE,2024-01-31,1228.9,1302.95,1217.0,1265.4,1216.65,908595
Prestige Estates Projects Limited,PRESTIGE,2024-01-30,1215.0,1230.95,1195.35,1216.65,1212.8,977333
Prestige Estates Projects Limited,PRESTIGE,2024-01-29,1205.0,1230.25,1162.8,1212.8,1204.7,1005109
Prestige Estates Projects Limited,PRESTIGE,2024-01-25,1180.1,1257.0,1145.05,1204.7,1196.5,1327051
Prestige Estates Projects Limited,PRESTIGE,2024-01-24,1145.0,1262.25,1065.2,1196.5,1136.45,2350268
Prestige Estates Projects Limited,PRESTIGE,2024-01-23,1295.6,1299.9,1077.45,1136.45,1286.7,1523802
Prestige Estates Projects Limited,PRESTIGE,2024-01-20,1287.5,1317.7,1282.4,1286.7,1276.2,272214
Prestige Estates Projects Limited,PRESTIGE,2024-01-19,1318.8,1324.05,1235.0,1276.2,1302.1,853862
Prestige Estates Projects Limited,PRESTIGE,2024-01-18,1288.9,1318.25,1226.0,1302.1,1288.9,863090
Prestige Estates Projects Limited,PRESTIGE,2024-01-17,1302.0,1311.05,1273.0,1288.9,1322.7,659790
Prestige Estates Projects Limited,PRESTIGE,2024-01-16,1365.0,1397.7,1281.5,1322.7,1353.9,1382518
Prestige Estates Projects Limited,PRESTIGE,2024-01-15,1395.1,1440.0,1335.2,1353.9,1380.55,1173631
Prestige Estates Projects Limited,PRESTIGE,2024-01-12,1375.1,1412.0,1355.75,1380.55,1378.2,955729
Prestige Estates Projects Limited,PRESTIGE,2024-01-11,1370.0,1410.0,1348.7,1378.2,1364.1,1206845
Prestige Estates Projects Limited,PRESTIGE,2024-01-10,1385.95,1385.95,1325.0,1364.1,1335.5,1553858
Prestige Estates Projects Limited,PRESTIGE,2024-01-09,1326.85,1350.0,1305.3,1335.5,1329.25,734779
Prestige Estates Projects Limited,PRESTIGE,2024-01-08,1336.05,1364.55,1311.55,1329.25,1329.65,1191345
Prestige Estates Projects Limited,PRESTIGE,2024-01-05,1343.15,1383.05,1313.05,1329.65,1355.35,1476137
Prestige Estates Projects Limited,PRESTIGE,2024-01-04,1244.55,1416.9,1240.0,1355.35,1258.25,1903112
Prestige Estates Projects Limited,PRESTIGE,2024-01-03,1194.05,1311.15,1188.0,1258.25,1201.6,723269
Prestige Estates Projects Limited,PRESTIGE,2024-01-02,1180.1,1219.65,1171.4,1201.6,1188.7,547303
Prestige Estates Projects Limited,PRESTIGE,2024-01-01,1162.9,1212.9,1160.0,1188.7,1178.9,826558
Prestige Estates Projects Limited,PRESTIGE,2023-12-29,1155.0,1185.85,1142.0,1178.9,1150.8,858059
Prestige Estates Projects Limited,PRESTIGE,2023-12-28,1149.0,1164.05,1132.25,1150.8,1141.95,547795
Prestige Estates Projects Limited,PRESTIGE,2023-12-27,1120.0,1147.55,1118.0,1141.95,1121.3,496198
Prestige Estates Projects Limited,PRESTIGE,2023-12-26,1115.5,1129.55,1109.0,1121.3,1114.9,448110
Prestige Estates Projects Limited,PRESTIGE,2023-12-22,1074.8,1122.2,1074.8,1114.9,1064.15,786067
Prestige Estates Projects Limited,PRESTIGE,2023-12-21,1065.4,1095.0,1041.05,1064.15,1108.4,623074
Prestige Estates Projects Limited,PRESTIGE,2023-12-20,1138.0,1143.45,1080.0,1108.4,1134.95,758958
Prestige Estates Projects Limited,PRESTIGE,2023-12-19,1142.0,1150.0,1127.4,1134.95,1139.35,348661
Prestige Estates Projects Limited,PRESTIGE,2023-12-18,1132.9,1153.9,1107.3,1139.35,1113.9,759381
Prestige Estates Projects Limited,PRESTIGE,2023-12-15,1164.9,1169.6,1105.0,1113.9,1164.6,1839174
Prestige Estates Projects Limited,PRESTIGE,2023-12-14,1174.8,1231.3,1150.15,1164.6,1166.05,2484295
Prestige Estates Projects Limited,PRESTIGE,2023-12-13,1113.2,1205.0,1062.1,1166.05,1102.2,3140457
Prestige Estates Projects Limited,PRESTIGE,2023-12-12,1178.0,1185.25,1081.1,1102.2,1177.45,2335479
Prestige Estates Projects Limited,PRESTIGE,2023-12-11,1194.0,1198.3,1150.7,1177.45,1186.45,1533204
Prestige Estates Projects Limited,PRESTIGE,2023-12-08,1132.0,1192.5,1130.0,1186.45,1126.2,2946858
Prestige Estates Projects Limited,PRESTIGE,2023-12-07,1100.0,1155.0,1071.15,1126.2,1072.25,1529994
Prestige Estates Projects Limited,PRESTIGE,2023-12-06,1070.6,1105.0,1032.0,1072.25,1080.35,1746016
Prestige Estates Projects Limited,PRESTIGE,2023-12-05,1107.15,1111.95,1059.35,1080.35,1104.9,1532927
Prestige Estates Projects Limited,PRESTIGE,2023-12-04,1050.0,1148.15,1022.2,1104.9,1037.8,3365855
Prestige Estates Projects Limited,PRESTIGE,2023-12-01,1018.55,1048.7,1016.8,1037.8,1002.9,1625407
Prestige Estates Projects Limited,PRESTIGE,2023-11-30,959.7,1050.0,953.45,1002.9,952.6,3306553
Prestige Estates Projects Limited,PRESTIGE,2023-11-29,964.95,966.3,945.0,952.6,956.7,360464
Prestige Estates Projects Limited,PRESTIGE,2023-11-28,932.0,968.0,930.6,956.7,925.05,611069
Prestige Estates Projects Limited,PRESTIGE,2023-11-24,924.75,931.0,893.55,925.05,916.75,1335321
Prestige Estates Projects Limited,PRESTIGE,2023-11-23,903.0,957.4,903.0,916.75,905.7,2092379
Prestige Estates Projects Limited,PRESTIGE,2023-11-22,902.5,912.9,895.2,905.7,904.75,506903
Prestige Estates Projects Limited,PRESTIGE,2023-11-21,893.0,914.9,891.0,904.75,892.05,562402
Prestige Estates Projects Limited,PRESTIGE,2023-11-20,880.6,908.6,872.1,892.05,878.05,1189371
Prestige Estates Projects Limited,PRESTIGE,2023-11-17,910.0,910.0,872.35,878.05,912.2,789275
Prestige Estates Projects Limited,PRESTIGE,2023-11-16,876.9,924.9,873.05,912.2,872.65,1101486
Prestige Estates Projects Limited,PRESTIGE,2023-11-15,855.1,880.55,852.0,872.65,843.0,915985
Prestige Estates Projects Limited,PRESTIGE,2023-11-13,864.1,866.6,840.0,843.0,870.85,762389
Prestige Estates Projects Limited,PRESTIGE,2023-11-12,873.8,880.0,865.0,870.85,873.15,166224
Prestige Estates Projects Limited,PRESTIGE,2023-11-10,865.05,887.4,853.2,873.15,868.45,1949702
Prestige Estates Projects Limited,PRESTIGE,2023-11-09,836.5,878.0,830.05,868.45,832.75,3043326
Prestige Estates Projects Limited,PRESTIGE,2023-11-08,830.0,848.0,818.35,832.75,791.0,2500450
Prestige Estates Projects Limited,PRESTIGE,2023-11-07,800.55,817.5,781.0,791.0,800.6,1142035
Prestige Estates Projects Limited,PRESTIGE,2023-11-06,780.05,805.5,773.0,800.6,780.15,1474546
Prestige Estates Projects Limited,PRESTIGE,2023-11-03,751.7,787.0,750.05,780.15,747.1,2067814
Prestige Estates Projects Limited,PRESTIGE,2023-11-02,749.85,764.95,742.0,747.1,749.85,759721
Prestige Estates Projects Limited,PRESTIGE,2023-11-01,756.0,774.0,738.0,749.85,765.7,1297233
Prestige Estates Projects Limited,PRESTIGE,2023-10-31,752.45,778.5,736.8,765.7,751.3,1020355
Prestige Estates Projects Limited,PRESTIGE,2023-10-30,743.0,763.9,733.75,751.3,748.1,670629
Prestige Estates Projects Limited,PRESTIGE,2023-10-27,784.35,787.85,736.05,748.1,784.35,1872390
