StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Prince Pipes And Fittings Limited,PRINCEPIPE,2024-03-28,557.95,566.4,544.65,549.25,556.7,202066
Prince Pipes And Fittings Limited,PRINCEPIPE,2024-03-27,569.8,573.0,555.0,556.7,565.85,157376
Prince Pipes And Fittings Limited,PRINCEPIPE,2024-03-26,562.8,572.75,559.05,565.85,562.8,318718
Prince Pipes And Fittings Limited,PRINCEPIPE,2024-03-22,549.0,565.6,547.15,562.8,544.25,286123
Prince Pipes And Fittings Limited,PRINCEPIPE,2024-03-21,543.8,552.35,535.0,544.25,529.95,351941
Prince Pipes And Fittings Limited,PRINCEPIPE,2024-03-20,530.5,538.7,528.0,529.95,529.35,197592
Prince Pipes And Fittings Limited,PRINCEPIPE,2024-03-19,524.55,543.9,524.0,529.35,524.55,272187
Prince Pipes And Fittings Limited,PRINCEPIPE,2024-03-18,535.05,541.95,522.0,524.55,532.1,221572
Prince Pipes And Fittings Limited,PRINCEPIPE,2024-03-15,538.5,545.35,528.25,532.1,538.45,175369
Prince Pipes And Fittings Limited,PRINCEPIPE,2024-03-14,530.2,555.9,521.35,538.45,530.2,240093
Prince Pipes And Fittings Limited,PRINCEPIPE,2024-03-13,548.0,549.0,527.0,530.2,547.6,189334
Prince Pipes And Fittings Limited,PRINCEPIPE,2024-03-12,557.1,560.35,544.65,547.6,558.85,145699
Prince Pipes And Fittings Limited,PRINCEPIPE,2024-03-11,568.5,571.9,557.15,558.85,568.15,118845
Prince Pipes And Fittings Limited,PRINCEPIPE,2024-03-07,565.1,576.95,563.05,568.15,565.05,89243
Prince Pipes And Fittings Limited,PRINCEPIPE,2024-03-06,574.0,574.0,562.1,565.05,575.1,116783
Prince Pipes And Fittings Limited,PRINCEPIPE,2024-03-05,576.8,578.95,570.05,575.1,576.8,95885
Prince Pipes And Fittings Limited,PRINCEPIPE,2024-03-04,579.95,582.0,573.4,576.8,579.25,82181
Prince Pipes And Fittings Limited,PRINCEPIPE,2024-03-02,577.95,584.0,572.0,579.25,570.9,30981
Prince Pipes And Fittings Limited,PRINCEPIPE,2024-03-01,575.35,579.8,567.15,570.9,573.45,167457
Prince Pipes And Fittings Limited,PRINCEPIPE,2024-02-29,578.6,584.4,572.0,573.45,581.45,128012
Prince Pipes And Fittings Limited,PRINCEPIPE,2024-02-28,596.0,596.0,580.0,581.45,591.4,199433
Prince Pipes And Fittings Limited,PRINCEPIPE,2024-02-27,584.5,595.0,582.7,591.4,582.65,116474
Prince Pipes And Fittings Limited,PRINCEPIPE,2024-02-26,590.0,591.95,578.6,582.65,587.5,100149
Prince Pipes And Fittings Limited,PRINCEPIPE,2024-02-23,590.0,594.35,585.3,587.5,585.8,119365
Prince Pipes And Fittings Limited,PRINCEPIPE,2024-02-22,589.85,594.05,584.4,585.8,588.9,114195
Prince Pipes And Fittings Limited,PRINCEPIPE,2024-02-21,590.05,596.9,588.0,588.9,590.65,131733
Prince Pipes And Fittings Limited,PRINCEPIPE,2024-02-20,598.2,598.2,589.15,590.65,593.9,136446
Prince Pipes And Fittings Limited,PRINCEPIPE,2024-02-19,600.45,600.45,588.05,593.9,594.45,144781
Prince Pipes And Fittings Limited,PRINCEPIPE,2024-02-16,601.0,603.95,592.6,594.45,598.4,138870
Prince Pipes And Fittings Limited,PRINCEPIPE,2024-02-15,596.15,602.75,587.0,598.4,588.55,182120
Prince Pipes And Fittings Limited,PRINCEPIPE,2024-02-14,585.0,603.7,583.6,588.55,595.7,204034
Prince Pipes And Fittings Limited,PRINCEPIPE,2024-02-13,623.0,623.0,592.0,595.7,619.65,432744
Prince Pipes And Fittings Limited,PRINCEPIPE,2024-02-12,647.0,652.0,617.0,619.65,635.4,214184
Prince Pipes And Fittings Limited,PRINCEPIPE,2024-02-09,660.0,660.25,632.7,635.4,656.45,198191
Prince Pipes And Fittings Limited,PRINCEPIPE,2024-02-08,647.0,660.95,647.0,656.45,646.45,204945
Prince Pipes And Fittings Limited,PRINCEPIPE,2024-02-07,679.95,686.0,643.5,646.45,673.55,925088
Prince Pipes And Fittings Limited,PRINCEPIPE,2024-02-06,685.0,689.95,666.1,673.55,723.9,951137
Prince Pipes And Fittings Limited,PRINCEPIPE,2024-02-05,701.4,729.85,698.35,723.9,701.15,242666
Prince Pipes And Fittings Limited,PRINCEPIPE,2024-02-02,707.0,709.65,699.25,701.15,702.15,92095
