StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Prism Johnson Limited,PRSMJOHNSN,2024-03-28,178.0,180.6,176.0,178.6,177.9,372515
Prism Johnson Limited,PRSMJOHNSN,2024-03-27,170.95,182.9,170.95,177.9,170.6,3537889
Prism Johnson Limited,PRSMJOHNSN,2024-03-26,171.25,172.5,170.25,170.6,171.45,119161
Prism Johnson Limited,PRSMJOHNSN,2024-03-22,169.4,172.0,168.5,171.45,169.35,98461
Prism Johnson Limited,PRSMJOHNSN,2024-03-21,170.1,171.8,168.0,169.35,169.35,163177
Prism Johnson Limited,PRSMJOHNSN,2024-03-20,171.9,173.5,168.0,169.35,170.75,203381
Prism Johnson Limited,PRSMJOHNSN,2024-03-19,170.5,173.8,169.4,170.75,170.5,143299
Prism Johnson Limited,PRSMJOHNSN,2024-03-18,168.95,171.4,166.5,170.5,169.05,296657
Prism Johnson Limited,PRSMJOHNSN,2024-03-15,168.25,170.45,166.5,169.05,168.6,109763
Prism Johnson Limited,PRSMJOHNSN,2024-03-14,165.4,169.4,162.0,168.6,165.05,196594
Prism Johnson Limited,PRSMJOHNSN,2024-03-13,171.95,171.95,163.0,165.05,171.1,391315
Prism Johnson Limited,PRSMJOHNSN,2024-03-12,169.0,172.6,161.6,171.1,169.85,776858
Prism Johnson Limited,PRSMJOHNSN,2024-03-11,170.1,171.2,169.5,169.85,170.2,200506
Prism Johnson Limited,PRSMJOHNSN,2024-03-07,171.75,173.2,169.8,170.2,170.05,308312
Prism Johnson Limited,PRSMJOHNSN,2024-03-06,170.3,178.3,169.25,170.05,170.3,2880252
Prism Johnson Limited,PRSMJOHNSN,2024-03-05,170.95,172.2,169.75,170.3,170.85,166717
Prism Johnson Limited,PRSMJOHNSN,2024-03-04,174.35,174.6,170.3,170.85,174.35,131230
Prism Johnson Limited,PRSMJOHNSN,2024-03-02,171.5,176.55,171.5,174.35,171.35,31843
Prism Johnson Limited,PRSMJOHNSN,2024-03-01,175.15,177.4,170.6,171.35,174.55,163253
Prism Johnson Limited,PRSMJOHNSN,2024-02-29,170.0,175.65,168.45,174.55,170.15,304795
Prism Johnson Limited,PRSMJOHNSN,2024-02-28,170.85,171.4,169.75,170.15,170.65,130267
Prism Johnson Limited,PRSMJOHNSN,2024-02-27,170.5,171.15,169.75,170.65,170.05,118774
Prism Johnson Limited,PRSMJOHNSN,2024-02-26,170.9,171.4,169.75,170.05,170.45,143146
Prism Johnson Limited,PRSMJOHNSN,2024-02-23,171.6,172.45,170.0,170.45,170.45,146746
Prism Johnson Limited,PRSMJOHNSN,2024-02-22,172.9,172.95,170.05,170.45,171.65,84191
Prism Johnson Limited,PRSMJOHNSN,2024-02-21,171.3,173.6,169.75,171.65,170.4,220923
Prism Johnson Limited,PRSMJOHNSN,2024-02-20,173.05,175.7,170.0,170.4,171.95,253361
Prism Johnson Limited,PRSMJOHNSN,2024-02-19,172.5,176.0,171.15,171.95,172.45,212685
Prism Johnson Limited,PRSMJOHNSN,2024-02-16,175.8,180.55,171.05,172.45,174.9,419131
Prism Johnson Limited,PRSMJOHNSN,2024-02-15,174.15,178.9,173.55,174.9,172.9,325232
Prism Johnson Limited,PRSMJOHNSN,2024-02-14,171.0,174.8,169.75,172.9,173.2,269031
Prism Johnson Limited,PRSMJOHNSN,2024-02-13,170.5,174.8,169.85,173.2,170.15,697711
Prism Johnson Limited,PRSMJOHNSN,2024-02-12,183.0,183.0,169.75,170.15,183.0,2195577
Prism Johnson Limited,PRSMJOHNSN,2024-02-09,170.1,199.0,170.1,183.0,170.1,24693533
Prism Johnson Limited,PRSMJOHNSN,2024-02-08,171.5,172.65,169.75,170.1,170.95,252937
Prism Johnson Limited,PRSMJOHNSN,2024-02-07,173.6,175.8,170.05,170.95,173.35,217282
Prism Johnson Limited,PRSMJOHNSN,2024-02-06,170.9,175.4,170.9,173.35,170.25,327440
Prism Johnson Limited,PRSMJOHNSN,2024-02-05,168.0,171.1,168.0,170.25,170.2,436985
Prism Johnson Limited,PRSMJOHNSN,2024-02-02,172.35,174.45,169.2,170.2,171.05,607546
Prism Johnson Limited,PRSMJOHNSN,2024-02-01,181.65,183.4,170.35,171.05,180.75,1150445
Prism Johnson Limited,PRSMJOHNSN,2024-01-31,173.0,182.45,172.95,180.75,172.55,794137
Prism Johnson Limited,PRSMJOHNSN,2024-01-30,173.75,176.15,172.05,172.55,172.9,278841
Prism Johnson Limited,PRSMJOHNSN,2024-01-29,169.0,173.9,165.95,172.9,168.15,376697
Prism Johnson Limited,PRSMJOHNSN,2024-01-25,168.05,171.85,166.4,168.15,167.75,277313
Prism Johnson Limited,PRSMJOHNSN,2024-01-24,165.05,170.9,163.65,167.75,167.25,492597
Prism Johnson Limited,PRSMJOHNSN,2024-01-23,179.3,180.05,166.0,167.25,178.8,523561
Prism Johnson Limited,PRSMJOHNSN,2024-01-20,185.95,185.95,176.4,178.8,182.65,323960
Prism Johnson Limited,PRSMJOHNSN,2024-01-19,184.7,185.9,182.05,182.65,184.0,223235
Prism Johnson Limited,PRSMJOHNSN,2024-01-18,183.4,186.9,181.0,184.0,183.85,414326
Prism Johnson Limited,PRSMJOHNSN,2024-01-17,180.4,185.05,176.25,183.85,181.9,708913
Prism Johnson Limited,PRSMJOHNSN,2024-01-16,189.4,189.4,181.1,181.9,189.1,514900
Prism Johnson Limited,PRSMJOHNSN,2024-01-15,188.0,191.0,185.35,189.1,186.6,1078811
Prism Johnson Limited,PRSMJOHNSN,2024-01-12,182.4,188.0,181.0,186.6,181.5,822903
Prism Johnson Limited,PRSMJOHNSN,2024-01-11,182.1,183.7,181.0,181.5,181.4,189050
Prism Johnson Limited,PRSMJOHNSN,2024-01-10,181.0,183.45,180.75,181.4,181.75,231284
Prism Johnson Limited,PRSMJOHNSN,2024-01-09,182.05,183.45,180.9,181.75,181.15,247534
Prism Johnson Limited,PRSMJOHNSN,2024-01-08,184.1,185.6,180.75,181.15,183.8,212123
Prism Johnson Limited,PRSMJOHNSN,2024-01-05,182.5,186.5,182.5,183.8,183.2,282993
Prism Johnson Limited,PRSMJOHNSN,2024-01-04,182.65,184.7,180.9,183.2,181.3,727146
Prism Johnson Limited,PRSMJOHNSN,2024-01-03,182.4,183.9,178.6,181.3,182.25,447397
Prism Johnson Limited,PRSMJOHNSN,2024-01-02,185.9,185.95,181.5,182.25,184.35,202407
Prism Johnson Limited,PRSMJOHNSN,2024-01-01,184.0,189.9,183.65,184.35,183.75,801146
Prism Johnson Limited,PRSMJOHNSN,2023-12-29,181.1,185.0,180.75,183.75,181.2,292897
Prism Johnson Limited,PRSMJOHNSN,2023-12-28,182.3,184.25,181.0,181.2,182.3,230699
Prism Johnson Limited,PRSMJOHNSN,2023-12-27,182.05,187.8,180.65,182.3,182.0,470019
Prism Johnson Limited,PRSMJOHNSN,2023-12-26,182.0,183.5,177.9,182.0,181.0,942941
Prism Johnson Limited,PRSMJOHNSN,2023-12-22,179.3,183.7,175.4,181.0,178.7,366664
Prism Johnson Limited,PRSMJOHNSN,2023-12-21,173.0,179.95,171.3,178.7,174.95,450620
Prism Johnson Limited,PRSMJOHNSN,2023-12-20,181.7,188.8,172.4,174.95,181.2,1199824
Prism Johnson Limited,PRSMJOHNSN,2023-12-19,183.15,184.7,180.5,181.2,182.95,317100
Prism Johnson Limited,PRSMJOHNSN,2023-12-18,181.9,184.7,180.55,182.95,181.4,417460
Prism Johnson Limited,PRSMJOHNSN,2023-12-15,182.9,183.75,180.75,181.4,183.0,388262
Prism Johnson Limited,PRSMJOHNSN,2023-12-14,182.8,186.0,180.4,183.0,182.0,999322
Prism Johnson Limited,PRSMJOHNSN,2023-12-13,181.75,183.25,180.95,182.0,181.75,279294
Prism Johnson Limited,PRSMJOHNSN,2023-12-12,182.75,184.55,180.25,181.75,181.55,582888
Prism Johnson Limited,PRSMJOHNSN,2023-12-11,181.3,183.45,180.15,181.55,181.55,491275
Prism Johnson Limited,PRSMJOHNSN,2023-12-08,180.4,191.7,180.0,181.55,180.15,1857241
Prism Johnson Limited,PRSMJOHNSN,2023-12-07,180.15,182.0,178.4,180.15,180.6,322986
Prism Johnson Limited,PRSMJOHNSN,2023-12-06,183.1,183.1,178.2,180.6,181.65,404433
Prism Johnson Limited,PRSMJOHNSN,2023-12-05,182.65,184.7,178.5,181.65,182.75,650620
Prism Johnson Limited,PRSMJOHNSN,2023-12-04,184.7,184.9,177.55,182.75,180.75,1071318
Prism Johnson Limited,PRSMJOHNSN,2023-12-01,174.9,183.65,171.9,180.75,172.45,2059803
Prism Johnson Limited,PRSMJOHNSN,2023-11-30,172.15,173.65,169.05,172.45,172.15,482259
Prism Johnson Limited,PRSMJOHNSN,2023-11-29,175.75,175.75,171.3,172.15,176.15,558172
Prism Johnson Limited,PRSMJOHNSN,2023-11-28,164.7,177.5,164.35,176.15,163.75,3135365
Prism Johnson Limited,PRSMJOHNSN,2023-11-24,166.3,169.3,162.95,163.75,166.45,444745
Prism Johnson Limited,PRSMJOHNSN,2023-11-23,167.65,169.6,165.1,166.45,167.15,407341
Prism Johnson Limited,PRSMJOHNSN,2023-11-22,173.3,174.35,166.6,167.15,173.05,729310
Prism Johnson Limited,PRSMJOHNSN,2023-11-21,164.5,175.4,164.0,173.05,164.8,2430562
Prism Johnson Limited,PRSMJOHNSN,2023-11-20,167.05,168.5,162.9,164.8,165.35,899461
Prism Johnson Limited,PRSMJOHNSN,2023-11-17,155.9,168.65,155.9,165.35,155.75,2410310
Prism Johnson Limited,PRSMJOHNSN,2023-11-16,157.4,161.0,151.0,155.75,157.5,568917
Prism Johnson Limited,PRSMJOHNSN,2023-11-15,160.85,161.9,156.0,157.5,159.35,689227
Prism Johnson Limited,PRSMJOHNSN,2023-11-13,156.9,164.25,156.0,159.35,156.9,2219292
Prism Johnson Limited,PRSMJOHNSN,2023-11-12,154.0,157.95,154.0,156.9,153.3,263986
Prism Johnson Limited,PRSMJOHNSN,2023-11-10,152.85,157.6,151.8,153.3,152.75,791229
Prism Johnson Limited,PRSMJOHNSN,2023-11-09,152.85,154.8,150.65,152.75,152.45,502679
Prism Johnson Limited,PRSMJOHNSN,2023-11-08,153.7,158.0,151.05,152.45,152.65,1282801
Prism Johnson Limited,PRSMJOHNSN,2023-11-07,148.05,154.2,146.25,152.65,147.4,1894881
Prism Johnson Limited,PRSMJOHNSN,2023-11-06,148.5,149.0,145.25,147.4,145.6,1198357
Prism Johnson Limited,PRSMJOHNSN,2023-11-03,140.0,147.45,138.0,145.6,140.55,4476948
Prism Johnson Limited,PRSMJOHNSN,2023-11-02,138.85,142.05,136.15,140.55,137.15,577513
Prism Johnson Limited,PRSMJOHNSN,2023-11-01,138.0,139.9,135.6,137.15,139.35,521606
Prism Johnson Limited,PRSMJOHNSN,2023-10-31,142.75,142.8,138.1,139.35,141.35,702583
Prism Johnson Limited,PRSMJOHNSN,2023-10-30,136.95,144.4,136.05,141.35,135.85,2860140
Prism Johnson Limited,PRSMJOHNSN,2023-10-27,135.0,138.8,129.35,135.85,135.6,2992912
Prism Johnson Limited,PRSMJOHNSN,2023-10-26,121.45,139.45,120.6,135.6,121.05,13910242
