StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
PVR INOX Limited,PVRINOX,2024-03-28,1329.0,1333.95,1320.0,1326.25,1326.85,543828
PVR INOX Limited,PVRINOX,2024-03-27,1324.9,1332.05,1311.45,1326.85,1322.9,493055
PVR INOX Limited,PVRINOX,2024-03-26,1320.05,1333.0,1308.0,1322.9,1329.7,498477
PVR INOX Limited,PVRINOX,2024-03-22,1315.05,1337.8,1312.1,1329.7,1320.35,595348
PVR INOX Limited,PVRINOX,2024-03-21,1289.6,1322.45,1282.65,1320.35,1272.65,507762
PVR INOX Limited,PVRINOX,2024-03-20,1284.95,1285.05,1247.9,1272.65,1277.05,743226
PVR INOX Limited,PVRINOX,2024-03-19,1318.0,1318.0,1274.2,1277.05,1314.3,463519
PVR INOX Limited,PVRINOX,2024-03-18,1301.1,1317.1,1301.1,1314.3,1310.1,457492
PVR INOX Limited,PVRINOX,2024-03-15,1320.3,1338.95,1303.6,1310.1,1320.3,309624
PVR INOX Limited,PVRINOX,2024-03-14,1299.05,1324.45,1284.1,1320.3,1305.0,468081
PVR INOX Limited,PVRINOX,2024-03-13,1355.55,1358.1,1290.0,1305.0,1352.0,1207916
PVR INOX Limited,PVRINOX,2024-03-12,1383.0,1383.0,1342.9,1352.0,1379.85,585064
PVR INOX Limited,PVRINOX,2024-03-11,1427.0,1427.3,1374.0,1379.85,1415.5,698330
PVR INOX Limited,PVRINOX,2024-03-07,1389.95,1422.9,1377.7,1415.5,1378.1,900690
PVR INOX Limited,PVRINOX,2024-03-06,1378.05,1391.7,1353.55,1378.1,1390.05,342018
PVR INOX Limited,PVRINOX,2024-03-05,1393.55,1393.55,1377.4,1390.05,1382.3,265368
PVR INOX Limited,PVRINOX,2024-03-04,1408.0,1408.95,1379.05,1382.3,1398.15,393235
PVR INOX Limited,PVRINOX,2024-03-02,1400.0,1408.4,1390.15,1398.15,1391.5,49477
PVR INOX Limited,PVRINOX,2024-03-01,1378.95,1397.65,1371.05,1391.5,1371.05,554777
PVR INOX Limited,PVRINOX,2024-02-29,1373.35,1380.0,1351.1,1371.05,1364.9,547779
PVR INOX Limited,PVRINOX,2024-02-28,1409.9,1415.0,1360.0,1364.9,1399.75,539132
PVR INOX Limited,PVRINOX,2024-02-27,1407.95,1414.45,1388.05,1399.75,1406.45,788664
PVR INOX Limited,PVRINOX,2024-02-26,1393.0,1414.4,1384.0,1406.45,1389.2,448431
PVR INOX Limited,PVRINOX,2024-02-23,1391.8,1402.05,1382.8,1389.2,1382.8,323102
PVR INOX Limited,PVRINOX,2024-02-22,1390.05,1390.1,1370.0,1382.8,1382.2,347179
