StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Radico Khaitan Limited,RADICO,2024-03-28,1670.5,1742.0,1656.3,1727.75,1670.45,222442
Radico Khaitan Limited,RADICO,2024-03-27,1675.0,1699.0,1660.0,1670.45,1674.0,109290
Radico Khaitan Limited,RADICO,2024-03-26,1655.45,1705.0,1623.95,1674.0,1643.3,197200
Radico Khaitan Limited,RADICO,2024-03-22,1619.0,1666.6,1600.75,1643.3,1610.65,120504
Radico Khaitan Limited,RADICO,2024-03-21,1633.25,1647.05,1600.0,1610.65,1644.75,152006
Radico Khaitan Limited,RADICO,2024-03-20,1623.0,1675.0,1601.05,1644.75,1626.7,269660
Radico Khaitan Limited,RADICO,2024-03-19,1585.0,1635.2,1568.2,1626.7,1574.7,993834
Radico Khaitan Limited,RADICO,2024-03-18,1598.0,1598.0,1545.75,1574.7,1590.3,97029
Radico Khaitan Limited,RADICO,2024-03-15,1549.95,1599.0,1539.15,1590.3,1564.95,88450
Radico Khaitan Limited,RADICO,2024-03-14,1502.0,1570.8,1473.35,1564.95,1524.4,162805
Radico Khaitan Limited,RADICO,2024-03-13,1547.75,1547.75,1486.0,1524.4,1542.15,244977
Radico Khaitan Limited,RADICO,2024-03-12,1550.0,1550.0,1527.35,1542.15,1557.2,114405
Radico Khaitan Limited,RADICO,2024-03-11,1573.0,1581.35,1543.0,1557.2,1564.05,130913
Radico Khaitan Limited,RADICO,2024-03-07,1511.05,1582.0,1491.15,1564.05,1510.85,440075
Radico Khaitan Limited,RADICO,2024-03-06,1520.0,1535.95,1480.3,1510.85,1526.45,498841
Radico Khaitan Limited,RADICO,2024-03-05,1590.0,1590.0,1508.0,1526.45,1569.75,511793
Radico Khaitan Limited,RADICO,2024-03-04,1616.0,1616.0,1564.0,1569.75,1610.8,151406
Radico Khaitan Limited,RADICO,2024-03-02,1619.0,1633.0,1600.0,1610.8,1595.05,8197
Radico Khaitan Limited,RADICO,2024-03-01,1592.0,1603.65,1565.05,1595.05,1569.8,157988
Radico Khaitan Limited,RADICO,2024-02-29,1591.0,1609.25,1558.65,1569.8,1599.3,187305
Radico Khaitan Limited,RADICO,2024-02-28,1623.0,1637.8,1588.0,1599.3,1617.4,81183
Radico Khaitan Limited,RADICO,2024-02-27,1626.0,1629.7,1592.0,1617.4,1624.6,123062
Radico Khaitan Limited,RADICO,2024-02-26,1630.0,1632.55,1606.85,1624.6,1624.75,73853
Radico Khaitan Limited,RADICO,2024-02-23,1625.0,1630.0,1620.0,1624.75,1620.1,47476
Radico Khaitan Limited,RADICO,2024-02-22,1661.0,1667.0,1614.15,1620.1,1660.75,121237
Radico Khaitan Limited,RADICO,2024-02-21,1707.0,1715.0,1653.0,1660.75,1703.3,98168
Radico Khaitan Limited,RADICO,2024-02-20,1725.0,1725.0,1700.0,1703.3,1720.9,48378
Radico Khaitan Limited,RADICO,2024-02-19,1723.0,1727.65,1700.0,1720.9,1716.45,54618
Radico Khaitan Limited,RADICO,2024-02-16,1739.0,1774.5,1708.1,1716.45,1725.35,162624
Radico Khaitan Limited,RADICO,2024-02-15,1722.0,1735.95,1707.3,1725.35,1710.0,102188
Radico Khaitan Limited,RADICO,2024-02-14,1699.8,1730.0,1692.2,1710.0,1699.6,91250
Radico Khaitan Limited,RADICO,2024-02-13,1729.2,1737.8,1694.0,1699.6,1729.2,246039
Radico Khaitan Limited,RADICO,2024-02-12,1723.8,1740.0,1670.05,1729.2,1725.25,84136
Radico Khaitan Limited,RADICO,2024-02-09,1741.7,1741.7,1692.0,1725.25,1742.65,184314
Radico Khaitan Limited,RADICO,2024-02-08,1725.0,1762.0,1720.0,1742.65,1744.95,150004
Radico Khaitan Limited,RADICO,2024-02-07,1791.2,1797.0,1730.7,1744.95,1725.85,427694
Radico Khaitan Limited,RADICO,2024-02-06,1768.0,1797.0,1710.0,1725.85,1736.7,294893
Radico Khaitan Limited,RADICO,2024-02-05,1669.0,1820.0,1640.0,1736.7,1684.35,786550
Radico Khaitan Limited,RADICO,2024-02-02,1687.25,1692.0,1658.35,1684.35,1675.75,85912
Radico Khaitan Limited,RADICO,2024-02-01,1669.95,1680.0,1650.0,1675.75,1663.9,74858
Radico Khaitan Limited,RADICO,2024-01-31,1628.0,1667.0,1628.0,1663.9,1626.45,88314
Radico Khaitan Limited,RADICO,2024-01-30,1621.9,1653.0,1620.0,1626.45,1611.5,131921
Radico Khaitan Limited,RADICO,2024-01-29,1653.15,1660.35,1605.75,1611.5,1653.15,93572
Radico Khaitan Limited,RADICO,2024-01-25,1668.0,1670.0,1645.0,1653.15,1668.35,66535
Radico Khaitan Limited,RADICO,2024-01-24,1604.05,1676.5,1604.05,1668.35,1612.7,303752
Radico Khaitan Limited,RADICO,2024-01-23,1620.0,1627.15,1576.1,1612.7,1604.95,118657
Radico Khaitan Limited,RADICO,2024-01-20,1625.95,1629.75,1600.6,1604.95,1625.95,24837
Radico Khaitan Limited,RADICO,2024-01-19,1612.0,1635.0,1600.0,1625.95,1612.0,77799
Radico Khaitan Limited,RADICO,2024-01-18,1620.0,1624.0,1573.25,1612.0,1610.85,48396
Radico Khaitan Limited,RADICO,2024-01-17,1640.0,1655.0,1590.7,1610.85,1657.9,117408
Radico Khaitan Limited,RADICO,2024-01-16,1653.3,1669.0,1637.25,1657.9,1648.95,70877
Radico Khaitan Limited,RADICO,2024-01-15,1675.65,1684.95,1642.0,1648.95,1656.15,75437
