StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Rainbow Childrens Medicare Limited,RAINBOW,2024-03-28,1265.6,1325.0,1244.05,1297.55,1253.85,203593
Rainbow Childrens Medicare Limited,RAINBOW,2024-03-27,1261.2,1268.35,1236.0,1253.85,1258.75,108373
Rainbow Childrens Medicare Limited,RAINBOW,2024-03-26,1237.05,1286.3,1208.05,1258.75,1248.35,141386
Rainbow Childrens Medicare Limited,RAINBOW,2024-03-22,1240.55,1273.95,1221.05,1248.35,1241.65,198537
Rainbow Childrens Medicare Limited,RAINBOW,2024-03-21,1276.85,1278.95,1227.95,1241.65,1276.85,329073
Rainbow Childrens Medicare Limited,RAINBOW,2024-03-20,1178.0,1319.9,1175.3,1276.85,1178.0,439683
Rainbow Childrens Medicare Limited,RAINBOW,2024-03-19,1128.4,1209.0,1121.55,1178.0,1127.3,606491
Rainbow Childrens Medicare Limited,RAINBOW,2024-03-18,1119.0,1141.7,1105.0,1127.3,1106.1,100226
Rainbow Childrens Medicare Limited,RAINBOW,2024-03-15,1117.0,1136.7,1100.0,1106.1,1108.45,79682
Rainbow Childrens Medicare Limited,RAINBOW,2024-03-14,1107.55,1161.75,1099.65,1108.45,1104.4,156902
Rainbow Childrens Medicare Limited,RAINBOW,2024-03-13,1091.0,1140.0,1091.0,1104.4,1100.1,508399
Rainbow Childrens Medicare Limited,RAINBOW,2024-03-12,1143.0,1143.0,1097.3,1100.1,1133.6,234993
Rainbow Childrens Medicare Limited,RAINBOW,2024-03-11,1134.95,1153.95,1127.7,1133.6,1129.05,171123
Rainbow Childrens Medicare Limited,RAINBOW,2024-03-07,1140.0,1165.95,1123.65,1129.05,1121.95,280893
Rainbow Childrens Medicare Limited,RAINBOW,2024-03-06,1161.9,1169.9,1114.05,1121.95,1157.15,313487
Rainbow Childrens Medicare Limited,RAINBOW,2024-03-05,1199.0,1223.85,1141.0,1157.15,1199.05,711972
Rainbow Childrens Medicare Limited,RAINBOW,2024-03-04,1285.0,1297.45,1188.55,1199.05,1300.65,623023
Rainbow Childrens Medicare Limited,RAINBOW,2024-03-02,1310.0,1319.65,1259.05,1300.65,1325.3,47996
Rainbow Childrens Medicare Limited,RAINBOW,2024-03-01,1357.2,1403.55,1272.1,1325.3,1357.2,527031
Rainbow Childrens Medicare Limited,RAINBOW,2024-02-29,1429.2,1430.0,1323.0,1357.2,1429.2,1725272
Rainbow Childrens Medicare Limited,RAINBOW,2024-02-28,1294.0,1487.65,1285.1,1429.2,1286.35,3226540
Rainbow Childrens Medicare Limited,RAINBOW,2024-02-27,1293.0,1299.0,1272.5,1286.35,1293.35,52081
Rainbow Childrens Medicare Limited,RAINBOW,2024-02-26,1286.1,1304.0,1273.3,1293.35,1280.4,60106
