StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Rajesh Exports Limited,RAJESHEXPO,2024-03-28,270.25,276.65,261.0,263.55,269.3,1661689
Rajesh Exports Limited,RAJESHEXPO,2024-03-27,280.0,284.0,267.2,269.3,279.45,1801597
Rajesh Exports Limited,RAJESHEXPO,2024-03-26,284.95,286.2,278.0,279.45,284.75,922859
Rajesh Exports Limited,RAJESHEXPO,2024-03-22,286.7,288.95,282.0,284.75,286.55,539931
Rajesh Exports Limited,RAJESHEXPO,2024-03-21,285.1,291.0,285.1,286.55,283.45,477803
Rajesh Exports Limited,RAJESHEXPO,2024-03-20,287.85,293.55,282.1,283.45,287.85,474931
Rajesh Exports Limited,RAJESHEXPO,2024-03-19,293.1,293.9,287.0,287.85,293.1,436174
Rajesh Exports Limited,RAJESHEXPO,2024-03-18,293.1,305.5,292.1,293.1,289.3,1141976
Rajesh Exports Limited,RAJESHEXPO,2024-03-15,283.35,299.0,280.35,289.3,281.2,1497413
Rajesh Exports Limited,RAJESHEXPO,2024-03-14,296.9,296.9,280.0,281.2,286.9,1547978
Rajesh Exports Limited,RAJESHEXPO,2024-03-13,307.2,307.7,283.0,286.9,305.0,1675000
Rajesh Exports Limited,RAJESHEXPO,2024-03-12,313.8,313.8,304.0,305.0,311.25,610046
Rajesh Exports Limited,RAJESHEXPO,2024-03-11,318.0,319.8,310.0,311.25,317.7,630649
Rajesh Exports Limited,RAJESHEXPO,2024-03-07,327.0,327.8,316.0,317.7,329.65,697478
Rajesh Exports Limited,RAJESHEXPO,2024-03-06,327.0,330.75,318.2,329.65,325.7,1008835
Rajesh Exports Limited,RAJESHEXPO,2024-03-05,314.7,328.4,312.2,325.7,313.3,1152953
Rajesh Exports Limited,RAJESHEXPO,2024-03-04,323.0,324.9,312.0,313.3,321.6,455153
Rajesh Exports Limited,RAJESHEXPO,2024-03-02,314.0,323.95,311.95,321.6,311.95,178749
Rajesh Exports Limited,RAJESHEXPO,2024-03-01,312.0,315.9,310.55,311.95,308.45,380286
Rajesh Exports Limited,RAJESHEXPO,2024-02-29,314.1,316.3,307.0,308.45,313.1,873190
Rajesh Exports Limited,RAJESHEXPO,2024-02-28,323.0,325.4,311.05,313.1,324.25,692339
Rajesh Exports Limited,RAJESHEXPO,2024-02-27,329.65,331.8,322.4,324.25,329.65,537531
Rajesh Exports Limited,RAJESHEXPO,2024-02-26,332.95,334.6,326.4,329.65,331.6,509822
Rajesh Exports Limited,RAJESHEXPO,2024-02-23,334.7,336.15,330.15,331.6,334.4,499958
Rajesh Exports Limited,RAJESHEXPO,2024-02-22,334.0,338.95,327.0,334.4,332.7,904070
Rajesh Exports Limited,RAJESHEXPO,2024-02-21,347.4,347.5,330.3,332.7,345.75,1522092
Rajesh Exports Limited,RAJESHEXPO,2024-02-20,342.0,359.8,337.05,345.75,344.25,2991562
Rajesh Exports Limited,RAJESHEXPO,2024-02-19,306.0,354.3,305.0,344.25,303.9,8194212
Rajesh Exports Limited,RAJESHEXPO,2024-02-16,313.95,315.9,303.0,303.9,311.45,1280527
Rajesh Exports Limited,RAJESHEXPO,2024-02-15,300.3,318.0,300.3,311.45,336.85,3161404
Rajesh Exports Limited,RAJESHEXPO,2024-02-14,333.9,343.0,330.35,336.85,333.85,598467
Rajesh Exports Limited,RAJESHEXPO,2024-02-13,342.0,343.7,329.2,333.85,342.6,822433
Rajesh Exports Limited,RAJESHEXPO,2024-02-12,349.5,352.75,341.0,342.6,349.5,480228
Rajesh Exports Limited,RAJESHEXPO,2024-02-09,350.4,356.75,348.0,349.5,348.4,419720
Rajesh Exports Limited,RAJESHEXPO,2024-02-08,353.0,353.0,347.2,348.4,350.25,371468
Rajesh Exports Limited,RAJESHEXPO,2024-02-07,353.0,353.5,348.55,350.25,350.45,384255
Rajesh Exports Limited,RAJESHEXPO,2024-02-06,350.5,352.5,347.1,350.45,350.25,356539
Rajesh Exports Limited,RAJESHEXPO,2024-02-05,353.0,354.8,350.0,350.25,353.0,458071
Rajesh Exports Limited,RAJESHEXPO,2024-02-02,358.8,360.75,352.2,353.0,357.7,457703
