StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
The Ramco Cements Limited,RAMCOCEM,2024-03-28,821.95,821.95,805.0,810.55,815.7,1545414
The Ramco Cements Limited,RAMCOCEM,2024-03-27,809.0,823.55,806.3,815.7,808.9,1122492
The Ramco Cements Limited,RAMCOCEM,2024-03-26,805.0,811.55,800.3,808.9,806.45,1107288
The Ramco Cements Limited,RAMCOCEM,2024-03-22,813.85,821.6,798.3,806.45,813.85,2114154
The Ramco Cements Limited,RAMCOCEM,2024-03-21,804.0,815.95,801.7,813.85,799.5,589901
The Ramco Cements Limited,RAMCOCEM,2024-03-20,798.0,801.0,789.3,799.5,797.35,165646
The Ramco Cements Limited,RAMCOCEM,2024-03-19,803.5,803.8,787.1,797.35,803.8,237346
The Ramco Cements Limited,RAMCOCEM,2024-03-18,806.75,808.85,798.1,803.8,806.75,151464
The Ramco Cements Limited,RAMCOCEM,2024-03-15,802.5,809.0,792.7,806.75,798.75,261313
The Ramco Cements Limited,RAMCOCEM,2024-03-14,790.0,809.0,782.3,798.75,790.25,329634
The Ramco Cements Limited,RAMCOCEM,2024-03-13,810.0,810.0,781.85,790.25,808.5,487473
The Ramco Cements Limited,RAMCOCEM,2024-03-12,816.95,816.95,804.1,808.5,810.55,533139
The Ramco Cements Limited,RAMCOCEM,2024-03-11,812.05,818.7,801.35,810.55,810.8,936556
The Ramco Cements Limited,RAMCOCEM,2024-03-07,809.35,813.4,803.75,810.8,802.1,261078
The Ramco Cements Limited,RAMCOCEM,2024-03-06,824.0,831.35,796.65,802.1,823.8,1845179
The Ramco Cements Limited,RAMCOCEM,2024-03-05,853.9,853.9,818.25,823.8,848.2,1104181
The Ramco Cements Limited,RAMCOCEM,2024-03-04,848.35,850.85,837.95,848.2,840.1,387280
The Ramco Cements Limited,RAMCOCEM,2024-03-02,847.4,854.5,838.0,840.1,840.95,68538
The Ramco Cements Limited,RAMCOCEM,2024-03-01,841.65,852.3,835.0,840.95,835.25,401744
The Ramco Cements Limited,RAMCOCEM,2024-02-29,845.85,845.85,828.2,835.25,840.65,1401342
The Ramco Cements Limited,RAMCOCEM,2024-02-28,869.9,870.0,835.5,840.65,869.9,444020
The Ramco Cements Limited,RAMCOCEM,2024-02-27,873.2,876.85,865.1,869.9,872.05,727546
The Ramco Cements Limited,RAMCOCEM,2024-02-26,869.95,878.65,869.05,872.05,867.35,211041
The Ramco Cements Limited,RAMCOCEM,2024-02-23,873.85,880.15,865.8,867.35,869.6,284027
The Ramco Cements Limited,RAMCOCEM,2024-02-22,876.0,876.1,861.75,869.6,869.05,232070
The Ramco Cements Limited,RAMCOCEM,2024-02-21,889.95,889.95,865.0,869.05,883.2,341049
The Ramco Cements Limited,RAMCOCEM,2024-02-20,884.9,896.8,875.1,883.2,880.5,424738
The Ramco Cements Limited,RAMCOCEM,2024-02-19,875.0,885.0,870.05,880.5,868.65,356581
The Ramco Cements Limited,RAMCOCEM,2024-02-16,872.95,879.0,863.4,868.65,866.0,321741
The Ramco Cements Limited,RAMCOCEM,2024-02-15,865.95,869.9,857.55,866.0,859.35,535822
The Ramco Cements Limited,RAMCOCEM,2024-02-14,860.7,873.55,848.0,859.35,868.3,545969
