StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Ratnamani Metals & Tubes Limited,RATNAMANI,2024-03-28,2752.35,2837.5,2751.0,2794.2,2746.95,93166
Ratnamani Metals & Tubes Limited,RATNAMANI,2024-03-27,2802.0,2847.35,2720.0,2746.95,2801.8,80800
Ratnamani Metals & Tubes Limited,RATNAMANI,2024-03-26,2892.85,2893.05,2770.0,2801.8,2864.25,46044
Ratnamani Metals & Tubes Limited,RATNAMANI,2024-03-22,2796.0,2870.0,2767.2,2864.25,2773.35,41497
Ratnamani Metals & Tubes Limited,RATNAMANI,2024-03-21,2740.8,2838.05,2740.1,2773.35,2727.15,27449
Ratnamani Metals & Tubes Limited,RATNAMANI,2024-03-20,2669.55,2773.9,2631.35,2727.15,2664.2,45717
Ratnamani Metals & Tubes Limited,RATNAMANI,2024-03-19,2669.85,2708.3,2610.55,2664.2,2707.4,35848
Ratnamani Metals & Tubes Limited,RATNAMANI,2024-03-18,2633.75,2767.95,2605.35,2707.4,2641.85,31146
Ratnamani Metals & Tubes Limited,RATNAMANI,2024-03-15,2670.0,2691.7,2615.5,2641.85,2670.55,25043
Ratnamani Metals & Tubes Limited,RATNAMANI,2024-03-14,2609.35,2700.0,2585.25,2670.55,2609.35,27876
Ratnamani Metals & Tubes Limited,RATNAMANI,2024-03-13,2701.2,2730.2,2581.5,2609.35,2701.2,45387
Ratnamani Metals & Tubes Limited,RATNAMANI,2024-03-12,2760.0,2876.75,2667.0,2701.2,2700.25,239434
Ratnamani Metals & Tubes Limited,RATNAMANI,2024-03-11,2870.85,2915.0,2687.75,2700.25,2845.2,104369
Ratnamani Metals & Tubes Limited,RATNAMANI,2024-03-07,2906.05,2915.45,2838.7,2845.2,2891.55,82622
Ratnamani Metals & Tubes Limited,RATNAMANI,2024-03-06,3007.65,3016.65,2875.0,2891.55,3001.7,73936
Ratnamani Metals & Tubes Limited,RATNAMANI,2024-03-05,3074.05,3075.25,2970.0,3001.7,3075.05,24544
Ratnamani Metals & Tubes Limited,RATNAMANI,2024-03-04,3149.5,3169.8,3056.5,3075.05,3145.25,24892
Ratnamani Metals & Tubes Limited,RATNAMANI,2024-03-02,3153.65,3237.1,3110.0,3145.25,3133.65,2617
Ratnamani Metals & Tubes Limited,RATNAMANI,2024-03-01,3088.4,3166.0,3070.45,3133.65,3035.35,43964
Ratnamani Metals & Tubes Limited,RATNAMANI,2024-02-29,3010.3,3174.9,2982.0,3035.35,3017.9,138260
Ratnamani Metals & Tubes Limited,RATNAMANI,2024-02-28,3077.95,3078.4,3000.0,3017.9,3085.65,12599
Ratnamani Metals & Tubes Limited,RATNAMANI,2024-02-27,3049.95,3093.0,3007.75,3085.65,2978.3,126654
Ratnamani Metals & Tubes Limited,RATNAMANI,2024-02-26,2985.0,3208.9,2892.3,2978.3,2976.55,207936
Ratnamani Metals & Tubes Limited,RATNAMANI,2024-02-23,3074.9,3074.9,2975.0,2976.55,3076.7,214314
Ratnamani Metals & Tubes Limited,RATNAMANI,2024-02-22,3068.9,3100.0,3020.0,3076.7,3053.65,20018
Ratnamani Metals & Tubes Limited,RATNAMANI,2024-02-21,3063.05,3083.95,3040.0,3053.65,3052.45,56942
Ratnamani Metals & Tubes Limited,RATNAMANI,2024-02-20,3075.0,3098.65,3043.5,3052.45,3079.3,25190
Ratnamani Metals & Tubes Limited,RATNAMANI,2024-02-19,3096.6,3096.6,3055.65,3079.3,3106.15,106522
Ratnamani Metals & Tubes Limited,RATNAMANI,2024-02-16,3032.5,3181.95,3004.15,3106.15,3004.9,45729
