StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Raymond Limited,RAYMOND,2024-03-28,1829.85,1851.5,1792.2,1808.3,1805.75,175518
Raymond Limited,RAYMOND,2024-03-27,1751.0,1819.0,1751.0,1805.75,1759.5,213149
Raymond Limited,RAYMOND,2024-03-26,1775.3,1785.0,1745.0,1759.5,1784.3,136932
Raymond Limited,RAYMOND,2024-03-22,1789.0,1798.0,1751.0,1784.3,1779.05,238265
Raymond Limited,RAYMOND,2024-03-21,1760.0,1782.45,1740.45,1779.05,1736.9,158110
Raymond Limited,RAYMOND,2024-03-20,1719.4,1749.55,1699.05,1736.9,1710.15,99750
Raymond Limited,RAYMOND,2024-03-19,1704.4,1738.75,1702.0,1710.15,1701.05,115696
Raymond Limited,RAYMOND,2024-03-18,1740.0,1749.0,1694.75,1701.05,1742.9,78120
Raymond Limited,RAYMOND,2024-03-15,1688.95,1780.0,1656.0,1742.9,1682.1,295688
Raymond Limited,RAYMOND,2024-03-14,1600.0,1691.0,1592.65,1682.1,1626.85,133210
Raymond Limited,RAYMOND,2024-03-13,1682.05,1703.65,1590.0,1626.85,1680.5,236927
Raymond Limited,RAYMOND,2024-03-12,1697.0,1703.65,1660.0,1680.5,1696.0,160730
Raymond Limited,RAYMOND,2024-03-11,1761.1,1768.95,1681.05,1696.0,1761.1,218441
Raymond Limited,RAYMOND,2024-03-07,1758.9,1781.2,1755.0,1761.1,1762.45,97406
Raymond Limited,RAYMOND,2024-03-06,1794.05,1795.0,1751.75,1762.45,1795.0,127171
Raymond Limited,RAYMOND,2024-03-05,1808.85,1815.05,1775.0,1795.0,1800.75,105967
Raymond Limited,RAYMOND,2024-03-04,1837.8,1856.0,1796.0,1800.75,1837.3,128540
Raymond Limited,RAYMOND,2024-03-02,1868.0,1868.0,1833.0,1837.3,1855.05,18678
Raymond Limited,RAYMOND,2024-03-01,1842.0,1863.3,1833.55,1855.05,1833.9,117393
Raymond Limited,RAYMOND,2024-02-29,1786.45,1862.0,1774.1,1833.9,1775.45,581569
Raymond Limited,RAYMOND,2024-02-28,1847.5,1863.0,1762.15,1775.45,1840.4,184830
Raymond Limited,RAYMOND,2024-02-27,1876.8,1888.0,1830.0,1840.4,1876.25,138084
Raymond Limited,RAYMOND,2024-02-26,1865.0,1904.0,1836.0,1876.25,1855.3,256760
Raymond Limited,RAYMOND,2024-02-23,1890.0,1890.0,1850.0,1855.3,1870.85,301546
Raymond Limited,RAYMOND,2024-02-22,1885.0,1943.9,1845.05,1870.85,1873.7,1154769
Raymond Limited,RAYMOND,2024-02-21,1787.0,1909.9,1770.05,1873.7,1771.2,2640271
Raymond Limited,RAYMOND,2024-02-20,1775.0,1799.9,1741.8,1771.2,1762.55,338230
Raymond Limited,RAYMOND,2024-02-19,1770.55,1786.95,1755.05,1762.55,1770.55,93130
Raymond Limited,RAYMOND,2024-02-16,1738.0,1789.0,1725.4,1770.55,1721.9,214013
Raymond Limited,RAYMOND,2024-02-15,1729.8,1737.8,1716.05,1721.9,1717.7,70651
Raymond Limited,RAYMOND,2024-02-14,1690.0,1730.95,1690.0,1717.7,1722.15,65704
Raymond Limited,RAYMOND,2024-02-13,1692.0,1734.9,1686.05,1722.15,1692.15,107145
Raymond Limited,RAYMOND,2024-02-12,1717.0,1722.9,1669.9,1692.15,1715.9,161840
Raymond Limited,RAYMOND,2024-02-09,1721.0,1730.6,1679.75,1715.9,1723.5,118247
Raymond Limited,RAYMOND,2024-02-08,1747.95,1747.95,1720.2,1723.5,1733.55,66398
Raymond Limited,RAYMOND,2024-02-07,1759.75,1764.45,1730.0,1733.55,1752.95,87580
Raymond Limited,RAYMOND,2024-02-06,1740.95,1760.0,1728.05,1752.95,1725.95,110060
Raymond Limited,RAYMOND,2024-02-05,1799.0,1799.0,1715.05,1725.95,1779.65,260937
Raymond Limited,RAYMOND,2024-02-02,1800.0,1814.0,1767.3,1779.65,1772.05,412896
Raymond Limited,RAYMOND,2024-02-01,1780.0,1825.0,1757.2,1772.05,1775.35,703028
Raymond Limited,RAYMOND,2024-01-31,1710.0,1790.0,1705.0,1775.35,1709.5,235419
Raymond Limited,RAYMOND,2024-01-30,1749.0,1764.65,1705.0,1709.5,1745.7,200422
Raymond Limited,RAYMOND,2024-01-29,1751.5,1772.85,1738.0,1745.7,1752.3,90012
Raymond Limited,RAYMOND,2024-01-25,1763.95,1773.45,1743.0,1752.3,1763.95,101539
Raymond Limited,RAYMOND,2024-01-24,1795.65,1795.65,1735.0,1763.95,1770.7,212628
Raymond Limited,RAYMOND,2024-01-23,1790.0,1834.35,1746.05,1770.7,1789.75,327914
Raymond Limited,RAYMOND,2024-01-20,1795.05,1821.15,1776.0,1789.75,1795.05,65261
Raymond Limited,RAYMOND,2024-01-19,1801.0,1825.0,1785.0,1795.05,1789.9,147123
Raymond Limited,RAYMOND,2024-01-18,1801.2,1826.15,1731.15,1789.9,1814.05,255297
Raymond Limited,RAYMOND,2024-01-17,1825.05,1830.8,1791.35,1814.05,1837.1,216282
