StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Restaurant Brands Asia Limited,RBA,2024-03-28,102.15,103.0,100.15,101.25,101.7,6986881
Restaurant Brands Asia Limited,RBA,2024-03-27,102.45,104.15,99.5,101.7,102.05,3549640
Restaurant Brands Asia Limited,RBA,2024-03-26,105.55,106.0,101.35,102.05,105.45,3440782
Restaurant Brands Asia Limited,RBA,2024-03-22,105.8,106.6,105.0,105.45,105.45,894930
Restaurant Brands Asia Limited,RBA,2024-03-21,106.45,107.45,105.05,105.45,105.5,1271482
Restaurant Brands Asia Limited,RBA,2024-03-20,104.9,107.3,103.35,105.5,104.3,1638639
Restaurant Brands Asia Limited,RBA,2024-03-19,104.5,107.6,103.55,104.3,104.1,3872004
Restaurant Brands Asia Limited,RBA,2024-03-18,105.85,107.85,103.75,104.1,105.8,1044798
Restaurant Brands Asia Limited,RBA,2024-03-15,104.6,109.0,102.7,105.8,104.55,4609665
Restaurant Brands Asia Limited,RBA,2024-03-14,101.3,106.0,99.7,104.55,101.9,2137147
Restaurant Brands Asia Limited,RBA,2024-03-13,101.4,103.35,97.8,101.9,101.0,4306254
Restaurant Brands Asia Limited,RBA,2024-03-12,104.25,104.8,98.4,101.0,103.7,2524748
Restaurant Brands Asia Limited,RBA,2024-03-11,104.4,104.95,103.0,103.7,103.9,1125024
Restaurant Brands Asia Limited,RBA,2024-03-07,104.25,105.45,103.5,103.9,103.75,1297669
Restaurant Brands Asia Limited,RBA,2024-03-06,106.35,106.7,103.1,103.75,106.2,1516148
Restaurant Brands Asia Limited,RBA,2024-03-05,108.6,109.3,105.25,106.2,108.55,1126750
Restaurant Brands Asia Limited,RBA,2024-03-04,109.9,109.9,107.7,108.55,108.7,773168
Restaurant Brands Asia Limited,RBA,2024-03-02,108.8,109.2,108.05,108.7,108.25,164531
Restaurant Brands Asia Limited,RBA,2024-03-01,107.6,111.2,107.6,108.25,107.15,1294080
Restaurant Brands Asia Limited,RBA,2024-02-29,107.6,107.8,105.3,107.15,106.9,1576509
Restaurant Brands Asia Limited,RBA,2024-02-28,111.0,111.3,106.2,106.9,110.7,1578498
Restaurant Brands Asia Limited,RBA,2024-02-27,110.2,113.85,110.1,110.7,109.4,2880219
Restaurant Brands Asia Limited,RBA,2024-02-26,109.15,111.55,108.75,109.4,108.2,2045313
Restaurant Brands Asia Limited,RBA,2024-02-23,109.9,110.3,107.55,108.2,108.7,1759672
Restaurant Brands Asia Limited,RBA,2024-02-22,110.65,111.5,108.25,108.7,110.1,1598148
Restaurant Brands Asia Limited,RBA,2024-02-21,112.05,114.25,109.35,110.1,111.9,2208507
Restaurant Brands Asia Limited,RBA,2024-02-20,114.0,115.25,111.55,111.9,113.9,1237349
Restaurant Brands Asia Limited,RBA,2024-02-19,116.2,117.35,113.35,113.9,116.35,4380893
