StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Rashtriya Chemicals and Fertilizers Limited,RCF,2024-03-28,128.5,131.25,127.65,128.25,127.7,2277400
Rashtriya Chemicals and Fertilizers Limited,RCF,2024-03-27,127.5,130.9,127.05,127.7,127.65,3642136
Rashtriya Chemicals and Fertilizers Limited,RCF,2024-03-26,130.3,131.6,127.05,127.65,130.5,1832812
Rashtriya Chemicals and Fertilizers Limited,RCF,2024-03-22,129.0,132.3,128.75,130.5,129.1,2154717
Rashtriya Chemicals and Fertilizers Limited,RCF,2024-03-21,126.3,131.1,126.3,129.1,125.0,2662693
Rashtriya Chemicals and Fertilizers Limited,RCF,2024-03-20,126.5,127.85,123.15,125.0,125.95,2121862
Rashtriya Chemicals and Fertilizers Limited,RCF,2024-03-19,126.95,128.0,125.15,125.95,126.0,1969089
Rashtriya Chemicals and Fertilizers Limited,RCF,2024-03-18,129.9,131.4,125.55,126.0,129.3,2417762
Rashtriya Chemicals and Fertilizers Limited,RCF,2024-03-15,127.8,130.35,124.1,129.3,127.65,2809734
Rashtriya Chemicals and Fertilizers Limited,RCF,2024-03-14,121.0,128.95,118.95,127.65,120.35,3566705
Rashtriya Chemicals and Fertilizers Limited,RCF,2024-03-13,132.3,133.75,118.4,120.35,132.2,4907012
Rashtriya Chemicals and Fertilizers Limited,RCF,2024-03-12,137.7,137.8,131.05,132.2,137.3,2485065
Rashtriya Chemicals and Fertilizers Limited,RCF,2024-03-11,140.45,140.9,136.15,137.3,140.65,2226374
Rashtriya Chemicals and Fertilizers Limited,RCF,2024-03-07,139.0,143.95,139.0,140.65,138.5,3006807
Rashtriya Chemicals and Fertilizers Limited,RCF,2024-03-06,142.0,142.25,136.5,138.5,142.2,2041930
Rashtriya Chemicals and Fertilizers Limited,RCF,2024-03-05,144.5,145.2,141.8,142.2,144.45,1271619
Rashtriya Chemicals and Fertilizers Limited,RCF,2024-03-04,145.5,147.3,143.7,144.45,144.35,1692674
Rashtriya Chemicals and Fertilizers Limited,RCF,2024-03-02,143.25,145.6,143.1,144.35,142.75,320009
Rashtriya Chemicals and Fertilizers Limited,RCF,2024-03-01,142.95,144.75,142.1,142.75,141.6,1290954
Rashtriya Chemicals and Fertilizers Limited,RCF,2024-02-29,140.5,145.7,138.55,141.6,141.1,2877269
Rashtriya Chemicals and Fertilizers Limited,RCF,2024-02-28,146.5,147.25,140.25,141.1,145.95,2080000
Rashtriya Chemicals and Fertilizers Limited,RCF,2024-02-27,146.4,148.9,145.05,145.95,146.4,1648622
Rashtriya Chemicals and Fertilizers Limited,RCF,2024-02-26,149.05,149.2,144.7,146.4,149.25,1871095
Rashtriya Chemicals and Fertilizers Limited,RCF,2024-02-23,150.0,151.15,148.5,149.25,148.65,1918716
Rashtriya Chemicals and Fertilizers Limited,RCF,2024-02-22,151.6,151.6,146.55,148.65,150.7,2263427
Rashtriya Chemicals and Fertilizers Limited,RCF,2024-02-21,149.95,154.65,148.0,150.7,149.15,4101586
Rashtriya Chemicals and Fertilizers Limited,RCF,2024-02-20,152.05,154.7,148.55,149.15,151.7,2660450
Rashtriya Chemicals and Fertilizers Limited,RCF,2024-02-19,149.9,154.2,148.75,151.7,149.05,3227972
Rashtriya Chemicals and Fertilizers Limited,RCF,2024-02-16,152.1,153.45,148.1,149.05,150.4,2640159
Rashtriya Chemicals and Fertilizers Limited,RCF,2024-02-15,145.0,156.65,145.0,150.4,146.3,7877002
Rashtriya Chemicals and Fertilizers Limited,RCF,2024-02-14,135.0,147.0,133.6,146.3,147.8,12519250
Rashtriya Chemicals and Fertilizers Limited,RCF,2024-02-13,149.4,151.0,142.7,147.8,148.65,4230933
Rashtriya Chemicals and Fertilizers Limited,RCF,2024-02-12,157.95,159.95,146.8,148.65,161.65,7115391
Rashtriya Chemicals and Fertilizers Limited,RCF,2024-02-09,166.5,167.6,156.55,161.65,166.35,3618200
Rashtriya Chemicals and Fertilizers Limited,RCF,2024-02-08,170.0,171.7,165.6,166.35,169.95,2815251
Rashtriya Chemicals and Fertilizers Limited,RCF,2024-02-07,168.8,172.2,166.6,169.95,167.9,4073336
Rashtriya Chemicals and Fertilizers Limited,RCF,2024-02-06,166.65,170.85,164.75,167.9,166.95,3440942
Rashtriya Chemicals and Fertilizers Limited,RCF,2024-02-05,174.2,175.15,161.5,166.95,174.2,5929702
Rashtriya Chemicals and Fertilizers Limited,RCF,2024-02-02,175.25,178.25,172.7,174.2,173.9,5247798
Rashtriya Chemicals and Fertilizers Limited,RCF,2024-02-01,184.6,187.35,173.1,173.9,183.15,11711449
Rashtriya Chemicals and Fertilizers Limited,RCF,2024-01-31,179.75,183.7,178.0,183.15,178.55,5514000
Rashtriya Chemicals and Fertilizers Limited,RCF,2024-01-30,184.55,184.8,177.25,178.55,183.65,5017506
Rashtriya Chemicals and Fertilizers Limited,RCF,2024-01-29,183.6,187.75,180.2,183.65,182.2,7970542
Rashtriya Chemicals and Fertilizers Limited,RCF,2024-01-25,178.05,185.5,176.8,182.2,177.8,13814164
Rashtriya Chemicals and Fertilizers Limited,RCF,2024-01-24,170.9,179.1,166.0,177.8,170.1,9708480
Rashtriya Chemicals and Fertilizers Limited,RCF,2024-01-23,186.95,188.0,165.0,170.1,185.4,13036237
Rashtriya Chemicals and Fertilizers Limited,RCF,2024-01-20,179.0,190.0,178.75,185.4,177.3,18688246
Rashtriya Chemicals and Fertilizers Limited,RCF,2024-01-19,173.05,181.0,173.05,177.3,171.95,20796114
Rashtriya Chemicals and Fertilizers Limited,RCF,2024-01-18,172.0,176.45,168.45,171.95,171.5,11945482
Rashtriya Chemicals and Fertilizers Limited,RCF,2024-01-17,168.45,175.5,167.5,171.5,171.85,10679684
Rashtriya Chemicals and Fertilizers Limited,RCF,2024-01-16,170.3,174.9,167.85,171.85,170.7,10672334
Rashtriya Chemicals and Fertilizers Limited,RCF,2024-01-15,169.45,172.95,166.45,170.7,168.8,6359876
Rashtriya Chemicals and Fertilizers Limited,RCF,2024-01-12,171.0,171.9,168.3,168.8,170.2,3534291
Rashtriya Chemicals and Fertilizers Limited,RCF,2024-01-11,166.3,172.55,166.3,170.2,165.9,8069747
Rashtriya Chemicals and Fertilizers Limited,RCF,2024-01-10,168.4,168.95,164.3,165.9,168.25,3252551
Rashtriya Chemicals and Fertilizers Limited,RCF,2024-01-09,164.95,170.8,164.3,168.25,164.1,7844519
Rashtriya Chemicals and Fertilizers Limited,RCF,2024-01-08,168.45,168.55,163.55,164.1,167.9,4443993
Rashtriya Chemicals and Fertilizers Limited,RCF,2024-01-05,172.15,172.55,165.1,167.9,171.55,5465038
Rashtriya Chemicals and Fertilizers Limited,RCF,2024-01-04,174.35,176.4,170.6,171.55,171.65,10158400
Rashtriya Chemicals and Fertilizers Limited,RCF,2024-01-03,169.95,173.4,166.1,171.65,170.05,10542307
Rashtriya Chemicals and Fertilizers Limited,RCF,2024-01-02,168.0,176.55,166.75,170.05,167.35,27441070
Rashtriya Chemicals and Fertilizers Limited,RCF,2024-01-01,160.2,171.4,160.15,167.35,159.5,30315307
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-12-29,160.25,163.95,158.1,159.5,159.45,9622739
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-12-28,156.3,162.8,153.1,159.45,155.6,17990045
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-12-27,157.0,158.1,153.2,155.6,156.55,4247766
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-12-26,152.7,157.4,150.7,156.55,151.95,8002334
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-12-22,148.3,153.4,148.2,151.95,147.8,7781528
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-12-21,140.0,148.7,138.35,147.8,142.7,5957134
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-12-20,156.0,157.3,141.6,142.7,155.2,7864492
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-12-19,157.15,157.95,153.5,155.2,156.6,3739274
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-12-18,157.75,159.25,155.15,156.6,157.2,4753788
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-12-15,157.25,161.9,156.0,157.2,156.35,11878483
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-12-14,160.25,160.7,155.1,156.35,159.35,6716576
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-12-13,156.5,161.65,156.0,159.35,159.4,11890872
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-12-12,154.0,163.15,149.7,159.4,153.35,25087932
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-12-11,152.15,156.35,151.7,153.35,151.4,10471897
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-12-08,153.0,157.7,149.05,151.4,153.1,15251692
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-12-07,153.05,155.4,150.2,153.1,152.9,19965121
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-12-06,136.9,154.7,135.95,152.9,135.75,55203394
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-12-05,135.8,139.5,134.35,135.75,135.0,11686801
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-12-04,134.25,136.5,131.9,135.0,131.05,11828252
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-12-01,129.55,133.6,129.1,131.05,128.65,7899793
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-11-30,129.35,131.7,128.1,128.65,128.65,4683601
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-11-29,128.2,130.25,128.0,128.65,127.5,4472308
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-11-28,124.3,129.35,124.3,127.5,123.6,7347485
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-11-24,124.1,125.45,123.2,123.6,123.65,2054972
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-11-23,122.3,124.9,122.3,123.65,121.95,2453441
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-11-22,124.2,124.5,121.0,121.95,123.7,2035115
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-11-21,124.5,125.1,123.2,123.7,123.85,1858054
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-11-20,125.1,125.9,123.5,123.85,124.95,1353624
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-11-17,125.6,127.0,124.65,124.95,125.35,2666463
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-11-16,125.9,127.0,124.9,125.35,125.25,2043237
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-11-15,123.1,127.0,123.1,125.25,122.95,4278393
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-11-13,122.7,123.9,122.35,122.95,124.9,2725929
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-11-12,125.0,125.85,124.4,124.9,127.65,1293741
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-11-10,127.65,129.3,127.0,127.65,127.65,1693222
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-11-09,130.75,131.0,126.7,127.65,130.35,2889251
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-11-08,128.7,131.0,128.45,130.35,128.1,4633794
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-11-07,128.75,128.9,126.75,128.1,128.25,2029573
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-11-06,129.3,130.2,127.8,128.25,128.25,1981017
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-11-03,128.05,130.65,127.5,128.25,127.25,3520181
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-11-02,127.55,129.3,126.65,127.25,126.4,2487573
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-11-01,128.0,129.65,125.8,126.4,127.35,3215684
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-10-31,124.95,129.55,124.8,127.35,124.25,9697031
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-10-30,124.5,126.25,122.5,124.25,124.9,3811431
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-10-27,122.1,126.3,122.05,124.9,121.4,6002740
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-10-26,123.0,123.3,117.6,121.4,123.8,4963156
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-10-25,125.9,126.75,120.7,123.8,123.95,7266034
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-10-23,137.55,138.8,122.7,123.95,137.65,10822530
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-10-20,143.3,143.95,135.6,137.65,143.2,8238872
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-10-19,138.7,145.4,137.3,143.2,139.75,13272366
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-10-18,140.4,145.85,136.75,139.75,140.5,18432913
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-10-17,139.5,143.15,135.85,140.5,138.85,21785258
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-10-16,130.9,142.2,129.15,138.85,130.3,40539371
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-10-13,124.5,133.15,124.0,130.3,124.9,15001212
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-10-12,123.6,126.45,123.2,124.9,122.95,2949839
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-10-11,122.45,125.5,122.15,122.95,121.8,2512887
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-10-10,121.9,122.75,120.8,121.8,120.9,2707051
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-10-09,121.25,125.4,119.05,120.9,124.05,7100805
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-10-06,124.15,124.75,123.6,124.05,123.9,938389
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-10-05,124.3,126.1,122.95,123.9,123.65,1702893
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-10-04,125.25,125.25,121.85,123.65,125.3,1997016
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-10-03,126.45,126.8,124.8,125.3,126.45,1631667
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-09-29,125.7,127.2,125.3,126.45,125.1,1797264
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-09-28,127.1,128.65,124.65,125.1,126.8,2038409
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-09-27,128.0,128.3,126.5,126.8,127.85,1677260
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-09-26,127.5,130.4,127.0,127.85,127.75,3010060
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-09-25,127.35,129.9,127.1,127.75,126.45,3186661
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-09-22,127.0,128.2,125.15,126.45,126.8,3418622
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-09-21,128.8,130.0,126.5,126.8,129.55,3624963
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-09-20,131.2,133.0,127.7,129.55,132.3,4421829
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-09-18,131.4,134.7,130.5,132.3,130.4,11797906
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-09-15,128.95,133.85,128.25,130.4,128.3,10408996
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-09-14,126.3,130.0,126.25,128.3,125.7,5273205
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-09-13,124.2,126.9,120.6,125.7,123.35,6136083
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-09-12,133.8,134.1,122.65,123.35,132.8,10604536
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-09-11,127.2,135.0,126.5,132.8,126.3,15884753
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-09-08,129.4,130.8,126.0,126.3,128.8,5839428
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-09-07,132.0,132.9,127.6,128.8,131.3,11569176
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-09-05,124.35,128.25,122.1,123.95,123.75,6518539
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-09-01,122.2,124.1,121.4,121.8,121.55,4698976
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-08-31,123.7,124.45,120.45,121.55,123.3,3946688
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-08-30,126.7,126.9,122.65,123.3,125.75,5633932
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-08-29,121.0,130.5,118.5,125.75,122.15,28513633
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-08-28,123.7,124.5,121.65,122.15,122.95,4322800
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-08-25,120.7,124.4,118.0,122.95,121.65,10320722
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-08-24,121.0,125.0,120.35,121.65,119.75,20563061
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-08-23,112.25,121.85,112.0,119.75,111.55,23406943
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-08-22,109.0,112.75,108.85,111.55,108.6,2228231
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-08-21,109.5,109.95,108.3,108.6,108.9,1378273
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-08-18,111.65,112.55,108.5,108.9,111.2,2893826
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-08-17,108.05,113.65,108.0,111.2,107.9,5914574
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-08-16,106.7,109.5,106.2,107.9,106.8,2002256
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-08-14,108.85,109.5,105.25,106.8,112.85,4891723
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-08-11,114.5,115.3,112.55,112.85,114.45,2125683
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-08-10,114.75,115.4,113.3,114.45,114.45,2225193
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-08-09,115.95,116.0,114.1,114.45,116.0,2423182
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-08-08,116.45,119.3,115.5,116.0,115.95,7829636
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-08-07,112.6,118.0,112.05,115.95,112.75,5479154
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-08-04,112.4,113.6,112.0,112.75,111.85,1671428
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-08-03,112.8,113.1,110.25,111.85,112.35,2274269
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-08-02,117.0,117.4,110.95,112.35,116.55,3668112
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-08-01,115.25,117.75,115.25,116.55,114.95,4370393
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-07-31,114.95,115.75,114.4,114.95,114.65,1518281
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-07-28,115.1,115.4,114.1,114.65,115.3,1626010
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-07-27,116.15,118.05,114.85,115.3,115.5,4846299
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-07-26,112.45,116.5,112.2,115.5,112.2,6514555
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-07-25,113.65,114.25,112.0,112.2,113.15,1425162
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-07-24,113.9,114.4,112.8,113.15,113.45,1529561
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-07-21,113.8,114.4,112.7,113.45,113.85,1600398
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-07-20,114.2,114.8,113.3,113.85,114.2,1571189
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-07-19,113.3,116.2,113.25,114.2,112.7,3754679
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-07-18,114.6,115.3,111.85,112.7,114.2,2304174
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-07-17,114.25,115.3,113.75,114.2,113.85,1682020
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-07-14,113.0,114.65,112.25,113.85,112.4,2195623
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-07-13,115.45,117.65,111.0,112.4,115.25,3723582
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-07-12,117.2,117.65,114.9,115.25,116.85,2261245
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-07-11,117.7,119.25,116.35,116.85,117.6,3401818
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-07-10,116.95,119.5,114.35,117.6,116.35,5834229
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-07-07,117.45,118.3,115.1,116.35,118.1,4100930
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-07-06,117.0,119.45,116.0,118.1,116.25,12579450
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-07-05,110.45,117.25,109.8,116.25,110.15,16563651
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-07-04,109.95,112.2,109.7,110.15,109.75,3042052
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-07-03,109.5,111.1,108.8,109.75,109.05,2893692
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-06-30,110.7,111.3,108.75,109.05,110.2,2151157
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-06-28,110.5,111.0,109.5,110.2,110.0,2706619
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-06-27,109.0,111.35,108.85,110.0,108.6,3584846
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-06-26,108.75,109.4,107.8,108.6,108.5,1530292
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-06-23,110.1,110.4,107.9,108.5,110.4,1783686
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-06-22,112.35,113.25,109.1,110.4,112.0,3082765
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-06-21,112.0,114.0,111.1,112.0,111.35,3947995
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-06-20,108.85,113.7,107.9,111.35,108.6,10459924
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-06-19,110.0,110.85,107.7,108.6,109.25,1918474
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-06-16,109.95,110.2,108.8,109.25,109.4,1504162
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-06-15,110.5,112.15,108.85,109.4,110.6,4011186
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-06-14,109.4,112.25,108.5,110.6,108.3,11776690
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-06-13,107.85,109.8,107.25,108.3,107.55,2602151
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-06-12,106.8,107.8,105.8,107.55,106.7,1599518
Rashtriya Chemicals and Fertilizers Limited,RCF,2023-06-09,108.7,108.85,106.0,106.7,108.5,1682168
