StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
RHI MAGNESITA INDIA LIMITED,RHIM,2024-03-28,556.5,564.8,548.0,552.65,558.3,166892
RHI MAGNESITA INDIA LIMITED,RHIM,2024-03-27,560.45,567.1,553.2,558.3,558.9,294223
RHI MAGNESITA INDIA LIMITED,RHIM,2024-03-26,567.8,568.7,553.25,558.9,570.7,302685
RHI MAGNESITA INDIA LIMITED,RHIM,2024-03-22,555.0,583.5,549.5,570.7,555.05,731439
RHI MAGNESITA INDIA LIMITED,RHIM,2024-03-21,549.95,564.8,547.3,555.05,548.95,243130
RHI MAGNESITA INDIA LIMITED,RHIM,2024-03-20,551.55,562.95,544.3,548.95,551.5,472440
RHI MAGNESITA INDIA LIMITED,RHIM,2024-03-19,532.75,555.0,527.1,551.5,532.7,455778
RHI MAGNESITA INDIA LIMITED,RHIM,2024-03-18,530.85,542.25,526.1,532.7,528.25,787307
RHI MAGNESITA INDIA LIMITED,RHIM,2024-03-15,517.75,537.95,514.7,528.25,520.9,309110
RHI MAGNESITA INDIA LIMITED,RHIM,2024-03-14,513.65,528.95,509.05,520.9,512.8,211199
RHI MAGNESITA INDIA LIMITED,RHIM,2024-03-13,535.15,537.7,504.25,512.8,532.15,436452
RHI MAGNESITA INDIA LIMITED,RHIM,2024-03-12,538.05,543.9,520.0,532.15,542.7,440168
RHI MAGNESITA INDIA LIMITED,RHIM,2024-03-11,562.85,566.85,539.95,542.7,557.3,238569
RHI MAGNESITA INDIA LIMITED,RHIM,2024-03-07,559.0,569.95,544.0,557.3,558.6,304996
RHI MAGNESITA INDIA LIMITED,RHIM,2024-03-06,566.35,570.95,544.0,558.6,566.35,229333
RHI MAGNESITA INDIA LIMITED,RHIM,2024-03-05,569.0,576.95,563.2,566.35,569.35,240378
RHI MAGNESITA INDIA LIMITED,RHIM,2024-03-04,578.0,582.35,562.45,569.35,578.1,315203
RHI MAGNESITA INDIA LIMITED,RHIM,2024-03-02,578.5,585.0,573.15,578.1,578.55,28563
RHI MAGNESITA INDIA LIMITED,RHIM,2024-03-01,575.0,584.5,573.0,578.55,570.55,171015
RHI MAGNESITA INDIA LIMITED,RHIM,2024-02-29,574.55,586.0,568.05,570.55,575.05,434460
RHI MAGNESITA INDIA LIMITED,RHIM,2024-02-28,584.0,593.3,573.15,575.05,583.6,388796
