StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
RITES Limited,RITES,2024-03-28,669.5,678.45,660.0,663.8,662.9,1678502
RITES Limited,RITES,2024-03-27,659.4,685.8,658.1,662.9,656.9,3288853
RITES Limited,RITES,2024-03-26,656.85,670.0,644.0,656.9,654.75,2389725
RITES Limited,RITES,2024-03-22,645.8,660.0,636.0,654.75,643.15,2086699
RITES Limited,RITES,2024-03-21,637.5,651.25,634.1,643.15,628.7,2027034
RITES Limited,RITES,2024-03-20,624.7,635.9,609.2,628.7,621.55,2627193
RITES Limited,RITES,2024-03-19,633.0,636.5,616.15,621.55,632.05,1933047
RITES Limited,RITES,2024-03-18,624.3,646.0,624.0,632.05,622.2,3175820
RITES Limited,RITES,2024-03-15,645.95,659.3,597.65,622.2,644.85,7926580
RITES Limited,RITES,2024-03-14,588.95,669.95,574.0,644.85,585.55,13679239
RITES Limited,RITES,2024-03-13,693.85,695.9,560.2,585.55,692.75,9384643
RITES Limited,RITES,2024-03-12,720.15,726.0,686.0,692.75,718.2,1583549
RITES Limited,RITES,2024-03-11,738.95,744.75,713.2,718.2,737.6,919118
RITES Limited,RITES,2024-03-07,741.65,752.35,735.0,737.6,737.3,889842
RITES Limited,RITES,2024-03-06,764.0,764.15,729.1,737.3,769.65,1503531
RITES Limited,RITES,2024-03-05,763.8,776.4,752.3,769.65,763.8,1531006
RITES Limited,RITES,2024-03-04,790.0,791.05,757.5,763.8,791.85,1478742
RITES Limited,RITES,2024-03-02,788.85,799.4,780.0,791.85,788.85,225493
RITES Limited,RITES,2024-03-01,795.0,805.0,781.1,788.85,781.3,1622060
RITES Limited,RITES,2024-02-29,762.8,799.7,743.5,781.3,761.55,2827905
RITES Limited,RITES,2024-02-28,793.85,794.8,753.5,761.55,793.85,3318639
RITES Limited,RITES,2024-02-27,781.35,825.95,772.5,793.85,777.95,7706475
RITES Limited,RITES,2024-02-26,767.2,807.4,765.35,777.95,759.6,6632471
