StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
R R Kabel Limited,RRKABEL,2024-03-28,1545.0,1564.35,1503.95,1538.95,1545.0,92732
R R Kabel Limited,RRKABEL,2024-03-27,1528.0,1554.9,1506.35,1545.0,1518.95,218926
R R Kabel Limited,RRKABEL,2024-03-26,1433.25,1529.0,1416.0,1518.95,1423.4,296697
R R Kabel Limited,RRKABEL,2024-03-22,1423.4,1429.85,1414.0,1423.4,1423.4,67800
R R Kabel Limited,RRKABEL,2024-03-21,1454.55,1454.55,1406.0,1423.4,1426.8,210834
R R Kabel Limited,RRKABEL,2024-03-20,1436.95,1454.55,1405.0,1426.8,1422.15,190482
R R Kabel Limited,RRKABEL,2024-03-19,1404.95,1443.0,1372.0,1422.15,1399.55,117721
R R Kabel Limited,RRKABEL,2024-03-18,1410.05,1418.9,1394.15,1399.55,1410.1,60338
R R Kabel Limited,RRKABEL,2024-03-15,1400.0,1423.85,1380.5,1410.1,1408.6,105978
R R Kabel Limited,RRKABEL,2024-03-14,1337.25,1426.65,1318.6,1408.6,1357.6,402382
R R Kabel Limited,RRKABEL,2024-03-13,1384.3,1388.1,1310.3,1357.6,1384.3,297494
R R Kabel Limited,RRKABEL,2024-03-12,1420.0,1420.0,1370.0,1384.3,1398.3,117271
R R Kabel Limited,RRKABEL,2024-03-11,1420.0,1427.25,1375.0,1398.3,1423.5,116685
R R Kabel Limited,RRKABEL,2024-03-07,1380.0,1435.5,1380.0,1423.5,1383.9,192119
R R Kabel Limited,RRKABEL,2024-03-06,1416.0,1425.8,1380.0,1383.9,1426.3,145093
R R Kabel Limited,RRKABEL,2024-03-05,1448.3,1448.3,1421.1,1426.3,1448.35,123884
R R Kabel Limited,RRKABEL,2024-03-04,1462.3,1475.0,1445.05,1448.35,1462.3,43984
R R Kabel Limited,RRKABEL,2024-03-02,1450.0,1470.0,1450.0,1462.3,1456.55,5420
R R Kabel Limited,RRKABEL,2024-03-01,1458.95,1470.25,1440.1,1456.55,1444.4,63655
R R Kabel Limited,RRKABEL,2024-02-29,1440.0,1452.0,1433.4,1444.4,1440.9,75969
R R Kabel Limited,RRKABEL,2024-02-28,1480.9,1487.75,1436.0,1440.9,1480.9,44195
R R Kabel Limited,RRKABEL,2024-02-27,1484.0,1490.1,1460.0,1480.9,1482.85,57655
R R Kabel Limited,RRKABEL,2024-02-26,1434.55,1493.0,1431.45,1482.85,1444.2,139799
R R Kabel Limited,RRKABEL,2024-02-23,1434.95,1453.75,1431.0,1444.2,1434.65,68161
R R Kabel Limited,RRKABEL,2024-02-22,1455.0,1455.0,1428.25,1434.65,1440.9,39342
R R Kabel Limited,RRKABEL,2024-02-21,1454.95,1459.95,1431.8,1440.9,1441.25,59878
R R Kabel Limited,RRKABEL,2024-02-20,1470.0,1479.8,1437.05,1441.25,1468.7,66916
R R Kabel Limited,RRKABEL,2024-02-19,1510.0,1510.0,1465.55,1468.7,1501.55,69835
R R Kabel Limited,RRKABEL,2024-02-16,1472.95,1523.8,1472.95,1501.55,1472.9,142692
R R Kabel Limited,RRKABEL,2024-02-15,1420.0,1478.9,1414.0,1472.9,1412.7,107128
R R Kabel Limited,RRKABEL,2024-02-14,1419.0,1432.7,1405.05,1412.7,1419.1,73041
R R Kabel Limited,RRKABEL,2024-02-13,1417.0,1435.0,1411.05,1419.1,1437.65,49073
R R Kabel Limited,RRKABEL,2024-02-12,1459.9,1464.35,1420.0,1437.65,1460.2,51967
R R Kabel Limited,RRKABEL,2024-02-09,1435.55,1470.75,1435.55,1460.2,1454.5,73063
R R Kabel Limited,RRKABEL,2024-02-08,1467.15,1480.9,1442.05,1454.5,1466.0,77292
R R Kabel Limited,RRKABEL,2024-02-07,1497.0,1503.95,1460.5,1466.0,1491.9,80847
R R Kabel Limited,RRKABEL,2024-02-06,1454.0,1499.35,1452.65,1491.9,1454.9,199169
R R Kabel Limited,RRKABEL,2024-02-05,1451.8,1464.0,1429.0,1454.9,1447.55,113371
R R Kabel Limited,RRKABEL,2024-02-02,1428.95,1464.0,1421.55,1447.55,1427.45,121923
R R Kabel Limited,RRKABEL,2024-02-01,1435.8,1443.9,1410.0,1427.45,1433.35,137460
R R Kabel Limited,RRKABEL,2024-01-31,1448.65,1448.65,1404.3,1433.35,1434.85,433764
R R Kabel Limited,RRKABEL,2024-01-30,1406.95,1452.7,1401.4,1434.85,1478.7,507316
R R Kabel Limited,RRKABEL,2024-01-29,1483.0,1495.0,1465.0,1478.7,1467.1,87951
R R Kabel Limited,RRKABEL,2024-01-25,1455.0,1474.95,1439.5,1467.1,1448.35,99020
R R Kabel Limited,RRKABEL,2024-01-24,1420.0,1459.0,1403.05,1448.35,1428.3,277229
R R Kabel Limited,RRKABEL,2024-01-23,1469.8,1469.8,1411.05,1428.3,1454.8,167050
R R Kabel Limited,RRKABEL,2024-01-20,1450.0,1480.95,1449.2,1454.8,1453.7,43717
R R Kabel Limited,RRKABEL,2024-01-19,1465.0,1470.75,1428.0,1453.7,1457.85,159757
R R Kabel Limited,RRKABEL,2024-01-18,1468.85,1469.0,1428.35,1457.85,1462.0,116592
R R Kabel Limited,RRKABEL,2024-01-17,1480.0,1500.6,1449.0,1462.0,1500.6,186256
R R Kabel Limited,RRKABEL,2024-01-16,1523.0,1523.0,1498.0,1500.6,1514.1,112732
R R Kabel Limited,RRKABEL,2024-01-15,1485.05,1533.7,1481.5,1514.1,1481.5,200269
R R Kabel Limited,RRKABEL,2024-01-12,1515.05,1530.0,1477.0,1481.5,1497.85,342562
R R Kabel Limited,RRKABEL,2024-01-11,1545.0,1564.95,1479.75,1497.85,1564.8,1046035
R R Kabel Limited,RRKABEL,2024-01-10,1570.0,1579.9,1545.95,1564.8,1582.25,159779
R R Kabel Limited,RRKABEL,2024-01-09,1580.0,1585.0,1565.05,1582.25,1565.8,139621
R R Kabel Limited,RRKABEL,2024-01-08,1591.95,1596.95,1557.2,1565.8,1575.45,94270
R R Kabel Limited,RRKABEL,2024-01-05,1589.4,1597.8,1557.05,1575.45,1589.45,114119
R R Kabel Limited,RRKABEL,2024-01-04,1550.0,1595.0,1548.0,1589.45,1542.4,144000
R R Kabel Limited,RRKABEL,2024-01-03,1564.25,1569.25,1529.0,1542.4,1558.1,156024
R R Kabel Limited,RRKABEL,2024-01-02,1578.5,1610.45,1545.65,1558.1,1578.5,259832
R R Kabel Limited,RRKABEL,2024-01-01,1580.0,1590.0,1575.0,1578.5,1571.4,63970
R R Kabel Limited,RRKABEL,2023-12-29,1583.55,1598.0,1565.15,1571.4,1583.3,274381
R R Kabel Limited,RRKABEL,2023-12-28,1595.0,1605.95,1573.3,1583.3,1587.85,157764
R R Kabel Limited,RRKABEL,2023-12-27,1600.0,1624.05,1572.0,1587.85,1580.1,270794
