StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
RattanIndia Enterprises Limited,RTNINDIA,2024-03-28,70.25,72.55,68.9,69.2,69.85,3909655
RattanIndia Enterprises Limited,RTNINDIA,2024-03-27,69.2,71.45,68.7,69.85,68.5,4286512
RattanIndia Enterprises Limited,RTNINDIA,2024-03-26,71.05,71.95,68.1,68.5,70.85,3962683
RattanIndia Enterprises Limited,RTNINDIA,2024-03-22,69.2,72.6,68.3,70.85,69.4,8882263
RattanIndia Enterprises Limited,RTNINDIA,2024-03-21,67.95,70.35,67.95,69.4,66.95,2278928
RattanIndia Enterprises Limited,RTNINDIA,2024-03-20,68.35,69.25,66.5,66.95,67.9,2606234
RattanIndia Enterprises Limited,RTNINDIA,2024-03-19,69.8,71.15,67.6,67.9,69.55,2840152
RattanIndia Enterprises Limited,RTNINDIA,2024-03-18,70.05,72.1,68.8,69.55,70.75,2696806
RattanIndia Enterprises Limited,RTNINDIA,2024-03-15,72.0,73.5,69.45,70.75,72.3,3037335
RattanIndia Enterprises Limited,RTNINDIA,2024-03-14,65.55,73.15,65.35,72.3,65.4,8258543
RattanIndia Enterprises Limited,RTNINDIA,2024-03-13,71.0,73.2,63.5,65.4,71.65,7691354
RattanIndia Enterprises Limited,RTNINDIA,2024-03-12,75.5,76.25,70.95,71.65,75.45,4871927
RattanIndia Enterprises Limited,RTNINDIA,2024-03-11,78.75,78.75,75.0,75.45,78.45,2966158
RattanIndia Enterprises Limited,RTNINDIA,2024-03-07,78.4,79.8,78.1,78.45,78.15,1748117
RattanIndia Enterprises Limited,RTNINDIA,2024-03-06,79.95,80.4,77.1,78.15,80.35,4871496
RattanIndia Enterprises Limited,RTNINDIA,2024-03-05,81.75,81.75,80.0,80.35,81.55,3480007
RattanIndia Enterprises Limited,RTNINDIA,2024-03-04,82.75,83.5,81.0,81.55,82.75,3842559
RattanIndia Enterprises Limited,RTNINDIA,2024-03-02,82.6,83.15,82.05,82.75,82.75,332980
RattanIndia Enterprises Limited,RTNINDIA,2024-03-01,83.75,84.7,82.15,82.75,83.6,1976804
RattanIndia Enterprises Limited,RTNINDIA,2024-02-29,78.1,85.45,77.3,83.6,78.7,7113183
RattanIndia Enterprises Limited,RTNINDIA,2024-02-28,80.7,81.3,77.55,78.7,80.65,4002308
RattanIndia Enterprises Limited,RTNINDIA,2024-02-27,82.15,82.65,80.05,80.65,82.0,2600613
RattanIndia Enterprises Limited,RTNINDIA,2024-02-26,84.2,84.45,81.3,82.0,84.0,2390796
RattanIndia Enterprises Limited,RTNINDIA,2024-02-23,84.85,85.0,83.0,84.0,84.5,2423149
RattanIndia Enterprises Limited,RTNINDIA,2024-02-22,81.55,85.15,79.5,84.5,81.4,6236759
RattanIndia Enterprises Limited,RTNINDIA,2024-02-21,83.7,84.5,80.75,81.4,83.2,3685743
RattanIndia Enterprises Limited,RTNINDIA,2024-02-20,85.8,85.8,83.0,83.2,85.4,2953110
RattanIndia Enterprises Limited,RTNINDIA,2024-02-19,86.05,87.5,85.0,85.4,85.65,5043075
RattanIndia Enterprises Limited,RTNINDIA,2024-02-16,85.05,88.3,85.05,85.65,84.25,5815820
RattanIndia Enterprises Limited,RTNINDIA,2024-02-15,84.5,86.75,83.05,84.25,84.45,4334839
RattanIndia Enterprises Limited,RTNINDIA,2024-02-14,81.45,85.0,80.2,84.45,82.15,5137008
RattanIndia Enterprises Limited,RTNINDIA,2024-02-13,78.5,82.5,76.1,82.15,78.35,8120083
RattanIndia Enterprises Limited,RTNINDIA,2024-02-12,88.0,88.4,75.5,78.35,87.25,10129947
RattanIndia Enterprises Limited,RTNINDIA,2024-02-09,92.0,93.7,84.35,87.25,90.35,13439430
RattanIndia Enterprises Limited,RTNINDIA,2024-02-08,89.6,94.85,87.7,90.35,89.05,23977265
RattanIndia Enterprises Limited,RTNINDIA,2024-02-07,89.0,90.95,87.4,89.05,88.35,9395788
RattanIndia Enterprises Limited,RTNINDIA,2024-02-06,87.95,89.7,87.1,88.35,87.5,5111563
RattanIndia Enterprises Limited,RTNINDIA,2024-02-05,89.3,92.65,87.0,87.5,88.6,10419885
RattanIndia Enterprises Limited,RTNINDIA,2024-02-02,87.05,92.45,86.75,88.6,86.6,17796967
RattanIndia Enterprises Limited,RTNINDIA,2024-02-01,88.5,88.5,85.2,86.6,88.15,7093327
RattanIndia Enterprises Limited,RTNINDIA,2024-01-31,88.0,90.25,86.15,88.15,87.85,15334236
RattanIndia Enterprises Limited,RTNINDIA,2024-01-30,84.85,94.15,83.8,87.85,84.25,63936950
RattanIndia Enterprises Limited,RTNINDIA,2024-01-29,81.35,86.35,80.95,84.25,80.65,17131563
RattanIndia Enterprises Limited,RTNINDIA,2024-01-25,82.15,82.6,80.1,80.65,82.15,2913441
RattanIndia Enterprises Limited,RTNINDIA,2024-01-24,79.3,82.85,77.75,82.15,79.4,5322689
RattanIndia Enterprises Limited,RTNINDIA,2024-01-23,82.45,82.85,78.5,79.4,81.75,5616015
RattanIndia Enterprises Limited,RTNINDIA,2024-01-20,80.75,84.5,79.55,81.75,80.35,5861327
RattanIndia Enterprises Limited,RTNINDIA,2024-01-19,80.15,81.85,79.7,80.35,79.75,3423032
RattanIndia Enterprises Limited,RTNINDIA,2024-01-18,79.9,80.7,76.15,79.75,80.45,5219272
RattanIndia Enterprises Limited,RTNINDIA,2024-01-17,80.0,81.45,78.6,80.45,81.6,3527939
RattanIndia Enterprises Limited,RTNINDIA,2024-01-16,83.4,83.7,79.55,81.6,83.0,4490464
RattanIndia Enterprises Limited,RTNINDIA,2024-01-15,84.55,84.7,82.0,83.0,84.2,4013109
RattanIndia Enterprises Limited,RTNINDIA,2024-01-12,85.7,86.9,83.75,84.2,85.35,5081539
RattanIndia Enterprises Limited,RTNINDIA,2024-01-11,81.95,86.5,81.7,85.35,81.55,14916258
RattanIndia Enterprises Limited,RTNINDIA,2024-01-10,82.75,83.95,81.0,81.55,82.65,7334391
RattanIndia Enterprises Limited,RTNINDIA,2024-01-09,86.0,87.7,82.0,82.65,85.7,9424670
RattanIndia Enterprises Limited,RTNINDIA,2024-01-08,86.4,87.4,83.8,85.7,86.0,14043918
RattanIndia Enterprises Limited,RTNINDIA,2024-01-05,81.9,88.0,80.8,86.0,81.6,26741331
RattanIndia Enterprises Limited,RTNINDIA,2024-01-04,76.3,82.4,75.7,81.6,75.9,16544967
RattanIndia Enterprises Limited,RTNINDIA,2024-01-03,76.6,79.4,75.5,75.9,76.05,8501455
RattanIndia Enterprises Limited,RTNINDIA,2024-01-02,76.85,77.4,74.85,76.05,76.45,3414673
RattanIndia Enterprises Limited,RTNINDIA,2024-01-01,76.5,77.8,76.0,76.45,76.25,3827836
RattanIndia Enterprises Limited,RTNINDIA,2023-12-29,75.8,77.1,74.85,76.25,75.5,4698594
RattanIndia Enterprises Limited,RTNINDIA,2023-12-28,76.5,77.3,75.1,75.5,76.2,3938984
RattanIndia Enterprises Limited,RTNINDIA,2023-12-27,77.3,78.2,75.5,76.2,77.15,4836870
RattanIndia Enterprises Limited,RTNINDIA,2023-12-26,79.2,79.45,76.2,77.15,78.95,4336775
RattanIndia Enterprises Limited,RTNINDIA,2023-12-22,79.5,80.5,77.4,78.95,78.9,6292659
RattanIndia Enterprises Limited,RTNINDIA,2023-12-21,74.2,79.85,73.75,78.9,75.1,16407213
