StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Rail Vikas Nigam Limited,RVNL,2024-03-28,258.65,258.85,251.35,252.9,256.0,11074200
Rail Vikas Nigam Limited,RVNL,2024-03-27,262.6,266.3,254.4,256.0,260.45,16973630
Rail Vikas Nigam Limited,RVNL,2024-03-26,254.0,267.85,252.55,260.45,249.85,43345234
Rail Vikas Nigam Limited,RVNL,2024-03-22,244.7,253.0,243.0,249.85,244.5,14803746
Rail Vikas Nigam Limited,RVNL,2024-03-21,247.0,249.4,243.9,244.5,239.2,14067406
Rail Vikas Nigam Limited,RVNL,2024-03-20,248.0,248.3,237.5,239.2,245.45,11717711
Rail Vikas Nigam Limited,RVNL,2024-03-19,242.95,247.8,240.4,245.45,244.4,9884197
Rail Vikas Nigam Limited,RVNL,2024-03-18,249.55,253.0,243.1,244.4,245.55,13484133
Rail Vikas Nigam Limited,RVNL,2024-03-15,242.45,248.8,232.3,245.55,243.5,28212318
Rail Vikas Nigam Limited,RVNL,2024-03-14,222.6,248.45,213.05,243.5,222.6,38958684
Rail Vikas Nigam Limited,RVNL,2024-03-13,245.0,245.6,219.55,222.6,243.45,26257106
Rail Vikas Nigam Limited,RVNL,2024-03-12,250.0,252.45,239.25,243.45,245.45,19693167
Rail Vikas Nigam Limited,RVNL,2024-03-11,252.3,258.0,244.05,245.45,237.95,25948260
Rail Vikas Nigam Limited,RVNL,2024-03-07,238.45,241.95,236.2,237.95,237.55,6393948
Rail Vikas Nigam Limited,RVNL,2024-03-06,241.8,242.45,232.05,237.55,241.25,9329415
Rail Vikas Nigam Limited,RVNL,2024-03-05,242.55,248.2,238.15,241.25,242.55,8990938
Rail Vikas Nigam Limited,RVNL,2024-03-04,250.75,250.75,241.05,242.55,250.95,12608680
Rail Vikas Nigam Limited,RVNL,2024-03-02,246.9,252.55,245.4,250.95,246.2,2167177
Rail Vikas Nigam Limited,RVNL,2024-03-01,245.4,249.3,244.55,246.2,244.25,10474862
Rail Vikas Nigam Limited,RVNL,2024-02-29,260.3,260.3,240.85,244.25,259.0,31125179
Rail Vikas Nigam Limited,RVNL,2024-02-28,268.35,270.4,257.0,259.0,266.9,10945242
Rail Vikas Nigam Limited,RVNL,2024-02-27,268.4,276.95,265.5,266.9,266.95,18452082
Rail Vikas Nigam Limited,RVNL,2024-02-26,266.55,272.85,263.6,266.95,264.6,14614169
Rail Vikas Nigam Limited,RVNL,2024-02-23,264.0,271.9,263.0,264.6,261.35,14200106
Rail Vikas Nigam Limited,RVNL,2024-02-22,261.9,263.3,253.5,261.35,260.35,12248384
Rail Vikas Nigam Limited,RVNL,2024-02-21,268.6,273.6,259.05,260.35,267.25,13483046
Rail Vikas Nigam Limited,RVNL,2024-02-20,267.6,269.25,261.15,267.25,266.25,15398431
Rail Vikas Nigam Limited,RVNL,2024-02-19,254.3,281.3,254.0,266.25,251.7,51506679
Rail Vikas Nigam Limited,RVNL,2024-02-16,259.0,259.75,250.75,251.7,259.4,10975697
Rail Vikas Nigam Limited,RVNL,2024-02-15,250.15,262.8,248.2,259.4,248.85,18846018
Rail Vikas Nigam Limited,RVNL,2024-02-14,241.0,253.15,236.0,248.85,245.7,22348631
Rail Vikas Nigam Limited,RVNL,2024-02-13,228.5,256.4,223.5,245.7,229.6,52120543
Rail Vikas Nigam Limited,RVNL,2024-02-12,258.7,258.7,226.15,229.6,259.25,32239387
Rail Vikas Nigam Limited,RVNL,2024-02-09,258.0,272.85,250.5,259.25,281.7,35310986
Rail Vikas Nigam Limited,RVNL,2024-02-08,282.35,289.9,279.25,281.7,280.85,9231980
Rail Vikas Nigam Limited,RVNL,2024-02-07,289.05,291.3,280.1,280.85,285.2,9794286
Rail Vikas Nigam Limited,RVNL,2024-02-06,281.5,288.3,267.2,285.2,281.35,17061913
Rail Vikas Nigam Limited,RVNL,2024-02-05,294.95,294.95,278.0,281.35,294.55,15716341
Rail Vikas Nigam Limited,RVNL,2024-02-02,300.25,302.0,287.1,294.55,297.55,17179265
Rail Vikas Nigam Limited,RVNL,2024-02-01,312.0,318.9,294.6,297.55,308.25,34481062
Rail Vikas Nigam Limited,RVNL,2024-01-31,297.65,309.55,295.4,308.25,296.25,21529178
Rail Vikas Nigam Limited,RVNL,2024-01-30,300.8,304.2,288.6,296.25,299.05,16994531
Rail Vikas Nigam Limited,RVNL,2024-01-29,305.75,308.7,293.3,299.05,301.95,17198256
Rail Vikas Nigam Limited,RVNL,2024-01-25,300.0,309.8,298.1,301.95,298.85,27527924
Rail Vikas Nigam Limited,RVNL,2024-01-24,288.75,305.55,265.15,298.85,288.75,53922343
Rail Vikas Nigam Limited,RVNL,2024-01-23,332.0,345.5,288.35,288.75,320.35,80917623
Rail Vikas Nigam Limited,RVNL,2024-01-20,302.0,320.35,300.0,320.35,291.25,54325810
Rail Vikas Nigam Limited,RVNL,2024-01-19,245.75,292.3,245.0,291.25,243.6,178930889
Rail Vikas Nigam Limited,RVNL,2024-01-18,247.6,251.4,227.05,243.6,240.4,105611386
Rail Vikas Nigam Limited,RVNL,2024-01-17,223.4,245.9,216.05,240.4,223.55,114133165
Rail Vikas Nigam Limited,RVNL,2024-01-16,225.0,231.95,219.0,223.55,220.65,68897751
Rail Vikas Nigam Limited,RVNL,2024-01-15,204.25,230.65,203.55,220.65,203.25,136773825
Rail Vikas Nigam Limited,RVNL,2024-01-12,200.8,207.0,198.55,203.25,199.8,29429746
Rail Vikas Nigam Limited,RVNL,2024-01-11,200.75,205.4,198.55,199.8,197.4,51040633
Rail Vikas Nigam Limited,RVNL,2024-01-10,186.0,199.2,182.85,197.4,185.3,72587866
Rail Vikas Nigam Limited,RVNL,2024-01-09,183.05,187.2,181.85,185.3,182.1,11569461
Rail Vikas Nigam Limited,RVNL,2024-01-08,185.45,185.5,181.3,182.1,184.65,8211288
Rail Vikas Nigam Limited,RVNL,2024-01-05,186.35,186.9,183.0,184.65,185.5,10233509
Rail Vikas Nigam Limited,RVNL,2024-01-04,186.65,188.4,184.5,185.5,185.3,15879759
Rail Vikas Nigam Limited,RVNL,2024-01-03,182.9,189.0,182.75,185.3,180.8,45596593
Rail Vikas Nigam Limited,RVNL,2024-01-02,182.4,183.4,177.5,180.8,182.0,7909774
Rail Vikas Nigam Limited,RVNL,2024-01-01,181.9,185.6,181.1,182.0,181.55,13833701
Rail Vikas Nigam Limited,RVNL,2023-12-29,177.4,184.65,177.15,181.55,177.4,20186770
Rail Vikas Nigam Limited,RVNL,2023-12-28,178.6,178.95,176.0,177.4,177.8,6859414
Rail Vikas Nigam Limited,RVNL,2023-12-27,179.35,180.8,176.55,177.8,178.65,6991847
Rail Vikas Nigam Limited,RVNL,2023-12-26,177.75,180.5,175.4,178.65,176.9,9823977
