StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Safari Industries (India) Limited,SAFARI,2024-03-28,1800.0,1800.0,1710.0,1725.75,1799.75,93418
Safari Industries (India) Limited,SAFARI,2024-03-27,1807.95,1809.0,1776.95,1799.75,1809.7,76932
Safari Industries (India) Limited,SAFARI,2024-03-26,1808.0,1823.6,1764.25,1809.7,1807.85,31401
Safari Industries (India) Limited,SAFARI,2024-03-22,1759.8,1868.95,1755.0,1807.85,1777.65,57491
Safari Industries (India) Limited,SAFARI,2024-03-21,1745.0,1789.85,1741.25,1777.65,1739.7,20655
Safari Industries (India) Limited,SAFARI,2024-03-20,1660.8,1751.0,1650.3,1739.7,1660.8,72617
Safari Industries (India) Limited,SAFARI,2024-03-19,1687.45,1699.85,1648.75,1660.8,1687.45,51643
Safari Industries (India) Limited,SAFARI,2024-03-18,1693.0,1707.4,1648.6,1687.45,1698.85,64114
Safari Industries (India) Limited,SAFARI,2024-03-15,1732.6,1750.0,1691.0,1698.85,1725.75,67311
Safari Industries (India) Limited,SAFARI,2024-03-14,1711.55,1782.0,1700.0,1725.75,1711.55,170422
Safari Industries (India) Limited,SAFARI,2024-03-13,1817.05,1843.1,1689.9,1711.55,1817.65,72112
Safari Industries (India) Limited,SAFARI,2024-03-12,1860.0,1860.05,1803.3,1817.65,1851.8,57443
Safari Industries (India) Limited,SAFARI,2024-03-11,1940.0,1966.45,1845.0,1851.8,1945.0,66550
Safari Industries (India) Limited,SAFARI,2024-03-07,1998.0,2007.65,1926.85,1945.0,1999.1,43716
Safari Industries (India) Limited,SAFARI,2024-03-06,2060.75,2065.85,1971.0,1999.1,2059.95,78186
Safari Industries (India) Limited,SAFARI,2024-03-05,2030.0,2080.6,2021.6,2059.95,2030.6,48903
Safari Industries (India) Limited,SAFARI,2024-03-04,2049.9,2090.0,2000.0,2030.6,2040.85,63802
Safari Industries (India) Limited,SAFARI,2024-03-02,2000.0,2091.5,1940.0,2040.85,1991.95,8144
Safari Industries (India) Limited,SAFARI,2024-03-01,2031.4,2050.0,1975.0,1991.95,2036.2,50092
Safari Industries (India) Limited,SAFARI,2024-02-29,1937.0,2057.95,1875.0,2036.2,1937.1,82991
Safari Industries (India) Limited,SAFARI,2024-02-28,1969.95,1971.25,1917.7,1937.1,1965.6,26081
Safari Industries (India) Limited,SAFARI,2024-02-27,1978.95,1983.6,1920.0,1965.6,1983.75,22236
Safari Industries (India) Limited,SAFARI,2024-02-26,1995.0,2010.95,1962.75,1983.75,1997.65,38168
Safari Industries (India) Limited,SAFARI,2024-02-23,2015.9,2015.9,1964.05,1997.65,2002.0,26134
Safari Industries (India) Limited,SAFARI,2024-02-22,2035.05,2047.4,1988.05,2002.0,2035.05,23985
Safari Industries (India) Limited,SAFARI,2024-02-21,2039.95,2061.55,2025.05,2035.05,2037.3,23732
Safari Industries (India) Limited,SAFARI,2024-02-20,2098.0,2098.0,2026.0,2037.3,2071.0,22481
Safari Industries (India) Limited,SAFARI,2024-02-19,2056.0,2109.95,2052.25,2071.0,2081.3,31874
Safari Industries (India) Limited,SAFARI,2024-02-16,2059.0,2090.95,2039.9,2081.3,2073.05,34714
Safari Industries (India) Limited,SAFARI,2024-02-15,2091.0,2140.4,2014.45,2073.05,2091.8,66628
Safari Industries (India) Limited,SAFARI,2024-02-14,2074.05,2109.25,2058.85,2091.8,2080.1,32007
Safari Industries (India) Limited,SAFARI,2024-02-13,2089.95,2095.0,2024.95,2080.1,2065.3,29514
Safari Industries (India) Limited,SAFARI,2024-02-12,2051.0,2099.9,2030.8,2065.3,2088.4,40611
Safari Industries (India) Limited,SAFARI,2024-02-09,2102.15,2109.6,2026.0,2088.4,2102.15,80319
Safari Industries (India) Limited,SAFARI,2024-02-08,2045.0,2108.2,2035.25,2102.15,2044.85,94549
Safari Industries (India) Limited,SAFARI,2024-02-07,2041.75,2100.0,2003.5,2044.85,2027.55,124255
Safari Industries (India) Limited,SAFARI,2024-02-06,2050.0,2056.9,1997.1,2027.55,2029.65,47750
Safari Industries (India) Limited,SAFARI,2024-02-05,2027.0,2047.45,1980.0,2029.65,2026.75,57578
Safari Industries (India) Limited,SAFARI,2024-02-02,2024.85,2068.0,2001.15,2026.75,2019.0,105854
Safari Industries (India) Limited,SAFARI,2024-02-01,2040.25,2043.9,1992.25,2019.0,2031.9,43220
Safari Industries (India) Limited,SAFARI,2024-01-31,1945.0,2039.9,1938.1,2031.9,1942.6,147076
Safari Industries (India) Limited,SAFARI,2024-01-30,1905.85,1944.0,1895.2,1942.6,1907.2,169010
Safari Industries (India) Limited,SAFARI,2024-01-29,1910.1,1918.0,1883.0,1907.2,1910.05,40486
Safari Industries (India) Limited,SAFARI,2024-01-25,1914.15,1918.35,1890.0,1910.05,1909.85,25124
Safari Industries (India) Limited,SAFARI,2024-01-24,1909.05,1919.7,1884.7,1909.85,1909.75,28985
Safari Industries (India) Limited,SAFARI,2024-01-23,1931.0,1932.0,1895.35,1909.75,1929.25,61542
Safari Industries (India) Limited,SAFARI,2024-01-20,1925.0,1932.1,1900.95,1929.25,1910.65,35148
Safari Industries (India) Limited,SAFARI,2024-01-19,1924.0,1924.0,1900.0,1910.65,1899.6,68085
