StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Steel Authority of India Limited,SAIL,2024-03-28,134.8,136.7,133.15,134.25,133.65,32144564
Steel Authority of India Limited,SAIL,2024-03-27,131.0,134.9,131.0,133.65,130.6,34505131
Steel Authority of India Limited,SAIL,2024-03-26,129.0,132.5,128.35,130.6,130.0,27547560
Steel Authority of India Limited,SAIL,2024-03-22,127.9,132.1,126.2,130.0,129.0,35650313
Steel Authority of India Limited,SAIL,2024-03-21,127.35,132.1,127.0,129.0,123.65,82318813
Steel Authority of India Limited,SAIL,2024-03-20,123.6,125.6,120.05,123.65,122.55,23242684
Steel Authority of India Limited,SAIL,2024-03-19,126.75,127.5,122.05,122.55,125.95,26647871
Steel Authority of India Limited,SAIL,2024-03-18,122.0,126.6,121.45,125.95,121.7,31290052
Steel Authority of India Limited,SAIL,2024-03-15,121.1,124.4,118.55,121.7,121.5,38312218
Steel Authority of India Limited,SAIL,2024-03-14,119.1,123.5,118.6,121.5,118.7,34792279
Steel Authority of India Limited,SAIL,2024-03-13,130.0,130.45,117.35,118.7,129.75,54001247
Steel Authority of India Limited,SAIL,2024-03-12,134.55,135.3,128.5,129.75,134.3,33809481
Steel Authority of India Limited,SAIL,2024-03-11,139.75,140.6,133.5,134.3,138.95,36011903
Steel Authority of India Limited,SAIL,2024-03-07,139.5,143.25,138.35,138.95,139.05,69331029
Steel Authority of India Limited,SAIL,2024-03-06,139.8,142.0,133.2,139.05,140.25,60977883
Steel Authority of India Limited,SAIL,2024-03-05,141.3,142.65,138.75,140.25,141.65,46101452
Steel Authority of India Limited,SAIL,2024-03-04,138.2,145.0,133.0,141.65,137.65,122158785
Steel Authority of India Limited,SAIL,2024-03-02,133.55,138.5,133.15,137.65,133.0,22427573
Steel Authority of India Limited,SAIL,2024-03-01,123.0,135.75,123.0,133.0,121.2,140528760
Steel Authority of India Limited,SAIL,2024-02-29,121.35,123.8,120.45,121.2,121.75,48476583
Steel Authority of India Limited,SAIL,2024-02-28,125.5,126.7,121.15,121.75,125.35,22958071
Steel Authority of India Limited,SAIL,2024-02-27,124.5,126.3,124.2,125.35,124.2,17548565
Steel Authority of India Limited,SAIL,2024-02-26,128.0,128.0,123.75,124.2,128.0,23550719
Steel Authority of India Limited,SAIL,2024-02-23,130.4,131.3,127.1,128.0,129.3,23535334
Steel Authority of India Limited,SAIL,2024-02-22,131.5,132.2,125.65,129.3,130.2,59343469
Steel Authority of India Limited,SAIL,2024-02-21,130.65,134.2,129.0,130.2,130.35,78653013
Steel Authority of India Limited,SAIL,2024-02-20,129.0,131.4,126.3,130.35,128.3,35081976
Steel Authority of India Limited,SAIL,2024-02-19,128.6,130.4,125.8,128.3,127.45,29556961
Steel Authority of India Limited,SAIL,2024-02-16,127.1,131.4,127.0,127.45,125.75,52165364
Steel Authority of India Limited,SAIL,2024-02-15,124.0,126.9,123.25,125.75,122.95,41215523
Steel Authority of India Limited,SAIL,2024-02-14,117.1,123.7,116.0,122.95,117.85,44986596
Steel Authority of India Limited,SAIL,2024-02-13,120.05,121.65,116.3,117.85,122.75,65167883
Steel Authority of India Limited,SAIL,2024-02-12,134.25,136.0,121.0,122.75,133.65,54452795
Steel Authority of India Limited,SAIL,2024-02-09,139.25,139.6,129.45,133.65,139.05,53110476
Steel Authority of India Limited,SAIL,2024-02-08,144.25,145.9,138.0,139.05,143.45,34821242
Steel Authority of India Limited,SAIL,2024-02-07,148.4,150.0,142.65,143.45,145.5,100793018
Steel Authority of India Limited,SAIL,2024-02-06,137.25,146.7,133.8,145.5,135.3,121450085
Steel Authority of India Limited,SAIL,2024-02-05,130.0,138.4,130.0,135.3,128.3,130644925
Steel Authority of India Limited,SAIL,2024-02-02,120.5,129.65,119.8,128.3,119.3,115557246
Steel Authority of India Limited,SAIL,2024-02-01,123.5,123.5,118.7,119.3,122.5,23393545
Steel Authority of India Limited,SAIL,2024-01-31,121.5,124.3,120.7,122.5,121.2,28514173
Steel Authority of India Limited,SAIL,2024-01-30,121.7,124.85,120.65,121.2,120.45,54176726
Steel Authority of India Limited,SAIL,2024-01-29,120.5,121.65,118.0,120.45,119.1,45734036
Steel Authority of India Limited,SAIL,2024-01-25,115.9,119.95,114.0,119.1,115.05,62850007
Steel Authority of India Limited,SAIL,2024-01-24,109.85,115.5,109.0,115.05,108.8,37267385
Steel Authority of India Limited,SAIL,2024-01-23,114.9,114.9,108.0,108.8,114.9,29014770
Steel Authority of India Limited,SAIL,2024-01-20,115.0,116.0,113.65,114.9,114.1,14813493
Steel Authority of India Limited,SAIL,2024-01-19,114.3,114.85,113.5,114.1,113.05,14431734
Steel Authority of India Limited,SAIL,2024-01-18,113.1,114.05,107.5,113.05,113.1,39166751
Steel Authority of India Limited,SAIL,2024-01-17,117.85,117.85,112.5,113.1,119.55,59898451
Steel Authority of India Limited,SAIL,2024-01-16,115.05,119.95,114.0,119.55,114.65,63560474
Steel Authority of India Limited,SAIL,2024-01-15,116.0,116.3,113.8,114.65,114.9,16054366
Steel Authority of India Limited,SAIL,2024-01-12,114.0,116.35,113.65,114.9,113.5,19498240
Steel Authority of India Limited,SAIL,2024-01-11,115.95,116.55,113.0,113.5,115.05,16565652
Steel Authority of India Limited,SAIL,2024-01-10,114.0,115.65,112.2,115.05,114.2,20963866
Steel Authority of India Limited,SAIL,2024-01-09,115.2,116.6,113.75,114.2,114.3,16993314
Steel Authority of India Limited,SAIL,2024-01-08,117.1,117.6,114.0,114.3,116.95,21830246
Steel Authority of India Limited,SAIL,2024-01-05,119.5,120.75,115.7,116.95,118.65,22784093
Steel Authority of India Limited,SAIL,2024-01-04,119.25,120.7,118.25,118.65,119.1,21439561
Steel Authority of India Limited,SAIL,2024-01-03,122.4,122.7,118.7,119.1,123.0,30459539
Steel Authority of India Limited,SAIL,2024-01-02,124.65,124.65,120.25,123.0,124.7,38718627
Steel Authority of India Limited,SAIL,2024-01-01,123.65,126.9,122.65,124.7,123.65,37525817
Steel Authority of India Limited,SAIL,2023-12-29,123.3,125.75,120.85,123.65,122.85,65438649
Steel Authority of India Limited,SAIL,2023-12-28,116.4,123.85,116.1,122.85,115.45,112886813
Steel Authority of India Limited,SAIL,2023-12-27,115.15,118.2,115.0,115.45,113.55,87756029
Steel Authority of India Limited,SAIL,2023-12-26,113.65,114.9,111.3,113.55,112.75,37093574
Steel Authority of India Limited,SAIL,2023-12-22,110.5,113.5,109.5,112.75,109.0,56223938
Steel Authority of India Limited,SAIL,2023-12-21,103.85,109.9,102.15,109.0,103.7,52112170
Steel Authority of India Limited,SAIL,2023-12-20,112.35,112.95,102.65,103.7,111.05,41617472
Steel Authority of India Limited,SAIL,2023-12-19,115.45,116.55,110.2,111.05,115.45,35413677
Steel Authority of India Limited,SAIL,2023-12-18,112.0,117.15,110.75,115.45,111.45,78649010
Steel Authority of India Limited,SAIL,2023-12-15,111.25,113.35,109.4,111.45,110.95,69403738
Steel Authority of India Limited,SAIL,2023-12-14,105.1,112.25,105.1,110.95,103.25,177834487
Steel Authority of India Limited,SAIL,2023-12-13,100.7,103.65,100.55,103.25,100.0,42797594
Steel Authority of India Limited,SAIL,2023-12-12,101.2,102.5,99.0,100.0,100.8,40788275
Steel Authority of India Limited,SAIL,2023-12-11,98.1,100.95,97.75,100.8,98.1,29721883
Steel Authority of India Limited,SAIL,2023-12-08,99.15,100.35,96.3,98.1,98.95,25014086
Steel Authority of India Limited,SAIL,2023-12-07,99.8,100.35,98.15,98.95,99.35,22413672
Steel Authority of India Limited,SAIL,2023-12-06,96.6,101.1,95.5,99.35,95.75,74817529
Steel Authority of India Limited,SAIL,2023-12-05,94.1,96.85,93.4,95.75,94.0,34837108
Steel Authority of India Limited,SAIL,2023-12-04,94.95,95.5,93.8,94.0,93.15,30750546
Steel Authority of India Limited,SAIL,2023-12-01,93.0,94.2,92.2,93.15,92.3,28208739
Steel Authority of India Limited,SAIL,2023-11-30,91.5,92.5,90.65,92.3,91.2,26327767
Steel Authority of India Limited,SAIL,2023-11-29,91.5,92.2,90.9,91.2,90.95,22993584
Steel Authority of India Limited,SAIL,2023-11-28,89.55,91.4,89.4,90.95,89.2,19252753
Steel Authority of India Limited,SAIL,2023-11-24,89.6,90.65,89.0,89.2,89.85,9598262
