StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Sapphire Foods India Limited,SAPPHIRE,2024-03-28,1592.25,1635.0,1554.1,1568.95,1603.15,150293
Sapphire Foods India Limited,SAPPHIRE,2024-03-27,1591.0,1622.55,1531.85,1603.15,1587.75,289262
Sapphire Foods India Limited,SAPPHIRE,2024-03-26,1608.9,1639.65,1579.1,1587.75,1588.5,274134
Sapphire Foods India Limited,SAPPHIRE,2024-03-22,1590.0,1680.0,1573.5,1588.5,1583.2,751630
Sapphire Foods India Limited,SAPPHIRE,2024-03-21,1579.0,1615.0,1560.15,1583.2,1553.25,276750
Sapphire Foods India Limited,SAPPHIRE,2024-03-20,1518.0,1616.6,1518.0,1553.25,1518.85,1240600
Sapphire Foods India Limited,SAPPHIRE,2024-03-19,1455.0,1530.0,1453.2,1518.85,1464.05,397939
Sapphire Foods India Limited,SAPPHIRE,2024-03-18,1449.95,1489.15,1448.75,1464.05,1440.3,74199
Sapphire Foods India Limited,SAPPHIRE,2024-03-15,1379.3,1497.8,1357.45,1440.3,1368.75,726422
Sapphire Foods India Limited,SAPPHIRE,2024-03-14,1367.8,1400.0,1355.7,1368.75,1390.9,123933
Sapphire Foods India Limited,SAPPHIRE,2024-03-13,1440.5,1490.4,1370.15,1390.9,1440.05,217842
Sapphire Foods India Limited,SAPPHIRE,2024-03-12,1481.5,1513.7,1425.2,1440.05,1488.55,130918
Sapphire Foods India Limited,SAPPHIRE,2024-03-11,1523.35,1525.0,1460.0,1488.55,1500.9,86683
Sapphire Foods India Limited,SAPPHIRE,2024-03-07,1514.25,1527.5,1492.5,1500.9,1499.2,430686
Sapphire Foods India Limited,SAPPHIRE,2024-03-06,1497.3,1525.2,1480.0,1499.2,1497.3,147173
Sapphire Foods India Limited,SAPPHIRE,2024-03-05,1518.55,1520.0,1489.3,1497.3,1510.95,30939
Sapphire Foods India Limited,SAPPHIRE,2024-03-04,1516.0,1545.15,1497.35,1510.95,1511.65,57959
Sapphire Foods India Limited,SAPPHIRE,2024-03-02,1505.0,1527.95,1500.0,1511.65,1502.05,4696
Sapphire Foods India Limited,SAPPHIRE,2024-03-01,1502.15,1530.0,1477.0,1502.05,1502.15,186730
Sapphire Foods India Limited,SAPPHIRE,2024-02-29,1494.45,1522.95,1462.0,1502.15,1500.8,126328
Sapphire Foods India Limited,SAPPHIRE,2024-02-28,1513.35,1548.0,1485.2,1500.8,1498.35,123304
Sapphire Foods India Limited,SAPPHIRE,2024-02-27,1485.05,1514.95,1485.05,1498.35,1483.8,404174
Sapphire Foods India Limited,SAPPHIRE,2024-02-26,1510.05,1532.0,1475.0,1483.8,1507.0,81821
Sapphire Foods India Limited,SAPPHIRE,2024-02-23,1450.0,1538.0,1443.85,1507.0,1449.7,338139
Sapphire Foods India Limited,SAPPHIRE,2024-02-22,1454.55,1462.0,1397.2,1449.7,1448.9,146771
Sapphire Foods India Limited,SAPPHIRE,2024-02-21,1405.0,1455.0,1405.0,1448.9,1408.0,119515
Sapphire Foods India Limited,SAPPHIRE,2024-02-20,1366.7,1422.65,1360.0,1408.0,1360.0,139836
Sapphire Foods India Limited,SAPPHIRE,2024-02-19,1374.95,1374.95,1350.8,1360.0,1370.1,38844
Sapphire Foods India Limited,SAPPHIRE,2024-02-16,1334.05,1378.8,1334.05,1370.1,1339.95,79085
Sapphire Foods India Limited,SAPPHIRE,2024-02-15,1358.0,1358.0,1329.0,1339.95,1358.4,94777
Sapphire Foods India Limited,SAPPHIRE,2024-02-14,1364.05,1378.95,1329.35,1358.4,1362.25,209631
Sapphire Foods India Limited,SAPPHIRE,2024-02-13,1376.35,1376.35,1339.8,1362.25,1376.35,556962
Sapphire Foods India Limited,SAPPHIRE,2024-02-12,1380.0,1388.3,1352.95,1376.35,1379.45,28830
Sapphire Foods India Limited,SAPPHIRE,2024-02-09,1370.05,1415.8,1351.0,1379.45,1365.85,261600
Sapphire Foods India Limited,SAPPHIRE,2024-02-08,1369.1,1383.0,1352.0,1365.85,1375.8,207947
Sapphire Foods India Limited,SAPPHIRE,2024-02-07,1419.95,1428.75,1365.05,1375.8,1408.95,144391
Sapphire Foods India Limited,SAPPHIRE,2024-02-06,1410.0,1444.0,1395.4,1408.95,1401.15,186817
Sapphire Foods India Limited,SAPPHIRE,2024-02-05,1420.35,1420.35,1387.95,1401.15,1413.6,114736
Sapphire Foods India Limited,SAPPHIRE,2024-02-02,1440.55,1475.0,1407.6,1413.6,1441.8,30624
Sapphire Foods India Limited,SAPPHIRE,2024-02-01,1450.55,1475.0,1429.85,1441.8,1450.55,34583
Sapphire Foods India Limited,SAPPHIRE,2024-01-31,1436.7,1475.0,1436.7,1450.55,1434.35,65515
Sapphire Foods India Limited,SAPPHIRE,2024-01-30,1428.0,1454.6,1412.0,1434.35,1426.1,131605
Sapphire Foods India Limited,SAPPHIRE,2024-01-29,1432.0,1435.15,1420.1,1426.1,1424.85,54113
Sapphire Foods India Limited,SAPPHIRE,2024-01-25,1438.9,1438.9,1438.9,1438.9,1377.1,240270
Sapphire Foods India Limited,SAPPHIRE,2024-01-25,1438.0,1444.85,1420.0,1424.85,1438.9,26167
Sapphire Foods India Limited,SAPPHIRE,2024-01-24,1426.55,1475.0,1405.3,1438.9,1426.55,85007
Sapphire Foods India Limited,SAPPHIRE,2024-01-23,1471.95,1509.95,1410.8,1426.55,1471.9,92507
Sapphire Foods India Limited,SAPPHIRE,2024-01-20,1432.65,1498.5,1422.0,1471.9,1424.05,114954
Sapphire Foods India Limited,SAPPHIRE,2024-01-19,1421.0,1427.8,1415.0,1424.05,1407.65,12001
Sapphire Foods India Limited,SAPPHIRE,2024-01-18,1411.0,1424.2,1402.0,1407.65,1414.95,34669
Sapphire Foods India Limited,SAPPHIRE,2024-01-17,1411.0,1422.0,1409.75,1414.95,1424.5,23887
Sapphire Foods India Limited,SAPPHIRE,2024-01-16,1420.65,1438.9,1403.4,1424.5,1420.65,47439
Sapphire Foods India Limited,SAPPHIRE,2024-01-15,1458.0,1470.0,1375.65,1420.65,1443.15,126090
Sapphire Foods India Limited,SAPPHIRE,2024-01-12,1420.0,1456.0,1406.35,1443.15,1416.45,94683
Sapphire Foods India Limited,SAPPHIRE,2024-01-11,1441.0,1443.0,1410.05,1416.45,1439.45,216351
Sapphire Foods India Limited,SAPPHIRE,2024-01-10,1399.0,1443.95,1387.95,1439.45,1383.3,508674
Sapphire Foods India Limited,SAPPHIRE,2024-01-09,1412.75,1414.9,1379.0,1383.3,1399.65,32433
