StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Saregama India Limited,SAREGAMA,2024-03-28,340.25,350.8,340.25,347.35,348.35,663298
Saregama India Limited,SAREGAMA,2024-03-27,362.05,362.05,344.3,348.35,359.3,609233
Saregama India Limited,SAREGAMA,2024-03-26,363.05,364.55,355.0,359.3,365.05,336791
Saregama India Limited,SAREGAMA,2024-03-22,371.25,373.4,362.2,365.05,371.25,210178
Saregama India Limited,SAREGAMA,2024-03-21,375.0,380.45,369.75,371.25,373.2,172771
Saregama India Limited,SAREGAMA,2024-03-20,354.4,377.55,353.0,373.2,354.35,889818
Saregama India Limited,SAREGAMA,2024-03-19,356.15,364.95,352.0,354.35,356.15,143842
Saregama India Limited,SAREGAMA,2024-03-18,352.2,363.6,349.6,356.15,352.15,376091
Saregama India Limited,SAREGAMA,2024-03-15,354.9,360.0,346.0,352.15,350.5,377357
Saregama India Limited,SAREGAMA,2024-03-14,342.05,356.6,339.0,350.5,345.55,389578
Saregama India Limited,SAREGAMA,2024-03-13,365.55,365.85,339.2,345.55,365.55,569756
Saregama India Limited,SAREGAMA,2024-03-12,371.7,373.95,361.3,365.55,372.25,355041
Saregama India Limited,SAREGAMA,2024-03-11,388.45,388.95,370.0,372.25,388.45,306592
Saregama India Limited,SAREGAMA,2024-03-07,388.6,392.0,383.05,388.45,385.35,230928
Saregama India Limited,SAREGAMA,2024-03-06,395.0,396.2,378.1,385.35,391.85,324718
Saregama India Limited,SAREGAMA,2024-03-05,404.2,405.8,385.0,391.85,404.15,555378
Saregama India Limited,SAREGAMA,2024-03-04,408.05,410.9,399.3,404.15,408.6,233565
Saregama India Limited,SAREGAMA,2024-03-02,404.55,412.0,404.55,408.6,404.5,40530
Saregama India Limited,SAREGAMA,2024-03-01,402.55,412.65,402.0,404.5,402.55,350493
Saregama India Limited,SAREGAMA,2024-02-29,412.0,415.8,394.75,402.55,411.95,571574
Saregama India Limited,SAREGAMA,2024-02-28,423.8,428.7,409.0,411.95,420.2,736158
Saregama India Limited,SAREGAMA,2024-02-27,420.0,429.2,418.0,420.2,415.35,946849
