StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
SBFC Finance Limited,SBFC,2024-03-28,81.45,83.1,80.75,81.95,80.8,1595710
SBFC Finance Limited,SBFC,2024-03-27,80.6,81.95,78.95,80.8,80.55,2861085
SBFC Finance Limited,SBFC,2024-03-26,83.45,83.6,80.0,80.55,83.3,1431616
SBFC Finance Limited,SBFC,2024-03-22,80.95,83.6,80.4,83.3,81.1,1482446
SBFC Finance Limited,SBFC,2024-03-21,78.45,81.45,78.45,81.1,77.45,1587288
SBFC Finance Limited,SBFC,2024-03-20,79.3,79.4,75.9,77.45,78.5,1398793
SBFC Finance Limited,SBFC,2024-03-19,80.25,80.95,78.2,78.5,79.8,995816
SBFC Finance Limited,SBFC,2024-03-18,78.4,80.15,77.1,79.8,77.35,1373073
SBFC Finance Limited,SBFC,2024-03-15,78.0,78.9,75.85,77.35,77.65,2228727
SBFC Finance Limited,SBFC,2024-03-14,73.25,78.6,72.55,77.65,73.35,4509376
SBFC Finance Limited,SBFC,2024-03-13,79.5,80.45,72.4,73.35,79.9,5330241
SBFC Finance Limited,SBFC,2024-03-12,82.8,82.9,76.6,79.9,82.55,3685489
SBFC Finance Limited,SBFC,2024-03-11,83.0,83.9,82.0,82.55,82.2,4075400
SBFC Finance Limited,SBFC,2024-03-07,89.0,89.0,80.9,82.2,91.65,78276739
SBFC Finance Limited,SBFC,2024-03-06,91.85,95.7,89.5,91.65,91.65,5849739
SBFC Finance Limited,SBFC,2024-03-05,93.0,98.0,91.35,91.65,89.8,22172284
SBFC Finance Limited,SBFC,2024-03-04,86.0,90.95,85.2,89.8,85.55,4527274
SBFC Finance Limited,SBFC,2024-03-02,84.25,85.75,84.1,85.55,84.0,174817
SBFC Finance Limited,SBFC,2024-03-01,84.65,85.2,83.2,84.0,84.6,1985347
SBFC Finance Limited,SBFC,2024-02-29,86.7,88.2,83.1,84.6,86.45,5523884
SBFC Finance Limited,SBFC,2024-02-28,88.4,88.5,85.55,86.45,87.95,1072616
SBFC Finance Limited,SBFC,2024-02-27,88.2,89.25,87.1,87.95,88.1,1549365
SBFC Finance Limited,SBFC,2024-02-26,90.95,91.6,87.0,88.1,89.1,3232188
SBFC Finance Limited,SBFC,2024-02-23,89.1,90.2,88.8,89.1,88.95,700404
SBFC Finance Limited,SBFC,2024-02-22,89.0,90.85,88.45,88.95,89.25,814097
SBFC Finance Limited,SBFC,2024-02-21,91.7,91.9,88.65,89.25,90.95,1902913
SBFC Finance Limited,SBFC,2024-02-20,90.0,91.5,88.7,90.95,89.75,1666386
SBFC Finance Limited,SBFC,2024-02-19,89.0,90.9,88.4,89.75,88.85,1542150
SBFC Finance Limited,SBFC,2024-02-16,86.1,90.9,86.1,88.85,86.25,3470570
SBFC Finance Limited,SBFC,2024-02-15,86.9,87.05,85.45,86.25,86.05,904591
SBFC Finance Limited,SBFC,2024-02-14,85.0,86.8,84.9,86.05,85.6,665168
SBFC Finance Limited,SBFC,2024-02-13,86.8,87.0,85.0,85.6,85.95,1456881
SBFC Finance Limited,SBFC,2024-02-12,88.25,88.6,85.6,85.95,87.85,1225543
SBFC Finance Limited,SBFC,2024-02-09,88.0,88.5,86.2,87.85,87.95,987749
SBFC Finance Limited,SBFC,2024-02-08,87.65,89.0,87.05,87.95,86.65,1586041
SBFC Finance Limited,SBFC,2024-02-07,86.75,87.4,86.35,86.65,86.7,749267
SBFC Finance Limited,SBFC,2024-02-06,86.55,87.15,85.8,86.7,86.3,658509
SBFC Finance Limited,SBFC,2024-02-05,87.4,87.75,85.8,86.3,87.4,1411220
SBFC Finance Limited,SBFC,2024-02-02,88.75,89.15,87.1,87.4,88.6,988968
SBFC Finance Limited,SBFC,2024-02-01,90.4,90.4,88.0,88.6,89.95,958642
SBFC Finance Limited,SBFC,2024-01-31,88.45,90.0,87.6,89.95,87.95,2194917
SBFC Finance Limited,SBFC,2024-01-30,90.0,92.25,87.4,87.95,89.65,2554114
SBFC Finance Limited,SBFC,2024-01-29,89.25,90.05,87.65,89.65,89.3,3172977
SBFC Finance Limited,SBFC,2024-01-25,86.5,90.0,85.85,89.3,86.0,9229230
SBFC Finance Limited,SBFC,2024-01-24,85.9,86.4,84.35,86.0,85.05,1316035
SBFC Finance Limited,SBFC,2024-01-23,86.95,87.7,84.75,85.05,86.1,1563709
SBFC Finance Limited,SBFC,2024-01-20,86.55,86.8,85.9,86.1,85.95,446955
SBFC Finance Limited,SBFC,2024-01-19,86.5,87.35,85.4,85.95,86.3,985814
SBFC Finance Limited,SBFC,2024-01-18,85.75,87.45,83.9,86.3,85.85,1109077
SBFC Finance Limited,SBFC,2024-01-17,86.85,87.0,85.4,85.85,87.0,1068374
SBFC Finance Limited,SBFC,2024-01-16,87.9,87.9,86.4,87.0,87.55,1307101
SBFC Finance Limited,SBFC,2024-01-15,88.3,88.65,86.4,87.55,87.75,3487867
SBFC Finance Limited,SBFC,2024-01-12,87.45,88.15,86.8,87.75,87.1,1616304
SBFC Finance Limited,SBFC,2024-01-11,88.45,88.55,87.0,87.1,88.05,1728980
SBFC Finance Limited,SBFC,2024-01-10,88.7,89.35,87.55,88.05,88.75,986285
SBFC Finance Limited,SBFC,2024-01-09,89.2,89.9,88.2,88.75,89.2,1206973
SBFC Finance Limited,SBFC,2024-01-08,90.65,90.65,88.8,89.2,90.15,634258
SBFC Finance Limited,SBFC,2024-01-05,90.8,91.6,89.4,90.15,90.45,1327681
SBFC Finance Limited,SBFC,2024-01-04,92.25,92.3,89.3,90.45,91.35,2322597
SBFC Finance Limited,SBFC,2024-01-03,88.7,92.3,87.8,91.35,88.0,3048477
SBFC Finance Limited,SBFC,2024-01-02,89.0,89.6,87.5,88.0,89.0,1133999
SBFC Finance Limited,SBFC,2024-01-01,90.4,90.4,88.75,89.0,89.4,837996
SBFC Finance Limited,SBFC,2023-12-29,90.0,90.55,88.6,89.4,89.85,1293715
SBFC Finance Limited,SBFC,2023-12-28,90.65,91.3,89.6,89.85,90.05,1082206
SBFC Finance Limited,SBFC,2023-12-27,89.85,91.1,89.05,90.05,89.55,1113223
SBFC Finance Limited,SBFC,2023-12-26,90.35,90.65,88.75,89.55,89.1,1381301
SBFC Finance Limited,SBFC,2023-12-22,90.45,91.5,88.6,89.1,89.9,1350980
SBFC Finance Limited,SBFC,2023-12-21,86.5,90.6,84.1,89.9,87.1,2084144
SBFC Finance Limited,SBFC,2023-12-20,93.0,94.2,86.0,87.1,92.4,3833773
SBFC Finance Limited,SBFC,2023-12-19,94.7,94.95,91.6,92.4,94.45,2044075
SBFC Finance Limited,SBFC,2023-12-18,94.6,96.7,93.35,94.45,93.95,2581190
SBFC Finance Limited,SBFC,2023-12-15,93.65,97.8,93.0,93.95,93.15,8542924
SBFC Finance Limited,SBFC,2023-12-14,94.0,94.9,92.35,93.15,92.9,3520132
SBFC Finance Limited,SBFC,2023-12-13,94.7,94.7,91.25,92.9,94.05,3127351
SBFC Finance Limited,SBFC,2023-12-12,91.2,95.5,90.95,94.05,90.0,12851536
SBFC Finance Limited,SBFC,2023-12-11,88.0,91.1,87.0,90.0,86.45,3447396
SBFC Finance Limited,SBFC,2023-12-08,87.8,88.3,86.3,86.45,87.4,1596090
SBFC Finance Limited,SBFC,2023-12-07,88.05,88.35,87.0,87.4,87.65,871854
SBFC Finance Limited,SBFC,2023-12-06,88.85,88.95,87.4,87.65,88.25,975005
SBFC Finance Limited,SBFC,2023-12-05,90.5,90.6,88.0,88.25,89.75,1343958
SBFC Finance Limited,SBFC,2023-12-04,92.25,92.45,88.0,89.75,89.75,2299387
SBFC Finance Limited,SBFC,2023-12-01,91.0,91.6,89.0,89.75,90.0,1702815
SBFC Finance Limited,SBFC,2023-11-30,86.2,90.65,85.65,90.0,85.85,5228956
SBFC Finance Limited,SBFC,2023-11-29,87.0,87.2,85.5,85.85,86.2,1575270
SBFC Finance Limited,SBFC,2023-11-28,87.75,88.45,85.8,86.2,87.75,1637971
SBFC Finance Limited,SBFC,2023-11-24,88.6,88.8,87.4,87.75,87.9,1266553
SBFC Finance Limited,SBFC,2023-11-23,90.55,90.9,87.7,87.9,90.55,2205791
SBFC Finance Limited,SBFC,2023-11-22,91.3,91.6,89.25,90.55,90.85,1482050
SBFC Finance Limited,SBFC,2023-11-21,91.5,94.0,90.55,90.85,90.85,4750053
SBFC Finance Limited,SBFC,2023-11-20,92.5,92.5,88.7,90.85,91.4,4912148
SBFC Finance Limited,SBFC,2023-11-17,89.0,92.25,87.3,91.4,90.6,6558213
SBFC Finance Limited,SBFC,2023-11-16,91.5,93.7,89.8,90.6,91.25,4290130
SBFC Finance Limited,SBFC,2023-11-15,94.0,94.7,91.0,91.25,91.85,5595068
SBFC Finance Limited,SBFC,2023-11-13,88.75,96.9,87.9,91.85,87.6,22561679
SBFC Finance Limited,SBFC,2023-11-12,84.7,88.9,84.6,87.6,83.75,3994650
SBFC Finance Limited,SBFC,2023-11-10,84.45,85.1,83.4,83.75,84.8,885183
SBFC Finance Limited,SBFC,2023-11-09,83.55,86.7,83.0,84.8,83.1,2400168
SBFC Finance Limited,SBFC,2023-11-08,83.2,83.65,82.5,83.1,82.7,1211422
SBFC Finance Limited,SBFC,2023-11-07,83.15,83.25,82.25,82.7,82.65,1258443
SBFC Finance Limited,SBFC,2023-11-06,82.6,84.8,81.6,82.65,81.85,1548093
SBFC Finance Limited,SBFC,2023-11-03,84.45,84.45,81.8,81.85,81.85,611103
SBFC Finance Limited,SBFC,2023-11-02,82.9,83.15,81.6,81.85,82.35,503434
SBFC Finance Limited,SBFC,2023-11-01,82.8,83.5,82.0,82.35,82.65,525993
SBFC Finance Limited,SBFC,2023-10-31,83.95,85.4,82.5,82.65,83.55,1194042
SBFC Finance Limited,SBFC,2023-10-30,85.3,85.3,83.2,83.55,84.55,717795
SBFC Finance Limited,SBFC,2023-10-27,83.0,87.7,82.5,84.55,82.2,4764278
SBFC Finance Limited,SBFC,2023-10-26,83.0,83.0,80.2,82.2,83.25,982529
SBFC Finance Limited,SBFC,2023-10-25,82.4,84.45,82.2,83.25,82.3,1315806
SBFC Finance Limited,SBFC,2023-10-23,84.5,85.7,80.6,82.3,84.5,1941107
SBFC Finance Limited,SBFC,2023-10-20,83.7,85.25,82.25,84.5,82.9,1264994
SBFC Finance Limited,SBFC,2023-10-19,82.5,83.05,82.5,82.9,82.8,283511
SBFC Finance Limited,SBFC,2023-10-18,83.1,83.55,82.55,82.8,83.3,797034
SBFC Finance Limited,SBFC,2023-10-17,84.5,84.85,83.15,83.3,84.15,484027
SBFC Finance Limited,SBFC,2023-10-16,84.5,84.95,84.0,84.15,84.25,443780
SBFC Finance Limited,SBFC,2023-10-13,83.3,84.85,83.05,84.25,83.4,888946
SBFC Finance Limited,SBFC,2023-10-12,84.9,85.4,82.95,83.4,84.6,657488
SBFC Finance Limited,SBFC,2023-10-11,86.25,87.0,84.25,84.6,84.3,1065420
SBFC Finance Limited,SBFC,2023-10-10,83.25,85.45,82.9,84.3,83.0,758730
SBFC Finance Limited,SBFC,2023-10-09,85.7,85.7,82.1,83.0,86.85,1342030
SBFC Finance Limited,SBFC,2023-10-06,85.2,88.35,84.55,86.85,84.15,2313482
SBFC Finance Limited,SBFC,2023-10-05,81.8,87.65,81.5,84.15,81.7,3733476
SBFC Finance Limited,SBFC,2023-10-04,82.8,83.0,80.85,81.7,82.8,752546
SBFC Finance Limited,SBFC,2023-10-03,83.45,84.1,82.55,82.8,83.25,563440
SBFC Finance Limited,SBFC,2023-09-29,83.3,83.65,82.85,83.25,82.95,469621
SBFC Finance Limited,SBFC,2023-09-28,83.15,83.7,82.6,82.95,83.05,501046
SBFC Finance Limited,SBFC,2023-09-27,83.2,83.9,82.6,83.05,83.2,880742
SBFC Finance Limited,SBFC,2023-09-26,84.1,84.25,82.1,83.2,83.7,1400116
SBFC Finance Limited,SBFC,2023-09-25,85.6,86.55,83.5,83.7,85.2,818441
SBFC Finance Limited,SBFC,2023-09-22,85.0,86.3,84.55,85.2,84.95,950727
SBFC Finance Limited,SBFC,2023-09-21,86.75,86.75,84.5,84.95,86.55,1064560
SBFC Finance Limited,SBFC,2023-09-20,85.7,87.85,85.4,86.55,85.65,1612749
SBFC Finance Limited,SBFC,2023-09-18,86.0,86.9,85.15,85.65,85.9,998469
SBFC Finance Limited,SBFC,2023-09-15,86.8,87.9,85.25,85.9,86.5,1064692
