StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
SBI Cards and Payment Services Limited,SBICARD,2024-03-28,692.55,696.0,679.95,682.55,692.55,2613193
SBI Cards and Payment Services Limited,SBICARD,2024-03-27,698.95,702.4,691.0,692.55,696.85,2204657
SBI Cards and Payment Services Limited,SBICARD,2024-03-26,699.95,709.0,695.0,696.85,704.1,3756858
SBI Cards and Payment Services Limited,SBICARD,2024-03-22,702.0,710.6,701.65,704.1,702.65,811372
SBI Cards and Payment Services Limited,SBICARD,2024-03-21,695.05,704.45,695.0,702.65,692.3,2707401
SBI Cards and Payment Services Limited,SBICARD,2024-03-20,694.3,701.0,689.35,692.3,698.5,999111
SBI Cards and Payment Services Limited,SBICARD,2024-03-19,701.5,706.85,695.55,698.5,701.5,1582478
SBI Cards and Payment Services Limited,SBICARD,2024-03-18,699.95,703.0,694.0,701.5,699.3,981919
SBI Cards and Payment Services Limited,SBICARD,2024-03-15,702.0,704.65,696.0,699.3,702.35,1003378
SBI Cards and Payment Services Limited,SBICARD,2024-03-14,685.0,704.65,678.9,702.35,685.3,1809163
SBI Cards and Payment Services Limited,SBICARD,2024-03-13,701.5,703.5,683.0,685.3,700.55,1518868
SBI Cards and Payment Services Limited,SBICARD,2024-03-12,704.8,709.85,693.25,700.55,704.8,1652036
SBI Cards and Payment Services Limited,SBICARD,2024-03-11,709.8,709.8,700.2,704.8,707.5,1329626
SBI Cards and Payment Services Limited,SBICARD,2024-03-07,708.5,709.45,704.05,707.5,702.2,1335533
SBI Cards and Payment Services Limited,SBICARD,2024-03-06,712.6,714.9,698.0,702.2,716.05,1772444
SBI Cards and Payment Services Limited,SBICARD,2024-03-05,717.0,721.1,711.65,716.05,716.9,1035298
SBI Cards and Payment Services Limited,SBICARD,2024-03-04,721.45,723.85,715.0,716.9,721.3,1102727
SBI Cards and Payment Services Limited,SBICARD,2024-03-02,722.8,725.0,718.05,721.3,717.9,83111
SBI Cards and Payment Services Limited,SBICARD,2024-03-01,724.35,724.55,714.3,717.9,719.65,1444844
SBI Cards and Payment Services Limited,SBICARD,2024-02-29,730.05,732.9,715.55,719.65,729.45,3043100
SBI Cards and Payment Services Limited,SBICARD,2024-02-28,732.1,734.0,726.45,729.45,731.8,2271357
SBI Cards and Payment Services Limited,SBICARD,2024-02-27,729.0,735.5,726.3,731.8,729.9,1919189
SBI Cards and Payment Services Limited,SBICARD,2024-02-26,738.9,738.9,728.25,729.9,739.05,1315344
SBI Cards and Payment Services Limited,SBICARD,2024-02-23,742.5,751.6,736.6,739.05,740.75,1294462
SBI Cards and Payment Services Limited,SBICARD,2024-02-22,739.25,743.2,732.6,740.75,739.25,631233
SBI Cards and Payment Services Limited,SBICARD,2024-02-21,740.0,744.8,731.55,739.25,739.75,1383857
SBI Cards and Payment Services Limited,SBICARD,2024-02-20,731.9,741.35,723.05,739.75,728.4,1731698
SBI Cards and Payment Services Limited,SBICARD,2024-02-19,719.5,744.9,718.1,728.4,718.05,2550695
SBI Cards and Payment Services Limited,SBICARD,2024-02-16,716.0,720.55,711.0,718.05,713.55,975869
SBI Cards and Payment Services Limited,SBICARD,2024-02-15,723.5,724.35,712.05,713.55,719.15,911905
SBI Cards and Payment Services Limited,SBICARD,2024-02-14,716.0,721.7,708.65,719.15,721.0,1366033
SBI Cards and Payment Services Limited,SBICARD,2024-02-13,718.8,724.5,709.2,721.0,712.85,1726759
SBI Cards and Payment Services Limited,SBICARD,2024-02-12,720.0,720.0,709.15,712.85,718.4,1096335
SBI Cards and Payment Services Limited,SBICARD,2024-02-09,724.85,725.0,710.1,718.4,721.45,958307
SBI Cards and Payment Services Limited,SBICARD,2024-02-08,729.95,732.0,718.1,721.45,725.15,1907311
SBI Cards and Payment Services Limited,SBICARD,2024-02-07,712.0,726.0,711.0,725.15,708.6,1490461
SBI Cards and Payment Services Limited,SBICARD,2024-02-06,705.0,710.0,699.0,708.6,703.15,1491932
SBI Cards and Payment Services Limited,SBICARD,2024-02-05,712.8,714.95,700.0,703.15,711.25,2180351
SBI Cards and Payment Services Limited,SBICARD,2024-02-02,711.0,720.65,710.1,711.25,711.95,1745972
SBI Cards and Payment Services Limited,SBICARD,2024-02-01,718.9,720.4,709.6,711.95,715.35,1163723
SBI Cards and Payment Services Limited,SBICARD,2024-01-31,714.7,720.5,705.6,715.35,712.55,3886982
SBI Cards and Payment Services Limited,SBICARD,2024-01-30,720.05,721.95,711.0,712.55,715.55,4124185
SBI Cards and Payment Services Limited,SBICARD,2024-01-29,716.55,734.4,710.1,715.55,759.85,8841578
SBI Cards and Payment Services Limited,SBICARD,2024-01-25,746.75,763.0,733.0,759.85,746.95,2201724
SBI Cards and Payment Services Limited,SBICARD,2024-01-24,735.0,749.9,726.0,746.95,729.9,1203579
SBI Cards and Payment Services Limited,SBICARD,2024-01-23,746.0,749.7,723.5,729.9,744.75,2495585
SBI Cards and Payment Services Limited,SBICARD,2024-01-20,751.05,752.65,741.15,744.75,749.2,487882
SBI Cards and Payment Services Limited,SBICARD,2024-01-19,755.5,755.7,747.05,749.2,750.25,1284550
SBI Cards and Payment Services Limited,SBICARD,2024-01-18,752.0,753.8,738.55,750.25,752.2,1465911
SBI Cards and Payment Services Limited,SBICARD,2024-01-17,764.0,766.5,750.0,752.2,767.3,1779825
SBI Cards and Payment Services Limited,SBICARD,2024-01-16,768.05,774.0,762.25,767.3,768.05,1288356
SBI Cards and Payment Services Limited,SBICARD,2024-01-15,768.95,774.65,762.0,768.05,766.7,1075144
SBI Cards and Payment Services Limited,SBICARD,2024-01-12,767.45,770.0,763.3,766.7,762.35,1173186
SBI Cards and Payment Services Limited,SBICARD,2024-01-11,768.0,770.0,758.25,762.35,765.45,2420685
SBI Cards and Payment Services Limited,SBICARD,2024-01-10,762.2,769.5,756.95,765.45,762.05,1720978
SBI Cards and Payment Services Limited,SBICARD,2024-01-09,770.0,773.0,758.0,762.05,767.65,2051681
SBI Cards and Payment Services Limited,SBICARD,2024-01-08,772.95,775.7,764.2,767.65,771.6,1183984
SBI Cards and Payment Services Limited,SBICARD,2024-01-05,772.5,779.95,768.0,771.6,770.1,1546574
SBI Cards and Payment Services Limited,SBICARD,2024-01-04,772.4,776.1,765.4,770.1,769.85,1580391
SBI Cards and Payment Services Limited,SBICARD,2024-01-03,775.65,780.95,768.15,769.85,773.15,1390145
SBI Cards and Payment Services Limited,SBICARD,2024-01-02,766.35,775.9,762.0,773.15,766.35,1493730
SBI Cards and Payment Services Limited,SBICARD,2024-01-01,764.0,771.75,761.25,766.35,759.65,1091156
SBI Cards and Payment Services Limited,SBICARD,2023-12-29,763.0,767.45,757.95,759.65,760.25,1796866
SBI Cards and Payment Services Limited,SBICARD,2023-12-28,766.0,767.95,753.05,760.25,764.75,2381444
SBI Cards and Payment Services Limited,SBICARD,2023-12-27,774.8,774.8,762.7,764.75,768.1,1591045
SBI Cards and Payment Services Limited,SBICARD,2023-12-26,777.0,777.8,766.35,768.1,773.15,1167036
SBI Cards and Payment Services Limited,SBICARD,2023-12-22,769.0,778.0,766.65,773.15,765.2,1847748
SBI Cards and Payment Services Limited,SBICARD,2023-12-21,758.45,767.2,751.6,765.2,759.8,1240258
SBI Cards and Payment Services Limited,SBICARD,2023-12-20,781.0,782.35,755.8,759.8,776.8,1969218
SBI Cards and Payment Services Limited,SBICARD,2023-12-19,782.0,785.45,771.2,776.8,781.2,1297167
SBI Cards and Payment Services Limited,SBICARD,2023-12-18,778.4,788.8,775.45,781.2,776.35,1673309
SBI Cards and Payment Services Limited,SBICARD,2023-12-15,776.0,779.9,770.0,776.35,767.8,2201691
SBI Cards and Payment Services Limited,SBICARD,2023-12-14,757.0,773.75,755.25,767.8,749.95,2641527
SBI Cards and Payment Services Limited,SBICARD,2023-12-13,760.0,762.0,746.0,749.95,755.95,1476097
SBI Cards and Payment Services Limited,SBICARD,2023-12-12,758.9,762.75,753.85,755.95,755.8,1262660
SBI Cards and Payment Services Limited,SBICARD,2023-12-11,765.1,767.0,754.2,755.8,759.95,1949464
SBI Cards and Payment Services Limited,SBICARD,2023-12-08,773.7,779.95,752.55,759.95,767.5,2668741
SBI Cards and Payment Services Limited,SBICARD,2023-12-07,752.0,782.35,744.0,767.5,748.1,5722975
SBI Cards and Payment Services Limited,SBICARD,2023-12-06,749.0,753.7,747.35,748.1,748.1,1747993
SBI Cards and Payment Services Limited,SBICARD,2023-12-05,755.0,756.95,746.1,748.1,751.7,2521921
SBI Cards and Payment Services Limited,SBICARD,2023-12-04,750.0,756.0,746.0,751.7,739.95,2611075
SBI Cards and Payment Services Limited,SBICARD,2023-12-01,743.0,747.5,739.0,739.95,739.15,1185861
SBI Cards and Payment Services Limited,SBICARD,2023-11-30,738.05,741.95,735.5,739.15,737.2,2464705
SBI Cards and Payment Services Limited,SBICARD,2023-11-29,737.0,740.0,736.05,737.2,733.75,1603465
SBI Cards and Payment Services Limited,SBICARD,2023-11-28,744.7,744.7,732.2,733.75,739.15,2366981
SBI Cards and Payment Services Limited,SBICARD,2023-11-24,740.0,744.35,735.55,739.15,738.95,930896
SBI Cards and Payment Services Limited,SBICARD,2023-11-23,735.2,742.0,735.2,738.95,731.7,840389
SBI Cards and Payment Services Limited,SBICARD,2023-11-22,735.0,739.9,730.0,731.7,734.75,1528078
SBI Cards and Payment Services Limited,SBICARD,2023-11-21,745.5,745.5,733.85,734.75,742.9,1949001
SBI Cards and Payment Services Limited,SBICARD,2023-11-20,738.9,750.6,730.05,742.9,732.85,4081166
SBI Cards and Payment Services Limited,SBICARD,2023-11-17,733.0,734.95,720.8,732.85,772.55,10087996
SBI Cards and Payment Services Limited,SBICARD,2023-11-16,767.75,775.75,762.65,772.55,766.6,1138172
SBI Cards and Payment Services Limited,SBICARD,2023-11-15,760.0,771.8,756.35,766.6,752.95,1588218
SBI Cards and Payment Services Limited,SBICARD,2023-11-13,760.0,760.8,749.5,752.95,759.95,1182457
SBI Cards and Payment Services Limited,SBICARD,2023-11-12,761.8,762.0,755.75,759.95,753.45,294337
SBI Cards and Payment Services Limited,SBICARD,2023-11-10,750.25,756.0,748.1,753.45,750.25,730509
SBI Cards and Payment Services Limited,SBICARD,2023-11-09,750.0,753.95,748.6,750.25,748.45,606163
SBI Cards and Payment Services Limited,SBICARD,2023-11-08,750.55,754.9,746.7,748.45,753.25,899849
SBI Cards and Payment Services Limited,SBICARD,2023-11-07,756.0,758.5,745.9,753.25,753.9,1317743
SBI Cards and Payment Services Limited,SBICARD,2023-11-06,754.8,755.8,747.95,753.9,747.2,1373751
SBI Cards and Payment Services Limited,SBICARD,2023-11-03,750.0,752.65,745.95,747.2,744.05,946847
SBI Cards and Payment Services Limited,SBICARD,2023-11-02,752.8,752.8,741.1,744.05,744.8,1205604
SBI Cards and Payment Services Limited,SBICARD,2023-11-01,753.9,761.95,743.65,744.8,746.15,1463292
SBI Cards and Payment Services Limited,SBICARD,2023-10-31,759.9,763.7,744.0,746.15,750.35,2268047
SBI Cards and Payment Services Limited,SBICARD,2023-10-30,783.15,783.15,731.25,750.35,790.4,7239819
SBI Cards and Payment Services Limited,SBICARD,2023-10-27,782.0,796.5,773.3,790.4,772.5,604104
SBI Cards and Payment Services Limited,SBICARD,2023-10-26,775.0,776.95,767.25,772.5,777.6,692713
SBI Cards and Payment Services Limited,SBICARD,2023-10-25,776.4,781.95,768.25,777.6,774.9,891012
SBI Cards and Payment Services Limited,SBICARD,2023-10-23,788.0,789.0,770.4,774.9,785.9,1041269
SBI Cards and Payment Services Limited,SBICARD,2023-10-20,790.3,794.05,784.5,785.9,790.65,490858
SBI Cards and Payment Services Limited,SBICARD,2023-10-19,799.0,799.0,789.35,790.65,799.1,576153
