StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
SBI Life Insurance Company Limited,SBILIFE,2024-03-28,1480.0,1521.85,1480.0,1500.25,1479.55,1704887
SBI Life Insurance Company Limited,SBILIFE,2024-03-27,1490.0,1499.0,1473.5,1479.55,1486.4,795193
SBI Life Insurance Company Limited,SBILIFE,2024-03-26,1458.5,1509.45,1457.8,1486.4,1501.1,1349881
SBI Life Insurance Company Limited,SBILIFE,2024-03-22,1474.0,1511.0,1458.1,1501.1,1468.05,563028
SBI Life Insurance Company Limited,SBILIFE,2024-03-21,1472.9,1477.0,1458.0,1468.05,1458.4,958834
SBI Life Insurance Company Limited,SBILIFE,2024-03-20,1460.0,1469.45,1450.0,1458.4,1461.35,477278
SBI Life Insurance Company Limited,SBILIFE,2024-03-19,1480.0,1488.95,1456.3,1461.35,1489.7,1010444
SBI Life Insurance Company Limited,SBILIFE,2024-03-18,1493.0,1503.45,1478.3,1489.7,1500.0,641326
SBI Life Insurance Company Limited,SBILIFE,2024-03-15,1482.0,1504.95,1481.1,1500.0,1505.85,1466897
SBI Life Insurance Company Limited,SBILIFE,2024-03-14,1482.2,1514.55,1465.3,1505.85,1487.35,1094035
SBI Life Insurance Company Limited,SBILIFE,2024-03-13,1524.0,1532.6,1480.65,1487.35,1516.4,1461171
SBI Life Insurance Company Limited,SBILIFE,2024-03-12,1533.0,1551.75,1509.05,1516.4,1532.1,1608593
SBI Life Insurance Company Limited,SBILIFE,2024-03-11,1526.95,1539.8,1513.6,1532.1,1510.4,1824218
SBI Life Insurance Company Limited,SBILIFE,2024-03-07,1520.0,1521.3,1489.0,1510.4,1520.4,2468543
SBI Life Insurance Company Limited,SBILIFE,2024-03-06,1492.25,1523.9,1487.0,1520.4,1491.25,1568041
SBI Life Insurance Company Limited,SBILIFE,2024-03-05,1525.0,1525.0,1487.95,1491.25,1517.95,1476872
SBI Life Insurance Company Limited,SBILIFE,2024-03-04,1553.85,1554.0,1508.25,1517.95,1546.8,2126926
SBI Life Insurance Company Limited,SBILIFE,2024-03-02,1553.05,1569.4,1535.2,1546.8,1542.15,50098
SBI Life Insurance Company Limited,SBILIFE,2024-03-01,1564.9,1569.35,1536.05,1542.15,1552.55,1088145
SBI Life Insurance Company Limited,SBILIFE,2024-02-29,1540.2,1567.1,1525.4,1552.55,1540.2,1672455
SBI Life Insurance Company Limited,SBILIFE,2024-02-28,1544.0,1556.75,1536.4,1540.2,1542.7,834214
SBI Life Insurance Company Limited,SBILIFE,2024-02-27,1553.8,1569.0,1538.9,1542.7,1549.15,1764621
SBI Life Insurance Company Limited,SBILIFE,2024-02-26,1531.15,1553.4,1525.1,1549.15,1529.15,1283074
SBI Life Insurance Company Limited,SBILIFE,2024-02-23,1508.4,1536.25,1501.25,1529.15,1509.65,1115653
SBI Life Insurance Company Limited,SBILIFE,2024-02-22,1510.0,1513.5,1470.2,1509.65,1501.7,1355358
SBI Life Insurance Company Limited,SBILIFE,2024-02-21,1510.05,1519.5,1495.4,1501.7,1513.55,1156081
SBI Life Insurance Company Limited,SBILIFE,2024-02-20,1488.85,1517.65,1473.35,1513.55,1488.85,1569035
SBI Life Insurance Company Limited,SBILIFE,2024-02-19,1517.1,1522.0,1486.0,1488.85,1508.45,1163429
SBI Life Insurance Company Limited,SBILIFE,2024-02-16,1456.4,1516.2,1451.6,1508.45,1453.35,2008339
SBI Life Insurance Company Limited,SBILIFE,2024-02-15,1464.0,1464.35,1443.65,1453.35,1453.7,736364
SBI Life Insurance Company Limited,SBILIFE,2024-02-14,1460.0,1464.0,1439.05,1453.7,1467.6,504590
SBI Life Insurance Company Limited,SBILIFE,2024-02-13,1436.0,1475.85,1428.2,1467.6,1436.0,1388464
SBI Life Insurance Company Limited,SBILIFE,2024-02-12,1442.45,1452.0,1423.25,1436.0,1439.7,515507
SBI Life Insurance Company Limited,SBILIFE,2024-02-09,1468.0,1468.0,1436.5,1439.7,1459.05,596482
SBI Life Insurance Company Limited,SBILIFE,2024-02-08,1481.9,1492.1,1455.15,1459.05,1469.45,1679065
SBI Life Insurance Company Limited,SBILIFE,2024-02-07,1472.6,1493.0,1453.65,1469.45,1464.0,690402
SBI Life Insurance Company Limited,SBILIFE,2024-02-06,1422.6,1469.95,1404.9,1464.0,1419.85,1515381
SBI Life Insurance Company Limited,SBILIFE,2024-02-05,1435.0,1460.0,1414.9,1419.85,1435.45,1010779
