StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Shriram Finance Limited,SHRIRAMFIN,2024-03-28,2386.0,2386.0,2386.0,2386.0,2310.0,5980000
Shriram Finance Limited,SHRIRAMFIN,2024-03-28,2374.05,2394.55,2338.25,2359.8,2386.35,2325088
Shriram Finance Limited,SHRIRAMFIN,2024-03-28,1038.0,1038.0,1038.0,1038.0,1040.0,12
Shriram Finance Limited,SHRIRAMFIN,2024-03-28,1088.0,1088.0,1087.95,1087.95,1084.93,118
Shriram Finance Limited,SHRIRAMFIN,2024-03-28,1039.0,1039.0,1028.2,1028.2,1032.75,25
Shriram Finance Limited,SHRIRAMFIN,2024-03-28,1045.01,1045.01,1045.0,1045.0,1045.0,4
Shriram Finance Limited,SHRIRAMFIN,2024-03-28,1025.0,1025.0,1025.0,1025.0,1015.0,12
Shriram Finance Limited,SHRIRAMFIN,2024-03-27,1058.0,1058.0,1058.0,1058.0,1055.0,25
Shriram Finance Limited,SHRIRAMFIN,2024-03-27,1002.0,1002.0,1002.0,1002.0,1015.0,30
Shriram Finance Limited,SHRIRAMFIN,2024-03-27,1055.0,1065.0,1055.0,1063.56,1065.0,350
Shriram Finance Limited,SHRIRAMFIN,2024-03-27,1021.05,1032.9,1012.3,1032.75,1034.95,145
Shriram Finance Limited,SHRIRAMFIN,2024-03-27,1083.3,1087.0,1083.3,1084.93,1082.01,255
Shriram Finance Limited,SHRIRAMFIN,2024-03-27,2410.0,2430.0,2345.0,2386.35,2372.55,15446440
Shriram Finance Limited,SHRIRAMFIN,2024-03-26,1825.0,1825.0,1825.0,1825.0,1540.0,17
Shriram Finance Limited,SHRIRAMFIN,2024-03-26,1055.0,1070.0,1055.0,1070.0,1054.0,610
Shriram Finance Limited,SHRIRAMFIN,2024-03-26,1015.0,1015.0,1015.0,1015.0,1015.0,27
Shriram Finance Limited,SHRIRAMFIN,2024-03-26,1050.0,1065.0,1050.0,1065.0,1047.0,127
Shriram Finance Limited,SHRIRAMFIN,2024-03-26,1154.9,1154.9,1153.95,1153.95,1053.01,410
Shriram Finance Limited,SHRIRAMFIN,2024-03-26,1034.9,1035.0,1034.9,1034.95,1032.0,20
Shriram Finance Limited,SHRIRAMFIN,2024-03-26,1090.0,1090.0,1082.01,1082.01,1087.0,600
Shriram Finance Limited,SHRIRAMFIN,2024-03-26,2281.0,2389.4,2279.95,2372.55,2330.7,2138717
Shriram Finance Limited,SHRIRAMFIN,2024-03-22,2310.0,2310.0,2310.0,2310.0,2302.45,7778000
Shriram Finance Limited,SHRIRAMFIN,2024-03-22,2339.0,2358.7,2305.15,2330.7,2310.8,1273555
Shriram Finance Limited,SHRIRAMFIN,2024-03-22,1087.0,1087.0,1087.0,1087.0,1078.0,25
Shriram Finance Limited,SHRIRAMFIN,2024-03-22,1410.0,1410.0,1410.0,1410.0,1410.0,6
Shriram Finance Limited,SHRIRAMFIN,2024-03-21,2322.7,2354.95,2290.0,2310.8,2314.2,1739724
Shriram Finance Limited,SHRIRAMFIN,2024-03-21,1053.01,1053.01,1053.01,1053.01,1054.01,100
Shriram Finance Limited,SHRIRAMFIN,2024-03-21,1048.0,1048.0,1047.0,1047.0,1048.0,100
Shriram Finance Limited,SHRIRAMFIN,2024-03-21,990.0,992.0,990.0,992.0,996.0,240
Shriram Finance Limited,SHRIRAMFIN,2024-03-20,1054.01,1054.01,1054.01,1054.01,1053.0,200
Shriram Finance Limited,SHRIRAMFIN,2024-03-20,1025.0,1025.0,1025.0,1025.0,1040.0,50
Shriram Finance Limited,SHRIRAMFIN,2024-03-20,2290.0,2327.9,2280.0,2314.2,2287.0,905285
Shriram Finance Limited,SHRIRAMFIN,2024-03-20,1040.0,1040.0,1040.0,1040.0,1027.0,1
Shriram Finance Limited,SHRIRAMFIN,2024-03-20,1054.01,1054.01,1054.0,1054.0,1054.6,260
Shriram Finance Limited,SHRIRAMFIN,2024-03-20,1010.11,1045.0,1010.11,1045.0,1054.01,150
Shriram Finance Limited,SHRIRAMFIN,2024-03-20,1078.01,1078.01,1078.0,1078.0,1080.01,3500
