StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Shyam Metalics and Energy Limited,SHYAMMETL,2024-03-28,611.9,612.65,583.85,591.35,605.35,566910
Shyam Metalics and Energy Limited,SHYAMMETL,2024-03-27,612.0,624.0,601.85,605.35,599.85,1281009
Shyam Metalics and Energy Limited,SHYAMMETL,2024-03-26,606.4,607.0,597.75,599.85,599.3,481294
Shyam Metalics and Energy Limited,SHYAMMETL,2024-03-22,594.4,609.0,580.7,599.3,589.25,1089672
Shyam Metalics and Energy Limited,SHYAMMETL,2024-03-21,571.35,600.0,571.35,589.25,572.35,1273409
Shyam Metalics and Energy Limited,SHYAMMETL,2024-03-20,572.2,582.1,564.1,572.35,574.0,937869
Shyam Metalics and Energy Limited,SHYAMMETL,2024-03-19,579.0,583.3,566.55,574.0,579.35,521625
Shyam Metalics and Energy Limited,SHYAMMETL,2024-03-18,560.2,583.15,560.2,579.35,563.45,1479163
Shyam Metalics and Energy Limited,SHYAMMETL,2024-03-15,544.75,570.0,542.05,563.45,547.35,1061534
Shyam Metalics and Energy Limited,SHYAMMETL,2024-03-14,541.0,566.0,530.95,547.35,544.3,1168295
Shyam Metalics and Energy Limited,SHYAMMETL,2024-03-13,592.5,592.8,511.2,544.3,587.55,1965752
Shyam Metalics and Energy Limited,SHYAMMETL,2024-03-12,596.85,608.0,584.05,587.55,596.85,1144829
Shyam Metalics and Energy Limited,SHYAMMETL,2024-03-11,640.2,642.15,590.25,596.85,640.2,1452486
Shyam Metalics and Energy Limited,SHYAMMETL,2024-03-07,632.05,646.0,630.5,640.2,629.5,429643
Shyam Metalics and Energy Limited,SHYAMMETL,2024-03-06,650.1,653.4,622.55,629.5,654.35,923041
Shyam Metalics and Energy Limited,SHYAMMETL,2024-03-05,660.0,667.05,647.8,654.35,663.85,936834
Shyam Metalics and Energy Limited,SHYAMMETL,2024-03-04,687.0,688.5,662.0,663.85,688.5,527510
Shyam Metalics and Energy Limited,SHYAMMETL,2024-03-02,674.0,692.7,670.0,688.5,671.5,358876
Shyam Metalics and Energy Limited,SHYAMMETL,2024-03-01,656.0,682.9,634.3,671.5,649.9,2498858
Shyam Metalics and Energy Limited,SHYAMMETL,2024-02-29,624.5,658.6,622.0,649.9,627.3,1363833
Shyam Metalics and Energy Limited,SHYAMMETL,2024-02-28,650.6,653.3,624.0,627.3,648.5,413154
Shyam Metalics and Energy Limited,SHYAMMETL,2024-02-27,653.15,662.95,646.65,648.5,656.55,340307
Shyam Metalics and Energy Limited,SHYAMMETL,2024-02-26,665.15,671.9,653.6,656.55,664.6,399838
Shyam Metalics and Energy Limited,SHYAMMETL,2024-02-23,649.45,670.55,643.55,664.6,647.05,675797
Shyam Metalics and Energy Limited,SHYAMMETL,2024-02-22,651.05,651.7,630.15,647.05,643.55,538118
Shyam Metalics and Energy Limited,SHYAMMETL,2024-02-21,663.0,674.0,640.7,643.55,662.95,663338
Shyam Metalics and Energy Limited,SHYAMMETL,2024-02-20,671.0,672.0,659.7,662.95,668.95,308942
Shyam Metalics and Energy Limited,SHYAMMETL,2024-02-19,673.9,678.95,661.5,668.95,671.4,342836
Shyam Metalics and Energy Limited,SHYAMMETL,2024-02-16,670.8,680.0,666.25,671.4,668.95,276016
Shyam Metalics and Energy Limited,SHYAMMETL,2024-02-15,674.9,684.0,664.35,668.95,670.75,375653
Shyam Metalics and Energy Limited,SHYAMMETL,2024-02-14,649.0,676.7,644.8,670.75,659.1,528411
Shyam Metalics and Energy Limited,SHYAMMETL,2024-02-13,664.55,667.0,643.65,659.1,657.7,637688
Shyam Metalics and Energy Limited,SHYAMMETL,2024-02-12,682.05,702.85,650.15,657.7,682.05,854405
Shyam Metalics and Energy Limited,SHYAMMETL,2024-02-09,685.0,689.8,651.65,682.05,687.6,1054114
Shyam Metalics and Energy Limited,SHYAMMETL,2024-02-08,695.9,700.4,685.0,687.6,692.2,627460
Shyam Metalics and Energy Limited,SHYAMMETL,2024-02-07,704.5,710.85,690.0,692.2,697.3,452758
Shyam Metalics and Energy Limited,SHYAMMETL,2024-02-06,685.45,704.65,681.45,697.3,684.75,550683
Shyam Metalics and Energy Limited,SHYAMMETL,2024-02-05,710.0,719.9,675.15,684.75,705.35,929349
Shyam Metalics and Energy Limited,SHYAMMETL,2024-02-02,705.45,720.0,698.05,705.35,702.25,1304936
Shyam Metalics and Energy Limited,SHYAMMETL,2024-02-01,705.9,720.45,695.0,702.25,704.8,1195893
Shyam Metalics and Energy Limited,SHYAMMETL,2024-01-31,737.8,737.8,690.0,704.8,731.0,2625792
Shyam Metalics and Energy Limited,SHYAMMETL,2024-01-30,722.0,734.9,715.5,731.0,711.2,2612634
Shyam Metalics and Energy Limited,SHYAMMETL,2024-01-29,680.05,716.95,679.5,711.2,677.15,2020717
Shyam Metalics and Energy Limited,SHYAMMETL,2024-01-25,676.0,683.35,672.0,677.15,676.0,353649
Shyam Metalics and Energy Limited,SHYAMMETL,2024-01-24,672.9,678.7,655.6,676.0,671.8,720334
Shyam Metalics and Energy Limited,SHYAMMETL,2024-01-23,700.0,708.8,660.1,671.8,696.75,1529512
Shyam Metalics and Energy Limited,SHYAMMETL,2024-01-20,680.0,703.5,672.95,696.75,677.25,1831503
Shyam Metalics and Energy Limited,SHYAMMETL,2024-01-19,661.3,682.4,654.0,677.25,656.75,1362418
Shyam Metalics and Energy Limited,SHYAMMETL,2024-01-18,651.1,663.0,637.0,656.75,650.35,1074243
Shyam Metalics and Energy Limited,SHYAMMETL,2024-01-17,660.5,665.4,646.3,650.35,671.55,1343951
Shyam Metalics and Energy Limited,SHYAMMETL,2024-01-16,675.0,683.8,650.7,671.55,681.25,1466524
Shyam Metalics and Energy Limited,SHYAMMETL,2024-01-15,691.0,692.7,669.95,681.25,683.2,1563493
Shyam Metalics and Energy Limited,SHYAMMETL,2024-01-12,672.85,689.0,665.0,683.2,670.4,1473586
Shyam Metalics and Energy Limited,SHYAMMETL,2024-01-11,678.0,683.4,667.0,670.4,666.5,3575155
Shyam Metalics and Energy Limited,SHYAMMETL,2024-01-10,620.2,672.0,620.2,666.5,637.85,7393963
Shyam Metalics and Energy Limited,SHYAMMETL,2024-01-09,640.0,643.0,625.65,637.85,629.85,1456087
Shyam Metalics and Energy Limited,SHYAMMETL,2024-01-08,650.0,653.35,628.0,629.85,653.75,1676042
Shyam Metalics and Energy Limited,SHYAMMETL,2024-01-05,656.0,668.0,645.0,653.75,655.15,1053483
Shyam Metalics and Energy Limited,SHYAMMETL,2024-01-04,670.0,682.0,651.55,655.15,668.7,1956706
Shyam Metalics and Energy Limited,SHYAMMETL,2024-01-03,635.5,677.0,632.55,668.7,643.0,2861553
Shyam Metalics and Energy Limited,SHYAMMETL,2024-01-02,648.0,654.0,635.1,643.0,641.9,2557701
Shyam Metalics and Energy Limited,SHYAMMETL,2024-01-01,636.0,646.6,628.35,641.9,627.8,2400493
Shyam Metalics and Energy Limited,SHYAMMETL,2023-12-29,627.0,630.0,613.55,627.8,625.9,2101797
Shyam Metalics and Energy Limited,SHYAMMETL,2023-12-28,625.0,633.7,621.95,625.9,623.35,1394765
Shyam Metalics and Energy Limited,SHYAMMETL,2023-12-27,624.8,626.0,610.1,623.35,619.1,1294800
Shyam Metalics and Energy Limited,SHYAMMETL,2023-12-26,615.0,627.6,610.0,619.1,608.4,2575003
Shyam Metalics and Energy Limited,SHYAMMETL,2023-12-22,590.0,612.0,577.0,608.4,571.9,6107450
Shyam Metalics and Energy Limited,SHYAMMETL,2023-12-21,515.0,573.2,507.25,571.9,521.1,4820038
Shyam Metalics and Energy Limited,SHYAMMETL,2023-12-20,544.8,548.45,517.55,521.1,539.55,1695493
Shyam Metalics and Energy Limited,SHYAMMETL,2023-12-19,541.95,544.9,534.0,539.55,536.8,953937
Shyam Metalics and Energy Limited,SHYAMMETL,2023-12-18,516.0,542.0,512.5,536.8,513.1,1744018
Shyam Metalics and Energy Limited,SHYAMMETL,2023-12-15,519.9,523.45,510.0,513.1,519.5,743941
Shyam Metalics and Energy Limited,SHYAMMETL,2023-12-14,516.15,528.0,512.55,519.5,514.6,710411
