StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
Siemens Limited,SIEMENS,2024-03-28,5288.65,5405.0,5236.5,5374.05,5288.65,398389
Siemens Limited,SIEMENS,2024-03-27,5130.0,5360.0,5117.45,5288.65,5098.65,791415
Siemens Limited,SIEMENS,2024-03-26,4991.55,5111.2,4970.0,5098.65,4991.55,427343
Siemens Limited,SIEMENS,2024-03-22,4935.05,4997.2,4864.65,4991.55,4942.35,281438
Siemens Limited,SIEMENS,2024-03-21,4750.0,4954.0,4741.55,4942.35,4709.55,461620
Siemens Limited,SIEMENS,2024-03-20,4668.7,4758.45,4562.35,4709.55,4639.85,179052
Siemens Limited,SIEMENS,2024-03-19,4840.0,4849.55,4602.65,4639.85,4834.4,371866
Siemens Limited,SIEMENS,2024-03-18,4774.95,4855.0,4745.9,4834.4,4771.3,171827
Siemens Limited,SIEMENS,2024-03-15,4768.0,4820.6,4682.1,4771.3,4751.4,229260
Siemens Limited,SIEMENS,2024-03-14,4650.95,4788.2,4579.75,4751.4,4650.1,242114
Siemens Limited,SIEMENS,2024-03-13,4784.85,4844.0,4613.8,4650.1,4782.45,379017
Siemens Limited,SIEMENS,2024-03-12,4745.0,4834.95,4700.0,4782.45,4730.85,409382
Siemens Limited,SIEMENS,2024-03-11,4670.0,4972.4,4670.0,4730.85,4668.65,1126433
Siemens Limited,SIEMENS,2024-03-07,4730.0,4743.0,4655.75,4668.65,4708.55,143365
Siemens Limited,SIEMENS,2024-03-06,4745.0,4745.0,4630.1,4708.55,4730.15,172883
Siemens Limited,SIEMENS,2024-03-05,4718.4,4759.65,4687.15,4730.15,4689.2,96230
Siemens Limited,SIEMENS,2024-03-04,4730.05,4738.05,4672.2,4689.2,4736.9,123044
Siemens Limited,SIEMENS,2024-03-02,4724.95,4754.6,4695.05,4736.9,4700.75,19424
Siemens Limited,SIEMENS,2024-03-01,4700.0,4704.85,4643.55,4700.75,4679.25,116894
Siemens Limited,SIEMENS,2024-02-29,4581.3,4720.0,4509.05,4679.25,4576.8,352636
Siemens Limited,SIEMENS,2024-02-28,4613.95,4658.65,4538.3,4576.8,4585.3,175775
Siemens Limited,SIEMENS,2024-02-27,4565.65,4646.5,4563.0,4585.3,4565.75,228401
Siemens Limited,SIEMENS,2024-02-26,4550.0,4595.0,4495.0,4565.75,4536.5,178913
Siemens Limited,SIEMENS,2024-02-23,4577.0,4592.25,4518.6,4536.5,4552.5,155098
Siemens Limited,SIEMENS,2024-02-22,4450.0,4587.0,4418.0,4552.5,4440.35,236905
Siemens Limited,SIEMENS,2024-02-21,4445.0,4538.85,4416.05,4440.35,4435.75,218181
Siemens Limited,SIEMENS,2024-02-20,4435.0,4455.0,4407.55,4435.75,4416.6,130657
Siemens Limited,SIEMENS,2024-02-19,4400.95,4449.0,4375.0,4416.6,4398.65,108346
Siemens Limited,SIEMENS,2024-02-16,4365.15,4417.55,4337.0,4398.65,4346.75,141679
Siemens Limited,SIEMENS,2024-02-15,4400.0,4405.95,4322.95,4346.75,4379.4,101879
Siemens Limited,SIEMENS,2024-02-14,4279.45,4448.0,4279.4,4379.4,4313.2,524202
Siemens Limited,SIEMENS,2024-02-13,4218.0,4499.8,4118.0,4313.2,4218.35,741449
Siemens Limited,SIEMENS,2024-02-12,4275.8,4359.3,4204.0,4218.35,4275.8,310740
Siemens Limited,SIEMENS,2024-02-09,4230.7,4301.2,4155.9,4275.8,4226.55,231257
Siemens Limited,SIEMENS,2024-02-08,4268.0,4335.0,4215.0,4226.55,4249.2,234880
Siemens Limited,SIEMENS,2024-02-07,4289.95,4289.95,4162.05,4249.2,4216.75,228370
Siemens Limited,SIEMENS,2024-02-06,4169.8,4250.0,4135.05,4216.75,4147.95,157896
Siemens Limited,SIEMENS,2024-02-05,4175.0,4250.0,4123.95,4147.95,4162.3,307429
Siemens Limited,SIEMENS,2024-02-02,4125.0,4289.95,4112.1,4162.3,4104.65,541066
Siemens Limited,SIEMENS,2024-02-01,4161.0,4249.35,4029.45,4104.65,4140.4,637794
Siemens Limited,SIEMENS,2024-01-31,4115.0,4212.85,4086.35,4140.4,4143.55,489648
Siemens Limited,SIEMENS,2024-01-30,4319.0,4335.0,4104.2,4143.55,4305.55,488753
Siemens Limited,SIEMENS,2024-01-29,4204.0,4318.95,4196.35,4305.55,4205.4,460409
Siemens Limited,SIEMENS,2024-01-25,4213.95,4221.1,4140.0,4205.4,4199.0,163965
Siemens Limited,SIEMENS,2024-01-24,4080.0,4212.0,4056.0,4199.0,4083.9,219206
Siemens Limited,SIEMENS,2024-01-23,4090.0,4133.6,4020.0,4083.9,4074.3,479654
Siemens Limited,SIEMENS,2024-01-20,4165.0,4165.0,4051.05,4074.3,4141.5,50912
Siemens Limited,SIEMENS,2024-01-19,4081.0,4151.0,4062.9,4141.5,4041.8,111523
Siemens Limited,SIEMENS,2024-01-18,4100.0,4105.75,3965.0,4041.8,4106.8,187562
Siemens Limited,SIEMENS,2024-01-17,4092.0,4132.85,4028.25,4106.8,4103.45,177690
Siemens Limited,SIEMENS,2024-01-16,4176.3,4200.0,4086.9,4103.45,4163.55,188669
Siemens Limited,SIEMENS,2024-01-15,4163.1,4179.5,4117.2,4163.55,4154.1,153484
