StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
SJVN Limited,SJVN,2024-03-28,123.9,124.75,121.0,121.4,122.8,18585313
SJVN Limited,SJVN,2024-03-27,122.0,127.15,121.5,122.8,121.4,44973081
SJVN Limited,SJVN,2024-03-26,122.9,123.75,120.4,121.4,122.9,19125648
SJVN Limited,SJVN,2024-03-22,120.8,124.8,119.8,122.9,120.7,24076684
SJVN Limited,SJVN,2024-03-21,119.7,124.25,119.15,120.7,117.85,30305264
SJVN Limited,SJVN,2024-03-20,119.7,120.75,115.25,117.85,118.55,34239826
SJVN Limited,SJVN,2024-03-19,122.2,124.25,118.0,118.55,123.65,30678573
SJVN Limited,SJVN,2024-03-18,128.0,130.8,122.2,123.65,124.6,63037512
SJVN Limited,SJVN,2024-03-15,116.8,128.0,113.55,124.6,118.65,119509864
SJVN Limited,SJVN,2024-03-14,100.4,120.0,98.05,118.65,101.2,97307324
SJVN Limited,SJVN,2024-03-13,112.15,114.35,98.7,101.2,112.35,50527598
SJVN Limited,SJVN,2024-03-12,120.0,120.0,111.0,112.35,119.9,24775563
SJVN Limited,SJVN,2024-03-11,122.85,122.9,119.1,119.9,122.2,14752739
SJVN Limited,SJVN,2024-03-07,119.7,123.7,118.2,122.2,119.45,22891665
SJVN Limited,SJVN,2024-03-06,121.9,121.95,116.8,119.45,121.2,18223921
SJVN Limited,SJVN,2024-03-05,122.0,123.6,120.2,121.2,122.3,16109330
SJVN Limited,SJVN,2024-03-04,124.0,125.8,121.75,122.3,120.95,24900057
SJVN Limited,SJVN,2024-03-02,121.2,121.8,119.8,120.95,121.2,2792233
SJVN Limited,SJVN,2024-03-01,122.9,124.15,120.85,121.2,121.15,14130712
SJVN Limited,SJVN,2024-02-29,119.0,122.55,114.6,121.15,117.85,30018100
SJVN Limited,SJVN,2024-02-28,122.9,124.4,116.2,117.85,122.3,29143381
SJVN Limited,SJVN,2024-02-27,121.3,126.9,121.0,122.3,120.35,26174798
SJVN Limited,SJVN,2024-02-26,119.95,127.65,118.35,120.35,119.5,52788418
SJVN Limited,SJVN,2024-02-23,122.0,122.1,119.0,119.5,121.6,18339054
SJVN Limited,SJVN,2024-02-22,121.0,123.4,115.7,121.6,120.8,34354009
SJVN Limited,SJVN,2024-02-21,123.0,123.0,119.15,120.8,123.15,27013817
SJVN Limited,SJVN,2024-02-20,125.95,126.3,121.8,123.15,126.3,31893112
SJVN Limited,SJVN,2024-02-19,121.5,128.5,120.95,126.3,120.5,60306871
SJVN Limited,SJVN,2024-02-16,125.4,125.9,118.6,120.5,124.95,55011256
SJVN Limited,SJVN,2024-02-15,123.0,128.2,122.7,124.95,120.55,103105342
SJVN Limited,SJVN,2024-02-14,106.2,123.2,104.35,120.55,108.15,166998522
SJVN Limited,SJVN,2024-02-13,107.25,114.0,100.65,108.15,112.45,158431484
SJVN Limited,SJVN,2024-02-12,125.0,130.7,112.45,112.45,140.55,117827264
SJVN Limited,SJVN,2024-02-09,151.4,151.95,137.55,140.55,150.65,68554166
SJVN Limited,SJVN,2024-02-08,155.55,161.45,148.15,150.65,146.9,80234599
SJVN Limited,SJVN,2024-02-07,148.4,157.4,145.6,146.9,146.95,74842579
SJVN Limited,SJVN,2024-02-06,152.0,159.8,143.9,146.95,148.3,94207941
SJVN Limited,SJVN,2024-02-05,145.0,170.5,135.1,148.3,142.25,238154964
SJVN Limited,SJVN,2024-02-02,128.8,146.35,128.55,142.25,127.55,150820832
SJVN Limited,SJVN,2024-02-01,132.35,132.35,125.8,127.55,131.8,40747230
SJVN Limited,SJVN,2024-01-31,128.6,132.85,127.2,131.8,127.95,43866759
SJVN Limited,SJVN,2024-01-30,133.5,134.7,126.7,127.95,129.2,54326487
SJVN Limited,SJVN,2024-01-29,120.0,134.4,119.2,129.2,116.45,135868902
SJVN Limited,SJVN,2024-01-25,114.0,118.9,112.4,116.45,113.15,73902690
SJVN Limited,SJVN,2024-01-24,104.65,114.0,102.6,113.15,103.9,61539848
