StockName,Symbol,Date,Open,High,Low,Close,PrevClose,Volume
SKF India Limited,SKFINDIA,2024-03-28,4165.9,4187.8,4114.9,4158.65,4165.9,57728
SKF India Limited,SKFINDIA,2024-03-27,4186.7,4237.95,4143.35,4165.9,4167.2,45143
SKF India Limited,SKFINDIA,2024-03-26,4130.0,4280.0,4130.0,4167.2,4264.0,80980
SKF India Limited,SKFINDIA,2024-03-22,4285.75,4307.6,4236.0,4264.0,4272.95,39849
SKF India Limited,SKFINDIA,2024-03-21,4300.0,4310.0,4245.0,4272.95,4283.2,84515
SKF India Limited,SKFINDIA,2024-03-20,4280.0,4318.9,4205.05,4283.2,4282.85,25739
SKF India Limited,SKFINDIA,2024-03-19,4203.0,4300.0,4203.0,4282.85,4239.75,11229
SKF India Limited,SKFINDIA,2024-03-18,4230.8,4269.95,4179.9,4239.75,4239.9,160862
SKF India Limited,SKFINDIA,2024-03-15,4161.7,4388.0,4140.05,4239.9,4139.95,101679
SKF India Limited,SKFINDIA,2024-03-14,4090.0,4183.7,4050.7,4139.95,4092.5,39954
SKF India Limited,SKFINDIA,2024-03-13,4230.55,4230.55,4024.5,4092.5,4147.45,161987
SKF India Limited,SKFINDIA,2024-03-12,4183.25,4217.4,4137.0,4147.45,4177.6,46876
SKF India Limited,SKFINDIA,2024-03-11,4364.3,4400.0,4170.0,4177.6,4341.45,39842
SKF India Limited,SKFINDIA,2024-03-07,4418.6,4425.0,4315.0,4341.45,4395.5,17808
SKF India Limited,SKFINDIA,2024-03-06,4489.0,4509.4,4389.95,4395.5,4488.75,25651
SKF India Limited,SKFINDIA,2024-03-05,4605.6,4605.6,4482.55,4488.75,4581.5,11693
SKF India Limited,SKFINDIA,2024-03-04,4700.0,4700.0,4570.0,4581.5,4641.25,8335
SKF India Limited,SKFINDIA,2024-03-02,4701.0,4725.0,4552.0,4641.25,4704.0,1338
SKF India Limited,SKFINDIA,2024-03-01,4720.0,4720.0,4640.0,4704.0,4722.95,22475
SKF India Limited,SKFINDIA,2024-02-29,4488.2,4820.0,4488.2,4722.95,4529.0,60672
SKF India Limited,SKFINDIA,2024-02-28,4550.0,4550.0,4491.0,4529.0,4525.65,10681
SKF India Limited,SKFINDIA,2024-02-27,4505.7,4548.15,4485.0,4525.65,4505.7,9699
SKF India Limited,SKFINDIA,2024-02-26,4532.0,4554.9,4491.05,4505.7,4532.95,64719
